vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
h15454c2:3,default_016,57613.0,57660.0,47.0,,353.547,0.0,0.0,47.0,6.043,,,0.0,1.0,,True,completed
carIn60260:1,default_016,57607.0,57661.0,54.0,,426.508,0.0,0.0,54.0,4.635,,,0.0,1.0,,True,completed
carIn53971:1,default_016,57641.0,57687.0,46.0,,487.651,0.0,0.0,46.0,5.159,,,0.0,1.0,,True,completed
h12244c1:3,default_016,57613.0,57709.0,96.0,,1175.385,0.0,0.0,96.0,9.667,,,0.0,1.0,,True,completed
S5R_frequency1.2,bus,57613.0,57714.0,101.0,,1104.966,2.0,2.0,99.0,19.881,,,0.0198,0.9802,,True,completed
h9563c2:5,default_016,57632.0,57718.0,86.0,,1181.19,0.0,0.0,86.0,5.083,,,0.0,1.0,,True,completed
h3568c1:3,default_016,57657.0,57726.0,69.0,,803.55,0.0,0.0,69.0,9.161,,,0.0,1.0,,True,completed
h7181c1:1,default_016,57661.0,57729.0,68.0,,927.945,6.0,6.0,62.0,15.012,,,0.0882,0.9118,,True,completed
h7800c1:5,default_016,57697.0,57733.0,36.0,,174.251,12.0,12.0,24.0,15.795,,,0.3333,0.6667,,True,completed
carIn22761:1,default_016,57616.0,57736.0,120.0,,1086.653,36.0,36.0,84.0,53.115,,,0.3,0.7,,True,completed
carIn30817:1,default_016,57682.0,57746.0,64.0,,716.212,0.0,0.0,64.0,7.623,,,0.0,1.0,,True,completed
carIn121703:1,default_016,57648.0,57748.0,100.0,,1147.806,0.0,0.0,100.0,7.091,,,0.0,1.0,,True,completed
h3154c1:1,default_016,57659.0,57750.0,91.0,,1204.097,4.0,4.0,87.0,16.706,,,0.044,0.956,,True,completed
h645c1:1,default_016,57623.0,57757.0,134.0,,1908.569,0.0,0.0,134.0,6.656,,,0.0,1.0,,True,completed
h3326c1:2,default_016,57657.0,57761.0,104.0,,1305.325,0.0,0.0,104.0,12.247,,,0.0,1.0,,True,completed
carIn107084:1,default_016,57602.0,57767.0,165.0,,2241.597,0.0,0.0,165.0,12.001,,,0.0,1.0,,True,completed
