step:3600/3600, q_loss:0, rewards:-53.137782118055554, queue:1.703732638888889, delay:0.05372182528177897, throughput:1432
episode:0/200, real avg travel time:276.6948324022346
intersection:0, mean_episode_reward:-2.627777338027954, mean_queue:2.7277777194976807
intersection:1, mean_episode_reward:-3.9166676998138428, mean_queue:3.98888897895813
intersection:2, mean_episode_reward:-3.776944398880005, mean_queue:3.866666555404663
intersection:3, mean_episode_reward:-3.5641672611236572, mean_queue:3.672222137451172
intersection:4, mean_episode_reward:-2.5913889408111572, mean_queue:2.672222137451172
intersection:5, mean_episode_reward:-8.16472053527832, mean_queue:8.244444847106934
intersection:6, mean_episode_reward:-2.9013895988464355, mean_queue:2.980555534362793
intersection:7, mean_episode_reward:-2.194166660308838, mean_queue:2.288888931274414
intersection:8, mean_episode_reward:-3.3616678714752197, mean_queue:3.4472222328186035
intersection:9, mean_episode_reward:-3.8297228813171387, mean_queue:3.9166667461395264
intersection:10, mean_episode_reward:-1.9877780675888062, mean_queue:2.0722222328186035
intersection:11, mean_episode_reward:-3.2327775955200195, mean_queue:3.299999952316284
intersection:12, mean_episode_reward:-3.207778215408325, mean_queue:3.305555582046509
intersection:13, mean_episode_reward:-3.196389675140381, mean_queue:3.299999952316284
intersection:14, mean_episode_reward:-1.7544440031051636, mean_queue:1.8250000476837158
intersection:15, mean_episode_reward:-2.830000162124634, mean_queue:2.9111111164093018
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :515.406528189911, rewards:-370.97196180555557, queue:11.618489583333334, delay:0.1500530242919922, throughput:674
step:3600/3600, q_loss:0, rewards:-58.79862196180556, queue:1.8830729166666667, delay:0.059343412187364365, throughput:1425
episode:1/200, real avg travel time:289.4322807017544
intersection:0, mean_episode_reward:-2.815556049346924, mean_queue:2.913888931274414
intersection:1, mean_episode_reward:-3.344444513320923, mean_queue:3.450000047683716
intersection:2, mean_episode_reward:-4.124723434448242, mean_queue:4.211111068725586
intersection:3, mean_episode_reward:-4.474723815917969, mean_queue:4.580555438995361
intersection:4, mean_episode_reward:-2.0822222232818604, mean_queue:2.180555582046509
intersection:5, mean_episode_reward:-4.436667442321777, mean_queue:4.527777671813965
intersection:6, mean_episode_reward:-3.3219454288482666, mean_queue:3.3972222805023193
