step:3600/3600, q_loss:0, rewards:-46.30417751736111, queue:1.5129340277777779, delay:0.06203651428222656, throughput:1431
episode:0/200, real avg travel time:251.97064989517818
intersection:0, mean_episode_reward:-2.926112174987793, mean_queue:3.0611112117767334
intersection:1, mean_episode_reward:-2.6608335971832275, mean_queue:2.819444417953491
intersection:2, mean_episode_reward:-3.833057403564453, mean_queue:3.9666666984558105
intersection:3, mean_episode_reward:-3.0916683673858643, mean_queue:3.25
intersection:4, mean_episode_reward:-2.4447216987609863, mean_queue:2.5888888835906982
intersection:5, mean_episode_reward:-2.494722604751587, mean_queue:2.5916666984558105
intersection:6, mean_episode_reward:-2.903333902359009, mean_queue:3.01111102104187
intersection:7, mean_episode_reward:-2.2663888931274414, mean_queue:2.4194445610046387
intersection:8, mean_episode_reward:-3.4627790451049805, mean_queue:3.586111068725586
intersection:9, mean_episode_reward:-2.896390199661255, mean_queue:2.98888897895813
intersection:10, mean_episode_reward:-2.62833309173584, mean_queue:2.730555534362793
intersection:11, mean_episode_reward:-2.8330557346343994, mean_queue:2.944444417953491
intersection:12, mean_episode_reward:-3.568610668182373, mean_queue:3.711111068725586
intersection:13, mean_episode_reward:-3.385279417037964, mean_queue:3.5416667461395264
intersection:14, mean_episode_reward:-2.5172226428985596, mean_queue:2.6111111640930176
intersection:15, mean_episode_reward:-2.391667127609253, mean_queue:2.5916666984558105
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
