step:3600/3600, q_loss:0, rewards:-46.30417751736111, queue:1.5129340277777779, delay:0.06203651428222656, throughput:1431
episode:0/200, real avg travel time:251.97064989517818
intersection:0, mean_episode_reward:-2.926112174987793, mean_queue:3.0611112117767334
intersection:1, mean_episode_reward:-2.6608335971832275, mean_queue:2.819444417953491
intersection:2, mean_episode_reward:-3.833057403564453, mean_queue:3.9666666984558105
intersection:3, mean_episode_reward:-3.0916683673858643, mean_queue:3.25
intersection:4, mean_episode_reward:-2.4447216987609863, mean_queue:2.5888888835906982
intersection:5, mean_episode_reward:-2.494722604751587, mean_queue:2.5916666984558105
intersection:6, mean_episode_reward:-2.903333902359009, mean_queue:3.01111102104187
intersection:7, mean_episode_reward:-2.2663888931274414, mean_queue:2.4194445610046387
intersection:8, mean_episode_reward:-3.4627790451049805, mean_queue:3.586111068725586
intersection:9, mean_episode_reward:-2.896390199661255, mean_queue:2.98888897895813
intersection:10, mean_episode_reward:-2.62833309173584, mean_queue:2.730555534362793
intersection:11, mean_episode_reward:-2.8330557346343994, mean_queue:2.944444417953491
intersection:12, mean_episode_reward:-3.568610668182373, mean_queue:3.711111068725586
intersection:13, mean_episode_reward:-3.385279417037964, mean_queue:3.5416667461395264
intersection:14, mean_episode_reward:-2.5172226428985596, mean_queue:2.6111111640930176
intersection:15, mean_episode_reward:-2.391667127609253, mean_queue:2.5916666984558105
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :764.6304347826087, rewards:-419.12721354166666, queue:13.128211805555555, delay:0.1663840717739529, throughput:598
step:3600/3600, q_loss:0, rewards:-46.14028862847222, queue:1.5077256944444444, delay:0.062235185835096574, throughput:1427
episode:1/200, real avg travel time:251.41485634197616
intersection:0, mean_episode_reward:-2.622499704360962, mean_queue:2.7444443702697754
intersection:1, mean_episode_reward:-2.9961116313934326, mean_queue:3.125
intersection:2, mean_episode_reward:-4.379446506500244, mean_queue:4.488888740539551
intersection:3, mean_episode_reward:-2.5391666889190674, mean_queue:2.691666603088379
intersection:4, mean_episode_reward:-3.0169451236724854, mean_queue:3.163888931274414
intersection:5, mean_episode_reward:-2.807222843170166, mean_queue:2.913888931274414
intersection:6, mean_episode_reward:-2.679168462753296, mean_queue:2.769444465637207
intersection:7, mean_episode_reward:-2.446667194366455, mean_queue:2.586111068725586
intersection:8, mean_episode_reward:-2.995279550552368, mean_queue:3.1083333492279053
intersection:9, mean_episode_reward:-2.7080557346343994, mean_queue:2.819444417953491
intersection:10, mean_episode_reward:-2.4336111545562744, mean_queue:2.519444465637207
intersection:11, mean_episode_reward:-3.333056926727295, mean_queue:3.480555534362793
intersection:12, mean_episode_reward:-2.817776918411255, mean_queue:2.9972221851348877
intersection:13, mean_episode_reward:-3.3549997806549072, mean_queue:3.51111102104187
intersection:14, mean_episode_reward:-2.432778835296631, mean_queue:2.5611112117767334
intersection:15, mean_episode_reward:-2.5774991512298584, mean_queue:2.7666666507720947
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:1/200, travel time :764.6304347826087, rewards:-419.12721354166666, queue:13.128211805555555, delay:0.1663840717739529, throughput:598
step:3600/3600, q_loss:0.5117436051368713, rewards:-46.755284288194446, queue:1.5276041666666667, delay:0.06242308086819119, throughput:1433
episode:2/200, real avg travel time:253.35868806699233
intersection:0, mean_episode_reward:-3.0888891220092773, mean_queue:3.2277777194976807
intersection:1, mean_episode_reward:-2.871389150619507, mean_queue:3.01111102104187
intersection:2, mean_episode_reward:-3.5955569744110107, mean_queue:3.711111068725586
intersection:3, mean_episode_reward:-2.2936110496520996, mean_queue:2.4472222328186035
intersection:4, mean_episode_reward:-3.378333568572998, mean_queue:3.508333444595337
intersection:5, mean_episode_reward:-2.9141669273376465, mean_queue:3.0166666507720947
intersection:6, mean_episode_reward:-2.7738897800445557, mean_queue:2.9000000953674316
intersection:7, mean_episode_reward:-2.815277099609375, mean_queue:2.961111068725586
intersection:8, mean_episode_reward:-3.2630550861358643, mean_queue:3.3805556297302246
intersection:9, mean_episode_reward:-2.7791662216186523, mean_queue:2.8805556297302246
intersection:10, mean_episode_reward:-2.90777850151062, mean_queue:2.9833333492279053
intersection:11, mean_episode_reward:-3.4055569171905518, mean_queue:3.5333333015441895
intersection:12, mean_episode_reward:-3.0127780437469482, mean_queue:3.180555582046509
intersection:13, mean_episode_reward:-2.7563891410827637, mean_queue:2.9111111164093018
intersection:14, mean_episode_reward:-2.659444570541382, mean_queue:2.7833333015441895
intersection:15, mean_episode_reward:-2.240000009536743, mean_queue:2.4472222328186035
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:2/200, travel time :683.7417582417582, rewards:-422.8777777777778, queue:13.243315972222222, delay:0.16851832071940104, throughput:546
step:3600/3600, q_loss:0.8593339920043945, rewards:-36.73916829427083, queue:1.2173611111111111, delay:0.05947908295525445, throughput:1437
episode:3/200, real avg travel time:230.47181628392485
intersection:0, mean_episode_reward:-2.548611640930176, mean_queue:2.6694445610046387
intersection:1, mean_episode_reward:-2.2755558490753174, mean_queue:2.3916666507720947
intersection:2, mean_episode_reward:-2.5888900756835938, mean_queue:2.7277777194976807
intersection:3, mean_episode_reward:-2.340555191040039, mean_queue:2.5
intersection:4, mean_episode_reward:-2.329444408416748, mean_queue:2.4666666984558105
intersection:5, mean_episode_reward:-1.7894448041915894, mean_queue:1.9166666269302368
intersection:6, mean_episode_reward:-2.036389112472534, mean_queue:2.1500000953674316
intersection:7, mean_episode_reward:-2.3011114597320557, mean_queue:2.461111068725586
intersection:8, mean_episode_reward:-2.6447222232818604, mean_queue:2.7638888359069824
intersection:9, mean_episode_reward:-2.273888349533081, mean_queue:2.3916666507720947
intersection:10, mean_episode_reward:-1.9791662693023682, mean_queue:2.0805554389953613
intersection:11, mean_episode_reward:-2.5533337593078613, mean_queue:2.6694445610046387
intersection:12, mean_episode_reward:-2.13527774810791, mean_queue:2.3138887882232666
intersection:13, mean_episode_reward:-2.242499589920044, mean_queue:2.4083333015441895
intersection:14, mean_episode_reward:-2.521110773086548, mean_queue:2.6500000953674316
intersection:15, mean_episode_reward:-2.1791672706604004, mean_queue:2.394444465637207
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:3/200, travel time :501.3862745098039, rewards:-241.739453125, queue:7.590538194444444, delay:0.145008118947347, throughput:1020
step:3600/3600, q_loss:1.4029208421707153, rewards:-32.204996744791664, queue:1.0729166666666667, delay:0.057025310728285046, throughput:1439
episode:4/200, real avg travel time:221.1917998610146
intersection:0, mean_episode_reward:-1.9083331823349, mean_queue:2.047222137451172
intersection:1, mean_episode_reward:-1.9822214841842651, mean_queue:2.105555534362793
intersection:2, mean_episode_reward:-2.3311102390289307, mean_queue:2.4555554389953613
intersection:3, mean_episode_reward:-2.084444284439087, mean_queue:2.2666666507720947
intersection:4, mean_episode_reward:-2.6375012397766113, mean_queue:2.7833333015441895
intersection:5, mean_episode_reward:-1.8341662883758545, mean_queue:1.9416667222976685
intersection:6, mean_episode_reward:-1.4394439458847046, mean_queue:1.5361111164093018
intersection:7, mean_episode_reward:-1.5630550384521484, mean_queue:1.7055555582046509
intersection:8, mean_episode_reward:-2.3366663455963135, mean_queue:2.4361112117767334
intersection:9, mean_episode_reward:-2.0550005435943604, mean_queue:2.163888931274414
intersection:10, mean_episode_reward:-1.765555500984192, mean_queue:1.8527777194976807
intersection:11, mean_episode_reward:-2.2372217178344727, mean_queue:2.3888888359069824
intersection:12, mean_episode_reward:-1.784166932106018, mean_queue:1.9666666984558105
intersection:13, mean_episode_reward:-2.438889503479004, mean_queue:2.6111111640930176
