vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
2,DEFAULT_VEHTYPE,15.0,89.0,74.0,,870.368,0.0,0.0,74.0,4.795,,,0.0,1.0,,True,completed
6,DEFAULT_VEHTYPE,39.0,122.0,83.0,,887.882,0.0,0.0,83.0,4.331,,,0.0,1.0,,True,completed
1,DEFAULT_VEHTYPE,10.0,144.0,134.0,,1491.437,0.0,0.0,134.0,7.745,,,0.0,1.0,,True,completed
7,DEFAULT_VEHTYPE,54.0,155.0,101.0,,1188.055,0.0,0.0,101.0,5.484,,,0.0,1.0,,True,completed
8,DEFAULT_VEHTYPE,58.0,156.0,98.0,,890.743,0.0,0.0,98.0,5.96,,,0.0,1.0,,True,completed
25,DEFAULT_VEHTYPE,112.0,165.0,53.0,,572.381,0.0,0.0,53.0,3.83,,,0.0,1.0,,True,completed
5,DEFAULT_VEHTYPE,37.0,169.0,132.0,,1489.538,0.0,0.0,132.0,7.431,,,0.0,1.0,,True,completed
13,DEFAULT_VEHTYPE,77.0,179.0,102.0,,1168.116,0.0,0.0,102.0,10.293,,,0.0,1.0,,True,completed
0,DEFAULT_VEHTYPE,1.0,182.0,181.0,,1744.762,0.0,0.0,181.0,13.132,,,0.0,1.0,,True,completed
16,DEFAULT_VEHTYPE,85.0,185.0,100.0,,1186.306,0.0,0.0,100.0,4.295,,,0.0,1.0,,True,completed
24,DEFAULT_VEHTYPE,111.0,199.0,88.0,,886.511,0.0,0.0,88.0,4.606,,,0.0,1.0,,True,completed
14,DEFAULT_VEHTYPE,78.0,201.0,123.0,,1152.798,0.0,0.0,123.0,10.162,,,0.0,1.0,,True,completed
19,DEFAULT_VEHTYPE,91.0,205.0,114.0,,1488.068,0.0,0.0,114.0,4.933,,,0.0,1.0,,True,completed
10,DEFAULT_VEHTYPE,63.0,206.0,143.0,,1476.92,0.0,0.0,143.0,8.883,,,0.0,1.0,,True,completed
23,DEFAULT_VEHTYPE,107.0,208.0,101.0,,1169.7,0.0,0.0,101.0,5.775,,,0.0,1.0,,True,completed
4,DEFAULT_VEHTYPE,35.0,220.0,185.0,,1744.428,0.0,0.0,185.0,13.353,,,0.0,1.0,,True,completed
20,DEFAULT_VEHTYPE,99.0,232.0,133.0,,1478.435,0.0,0.0,133.0,10.224,,,0.0,1.0,,True,completed
22,DEFAULT_VEHTYPE,105.0,239.0,134.0,,1195.352,20.0,20.0,114.0,30.415,,,0.1493,0.8507,,True,completed
31,DEFAULT_VEHTYPE,139.0,241.0,102.0,,889.869,11.0,11.0,91.0,26.568,,,0.1078,0.8922,,True,completed
