step:3600/3600, q_loss:0, rewards:-55.24555587768555, queue:1.7692707777023315, delay:0.055077165365219116, throughput:1426
episode:0/200, real avg travel time:281.5385694249649
intersection:0, mean_episode_reward:-2.6494455337524414, mean_queue:2.741666555404663
intersection:1, mean_episode_reward:-4.5202765464782715, mean_queue:4.611111164093018
intersection:2, mean_episode_reward:-5.13527774810791, mean_queue:5.22777795791626
intersection:3, mean_episode_reward:-4.366945266723633, mean_queue:4.441666603088379
intersection:4, mean_episode_reward:-3.7891666889190674, mean_queue:3.8694443702697754
intersection:5, mean_episode_reward:-2.8313894271850586, mean_queue:2.88611102104187
intersection:6, mean_episode_reward:-3.990555763244629, mean_queue:4.05555534362793
intersection:7, mean_episode_reward:-3.456944704055786, mean_queue:3.5361111164093018
intersection:8, mean_episode_reward:-2.488333225250244, mean_queue:2.5888888835906982
intersection:9, mean_episode_reward:-3.1777775287628174, mean_queue:3.269444465637207
intersection:10, mean_episode_reward:-4.774723529815674, mean_queue:4.861111164093018
intersection:11, mean_episode_reward:-3.6694447994232178, mean_queue:3.7472221851348877
intersection:12, mean_episode_reward:-4.936944007873535, mean_queue:5.008333206176758
intersection:13, mean_episode_reward:-1.9927774667739868, mean_queue:2.1277778148651123
intersection:14, mean_episode_reward:-1.837499976158142, mean_queue:1.9111111164093018
intersection:15, mean_episode_reward:-1.6280546188354492, mean_queue:1.7333333492279053
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :599.9793713163065, rewards:-284.0541687011719, queue:8.907638549804688, delay:0.1293894201517105, throughput:1018
step:3600/3600, q_loss:0, rewards:-45.31666946411133, queue:1.4606770277023315, delay:0.05448637902736664, throughput:1423
episode:1/200, real avg travel time:255.3928320449754
intersection:0, mean_episode_reward:-3.160278558731079, mean_queue:3.2527778148651123
intersection:1, mean_episode_reward:-3.7972238063812256, mean_queue:3.8805556297302246
intersection:2, mean_episode_reward:-3.1566667556762695, mean_queue:3.2361111640930176
intersection:3, mean_episode_reward:-1.5775001049041748, mean_queue:1.6666666269302368
intersection:4, mean_episode_reward:-3.917222738265991, mean_queue:4.013888835906982
intersection:5, mean_episode_reward:-3.4819447994232178, mean_queue:3.5722222328186035
intersection:6, mean_episode_reward:-2.9375, mean_queue:3.0
intersection:7, mean_episode_reward:-2.400278329849243, mean_queue:2.4861111640930176
intersection:8, mean_episode_reward:-3.281944751739502, mean_queue:3.355555534362793
intersection:9, mean_episode_reward:-2.24750018119812, mean_queue:2.3305554389953613
intersection:10, mean_episode_reward:-2.257777690887451, mean_queue:2.336111068725586
intersection:11, mean_episode_reward:-2.4133338928222656, mean_queue:2.508333444595337
intersection:12, mean_episode_reward:-1.9283331632614136, mean_queue:2.049999952316284
intersection:13, mean_episode_reward:-2.324721574783325, mean_queue:2.4194445610046387
intersection:14, mean_episode_reward:-3.456667184829712, mean_queue:3.547222137451172
intersection:15, mean_episode_reward:-2.9777777194976807, mean_queue:3.086111068725586
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:1/200, travel time :599.9793713163065, rewards:-284.0541687011719, queue:8.907638549804688, delay:0.1293894201517105, throughput:1018
step:3600/3600, q_loss:0.9136016964912415, rewards:-53.54861068725586, queue:1.7170138359069824, delay:0.05667533725500107, throughput:1441
episode:2/200, real avg travel time:278.24774462179045
intersection:0, mean_episode_reward:-3.4983327388763428, mean_queue:3.577777862548828
intersection:1, mean_episode_reward:-2.745832920074463, mean_queue:2.8583333492279053
intersection:2, mean_episode_reward:-4.231945991516113, mean_queue:4.324999809265137
intersection:3, mean_episode_reward:-3.6983344554901123, mean_queue:3.805555582046509
intersection:4, mean_episode_reward:-2.6347219944000244, mean_queue:2.7083332538604736
intersection:5, mean_episode_reward:-4.0605549812316895, mean_queue:4.14722204208374
intersection:6, mean_episode_reward:-1.5508335828781128, mean_queue:1.6277778148651123
intersection:7, mean_episode_reward:-3.120833396911621, mean_queue:3.191666603088379
intersection:8, mean_episode_reward:-5.7316670417785645, mean_queue:5.824999809265137
intersection:9, mean_episode_reward:-3.061666488647461, mean_queue:3.125
intersection:10, mean_episode_reward:-3.127500057220459, mean_queue:3.1777777671813965
intersection:11, mean_episode_reward:-6.193334102630615, mean_queue:6.269444465637207
intersection:12, mean_episode_reward:-1.9374998807907104, mean_queue:2.047222137451172
intersection:13, mean_episode_reward:-2.8838891983032227, mean_queue:2.9749999046325684
intersection:14, mean_episode_reward:-3.2958340644836426, mean_queue:3.3972222805023193
intersection:15, mean_episode_reward:-1.775833010673523, mean_queue:1.8861111402511597
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:2/200, travel time :178.2314107018763, rewards:-13.01361083984375, queue:0.4224826395511627, delay:0.026633260771632195, throughput:1439
step:3600/3600, q_loss:1.7221781015396118, rewards:-58.02583694458008, queue:1.855381965637207, delay:0.038158759474754333, throughput:1421
episode:3/200, real avg travel time:310.3033075299085
intersection:0, mean_episode_reward:-0.9524998068809509, mean_queue:1.0694444179534912
intersection:1, mean_episode_reward:-0.9183333516120911, mean_queue:0.9861111044883728
intersection:2, mean_episode_reward:-0.9441664218902588, mean_queue:1.0083333253860474
intersection:3, mean_episode_reward:-0.9308332800865173, mean_queue:1.024999976158142
intersection:4, mean_episode_reward:-1.3919442892074585, mean_queue:1.4777777194976807
intersection:5, mean_episode_reward:-1.1547223329544067, mean_queue:1.2388888597488403
intersection:6, mean_episode_reward:-0.8658331036567688, mean_queue:0.9333333373069763
intersection:7, mean_episode_reward:-0.7438886761665344, mean_queue:0.8222222328186035
intersection:8, mean_episode_reward:-43.605552673339844, mean_queue:43.68888854980469
intersection:9, mean_episode_reward:-1.100000023841858, mean_queue:1.1861110925674438
