step:3600/3600, q_loss:0, rewards:-49.42694769965278, queue:1.6098958333333333, delay:0.06459294425116645, throughput:1430
episode:0/200, real avg travel time:259.42797202797203
intersection:0, mean_episode_reward:-2.9391658306121826, mean_queue:3.058333396911621
intersection:1, mean_episode_reward:-2.796945333480835, mean_queue:2.930555582046509
intersection:2, mean_episode_reward:-4.04500150680542, mean_queue:4.166666507720947
intersection:3, mean_episode_reward:-3.343334674835205, mean_queue:3.5055556297302246
intersection:4, mean_episode_reward:-2.625555992126465, mean_queue:2.7527778148651123
intersection:5, mean_episode_reward:-2.64194393157959, mean_queue:2.7361111640930176
intersection:6, mean_episode_reward:-2.8741674423217773, mean_queue:3.0166666507720947
intersection:7, mean_episode_reward:-2.4211111068725586, mean_queue:2.5444445610046387
intersection:8, mean_episode_reward:-3.568890333175659, mean_queue:3.702777862548828
intersection:9, mean_episode_reward:-3.246943950653076, mean_queue:3.344444513320923
intersection:10, mean_episode_reward:-2.8036105632781982, mean_queue:2.9111111164093018
intersection:11, mean_episode_reward:-3.316667079925537, mean_queue:3.4472222328186035
intersection:12, mean_episode_reward:-4.084166049957275, mean_queue:4.236111164093018
intersection:13, mean_episode_reward:-3.7269442081451416, mean_queue:3.8805556297302246
intersection:14, mean_episode_reward:-2.440000534057617, mean_queue:2.5416667461395264
intersection:15, mean_episode_reward:-2.5525004863739014, mean_queue:2.741666555404663
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
