step:1200/1200, q_loss:0, rewards:-24.083333333333332, queue:0.80390625, delay:0.04247799714406331, throughput:247
episode:0/100, real avg travel time:222.52226720647772
intersection:0, mean_episode_reward:-1.7766667604446411, mean_queue:1.8833333253860474
intersection:1, mean_episode_reward:-2.257499933242798, mean_queue:2.3416666984558105
intersection:2, mean_episode_reward:-1.9541665315628052, mean_queue:2.066666603088379
intersection:3, mean_episode_reward:-1.3283333778381348, mean_queue:1.4583333730697632
intersection:4, mean_episode_reward:-0.9966667890548706, mean_queue:1.0750000476837158
intersection:5, mean_episode_reward:-1.147499918937683, mean_queue:1.2333333492279053
intersection:6, mean_episode_reward:-1.4541665315628052, mean_queue:1.5666667222976685
intersection:7, mean_episode_reward:-1.8208332061767578, mean_queue:1.9583333730697632
intersection:8, mean_episode_reward:-1.9166663885116577, mean_queue:2.0250000953674316
intersection:9, mean_episode_reward:-1.7641665935516357, mean_queue:1.8416666984558105
intersection:10, mean_episode_reward:-1.18583345413208, mean_queue:1.25
intersection:11, mean_episode_reward:-1.0816668272018433, mean_queue:1.1749999523162842
intersection:12, mean_episode_reward:-1.194166660308838, mean_queue:1.3250000476837158
intersection:13, mean_episode_reward:-1.4091665744781494, mean_queue:1.5083333253860474
intersection:14, mean_episode_reward:-1.084999918937683, mean_queue:1.1583333015441895
intersection:15, mean_episode_reward:-1.7108334302902222, mean_queue:1.8583333492279053
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
HELDOUT episode:0/100, demand:raw_data/grid4x4/demand_bag/hold_00.rou.xml, travel time:327.1294117647059, rewards:-98.210009765625, queue:3.0966145833333334, delay:0.10466670195261638, throughput:85
HELDOUT episode:0/100, demand:raw_data/grid4x4/demand_bag/hold_01.rou.xml, travel time:304.0857142857143, rewards:-90.275830078125, queue:2.845833333333333, delay:0.09633229573567709, throughput:105
HELDOUT episode:0/100, demand:raw_data/grid4x4/demand_bag/hold_02.rou.xml, travel time:335.4623655913978, rewards:-101.30415852864583, queue:3.1919270833333333, delay:0.10442959467569987, throughput:93
HELDOUT_MEAN episode:0/100, travel time:322.22583054727266 (n=3)
step:1200/1200, q_loss:0, rewards:-24.27750040690104, queue:0.8096354166666667, delay:0.04441107114156087, throughput:245
episode:1/100, real avg travel time:226.0734693877551
intersection:0, mean_episode_reward:-1.497499704360962, mean_queue:1.625
intersection:1, mean_episode_reward:-1.5083332061767578, mean_queue:1.5666667222976685
intersection:2, mean_episode_reward:-2.499166250228882, mean_queue:2.616666555404663
intersection:3, mean_episode_reward:-1.622499942779541, mean_queue:1.75
intersection:4, mean_episode_reward:-1.6950000524520874, mean_queue:1.7666666507720947
intersection:5, mean_episode_reward:-1.3316668272018433, mean_queue:1.375
intersection:6, mean_episode_reward:-1.7183338403701782, mean_queue:1.8416666984558105
intersection:7, mean_episode_reward:-1.1133332252502441, mean_queue:1.2583333253860474
intersection:8, mean_episode_reward:-1.541667103767395, mean_queue:1.625
intersection:9, mean_episode_reward:-1.5074998140335083, mean_queue:1.6083333492279053
intersection:10, mean_episode_reward:-0.9283334016799927, mean_queue:1.0
intersection:11, mean_episode_reward:-1.5850002765655518, mean_queue:1.6749999523162842
intersection:12, mean_episode_reward:-1.0383334159851074, mean_queue:1.1333333253860474
intersection:13, mean_episode_reward:-1.5008333921432495, mean_queue:1.625
intersection:14, mean_episode_reward:-1.5908336639404297, mean_queue:1.6916667222976685
intersection:15, mean_episode_reward:-1.5991663932800293, mean_queue:1.75
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
step:1200/1200, q_loss:0, rewards:-24.72750040690104, queue:0.8236979166666667, delay:0.04505824645360311, throughput:243
episode:2/100, real avg travel time:222.1769547325103
intersection:0, mean_episode_reward:-1.4508334398269653, mean_queue:1.5583332777023315
intersection:1, mean_episode_reward:-1.8341667652130127, mean_queue:1.9333332777023315
intersection:2, mean_episode_reward:-2.009999990463257, mean_queue:2.0999999046325684
intersection:3, mean_episode_reward:-1.9466665983200073, mean_queue:2.075000047683716
intersection:4, mean_episode_reward:-1.5116668939590454, mean_queue:1.625
intersection:5, mean_episode_reward:-1.3241667747497559, mean_queue:1.3916666507720947
intersection:6, mean_episode_reward:-1.6808335781097412, mean_queue:1.7583333253860474
intersection:7, mean_episode_reward:-1.683333158493042, mean_queue:1.8083332777023315
intersection:8, mean_episode_reward:-1.2666667699813843, mean_queue:1.375
intersection:9, mean_episode_reward:-1.5174998044967651, mean_queue:1.5833333730697632
intersection:10, mean_episode_reward:-1.2366667985916138, mean_queue:1.3166667222976685
intersection:11, mean_episode_reward:-1.788333535194397, mean_queue:1.899999976158142
intersection:12, mean_episode_reward:-0.9449999928474426, mean_queue:1.0499999523162842
intersection:13, mean_episode_reward:-1.448333501815796, mean_queue:1.600000023841858
intersection:14, mean_episode_reward:-1.309999942779541, mean_queue:1.399999976158142
intersection:15, mean_episode_reward:-1.773333191871643, mean_queue:1.8833333253860474
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
step:1200/1200, q_loss:0, rewards:-23.115000406901043, queue:0.7716145833333333, delay:0.04108610153198242, throughput:251
episode:3/100, real avg travel time:219.20318725099602
intersection:0, mean_episode_reward:-1.5800000429153442, mean_queue:1.649999976158142
intersection:1, mean_episode_reward:-1.8424996137619019, mean_queue:1.9249999523162842
intersection:2, mean_episode_reward:-1.7283332347869873, mean_queue:1.8583333492279053
intersection:3, mean_episode_reward:-1.221666693687439, mean_queue:1.3583333492279053
intersection:4, mean_episode_reward:-1.5425002574920654, mean_queue:1.6333333253860474
intersection:5, mean_episode_reward:-1.8599998950958252, mean_queue:1.9416667222976685
intersection:6, mean_episode_reward:-1.4083333015441895, mean_queue:1.475000023841858
intersection:7, mean_episode_reward:-1.130833387374878, mean_queue:1.25
intersection:8, mean_episode_reward:-1.6075001955032349, mean_queue:1.7083333730697632
intersection:9, mean_episode_reward:-1.4858332872390747, mean_queue:1.5750000476837158
intersection:10, mean_episode_reward:-1.0416667461395264, mean_queue:1.0916666984558105
intersection:11, mean_episode_reward:-1.4024999141693115, mean_queue:1.4916666746139526
intersection:12, mean_episode_reward:-1.0674999952316284, mean_queue:1.149999976158142
intersection:13, mean_episode_reward:-1.4316667318344116, mean_queue:1.5750000476837158
intersection:14, mean_episode_reward:-0.9216667413711548, mean_queue:1.0166666507720947
intersection:15, mean_episode_reward:-1.8424999713897705, mean_queue:1.9916666746139526
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
step:1200/1200, q_loss:0, rewards:-24.426668294270833, queue:0.8114583333333333, delay:0.04164037704467773, throughput:244
episode:4/100, real avg travel time:218.9344262295082
intersection:0, mean_episode_reward:-1.3974997997283936, mean_queue:1.524999976158142
intersection:1, mean_episode_reward:-1.6175001859664917, mean_queue:1.7166666984558105
intersection:2, mean_episode_reward:-2.362499952316284, mean_queue:2.5166666507720947
intersection:3, mean_episode_reward:-1.164166808128357, mean_queue:1.2833333015441895
intersection:4, mean_episode_reward:-1.7416669130325317, mean_queue:1.7916666269302368
intersection:5, mean_episode_reward:-1.4441665410995483, mean_queue:1.5083333253860474
intersection:6, mean_episode_reward:-2.179166316986084, mean_queue:2.2666666507720947
intersection:7, mean_episode_reward:-0.9658333659172058, mean_queue:1.0583332777023315
intersection:8, mean_episode_reward:-1.7983334064483643, mean_queue:1.8833333253860474
intersection:9, mean_episode_reward:-1.915000319480896, mean_queue:2.008333444595337
intersection:10, mean_episode_reward:-1.3008333444595337, mean_queue:1.3416666984558105
intersection:11, mean_episode_reward:-1.4724997282028198, mean_queue:1.5916666984558105
intersection:12, mean_episode_reward:-1.34250009059906, mean_queue:1.4166666269302368
intersection:13, mean_episode_reward:-1.2425000667572021, mean_queue:1.3416666984558105
intersection:14, mean_episode_reward:-1.1533334255218506, mean_queue:1.2416666746139526
intersection:15, mean_episode_reward:-1.3291667699813843, mean_queue:1.475000023841858
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
step:1200/1200, q_loss:0, rewards:-23.80916748046875, queue:0.7955729166666666, delay:0.04313302437464396, throughput:246
episode:5/100, real avg travel time:221.4268292682927
intersection:0, mean_episode_reward:-1.525833249092102, mean_queue:1.649999976158142
intersection:1, mean_episode_reward:-1.5049999952316284, mean_queue:1.6083333492279053
intersection:2, mean_episode_reward:-2.204166889190674, mean_queue:2.325000047683716
intersection:3, mean_episode_reward:-1.6583331823349, mean_queue:1.7583333253860474
intersection:4, mean_episode_reward:-1.2333333492279053, mean_queue:1.3166667222976685
intersection:5, mean_episode_reward:-1.4183332920074463, mean_queue:1.5083333253860474
intersection:6, mean_episode_reward:-2.0500001907348633, mean_queue:2.1416666507720947
intersection:7, mean_episode_reward:-1.3483332395553589, mean_queue:1.4666666984558105
intersection:8, mean_episode_reward:-2.049166679382324, mean_queue:2.1416666507720947
intersection:9, mean_episode_reward:-1.3791663646697998, mean_queue:1.4166666269302368
intersection:10, mean_episode_reward:-1.4633336067199707, mean_queue:1.5416666269302368
intersection:11, mean_episode_reward:-1.315833568572998, mean_queue:1.4083333015441895
intersection:12, mean_episode_reward:-1.058333396911621, mean_queue:1.1666666269302368
intersection:13, mean_episode_reward:-1.2241668701171875, mean_queue:1.375
intersection:14, mean_episode_reward:-1.1524999141693115, mean_queue:1.2416666746139526
intersection:15, mean_episode_reward:-1.2233332395553589, mean_queue:1.3916666507720947
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
step:1200/1200, q_loss:0, rewards:-22.741666666666667, queue:0.7671875, delay:0.043481723467508955, throughput:239
episode:6/100, real avg travel time:211.52301255230125
intersection:0, mean_episode_reward:-1.2341667413711548, mean_queue:1.4166666269302368
intersection:1, mean_episode_reward:-1.4883333444595337, mean_queue:1.5750000476837158
intersection:2, mean_episode_reward:-1.5541669130325317, mean_queue:1.7083333730697632
intersection:3, mean_episode_reward:-1.2333333492279053, mean_queue:1.350000023841858
intersection:4, mean_episode_reward:-1.8008331060409546, mean_queue:1.875
intersection:5, mean_episode_reward:-1.1441667079925537, mean_queue:1.2666666507720947
intersection:6, mean_episode_reward:-1.2324999570846558, mean_queue:1.3250000476837158
intersection:7, mean_episode_reward:-1.3925000429153442, mean_queue:1.5083333253860474
intersection:8, mean_episode_reward:-2.3525002002716064, mean_queue:2.4666666984558105
intersection:9, mean_episode_reward:-1.2616665363311768, mean_queue:1.350000023841858
intersection:10, mean_episode_reward:-1.4950000047683716, mean_queue:1.5666667222976685
intersection:11, mean_episode_reward:-1.4900001287460327, mean_queue:1.5833333730697632
intersection:12, mean_episode_reward:-1.469166874885559, mean_queue:1.5750000476837158
intersection:13, mean_episode_reward:-1.2000001668930054, mean_queue:1.3250000476837158
intersection:14, mean_episode_reward:-1.1200000047683716, mean_queue:1.2416666746139526
intersection:15, mean_episode_reward:-1.2733334302902222, mean_queue:1.4166666269302368
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
