vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
10,pkw,14.0,72.0,58.0,,408.245,1.0,2.0,56.0,8.789,,,0.0345,0.9655,,True,completed
16,pkw,24.0,101.0,77.0,,783.066,0.0,0.0,77.0,5.523,,,0.0,1.0,,True,completed
13,pkw,20.0,104.0,84.0,,739.451,7.0,7.0,77.0,16.449,,,0.0833,0.9167,,True,completed
41,pkw,74.0,120.0,46.0,,380.978,0.0,0.0,46.0,2.983,,,0.0,1.0,,True,completed
26,pkw,44.0,162.0,118.0,,1036.945,0.0,0.0,118.0,10.78,,,0.0,1.0,,True,completed
40,pkw,70.0,174.0,104.0,,986.26,0.0,0.0,104.0,5.899,,,0.0,1.0,,True,completed
6,pkw,13.0,176.0,163.0,,1609.409,3.0,3.0,160.0,17.152,,,0.0184,0.9816,,True,completed
2,pkw,2.0,177.0,175.0,,1589.663,0.0,9.0,166.0,24.5,,,0.0514,0.9486,,True,completed
5,pkw,5.0,183.0,178.0,,1583.982,0.0,7.0,171.0,27.446,,,0.0393,0.9607,,True,completed
34,pkw,55.0,192.0,137.0,,1348.47,0.0,0.0,137.0,11.209,,,0.0,1.0,,True,completed
0,pkw,2.0,219.0,217.0,,2133.626,1.0,1.0,216.0,19.647,,,0.0046,0.9954,,True,completed
50,pkw,91.0,219.0,128.0,,1056.08,6.0,6.0,122.0,21.917,,,0.0469,0.9531,,True,completed
31,pkw,51.0,230.0,179.0,,599.285,61.0,108.0,71.0,123.674,,,0.6034,0.3966,,True,completed
8,pkw,9.0,246.0,237.0,,1657.068,0.0,18.0,219.0,37.938,,,0.0759,0.9241,,True,completed
73,pkw,130.0,248.0,118.0,,1099.334,0.0,0.0,118.0,8.686,,,0.0,1.0,,True,completed
81,pkw,144.0,266.0,122.0,,1268.832,0.0,0.0,122.0,5.984,,,0.0,1.0,,True,completed
23,pkw,36.0,267.0,231.0,,1919.063,31.0,31.0,200.0,51.943,,,0.1342,0.8658,,True,completed
39,pkw,67.0,272.0,205.0,,1974.121,2.0,6.0,199.0,23.41,,,0.0293,0.9707,,True,completed
52,pkw,93.0,272.0,179.0,,1688.656,12.0,12.0,167.0,24.411,,,0.067,0.933,,True,completed
18,pkw,30.0,274.0,244.0,,1803.952,0.0,62.0,182.0,79.41,,,0.2541,0.7459,,True,completed
75,pkw,136.0,292.0,156.0,,1522.679,0.0,0.0,156.0,13.833,,,0.0,1.0,,True,completed
32,pkw,52.0,293.0,241.0,,1692.281,0.0,10.0,231.0,31.398,,,0.0415,0.9585,,True,completed
33,pkw,54.0,300.0,246.0,,2299.209,0.0,0.0,246.0,20.731,,,0.0,1.0,,True,completed
103,pkw,196.0,301.0,105.0,,883.392,0.0,0.0,105.0,18.682,,,0.0,1.0,,True,completed
115,pkw,224.0,305.0,81.0,,743.176,0.0,0.0,81.0,5.331,,,0.0,1.0,,True,completed
91,pkw,173.0,313.0,140.0,,1282.805,0.0,0.0,140.0,13.112,,,0.0,1.0,,True,completed
60,pkw,103.0,315.0,212.0,,888.394,88.0,88.0,124.0,103.071,,,0.4151,0.5849,,True,completed
137,pkw,261.0,316.0,55.0,,528.135,0.0,0.0,55.0,5.678,,,0.0,1.0,,True,completed
45,pkw,84.0,317.0,233.0,,1407.276,77.0,77.0,156.0,92.905,,,0.3305,0.6695,,True,completed
58,pkw,100.0,318.0,218.0,,1592.676,57.0,57.0,161.0,72.268,,,0.2615,0.7385,,True,completed
14,pkw,21.0,320.0,299.0,,2357.617,49.0,49.0,250.0,73.057,,,0.1639,0.8361,,True,completed
120,pkw,237.0,322.0,85.0,,849.913,0.0,0.0,85.0,7.016,,,0.0,1.0,,True,completed
110,pkw,212.0,323.0,111.0,,643.549,25.0,25.0,86.0,37.753,,,0.2252,0.7748,,True,completed
85,pkw,152.0,324.0,172.0,,741.731,87.0,96.0,76.0,104.244,,,0.5581,0.4419,,True,completed
54,pkw,96.0,328.0,232.0,,2409.21,0.0,0.0,232.0,13.873,,,0.0,1.0,,True,completed
138,pkw,262.0,332.0,70.0,,661.24,0.0,0.0,70.0,3.844,,,0.0,1.0,,True,completed
56,pkw,98.0,338.0,240.0,,2129.327,0.0,0.0,240.0,19.923,,,0.0,1.0,,True,completed
112,pkw,216.0,340.0,124.0,,1231.835,0.0,0.0,124.0,10.176,,,0.0,1.0,,True,completed
163,pkw,307.0,350.0,43.0,,440.805,0.0,0.0,43.0,2.209,,,0.0,1.0,,True,completed
79,pkw,140.0,350.0,210.0,,1274.505,45.0,70.0,140.0,81.844,,,0.3333,0.6667,,True,completed
108,pkw,209.0,351.0,142.0,,1389.235,0.0,0.0,142.0,10.516,,,0.0,1.0,,True,completed
118,pkw,232.0,358.0,126.0,,1019.192,0.0,0.0,126.0,10.48,,,0.0,1.0,,True,completed
65,pkw,114.0,361.0,247.0,,1435.283,32.0,99.0,148.0,112.053,,,0.4008,0.5992,,True,completed
83,pkw,149.0,365.0,216.0,,1824.969,2.0,2.0,214.0,28.976,,,0.0093,0.9907,,True,completed
27,pkw,46.0,371.0,325.0,,1799.419,26.0,130.0,195.0,152.303,,,0.4,0.6,,True,completed
30,pkw,51.0,373.0,322.0,,2153.322,23.0,94.0,228.0,118.587,,,0.2919,0.7081,,True,completed
151,pkw,291.0,377.0,86.0,,834.051,1.0,1.0,85.0,9.859,,,0.0116,0.9884,,True,completed
186,pkw,333.0,377.0,44.0,,441.078,0.0,0.0,44.0,3.303,,,0.0,1.0,,True,completed
88,pkw,166.0,377.0,211.0,,1826.149,19.0,19.0,192.0,36.409,,,0.09,0.91,,True,completed
164,pkw,309.0,380.0,71.0,,730.02,0.0,0.0,71.0,3.566,,,0.0,1.0,,True,completed
143,pkw,276.0,385.0,109.0,,1144.338,0.0,0.0,109.0,5.009,,,0.0,1.0,,True,completed
126,pkw,241.0,390.0,149.0,,1320.499,12.0,12.0,137.0,26.639,,,0.0805,0.9195,,True,completed
175,pkw,320.0,391.0,71.0,,738.107,0.0,0.0,71.0,3.57,,,0.0,1.0,,True,completed
136,pkw,296.0,402.0,106.0,,907.444,0.0,0.0,106.0,16.562,,,0.0,1.0,,True,completed
147,pkw,286.0,408.0,122.0,,1214.236,0.0,0.0,122.0,7.886,,,0.0,1.0,,True,completed
28,pkw,49.0,409.0,360.0,,1581.577,2.0,199.0,161.0,216.323,,,0.5528,0.4472,,True,completed
86,pkw,154.0,412.0,258.0,,2301.154,0.0,21.0,237.0,47.937,,,0.0814,0.9186,,True,completed
76,pkw,136.0,413.0,277.0,,2633.579,15.0,15.0,262.0,37.604,,,0.0542,0.9458,,True,completed
121,pkw,239.0,415.0,176.0,,1491.76,0.0,3.0,173.0,19.727,,,0.017,0.983,,True,completed
214,pkw,374.0,422.0,48.0,,380.528,0.0,0.0,48.0,3.705,,,0.0,1.0,,True,completed
141,pkw,265.0,424.0,159.0,,1633.809,0.0,0.0,159.0,10.23,,,0.0,1.0,,True,completed
111,pkw,216.0,425.0,209.0,,1859.196,8.0,8.0,201.0,23.762,,,0.0383,0.9617,,True,completed
66,pkw,117.0,426.0,309.0,,2445.188,0.0,45.0,264.0,79.737,,,0.1456,0.8544,,True,completed
206,pkw,359.0,429.0,70.0,,660.797,0.0,0.0,70.0,6.289,,,0.0,1.0,,True,completed
71,pkw,128.0,439.0,311.0,,2101.59,0.0,81.0,230.0,107.859,,,0.2605,0.7395,,True,completed
172,pkw,318.0,444.0,126.0,,1270.324,0.0,0.0,126.0,10.161,,,0.0,1.0,,True,completed
153,pkw,294.0,449.0,155.0,,1168.881,0.0,26.0,129.0,48.8,,,0.1677,0.8323,,True,completed
198,pkw,349.0,455.0,106.0,,755.493,16.0,16.0,90.0,35.77,,,0.1509,0.8491,,True,completed
46,pkw,84.0,464.0,380.0,,1596.511,18.0,192.0,188.0,222.689,,,0.5053,0.4947,,True,completed
146,pkw,279.0,465.0,186.0,,1795.315,0.0,0.0,186.0,13.848,,,0.0,1.0,,True,completed
4,pkw,5.0,465.0,460.0,,1539.309,48.0,300.0,160.0,313.134,,,0.6522,0.3478,,True,completed
213,pkw,370.0,476.0,106.0,,989.709,0.0,0.0,106.0,6.197,,,0.0,1.0,,True,completed
3,pkw,3.0,480.0,477.0,,1493.385,35.0,321.0,156.0,339.189,,,0.673,0.327,,True,completed
210,pkw,368.0,487.0,119.0,,925.94,19.0,19.0,100.0,33.923,,,0.1597,0.8403,,True,completed
167,pkw,313.0,494.0,181.0,,1483.389,26.0,26.0,155.0,45.886,,,0.1436,0.8564,,True,completed
99,pkw,187.0,500.0,313.0,,1913.732,5.0,75.0,238.0,107.853,,,0.2396,0.7604,,True,completed
194,pkw,421.0,503.0,82.0,,786.344,0.0,0.0,82.0,8.879,,,0.0,1.0,,True,completed
249,pkw,428.0,503.0,75.0,,739.722,0.0,0.0,75.0,6.415,,,0.0,1.0,,True,completed
227,pkw,391.0,504.0,113.0,,1062.34,0.0,0.0,113.0,9.313,,,0.0,1.0,,True,completed
250,pkw,429.0,507.0,78.0,,815.557,0.0,0.0,78.0,3.583,,,0.0,1.0,,True,completed
47,pkw,85.0,507.0,422.0,,1227.592,0.0,300.0,122.0,310.068,,,0.7109,0.2891,,True,completed
169,pkw,314.0,511.0,197.0,,1002.112,0.0,82.0,115.0,99.203,,,0.4162,0.5838,,True,completed
193,pkw,420.0,517.0,97.0,,786.046,3.0,3.0,94.0,24.05,,,0.0309,0.9691,,True,completed
286,pkw,468.0,518.0,50.0,,450.333,2.0,2.0,48.0,8.47,,,0.04,0.96,,True,completed
238,pkw,408.0,529.0,121.0,,1114.916,2.0,2.0,119.0,18.298,,,0.0165,0.9835,,True,completed
188,pkw,335.0,530.0,195.0,,1806.128,16.0,16.0,179.0,30.499,,,0.0821,0.9179,,True,completed
245,pkw,422.0,538.0,116.0,,903.84,1.0,1.0,115.0,25.814,,,0.0086,0.9914,,True,completed
256,pkw,436.0,540.0,104.0,,974.634,0.0,0.0,104.0,10.176,,,0.0,1.0,,True,completed
339,pkw,532.0,540.0,8.0,,72.577,0.0,0.0,8.0,0.468,,,0.0,1.0,,True,completed
129,pkw,245.0,546.0,301.0,,2361.925,1.0,58.0,243.0,86.035,,,0.1927,0.8073,,True,completed
182,pkw,328.0,549.0,221.0,,2216.81,0.0,0.0,221.0,15.389,,,0.0,1.0,,True,completed
185,pkw,416.0,557.0,141.0,,1460.259,0.0,0.0,141.0,8.575,,,0.0,1.0,,True,completed
37,pkw,65.0,563.0,498.0,,1830.29,0.0,277.0,221.0,311.704,,,0.5562,0.4438,,True,completed
264,pkw,444.0,569.0,125.0,,1269.566,0.0,0.0,125.0,8.85,,,0.0,1.0,,True,completed
266,pkw,445.0,569.0,124.0,,880.772,26.0,32.0,92.0,43.73,,,0.2581,0.7419,,True,completed
364,pkw,556.0,571.0,15.0,,146.857,0.0,0.0,15.0,0.583,,,0.0,1.0,,True,completed
259,pkw,438.0,575.0,137.0,,1105.517,3.0,3.0,134.0,14.485,,,0.0219,0.9781,,True,completed
150,pkw,298.0,581.0,283.0,,2610.861,7.0,7.0,276.0,41.046,,,0.0247,0.9753,,True,completed
154,pkw,299.0,582.0,283.0,,2958.454,0.0,0.0,283.0,14.165,,,0.0,1.0,,True,completed
294,pkw,480.0,584.0,104.0,,840.574,0.0,0.0,104.0,7.72,,,0.0,1.0,,True,completed
243,pkw,417.0,585.0,168.0,,1520.37,0.0,5.0,163.0,24.41,,,0.0298,0.9702,,True,completed
332,pkw,516.0,587.0,71.0,,475.802,15.0,15.0,56.0,27.177,,,0.2113,0.7887,,True,completed
333,pkw,516.0,587.0,71.0,,459.789,21.0,21.0,50.0,28.103,,,0.2958,0.7042,,True,completed
176,pkw,320.0,590.0,270.0,,2541.329,0.0,9.0,261.0,30.431,,,0.0333,0.9667,,True,completed
258,pkw,439.0,598.0,159.0,,1521.356,0.0,0.0,159.0,13.439,,,0.0,1.0,,True,completed
202,pkw,352.0,599.0,247.0,,1791.275,0.0,0.0,247.0,23.264,,,0.0,1.0,,True,completed
252,pkw,430.0,601.0,171.0,,1524.306,5.0,8.0,163.0,28.279,,,0.0468,0.9532,,True,completed
336,pkw,524.0,604.0,80.0,,747.797,0.0,0.0,80.0,4.773,,,0.0,1.0,,True,completed
203,pkw,354.0,613.0,259.0,,2303.616,0.0,0.0,259.0,24.954,,,0.0,1.0,,True,completed
313,pkw,498.0,613.0,115.0,,1010.304,0.0,0.0,115.0,11.014,,,0.0,1.0,,True,completed
232,pkw,400.0,617.0,217.0,,1868.188,2.0,20.0,197.0,45.775,,,0.0922,0.9078,,True,completed
344,pkw,537.0,620.0,83.0,,873.053,0.0,0.0,83.0,3.424,,,0.0,1.0,,True,completed
165,pkw,309.0,622.0,313.0,,2583.872,7.0,8.0,305.0,38.897,,,0.0256,0.9744,,True,completed
265,pkw,444.0,623.0,179.0,,1492.224,0.0,14.0,165.0,32.66,,,0.0782,0.9218,,True,completed
369,pkw,562.0,631.0,69.0,,661.748,0.0,0.0,69.0,4.438,,,0.0,1.0,,True,completed
233,pkw,401.0,632.0,231.0,,2260.524,0.0,0.0,231.0,25.559,,,0.0,1.0,,True,completed
422,pkw,613.0,633.0,20.0,,195.401,0.0,0.0,20.0,1.414,,,0.0,1.0,,True,completed
117,pkw,231.0,640.0,409.0,,487.59,100.0,348.0,61.0,363.898,,,0.8509,0.1491,,True,completed
272,pkw,449.0,643.0,194.0,,1821.6,0.0,0.0,194.0,17.842,,,0.0,1.0,,True,completed
262,pkw,442.0,645.0,203.0,,1175.054,71.0,71.0,132.0,86.297,,,0.3498,0.6502,,True,completed
311,pkw,496.0,648.0,152.0,,1493.267,0.0,0.0,152.0,10.277,,,0.0,1.0,,True,completed
280,pkw,458.0,665.0,207.0,,1837.745,0.0,0.0,207.0,20.93,,,0.0,1.0,,True,completed
296,pkw,481.0,666.0,185.0,,1834.812,0.0,0.0,185.0,18.174,,,0.0,1.0,,True,completed
130,pkw,245.0,668.0,423.0,,1900.104,93.0,209.0,214.0,240.718,,,0.4941,0.5059,,True,completed
224,pkw,390.0,668.0,278.0,,1988.627,0.0,76.0,202.0,97.342,,,0.2734,0.7266,,True,completed
149,pkw,290.0,670.0,380.0,,2579.62,0.0,117.0,263.0,145.197,,,0.3079,0.6921,,True,completed
340,pkw,532.0,670.0,138.0,,1397.402,1.0,1.0,137.0,11.233,,,0.0072,0.9928,,True,completed
279,pkw,454.0,671.0,217.0,,1654.154,0.0,13.0,204.0,33.402,,,0.0599,0.9401,,True,completed
489,pkw,658.0,672.0,14.0,,126.488,0.0,0.0,14.0,1.164,,,0.0,1.0,,True,completed
412,pkw,609.0,680.0,71.0,,729.28,0.0,0.0,71.0,3.98,,,0.0,1.0,,True,completed
242,pkw,416.0,683.0,267.0,,1765.494,0.0,83.0,184.0,103.176,,,0.3109,0.6891,,True,completed
248,pkw,428.0,685.0,257.0,,2053.987,0.0,49.0,208.0,69.277,,,0.1907,0.8093,,True,completed
397,pkw,602.0,685.0,83.0,,781.895,1.0,1.0,82.0,11.129,,,0.012,0.988,,True,completed
346,pkw,539.0,695.0,156.0,,1586.597,0.0,0.0,156.0,12.205,,,0.0,1.0,,True,completed
235,pkw,403.0,697.0,294.0,,1327.375,96.0,145.0,149.0,166.887,,,0.4932,0.5068,,True,completed
87,pkw,165.0,699.0,534.0,,1629.505,93.0,353.0,181.0,381.822,,,0.661,0.339,,True,completed
325,pkw,512.0,703.0,191.0,,647.247,91.0,105.0,86.0,117.682,,,0.5497,0.4503,,True,completed
275,pkw,452.0,704.0,252.0,,740.429,87.0,171.0,81.0,184.361,,,0.6786,0.3214,,True,completed
536,pkw,691.0,704.0,13.0,,125.321,0.0,0.0,13.0,0.721,,,0.0,1.0,,True,completed
324,pkw,509.0,705.0,196.0,,1389.437,43.0,43.0,153.0,65.177,,,0.2194,0.7806,,True,completed
357,pkw,547.0,706.0,159.0,,1524.491,0.0,0.0,159.0,14.7,,,0.0,1.0,,True,completed
354,pkw,544.0,707.0,163.0,,1036.954,41.0,41.0,122.0,60.347,,,0.2515,0.7485,,True,completed
106,pkw,202.0,708.0,506.0,,1484.275,85.0,342.0,164.0,370.716,,,0.6759,0.3241,,True,completed
168,pkw,313.0,708.0,395.0,,2119.927,75.0,159.0,236.0,200.127,,,0.4025,0.5975,,True,completed
310,pkw,495.0,708.0,213.0,,1932.4,0.0,6.0,207.0,21.093,,,0.0282,0.9718,,True,completed
17,pkw,27.0,710.0,683.0,,2789.916,1.0,376.0,307.0,410.985,,,0.5505,0.4495,,True,completed
314,pkw,498.0,710.0,212.0,,1869.638,7.0,12.0,200.0,35.696,,,0.0566,0.9434,,True,completed
508,pkw,672.0,714.0,42.0,,436.333,0.0,0.0,42.0,1.73,,,0.0,1.0,,True,completed
511,pkw,674.0,715.0,41.0,,375.577,0.0,0.0,41.0,3.284,,,0.0,1.0,,True,completed
305,pkw,489.0,716.0,227.0,,1685.398,15.0,58.0,169.0,73.581,,,0.2555,0.7445,,True,completed
435,pkw,620.0,719.0,99.0,,734.45,18.0,18.0,81.0,30.864,,,0.1818,0.8182,,True,completed
125,pkw,240.0,720.0,480.0,,1358.121,98.0,337.0,143.0,353.984,,,0.7021,0.2979,,True,completed
411,pkw,608.0,722.0,114.0,,814.386,20.0,20.0,94.0,29.847,,,0.1754,0.8246,,True,completed
423,pkw,614.0,722.0,108.0,,1022.573,5.0,5.0,103.0,14.512,,,0.0463,0.9537,,True,completed
67,pkw,117.0,723.0,606.0,,2317.6,95.0,372.0,234.0,393.444,,,0.6139,0.3861,,True,completed
468,pkw,639.0,726.0,87.0,,855.772,0.0,0.0,87.0,7.643,,,0.0,1.0,,True,completed
370,pkw,563.0,728.0,165.0,,1683.599,1.0,1.0,164.0,12.475,,,0.0061,0.9939,,True,completed
396,pkw,601.0,728.0,127.0,,1270.553,0.0,0.0,127.0,10.632,,,0.0,1.0,,True,completed
379,pkw,576.0,729.0,153.0,,1589.363,0.0,0.0,153.0,8.559,,,0.0,1.0,,True,completed
469,pkw,640.0,729.0,89.0,,858.871,0.0,0.0,89.0,9.258,,,0.0,1.0,,True,completed
492,pkw,659.0,731.0,72.0,,661.814,0.0,0.0,72.0,4.379,,,0.0,1.0,,True,completed
7,pkw,9.0,732.0,723.0,,2201.451,74.0,501.0,222.0,518.269,,,0.6929,0.3071,,True,completed
366,pkw,558.0,738.0,180.0,,1524.689,0.0,24.0,156.0,37.545,,,0.1333,0.8667,,True,completed
36,pkw,59.0,743.0,684.0,,1848.453,77.0,490.0,194.0,509.172,,,0.7164,0.2836,,True,completed
464,pkw,636.0,749.0,113.0,,1020.18,0.0,0.0,113.0,7.853,,,0.0,1.0,,True,completed
455,pkw,632.0,760.0,128.0,,981.678,1.0,1.0,127.0,19.314,,,0.0078,0.9922,,True,completed
253,pkw,432.0,762.0,330.0,,3365.989,0.0,0.0,330.0,18.227,,,0.0,1.0,,True,completed
491,pkw,659.0,767.0,108.0,,985.82,0.0,0.0,108.0,8.776,,,0.0,1.0,,True,completed
212,pkw,369.0,768.0,399.0,,2236.703,56.0,150.0,249.0,194.904,,,0.3759,0.6241,,True,completed
319,pkw,507.0,769.0,262.0,,1982.454,4.0,56.0,206.0,80.918,,,0.2137,0.7863,,True,completed
94,pkw,181.0,769.0,588.0,,2296.747,33.0,327.0,261.0,357.757,,,0.5561,0.4439,,True,completed
322,pkw,509.0,773.0,264.0,,1011.644,1.0,151.0,113.0,170.483,,,0.572,0.428,,True,completed
282,pkw,465.0,774.0,309.0,,1629.465,35.0,110.0,199.0,151.198,,,0.356,0.644,,True,completed
300,pkw,485.0,774.0,289.0,,1267.679,20.0,145.0,144.0,169.953,,,0.5017,0.4983,,True,completed
315,pkw,502.0,774.0,272.0,,1483.041,33.0,104.0,168.0,136.687,,,0.3824,0.6176,,True,completed
443,pkw,624.0,776.0,152.0,,1565.836,0.0,0.0,152.0,9.464,,,0.0,1.0,,True,completed
475,pkw,643.0,776.0,133.0,,920.838,0.0,21.0,112.0,33.45,,,0.1579,0.8421,,True,completed
482,pkw,649.0,776.0,127.0,,1139.594,4.0,4.0,123.0,19.138,,,0.0315,0.9685,,True,completed
500,pkw,665.0,776.0,111.0,,948.174,5.0,5.0,106.0,18.179,,,0.045,0.955,,True,completed
351,pkw,541.0,777.0,236.0,,1329.797,18.0,94.0,142.0,112.224,,,0.3983,0.6017,,True,completed
579,pkw,722.0,777.0,55.0,,455.885,6.0,6.0,49.0,12.533,,,0.1091,0.8909,,True,completed
459,pkw,633.0,781.0,148.0,,1534.399,0.0,0.0,148.0,8.503,,,0.0,1.0,,True,completed
540,pkw,693.0,781.0,88.0,,695.352,13.0,13.0,75.0,22.244,,,0.1477,0.8523,,True,completed
605,pkw,738.0,781.0,43.0,,445.766,0.0,0.0,43.0,1.881,,,0.0,1.0,,True,completed
454,pkw,632.0,783.0,151.0,,999.063,27.0,27.0,124.0,42.202,,,0.1788,0.8212,,True,completed
499,pkw,703.0,784.0,81.0,,797.159,0.0,0.0,81.0,8.255,,,0.0,1.0,,True,completed
602,pkw,748.0,785.0,37.0,,371.854,0.0,0.0,37.0,2.533,,,0.0,1.0,,True,completed
479,pkw,648.0,786.0,138.0,,1439.119,0.0,0.0,138.0,7.225,,,0.0,1.0,,True,completed
96,pkw,181.0,790.0,609.0,,2337.612,1.0,367.0,242.0,394.029,,,0.6026,0.3974,,True,completed
360,pkw,551.0,791.0,240.0,,1462.157,10.0,90.0,150.0,103.347,,,0.375,0.625,,True,completed
368,pkw,561.0,795.0,234.0,,1075.107,79.0,119.0,115.0,135.759,,,0.5085,0.4915,,True,completed
1,pkw,2.0,797.0,795.0,,1677.317,86.0,619.0,176.0,642.938,,,0.7786,0.2214,,True,completed
292,pkw,475.0,797.0,322.0,,2397.465,0.0,68.0,254.0,99.071,,,0.2112,0.7888,,True,completed
