vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
12,pkw,74.0,178.0,104.0,,880.564,0.0,0.0,104.0,5.762,,,0.0,1.0,,True,completed
14,pkw,82.0,200.0,118.0,,1143.007,0.0,0.0,118.0,6.693,,,0.0,1.0,,True,completed
41,pkw,192.0,249.0,57.0,,562.112,0.0,0.0,57.0,2.971,,,0.0,1.0,,True,completed
31,pkw,165.0,277.0,112.0,,1179.029,0.0,0.0,112.0,4.886,,,0.0,1.0,,True,completed
39,pkw,191.0,281.0,90.0,,829.765,0.0,0.0,90.0,5.954,,,0.0,1.0,,True,completed
20,pkw,106.0,285.0,179.0,,1732.584,8.0,8.0,171.0,11.567,,,0.0447,0.9553,,True,completed
26,pkw,144.0,313.0,169.0,,1443.428,8.0,16.0,153.0,28.931,,,0.0947,0.9053,,True,completed
27,pkw,153.0,319.0,166.0,,1439.191,3.0,6.0,160.0,20.952,,,0.0361,0.9639,,True,completed
51,pkw,244.0,352.0,108.0,,1105.731,0.0,0.0,108.0,6.247,,,0.0,1.0,,True,completed
43,pkw,202.0,372.0,170.0,,1441.742,0.0,0.0,170.0,11.06,,,0.0,1.0,,True,completed
78,pkw,343.0,398.0,55.0,,555.698,0.0,0.0,55.0,3.607,,,0.0,1.0,,True,completed
67,pkw,312.0,424.0,112.0,,1143.909,0.0,0.0,112.0,7.325,,,0.0,1.0,,True,completed
71,pkw,321.0,433.0,112.0,,1147.05,0.0,0.0,112.0,6.931,,,0.0,1.0,,True,completed
0,pkw,2.0,447.0,445.0,,1387.697,14.0,300.0,145.0,311.22,,,0.6742,0.3258,,True,completed
11,pkw,70.0,454.0,384.0,,839.39,75.0,300.0,84.0,307.07,,,0.7812,0.2188,,True,completed
91,pkw,385.0,469.0,84.0,,864.63,0.0,0.0,84.0,4.808,,,0.0,1.0,,True,completed
22,pkw,123.0,503.0,380.0,,811.574,48.0,300.0,80.0,306.125,,,0.7895,0.2105,,True,completed
79,pkw,344.0,509.0,165.0,,1446.77,0.0,0.0,165.0,10.886,,,0.0,1.0,,True,completed
16,pkw,98.0,548.0,450.0,,1401.059,9.0,309.0,141.0,322.461,,,0.6867,0.3133,,True,completed
75,pkw,337.0,568.0,231.0,,2364.833,0.0,0.0,231.0,11.67,,,0.0,1.0,,True,completed
102,pkw,417.0,598.0,181.0,,1714.311,0.0,0.0,181.0,11.268,,,0.0,1.0,,True,completed
34,pkw,173.0,612.0,439.0,,1399.651,20.0,300.0,139.0,311.66,,,0.6834,0.3166,,True,completed
139,pkw,540.0,624.0,84.0,,877.501,0.0,0.0,84.0,4.024,,,0.0,1.0,,True,completed
132,pkw,523.0,650.0,127.0,,1143.183,0.0,0.0,127.0,8.31,,,0.0,1.0,,True,completed
38,pkw,183.0,651.0,468.0,,1669.872,0.0,300.0,168.0,315.613,,,0.641,0.359,,True,completed
24,pkw,129.0,659.0,530.0,,832.813,65.0,433.0,97.0,452.278,,,0.817,0.183,,True,completed
131,pkw,518.0,669.0,151.0,,1445.792,6.0,6.0,145.0,19.13,,,0.0397,0.9603,,True,completed
149,pkw,563.0,673.0,110.0,,1128.619,0.0,0.0,110.0,6.511,,,0.0,1.0,,True,completed
140,pkw,540.0,677.0,137.0,,1426.863,0.0,0.0,137.0,6.712,,,0.0,1.0,,True,completed
127,pkw,501.0,680.0,179.0,,1437.108,0.0,0.0,179.0,13.553,,,0.0,1.0,,True,completed
146,pkw,547.0,684.0,137.0,,562.958,58.0,69.0,68.0,85.333,,,0.5036,0.4964,,True,completed
107,pkw,437.0,685.0,248.0,,1433.481,58.0,83.0,165.0,101.641,,,0.3347,0.6653,,True,completed
166,pkw,609.0,692.0,83.0,,864.157,0.0,0.0,83.0,3.97,,,0.0,1.0,,True,completed
191,pkw,639.0,693.0,54.0,,547.602,0.0,0.0,54.0,3.11,,,0.0,1.0,,True,completed
121,pkw,481.0,696.0,215.0,,2029.437,0.0,0.0,215.0,13.887,,,0.0,1.0,,True,completed
180,pkw,622.0,706.0,84.0,,862.326,0.0,0.0,84.0,4.601,,,0.0,1.0,,True,completed
200,pkw,655.0,708.0,53.0,,539.166,0.0,0.0,53.0,3.115,,,0.0,1.0,,True,completed
151,pkw,569.0,709.0,140.0,,1467.341,0.0,0.0,140.0,6.702,,,0.0,1.0,,True,completed
134,pkw,532.0,710.0,178.0,,1721.392,0.0,0.0,178.0,20.2,,,0.0,1.0,,True,completed
56,pkw,268.0,734.0,466.0,,1720.5,74.0,300.0,166.0,310.137,,,0.6438,0.3562,,True,completed
163,pkw,605.0,744.0,139.0,,1441.611,0.0,0.0,139.0,7.58,,,0.0,1.0,,True,completed
21,pkw,117.0,755.0,638.0,,830.62,39.0,541.0,97.0,551.311,,,0.848,0.152,,True,completed
194,pkw,643.0,756.0,113.0,,1161.227,0.0,0.0,113.0,5.76,,,0.0,1.0,,True,completed
69,pkw,319.0,756.0,437.0,,1381.962,48.0,300.0,137.0,310.622,,,0.6865,0.3135,,True,completed
86,pkw,370.0,760.0,390.0,,836.889,75.0,302.0,88.0,303.772,,,0.7744,0.2256,,True,completed
198,pkw,652.0,761.0,109.0,,1124.882,0.0,0.0,109.0,6.156,,,0.0,1.0,,True,completed
197,pkw,651.0,762.0,111.0,,1155.167,0.0,0.0,111.0,5.566,,,0.0,1.0,,True,completed
4,pkw,12.0,762.0,750.0,,1408.274,73.0,600.0,150.0,603.7,,,0.8,0.2,,True,completed
168,pkw,610.0,771.0,161.0,,1416.281,0.0,0.0,161.0,11.036,,,0.0,1.0,,True,completed
159,pkw,602.0,780.0,178.0,,1731.992,0.0,0.0,178.0,10.823,,,0.0,1.0,,True,completed
6,pkw,20.0,789.0,769.0,,1657.181,0.0,600.0,169.0,609.069,,,0.7802,0.2198,,True,completed
13,pkw,75.0,790.0,715.0,,1419.501,0.0,573.0,142.0,586.327,,,0.8014,0.1986,,True,completed
228,pkw,710.0,793.0,83.0,,855.128,0.0,0.0,83.0,4.268,,,0.0,1.0,,True,completed
215,pkw,685.0,797.0,112.0,,1167.149,0.0,0.0,112.0,5.609,,,0.0,1.0,,True,completed
3,pkw,9.0,799.0,790.0,,1671.088,8.0,600.0,190.0,618.019,,,0.7595,0.2405,,True,completed
62,pkw,299.0,810.0,511.0,,1432.821,38.0,347.0,164.0,362.393,,,0.6791,0.3209,,True,completed
189,pkw,638.0,813.0,175.0,,1410.444,0.0,0.0,175.0,13.311,,,0.0,1.0,,True,completed
33,pkw,171.0,833.0,662.0,,1128.094,76.0,548.0,114.0,559.9,,,0.8278,0.1722,,True,completed
