vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
15,pkw,74.0,159.0,85.0,,879.636,0.0,0.0,85.0,4.074,,,0.0,1.0,,True,completed
17,pkw,82.0,208.0,126.0,,1144.07,0.0,0.0,126.0,7.192,,,0.0,1.0,,True,completed
47,pkw,192.0,247.0,55.0,,569.307,0.0,0.0,55.0,2.762,,,0.0,1.0,,True,completed
31,pkw,144.0,267.0,123.0,,1164.668,8.0,8.0,115.0,7.625,,,0.065,0.935,,True,completed
45,pkw,191.0,274.0,83.0,,825.35,0.0,0.0,83.0,5.484,,,0.0,1.0,,True,completed
36,pkw,165.0,277.0,112.0,,1177.745,0.0,0.0,112.0,5.002,,,0.0,1.0,,True,completed
24,pkw,106.0,279.0,173.0,,1730.601,0.0,0.0,173.0,9.727,,,0.0,1.0,,True,completed
30,pkw,144.0,313.0,169.0,,1438.684,4.0,10.0,159.0,22.434,,,0.0592,0.9408,,True,completed
49,pkw,202.0,341.0,139.0,,1438.115,0.0,0.0,139.0,7.855,,,0.0,1.0,,True,completed
84,pkw,349.0,416.0,67.0,,540.756,6.0,6.0,61.0,9.74,,,0.0896,0.9104,,True,completed
71,pkw,312.0,423.0,111.0,,1136.511,0.0,0.0,111.0,6.815,,,0.0,1.0,,True,completed
76,pkw,321.0,431.0,110.0,,1143.781,0.0,0.0,110.0,5.278,,,0.0,1.0,,True,completed
54,pkw,240.0,445.0,205.0,,1979.09,0.0,10.0,195.0,24.112,,,0.0488,0.9512,,True,completed
3,pkw,11.0,446.0,435.0,,1112.159,6.0,306.0,129.0,312.877,,,0.7034,0.2966,,True,completed
91,pkw,374.0,458.0,84.0,,883.266,0.0,0.0,84.0,3.505,,,0.0,1.0,,True,completed
95,pkw,385.0,480.0,95.0,,858.362,0.0,0.0,95.0,5.627,,,0.0,1.0,,True,completed
14,pkw,70.0,483.0,413.0,,837.057,73.0,316.0,97.0,313.537,,,0.7651,0.2349,,True,completed
8,pkw,34.0,495.0,461.0,,1439.222,0.0,300.0,161.0,312.598,,,0.6508,0.3492,,True,completed
94,pkw,382.0,500.0,118.0,,1148.052,0.0,0.0,118.0,6.733,,,0.0,1.0,,True,completed
13,pkw,65.0,503.0,438.0,,1426.776,0.0,300.0,138.0,308.816,,,0.6849,0.3151,,True,completed
27,pkw,123.0,513.0,390.0,,820.431,42.0,300.0,90.0,307.686,,,0.7692,0.2308,,True,completed
93,pkw,380.0,526.0,146.0,,1435.115,0.0,0.0,146.0,9.93,,,0.0,1.0,,True,completed
103,pkw,414.0,532.0,118.0,,1124.598,0.0,0.0,118.0,7.585,,,0.0,1.0,,True,completed
38,pkw,171.0,581.0,410.0,,1133.854,75.0,300.0,110.0,307.463,,,0.7317,0.2683,,True,completed
105,pkw,417.0,582.0,165.0,,1713.756,0.0,0.0,165.0,8.634,,,0.0,1.0,,True,completed
113,pkw,444.0,583.0,139.0,,1441.706,0.0,0.0,139.0,7.197,,,0.0,1.0,,True,completed
102,pkw,406.0,588.0,182.0,,1736.805,0.0,0.0,182.0,10.576,,,0.0,1.0,,True,completed
44,pkw,188.0,600.0,412.0,,1137.288,75.0,300.0,112.0,308.84,,,0.7282,0.2718,,True,completed
144,pkw,540.0,623.0,83.0,,872.338,0.0,0.0,83.0,3.489,,,0.0,1.0,,True,completed
12,pkw,65.0,627.0,562.0,,1970.092,0.0,319.0,243.0,341.635,,,0.5676,0.4324,,True,completed
140,pkw,523.0,634.0,111.0,,1140.634,0.0,0.0,111.0,6.682,,,0.0,1.0,,True,completed
160,pkw,587.0,651.0,64.0,,541.701,0.0,0.0,64.0,4.192,,,0.0,1.0,,True,completed
28,pkw,129.0,654.0,525.0,,836.528,68.0,436.0,89.0,449.11,,,0.8305,0.1695,,True,completed
139,pkw,518.0,657.0,139.0,,1438.184,0.0,0.0,139.0,7.915,,,0.0,1.0,,True,completed
145,pkw,540.0,680.0,140.0,,1431.927,0.0,0.0,140.0,9.359,,,0.0,1.0,,True,completed
157,pkw,573.0,683.0,110.0,,1146.673,0.0,0.0,110.0,5.451,,,0.0,1.0,,True,completed
