vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,car,21.0,181.0,160.0,,1466.675,0.0,12.0,148.0,26.659,,,0.075,0.925,,True,completed
5,truck,20.0,186.0,166.0,,1172.252,0.0,14.0,152.0,24.273,,,0.0843,0.9157,,True,completed
6,car,20.0,203.0,183.0,,1705.909,0.0,7.0,176.0,19.003,,,0.0383,0.9617,,True,completed
22,car,123.0,204.0,81.0,,850.139,0.0,0.0,81.0,2.723,,,0.0,1.0,,True,completed
11,car,70.0,205.0,135.0,,861.089,44.0,44.0,91.0,55.807,,,0.3259,0.6741,,True,completed
0,truck,2.0,224.0,222.0,,1411.852,0.0,36.0,186.0,50.501,,,0.1622,0.8378,,True,completed
36,car,181.0,249.0,68.0,,581.089,0.0,0.0,68.0,14.701,,,0.0,1.0,,True,completed
39,car,191.0,287.0,96.0,,822.351,2.0,2.0,94.0,12.884,,,0.0208,0.9792,,True,completed
35,truck,175.0,288.0,113.0,,857.499,0.0,0.0,113.0,9.059,,,0.0,1.0,,True,completed
15,truck,85.0,310.0,225.0,,1738.737,0.0,0.0,225.0,14.63,,,0.0,1.0,,True,completed
34,car,173.0,310.0,137.0,,1426.507,0.0,0.0,137.0,6.837,,,0.0,1.0,,True,completed
3,car,9.0,322.0,313.0,,1735.793,0.0,100.0,213.0,125.204,,,0.3195,0.6805,,True,completed
23,car,124.0,324.0,200.0,,2025.941,0.0,0.0,200.0,15.601,,,0.0,1.0,,True,completed
4,car,12.0,326.0,314.0,,1459.866,17.0,138.0,176.0,163.001,,,0.4395,0.5605,,True,completed
42,car,196.0,327.0,131.0,,1156.516,6.0,6.0,125.0,18.307,,,0.0458,0.9542,,True,completed
19,car,103.0,350.0,247.0,,1470.871,11.0,86.0,161.0,113.431,,,0.3482,0.6518,,True,completed
51,car,244.0,357.0,113.0,,1103.017,0.0,0.0,113.0,11.79,,,0.0,1.0,,True,completed
24,car,129.0,376.0,247.0,,867.756,29.0,148.0,99.0,165.479,,,0.5992,0.4008,,True,completed
26,car,144.0,377.0,233.0,,1446.17,4.0,62.0,171.0,85.322,,,0.2661,0.7339,,True,completed
17,car,100.0,382.0,282.0,,1447.166,0.0,117.0,165.0,131.358,,,0.4149,0.5851,,True,completed
43,car,202.0,382.0,180.0,,1438.714,0.0,8.0,172.0,12.79,,,0.0444,0.9556,,True,completed
27,car,153.0,383.0,230.0,,1441.904,0.0,42.0,188.0,77.182,,,0.1826,0.8174,,True,completed
78,car,343.0,397.0,54.0,,557.326,0.0,0.0,54.0,2.438,,,0.0,1.0,,True,completed
52,car,250.0,398.0,148.0,,1163.413,1.0,12.0,136.0,31.449,,,0.0811,0.9189,,True,completed
72,car,328.0,409.0,81.0,,842.96,0.0,0.0,81.0,3.375,,,0.0,1.0,,True,completed
8,car,43.0,411.0,368.0,,2031.792,0.0,112.0,256.0,150.471,,,0.3043,0.6957,,True,completed
38,car,183.0,418.0,235.0,,1691.549,0.0,63.0,172.0,80.374,,,0.2681,0.7319,,True,completed
45,truck,218.0,426.0,208.0,,1157.406,43.0,44.0,164.0,67.995,,,0.2115,0.7885,,True,completed
32,car,170.0,436.0,266.0,,1773.64,5.0,40.0,226.0,70.475,,,0.1504,0.8496,,True,completed
46,car,223.0,449.0,226.0,,1464.618,44.0,49.0,177.0,68.774,,,0.2168,0.7832,,True,completed
49,car,240.0,449.0,209.0,,1723.95,0.0,34.0,175.0,42.364,,,0.1627,0.8373,,True,completed
30,truck,160.0,458.0,298.0,,2024.132,0.0,26.0,272.0,43.948,,,0.0872,0.9128,,True,completed
21,car,117.0,470.0,353.0,,858.515,31.0,250.0,103.0,263.202,,,0.7082,0.2918,,True,completed
1,car,5.0,471.0,466.0,,1736.02,10.0,275.0,191.0,308.035,,,0.5901,0.4099,,True,completed
12,car,74.0,474.0,400.0,,850.769,70.0,300.0,100.0,305.715,,,0.75,0.25,,True,completed
