vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
6,car,20.0,101.0,81.0,,821.749,0.0,0.0,81.0,5.278,,,0.0,1.0,,True,completed
2,car,5.0,145.0,140.0,,1159.357,22.0,22.0,118.0,34.505,,,0.1571,0.8429,,True,completed
4,car,12.0,156.0,144.0,,1136.98,5.0,19.0,125.0,32.284,,,0.1319,0.8681,,True,completed
10,truck,43.0,157.0,114.0,,878.046,0.0,0.0,114.0,7.592,,,0.0,1.0,,True,completed
8,car,34.0,163.0,129.0,,1162.359,0.0,0.0,129.0,8.939,,,0.0,1.0,,True,completed
0,truck,2.0,182.0,180.0,,1422.228,0.0,0.0,180.0,7.379,,,0.0,1.0,,True,completed
24,car,117.0,202.0,85.0,,859.241,0.0,0.0,85.0,3.473,,,0.0,1.0,,True,completed
13,car,65.0,212.0,147.0,,857.656,39.0,56.0,91.0,68.5,,,0.381,0.619,,True,completed
7,car,21.0,226.0,205.0,,581.878,65.0,142.0,63.0,151.63,,,0.6927,0.3073,,True,completed
14,car,74.0,230.0,156.0,,880.435,54.0,54.0,102.0,70.316,,,0.3462,0.6538,,True,completed
1,car,2.0,235.0,233.0,,1167.114,54.0,98.0,135.0,126.958,,,0.4206,0.5794,,True,completed
18,car,98.0,241.0,143.0,,1138.054,10.0,24.0,119.0,38.765,,,0.1678,0.8322,,True,completed
3,car,9.0,246.0,237.0,,1742.744,0.0,28.0,209.0,49.413,,,0.1181,0.8819,,True,completed
25,truck,123.0,268.0,145.0,,1138.993,0.0,0.0,145.0,6.966,,,0.0,1.0,,True,completed
17,car,85.0,282.0,197.0,,1736.876,0.0,2.0,195.0,16.466,,,0.0102,0.9898,,True,completed
35,truck,183.0,293.0,110.0,,562.453,28.0,28.0,82.0,34.142,,,0.2545,0.7455,,True,completed
21,car,103.0,294.0,191.0,,1464.556,19.0,19.0,172.0,29.248,,,0.0995,0.9005,,True,completed
9,car,39.0,295.0,256.0,,1441.14,0.0,86.0,170.0,100.696,,,0.3359,0.6641,,True,completed
29,car,153.0,303.0,150.0,,859.608,38.0,60.0,90.0,62.293,,,0.4,0.6,,True,completed
11,car,59.0,315.0,256.0,,2057.239,36.0,39.0,217.0,67.996,,,0.1523,0.8477,,True,completed
5,truck,20.0,323.0,303.0,,1465.601,58.0,99.0,204.0,126.058,,,0.3267,0.6733,,True,completed
26,car,129.0,326.0,197.0,,1710.375,4.0,8.0,189.0,30.253,,,0.0406,0.9594,,True,completed
28,car,152.0,345.0,193.0,,1172.292,24.0,51.0,142.0,78.293,,,0.2642,0.7358,,True,completed
32,car,175.0,361.0,186.0,,1173.86,31.0,38.0,148.0,48.642,,,0.2043,0.7957,,True,completed
19,car,100.0,369.0,269.0,,1443.131,12.0,125.0,144.0,137.666,,,0.4647,0.5353,,True,completed
27,car,144.0,380.0,236.0,,1447.163,1.0,66.0,170.0,81.615,,,0.2797,0.7203,,True,completed
31,car,169.0,381.0,212.0,,1440.758,1.0,44.0,168.0,80.293,,,0.2075,0.7925,,True,completed
33,car,181.0,385.0,204.0,,1468.143,7.0,48.0,156.0,70.611,,,0.2353,0.7647,,True,completed
37,car,188.0,385.0,197.0,,1163.346,16.0,65.0,132.0,80.859,,,0.3299,0.6701,,True,completed
41,car,202.0,395.0,193.0,,1445.898,6.0,11.0,182.0,54.825,,,0.057,0.943,,True,completed
52,car,260.0,398.0,138.0,,1164.093,11.0,11.0,127.0,21.282,,,0.0797,0.9203,,True,completed
49,car,245.0,405.0,160.0,,1444.252,6.0,6.0,154.0,28.369,,,0.0375,0.9625,,True,completed
54,car,269.0,406.0,137.0,,1150.279,5.0,6.0,131.0,31.855,,,0.0438,0.9562,,True,completed
80,truck,344.0,415.0,71.0,,552.582,0.0,0.0,71.0,3.077,,,0.0,1.0,,True,completed
16,car,84.0,418.0,334.0,,1467.08,4.0,170.0,164.0,200.619,,,0.509,0.491,,True,completed
65,truck,305.0,422.0,117.0,,859.59,2.0,2.0,115.0,12.808,,,0.0171,0.9829,,True,completed
12,car,65.0,425.0,360.0,,1706.489,0.0,138.0,222.0,152.383,,,0.3833,0.6167,,True,completed
68,car,318.0,426.0,108.0,,1127.069,0.0,0.0,108.0,4.874,,,0.0,1.0,,True,completed
50,truck,250.0,428.0,178.0,,1406.902,0.0,0.0,178.0,7.298,,,0.0,1.0,,True,completed
71,car,320.0,429.0,109.0,,1128.976,0.0,0.0,109.0,5.554,,,0.0,1.0,,True,completed
67,car,312.0,430.0,118.0,,1136.584,0.0,0.0,118.0,13.967,,,0.0,1.0,,True,completed
23,car,110.0,436.0,326.0,,1179.287,29.0,171.0,155.0,218.863,,,0.5245,0.4755,,True,completed
40,truck,196.0,439.0,243.0,,857.865,22.0,116.0,127.0,138.747,,,0.4774,0.5226,,True,completed
44,car,223.0,445.0,222.0,,1463.815,53.0,61.0,161.0,65.381,,,0.2748,0.7252,,True,completed
34,car,181.0,449.0,268.0,,2027.893,9.0,33.0,235.0,83.644,,,0.1231,0.8769,,True,completed
47,car,240.0,449.0,209.0,,1722.127,0.0,27.0,182.0,51.09,,,0.1292,0.8708,,True,completed
48,car,241.0,463.0,222.0,,2025.414,0.0,6.0,216.0,15.23,,,0.027,0.973,,True,completed
36,car,184.0,467.0,283.0,,1761.763,3.0,80.0,203.0,123.205,,,0.2827,0.7173,,True,completed
51,car,255.0,485.0,230.0,,1753.816,21.0,40.0,190.0,70.582,,,0.1739,0.8261,,True,completed
86,car,370.0,495.0,125.0,,861.819,33.0,33.0,92.0,46.191,,,0.264,0.736,,True,completed
57,car,277.0,500.0,223.0,,1753.673,27.0,27.0,196.0,39.779,,,0.1211,0.8789,,True,completed
38,car,191.0,501.0,310.0,,2053.047,21.0,78.0,232.0,123.473,,,0.2516,0.7484,,True,completed
102,car,417.0,517.0,100.0,,569.527,34.0,34.0,66.0,43.533,,,0.34,0.66,,True,completed
84,car,365.0,517.0,152.0,,858.331,30.0,53.0,99.0,66.173,,,0.3487,0.6513,,True,completed
75,truck,334.0,522.0,188.0,,1164.762,11.0,31.0,157.0,47.101,,,0.1649,0.8351,,True,completed
101,car,417.0,525.0,108.0,,853.01,14.0,14.0,94.0,24.662,,,0.1296,0.8704,,True,completed
60,truck,299.0,527.0,228.0,,1179.291,0.0,75.0,153.0,85.32,,,0.3289,0.6711,,True,completed
70,truck,320.0,531.0,211.0,,1462.085,7.0,11.0,200.0,26.111,,,0.0521,0.9479,,True,completed
62,car,302.0,534.0,232.0,,1710.641,0.0,37.0,195.0,53.498,,,0.1595,0.8405,,True,completed
111,car,453.0,535.0,82.0,,856.401,0.0,0.0,82.0,3.541,,,0.0,1.0,,True,completed
104,car,429.0,537.0,108.0,,863.83,13.0,13.0,95.0,29.255,,,0.1204,0.8796,,True,completed
63,car,302.0,545.0,243.0,,1473.023,21.0,75.0,168.0,109.427,,,0.3086,0.6914,,True,completed
82,car,356.0,545.0,189.0,,1142.267,13.0,49.0,140.0,60.977,,,0.2593,0.7407,,True,completed
108,car,444.0,546.0,102.0,,869.555,11.0,11.0,91.0,22.28,,,0.1078,0.8922,,True,completed
55,truck,273.0,548.0,275.0,,1731.788,1.0,40.0,235.0,65.725,,,0.1455,0.8545,,True,completed
61,car,301.0,550.0,249.0,,1744.222,2.0,29.0,220.0,68.155,,,0.1165,0.8835,,True,completed
66,car,309.0,557.0,248.0,,1744.305,2.0,15.0,233.0,79.565,,,0.0605,0.9395,,True,completed
93,car,391.0,559.0,168.0,,1406.371,1.0,14.0,154.0,35.534,,,0.0833,0.9167,,True,completed
76,car,335.0,560.0,225.0,,1143.3,11.0,96.0,129.0,120.54,,,0.4267,0.5733,,True,completed
103,car,423.0,562.0,139.0,,1141.674,0.0,7.0,132.0,26.097,,,0.0504,0.9496,,True,completed
83,car,359.0,567.0,208.0,,1751.47,9.0,9.0,199.0,28.798,,,0.0433,0.9567,,True,completed
78,car,337.0,584.0,247.0,,1468.875,26.0,68.0,179.0,86.973,,,0.2753,0.7247,,True,completed
87,car,374.0,584.0,210.0,,1758.32,6.0,26.0,184.0,50.027,,,0.1238,0.8762,,True,completed
64,car,305.0,585.0,280.0,,1165.159,66.0,137.0,143.0,165.205,,,0.4893,0.5107,,True,completed
15,truck,82.0,586.0,504.0,,1113.61,27.0,350.0,154.0,345.836,,,0.6944,0.3056,,True,completed
72,car,321.0,587.0,266.0,,1138.231,0.0,129.0,137.0,161.658,,,0.485,0.515,,True,completed
79,car,343.0,592.0,249.0,,878.91,60.0,107.0,142.0,147.138,,,0.4297,0.5703,,True,completed
88,car,375.0,596.0,221.0,,1479.405,28.0,43.0,178.0,86.837,,,0.1946,0.8054,,True,completed
46,car,232.0,602.0,370.0,,1465.188,33.0,189.0,181.0,205.185,,,0.5108,0.4892,,True,completed
59,car,282.0,606.0,324.0,,1723.465,6.0,129.0,195.0,145.12,,,0.3981,0.6019,,True,completed
117,car,476.0,608.0,132.0,,1157.897,0.0,0.0,132.0,26.548,,,0.0,1.0,,True,completed
53,car,262.0,610.0,348.0,,1438.102,5.0,195.0,153.0,216.813,,,0.5603,0.4397,,True,completed
45,truck,224.0,612.0,388.0,,872.852,59.0,266.0,122.0,282.216,,,0.6856,0.3144,,True,completed
124,car,492.0,615.0,123.0,,576.318,60.0,60.0,63.0,70.131,,,0.4878,0.5122,,True,completed
140,truck,547.0,619.0,72.0,,559.823,0.0,0.0,72.0,3.794,,,0.0,1.0,,True,completed
39,car,192.0,628.0,436.0,,569.338,63.0,361.0,75.0,362.073,,,0.828,0.172,,True,completed
30,truck,165.0,637.0,472.0,,1175.789,55.0,296.0,176.0,320.849,,,0.6271,0.3729,,True,completed
81,car,354.0,638.0,284.0,,1177.51,34.0,141.0,143.0,177.023,,,0.4965,0.5035,,True,completed
