vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
10,pkw,14.0,87.0,73.0,,409.264,16.0,17.0,56.0,23.66,,,0.2329,0.7671,,True,completed
11,pkw,18.0,117.0,99.0,,951.541,0.0,0.0,99.0,7.326,,,0.0,1.0,,True,completed
41,pkw,74.0,121.0,47.0,,379.297,0.0,0.0,47.0,4.068,,,0.0,1.0,,True,completed
26,pkw,44.0,162.0,118.0,,1036.094,0.0,0.0,118.0,11.17,,,0.0,1.0,,True,completed
50,pkw,91.0,211.0,120.0,,1065.468,0.0,0.0,120.0,13.26,,,0.0,1.0,,True,completed
13,pkw,20.0,213.0,193.0,,733.963,88.0,114.0,79.0,125.943,,,0.5907,0.4093,,True,completed
18,pkw,30.0,214.0,184.0,,1804.835,3.0,3.0,181.0,19.239,,,0.0163,0.9837,,True,completed
12,pkw,19.0,219.0,200.0,,2097.838,0.0,0.0,200.0,9.53,,,0.0,1.0,,True,completed
20,pkw,34.0,221.0,187.0,,1775.597,0.0,0.0,187.0,14.357,,,0.0,1.0,,True,completed
60,pkw,103.0,223.0,120.0,,885.315,0.0,0.0,120.0,11.087,,,0.0,1.0,,True,completed
8,pkw,9.0,225.0,216.0,,1655.882,0.0,0.0,216.0,17.115,,,0.0,1.0,,True,completed
43,pkw,80.0,238.0,158.0,,1399.429,0.0,0.0,158.0,13.084,,,0.0,1.0,,True,completed
73,pkw,130.0,248.0,118.0,,1098.522,0.0,0.0,118.0,8.263,,,0.0,1.0,,True,completed
1,pkw,2.0,278.0,276.0,,1693.148,16.0,96.0,180.0,121.442,,,0.3478,0.6522,,True,completed
75,pkw,136.0,285.0,149.0,,1518.69,0.0,0.0,149.0,7.336,,,0.0,1.0,,True,completed
93,pkw,176.0,288.0,112.0,,1028.371,0.0,0.0,112.0,7.87,,,0.0,1.0,,True,completed
27,pkw,46.0,294.0,248.0,,1804.956,27.0,58.0,190.0,74.76,,,0.2339,0.7661,,True,completed
22,pkw,36.0,297.0,261.0,,2615.917,7.0,7.0,254.0,23.708,,,0.0268,0.9732,,True,completed
19,pkw,32.0,310.0,278.0,,2829.792,0.0,0.0,278.0,19.82,,,0.0,1.0,,True,completed
109,pkw,211.0,317.0,106.0,,1043.855,0.0,0.0,106.0,5.919,,,0.0,1.0,,True,completed
55,pkw,98.0,322.0,224.0,,2217.541,0.0,8.0,216.0,12.873,,,0.0357,0.9643,,True,completed
85,pkw,152.0,323.0,171.0,,733.424,32.0,91.0,80.0,103.991,,,0.5322,0.4678,,True,completed
24,pkw,38.0,335.0,297.0,,2147.883,29.0,79.0,218.0,101.799,,,0.266,0.734,,True,completed
114,pkw,223.0,338.0,115.0,,1134.542,0.0,0.0,115.0,9.393,,,0.0,1.0,,True,completed
53,pkw,96.0,341.0,245.0,,2177.036,32.0,32.0,213.0,47.65,,,0.1306,0.8694,,True,completed
29,pkw,49.0,343.0,294.0,,2752.892,14.0,14.0,280.0,36.552,,,0.0476,0.9524,,True,completed
58,pkw,100.0,346.0,246.0,,1590.737,87.0,87.0,159.0,100.542,,,0.3537,0.6463,,True,completed
67,pkw,117.0,346.0,229.0,,2331.393,0.0,0.0,229.0,13.807,,,0.0,1.0,,True,completed
163,pkw,307.0,352.0,45.0,,446.903,0.0,0.0,45.0,3.624,,,0.0,1.0,,True,completed
79,pkw,140.0,352.0,212.0,,1272.268,42.0,59.0,153.0,83.976,,,0.2783,0.7217,,True,completed
64,pkw,111.0,353.0,242.0,,2437.894,0.0,4.0,238.0,21.087,,,0.0165,0.9835,,True,completed
107,pkw,207.0,355.0,148.0,,1387.246,0.0,2.0,146.0,18.117,,,0.0135,0.9865,,True,completed
78,pkw,138.0,359.0,221.0,,1275.391,39.0,66.0,155.0,86.802,,,0.2986,0.7014,,True,completed
65,pkw,114.0,364.0,250.0,,1437.626,50.0,97.0,153.0,114.782,,,0.388,0.612,,True,completed
28,pkw,49.0,367.0,318.0,,1582.889,62.0,153.0,165.0,174.034,,,0.4811,0.5189,,True,completed
186,pkw,333.0,375.0,42.0,,436.812,0.0,0.0,42.0,1.687,,,0.0,1.0,,True,completed
90,pkw,171.0,387.0,216.0,,2249.489,0.0,0.0,216.0,11.114,,,0.0,1.0,,True,completed
71,pkw,128.0,393.0,265.0,,2102.426,31.0,34.0,231.0,61.494,,,0.1283,0.8717,,True,completed
68,pkw,118.0,394.0,276.0,,2544.809,0.0,27.0,249.0,44.809,,,0.0978,0.9022,,True,completed
32,pkw,52.0,416.0,364.0,,1692.909,0.0,132.0,232.0,137.741,,,0.3626,0.6374,,True,completed
88,pkw,166.0,419.0,253.0,,1825.922,51.0,51.0,202.0,78.444,,,0.2016,0.7984,,True,completed
214,pkw,374.0,422.0,48.0,,378.748,0.0,0.0,48.0,3.822,,,0.0,1.0,,True,completed
121,pkw,239.0,423.0,184.0,,1491.276,0.0,12.0,172.0,27.938,,,0.0652,0.9348,,True,completed
153,pkw,294.0,425.0,131.0,,1178.949,0.0,6.0,125.0,23.894,,,0.0458,0.9542,,True,completed
110,pkw,212.0,426.0,214.0,,644.26,95.0,129.0,85.0,140.65,,,0.6028,0.3972,,True,completed
100,pkw,188.0,427.0,239.0,,2260.16,0.0,5.0,234.0,21.668,,,0.0209,0.9791,,True,completed
74,pkw,134.0,432.0,298.0,,2622.393,0.0,25.0,273.0,49.092,,,0.0839,0.9161,,True,completed
175,pkw,320.0,436.0,116.0,,732.898,35.0,40.0,76.0,49.039,,,0.3448,0.6552,,True,completed
122,pkw,240.0,454.0,214.0,,2142.606,6.0,6.0,208.0,19.123,,,0.028,0.972,,True,completed
3,pkw,3.0,457.0,454.0,,1406.799,99.0,305.0,149.0,323.62,,,0.6718,0.3282,,True,completed
127,pkw,243.0,464.0,221.0,,2255.739,0.0,0.0,221.0,11.974,,,0.0,1.0,,True,completed
62,pkw,108.0,468.0,360.0,,2969.019,1.0,36.0,324.0,71.797,,,0.1,0.9,,True,completed
192,pkw,339.0,483.0,144.0,,1408.766,4.0,4.0,140.0,15.968,,,0.0278,0.9722,,True,completed
132,pkw,247.0,491.0,244.0,,2328.233,5.0,5.0,239.0,26.205,,,0.0205,0.9795,,True,completed
195,pkw,341.0,504.0,163.0,,1650.207,0.0,0.0,163.0,9.563,,,0.0,1.0,,True,completed
227,pkw,391.0,504.0,113.0,,1055.198,0.0,0.0,113.0,9.76,,,0.0,1.0,,True,completed
135,pkw,256.0,507.0,251.0,,2214.944,0.0,15.0,236.0,35.463,,,0.0598,0.9402,,True,completed
197,pkw,343.0,509.0,166.0,,1074.3,2.0,53.0,113.0,57.876,,,0.3193,0.6807,,True,completed
249,pkw,428.0,520.0,92.0,,735.87,8.0,8.0,84.0,23.745,,,0.087,0.913,,True,completed
217,pkw,380.0,528.0,148.0,,1400.082,0.0,0.0,148.0,10.858,,,0.0,1.0,,True,completed
7,pkw,9.0,531.0,522.0,,2200.395,0.0,300.0,222.0,317.329,,,0.5747,0.4253,,True,completed
188,pkw,335.0,533.0,198.0,,1804.501,0.0,16.0,182.0,33.642,,,0.0808,0.9192,,True,completed
339,pkw,532.0,540.0,8.0,,74.75,0.0,0.0,8.0,0.272,,,0.0,1.0,,True,completed
199,pkw,349.0,550.0,201.0,,1730.721,12.0,12.0,189.0,34.576,,,0.0597,0.9403,,True,completed
36,pkw,59.0,551.0,492.0,,1835.609,0.0,300.0,192.0,314.562,,,0.6098,0.3902,,True,completed
37,pkw,65.0,568.0,503.0,,1812.66,100.0,300.0,203.0,319.181,,,0.5964,0.4036,,True,completed
259,pkw,438.0,571.0,133.0,,1103.92,0.0,0.0,133.0,11.019,,,0.0,1.0,,True,completed
170,pkw,315.0,573.0,258.0,,2597.293,0.0,0.0,258.0,22.537,,,0.0,1.0,,True,completed
82,pkw,145.0,577.0,432.0,,2962.056,0.0,111.0,321.0,152.062,,,0.2569,0.7431,,True,completed
332,pkw,516.0,597.0,81.0,,474.285,26.0,26.0,55.0,37.314,,,0.321,0.679,,True,completed
333,pkw,516.0,597.0,81.0,,457.171,30.0,30.0,51.0,38.498,,,0.3704,0.6296,,True,completed
293,pkw,476.0,598.0,122.0,,1032.004,0.0,0.0,122.0,10.131,,,0.0,1.0,,True,completed
252,pkw,430.0,601.0,171.0,,1523.99,0.0,14.0,157.0,28.346,,,0.0819,0.9181,,True,completed
202,pkw,352.0,604.0,252.0,,1791.493,0.0,1.0,251.0,28.151,,,0.004,0.996,,True,completed
244,pkw,418.0,606.0,188.0,,1686.721,0.0,3.0,185.0,21.382,,,0.016,0.984,,True,completed
