vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
43,car,74.0,124.0,50.0,,375.93,0.0,0.0,50.0,3.216,,,0.0,1.0,,True,completed
41,car,70.0,169.0,99.0,,984.155,0.0,0.0,99.0,3.353,,,0.0,1.0,,True,completed
1,car,2.0,173.0,171.0,,1593.642,0.0,0.0,171.0,17.08,,,0.0,1.0,,True,completed
51,car,91.0,210.0,119.0,,1063.482,0.0,0.0,119.0,16.627,,,0.0,1.0,,True,completed
29,car,49.0,214.0,165.0,,1580.426,0.0,12.0,153.0,21.493,,,0.0727,0.9273,,True,completed
59,car,103.0,218.0,115.0,,882.359,0.0,0.0,115.0,9.618,,,0.0,1.0,,True,completed
8,car,9.0,219.0,210.0,,1655.014,0.0,0.0,210.0,11.041,,,0.0,1.0,,True,completed
15,truck,20.0,220.0,200.0,,733.868,15.0,93.0,107.0,110.901,,,0.465,0.535,,True,completed
88,car,152.0,241.0,89.0,,737.384,6.0,6.0,83.0,21.635,,,0.0674,0.9326,,True,completed
47,car,84.0,269.0,185.0,,1411.2,22.0,29.0,156.0,46.296,,,0.1568,0.8432,,True,completed
53,car,93.0,279.0,186.0,,1686.293,7.0,7.0,179.0,32.168,,,0.0376,0.9624,,True,completed
76,car,136.0,279.0,143.0,,1515.629,0.0,0.0,143.0,4.549,,,0.0,1.0,,True,completed
74,car,134.0,284.0,150.0,,1202.228,9.0,9.0,141.0,36.529,,,0.06,0.94,,True,completed
109,car,195.0,287.0,92.0,,880.339,0.0,0.0,92.0,6.487,,,0.0,1.0,,True,completed
116,car,212.0,297.0,85.0,,645.04,0.0,0.0,85.0,8.028,,,0.0,1.0,,True,completed
122,car,224.0,299.0,75.0,,747.451,0.0,0.0,75.0,2.85,,,0.0,1.0,,True,completed
38,car,65.0,342.0,277.0,,1833.896,0.0,50.0,227.0,89.513,,,0.1805,0.8195,,True,completed
