vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
43,car,74.0,124.0,50.0,,374.737,0.0,0.0,50.0,3.333,,,0.0,1.0,,True,completed
41,car,70.0,169.0,99.0,,984.499,0.0,0.0,99.0,3.322,,,0.0,1.0,,True,completed
1,car,2.0,173.0,171.0,,1593.589,0.0,0.0,171.0,17.014,,,0.0,1.0,,True,completed
51,car,91.0,211.0,120.0,,1065.052,0.0,0.0,120.0,17.601,,,0.0,1.0,,True,completed
29,car,49.0,215.0,166.0,,1580.586,0.0,12.0,154.0,22.479,,,0.0723,0.9277,,True,completed
8,car,9.0,219.0,210.0,,1655.238,0.0,0.0,210.0,11.012,,,0.0,1.0,,True,completed
15,truck,20.0,220.0,200.0,,733.148,17.0,95.0,105.0,109.987,,,0.475,0.525,,True,completed
59,car,103.0,222.0,119.0,,889.493,0.0,0.0,119.0,12.128,,,0.0,1.0,,True,completed
88,car,152.0,241.0,89.0,,735.18,6.0,6.0,83.0,21.833,,,0.0674,0.9326,,True,completed
47,car,84.0,267.0,183.0,,1403.995,24.0,29.0,154.0,45.429,,,0.1585,0.8415,,True,completed
53,car,93.0,279.0,186.0,,1688.148,4.0,4.0,182.0,31.989,,,0.0215,0.9785,,True,completed
76,car,136.0,280.0,144.0,,1521.404,0.0,0.0,144.0,4.89,,,0.0,1.0,,True,completed
109,car,195.0,287.0,92.0,,883.16,0.0,0.0,92.0,6.243,,,0.0,1.0,,True,completed
74,car,134.0,289.0,155.0,,1200.806,20.0,20.0,135.0,32.425,,,0.129,0.871,,True,completed
122,car,224.0,299.0,75.0,,747.408,0.0,0.0,75.0,2.859,,,0.0,1.0,,True,completed
116,car,212.0,303.0,91.0,,650.026,1.0,1.0,90.0,13.39,,,0.011,0.989,,True,completed
38,car,65.0,318.0,253.0,,1836.705,0.0,30.0,223.0,65.357,,,0.1186,0.8814,,True,completed
145,truck,262.0,347.0,85.0,,665.897,0.0,0.0,85.0,4.06,,,0.0,1.0,,True,completed
71,car,128.0,363.0,235.0,,2097.754,0.0,1.0,234.0,32.069,,,0.0043,0.9957,,True,completed
180,truck,320.0,375.0,55.0,,434.435,0.0,0.0,55.0,1.847,,,0.0,1.0,,True,completed
143,car,258.0,379.0,121.0,,907.91,9.0,9.0,112.0,37.483,,,0.0744,0.9256,,True,completed
149,car,269.0,384.0,115.0,,1145.079,0.0,0.0,115.0,6.209,,,0.0,1.0,,True,completed
17,car,24.0,391.0,367.0,,686.36,69.0,300.0,67.0,304.493,,,0.8174,0.1826,,True,completed
108,car,192.0,399.0,207.0,,1505.577,56.0,56.0,151.0,68.908,,,0.2705,0.7295,,True,completed
114,car,209.0,400.0,191.0,,1394.393,28.0,28.0,163.0,57.764,,,0.1466,0.8534,,True,completed
93,car,165.0,402.0,237.0,,1628.488,45.0,46.0,191.0,81.087,,,0.1941,0.8059,,True,completed
158,car,294.0,403.0,109.0,,1174.216,0.0,0.0,109.0,2.32,,,0.0,1.0,,True,completed
111,car,202.0,410.0,208.0,,1484.325,42.0,45.0,163.0,72.353,,,0.2163,0.7837,,True,completed
55,truck,98.0,413.0,315.0,,2122.652,6.0,16.0,299.0,35.582,,,0.0508,0.9492,,True,completed
173,car,314.0,414.0,100.0,,943.369,3.0,3.0,97.0,13.846,,,0.03,0.97,,True,completed
219,car,374.0,420.0,46.0,,379.943,0.0,0.0,46.0,2.947,,,0.0,1.0,,True,completed
128,car,239.0,428.0,189.0,,1491.771,3.0,6.0,183.0,31.641,,,0.0317,0.9683,,True,completed
65,truck,117.0,436.0,319.0,,2440.671,0.0,6.0,313.0,24.414,,,0.0188,0.9812,,True,completed
179,car,320.0,440.0,120.0,,739.102,15.0,21.0,99.0,52.48,,,0.175,0.825,,True,completed
139,car,250.0,447.0,197.0,,1902.504,3.0,3.0,194.0,19.758,,,0.0152,0.9848,,True,completed
130,truck,240.0,451.0,211.0,,1476.019,0.0,0.0,211.0,31.708,,,0.0,1.0,,True,completed
6,car,7.0,451.0,444.0,,1514.252,0.0,300.0,144.0,307.256,,,0.6757,0.3243,,True,completed
156,car,291.0,485.0,194.0,,2044.479,0.0,0.0,194.0,6.13,,,0.0,1.0,,True,completed
251,car,419.0,485.0,66.0,,609.304,0.0,0.0,66.0,10.137,,,0.0,1.0,,True,completed
101,car,181.0,496.0,315.0,,2336.088,0.0,57.0,258.0,96.276,,,0.181,0.819,,True,completed
121,car,223.0,498.0,275.0,,1728.059,33.0,61.0,214.0,102.426,,,0.2218,0.7782,,True,completed
172,car,313.0,498.0,185.0,,1687.023,11.0,12.0,173.0,31.372,,,0.0649,0.9351,,True,completed
133,car,241.0,501.0,260.0,,1325.517,11.0,101.0,159.0,136.882,,,0.3885,0.6115,,True,completed
242,car,409.0,502.0,93.0,,830.99,0.0,0.0,93.0,6.423,,,0.0,1.0,,True,completed
167,car,305.0,503.0,198.0,,1447.281,15.0,39.0,159.0,66.334,,,0.197,0.803,,True,completed
239,car,406.0,503.0,97.0,,1045.378,0.0,0.0,97.0,1.915,,,0.0,1.0,,True,completed
163,car,302.0,507.0,205.0,,1789.811,0.0,0.0,205.0,13.157,,,0.0,1.0,,True,completed
14,car,19.0,519.0,500.0,,2079.289,36.0,300.0,200.0,312.402,,,0.6,0.4,,True,completed
120,truck,219.0,521.0,302.0,,2292.63,0.0,6.0,296.0,24.956,,,0.0199,0.9801,,True,completed
23,car,36.0,539.0,503.0,,1960.649,19.0,304.0,199.0,324.488,,,0.6044,0.3956,,True,completed
9,car,11.0,542.0,531.0,,2220.223,0.0,304.0,227.0,328.647,,,0.5725,0.4275,,True,completed
152,car,279.0,549.0,270.0,,1798.689,0.0,61.0,209.0,97.036,,,0.2259,0.7741,,True,completed
244,car,413.0,549.0,136.0,,1306.527,0.0,0.0,136.0,7.859,,,0.0,1.0,,True,completed
95,truck,168.0,553.0,385.0,,633.074,66.0,300.0,85.0,308.819,,,0.7792,0.2208,,True,completed
161,car,302.0,554.0,252.0,,2133.388,1.0,6.0,246.0,55.162,,,0.0238,0.9762,,True,completed
83,car,144.0,564.0,420.0,,1224.534,80.0,300.0,120.0,307.724,,,0.7143,0.2857,,True,completed
33,car,52.0,570.0,518.0,,1657.448,0.0,300.0,218.0,332.76,,,0.5792,0.4208,,True,completed
212,car,365.0,571.0,206.0,,1836.582,0.0,0.0,206.0,12.748,,,0.0,1.0,,True,completed
227,car,390.0,575.0,185.0,,1831.444,0.0,0.0,185.0,17.086,,,0.0,1.0,,True,completed
223,car,384.0,579.0,195.0,,1263.06,22.0,53.0,142.0,76.268,,,0.2718,0.7282,,True,completed
230,truck,392.0,582.0,190.0,,1516.091,0.0,0.0,190.0,6.916,,,0.0,1.0,,True,completed
34,car,54.0,583.0,529.0,,2195.971,0.0,300.0,229.0,321.792,,,0.5671,0.4329,,True,completed
117,car,215.0,589.0,374.0,,675.709,78.0,300.0,74.0,311.395,,,0.8021,0.1979,,True,completed
337,car,524.0,602.0,78.0,,748.365,0.0,0.0,78.0,4.167,,,0.0,1.0,,True,completed
186,car,328.0,617.0,289.0,,2363.878,4.0,19.0,270.0,50.589,,,0.0657,0.9343,,True,completed
279,car,453.0,621.0,168.0,,1640.582,0.0,5.0,163.0,19.346,,,0.0298,0.9702,,True,completed
213,car,365.0,626.0,261.0,,2130.57,6.0,31.0,230.0,61.64,,,0.1188,0.8812,,True,completed
374,car,562.0,629.0,67.0,,662.134,0.0,0.0,67.0,2.211,,,0.0,1.0,,True,completed
278,car,452.0,643.0,191.0,,741.668,59.0,97.0,94.0,123.249,,,0.5079,0.4921,,True,completed
316,car,504.0,649.0,145.0,,1465.452,0.0,0.0,145.0,9.226,,,0.0,1.0,,True,completed
265,truck,439.0,650.0,211.0,,1502.337,0.0,0.0,211.0,12.564,,,0.0,1.0,,True,completed
32,car,51.0,656.0,605.0,,600.995,96.0,527.0,78.0,548.86,,,0.8711,0.1289,,True,completed
367,car,552.0,657.0,105.0,,894.596,0.0,0.0,105.0,9.04,,,0.0,1.0,,True,completed
258,car,430.0,662.0,232.0,,1896.435,3.0,9.0,223.0,53.553,,,0.0388,0.9612,,True,completed
286,car,466.0,666.0,200.0,,1806.932,0.0,0.0,200.0,26.89,,,0.0,1.0,,True,completed
342,car,532.0,666.0,134.0,,1013.204,0.0,0.0,134.0,29.351,,,0.0,1.0,,True,completed
377,car,565.0,676.0,111.0,,880.926,1.0,1.0,110.0,20.564,,,0.009,0.991,,True,completed
411,car,607.0,677.0,70.0,,509.231,0.0,0.0,70.0,4.579,,,0.0,1.0,,True,completed
308,car,489.0,678.0,189.0,,871.963,81.0,81.0,108.0,109.049,,,0.4286,0.5714,,True,completed
326,car,512.0,681.0,169.0,,643.697,63.0,63.0,106.0,92.982,,,0.3728,0.6272,,True,completed
401,car,602.0,681.0,79.0,,782.06,0.0,0.0,79.0,7.083,,,0.0,1.0,,True,completed
282,car,458.0,690.0,232.0,,1833.195,0.0,8.0,224.0,46.37,,,0.0345,0.9655,,True,completed
414,car,609.0,693.0,84.0,,732.003,0.0,0.0,84.0,16.368,,,0.0,1.0,,True,completed
325,truck,511.0,717.0,206.0,,1479.996,0.0,0.0,206.0,26.755,,,0.0,1.0,,True,completed
508,car,674.0,721.0,47.0,,376.537,0.0,0.0,47.0,2.933,,,0.0,1.0,,True,completed
323,car,509.0,726.0,217.0,,1395.547,33.0,46.0,171.0,86.066,,,0.212,0.788,,True,completed
388,car,584.0,729.0,145.0,,1523.005,0.0,0.0,145.0,4.398,,,0.0,1.0,,True,completed
491,car,659.0,730.0,71.0,,668.585,0.0,0.0,71.0,4.186,,,0.0,1.0,,True,completed
312,car,492.0,732.0,240.0,,1500.911,40.0,56.0,184.0,101.77,,,0.2333,0.7667,,True,completed
515,truck,680.0,735.0,55.0,,381.834,0.0,0.0,55.0,6.694,,,0.0,1.0,,True,completed
247,car,417.0,738.0,321.0,,2444.781,0.0,68.0,253.0,96.335,,,0.2118,0.7882,,True,completed
3,car,3.0,749.0,746.0,,1393.624,99.0,600.0,146.0,617.682,,,0.8043,0.1957,,True,completed
471,car,639.0,749.0,110.0,,1051.12,0.0,0.0,110.0,13.077,,,0.0,1.0,,True,completed
352,car,541.0,751.0,210.0,,1324.864,20.0,45.0,165.0,86.539,,,0.2143,0.7857,,True,completed
217,car,370.0,752.0,382.0,,990.062,96.0,270.0,112.0,286.567,,,0.7068,0.2932,,True,completed
7,car,9.0,757.0,748.0,,2203.829,74.0,520.0,228.0,542.951,,,0.6952,0.3048,,True,completed
368,car,554.0,761.0,207.0,,1700.971,0.0,12.0,195.0,40.407,,,0.058,0.942,,True,completed
481,car,649.0,762.0,113.0,,918.052,6.0,6.0,107.0,17.693,,,0.0531,0.9469,,True,completed
73,car,130.0,762.0,632.0,,2520.565,0.0,390.0,242.0,404.224,,,0.6171,0.3829,,True,completed
482,car,649.0,764.0,115.0,,1144.537,0.0,0.0,115.0,6.441,,,0.0,1.0,,True,completed
355,truck,544.0,766.0,222.0,,1036.583,30.0,40.0,182.0,96.2,,,0.1802,0.8198,,True,completed
582,car,722.0,766.0,44.0,,456.08,0.0,0.0,44.0,1.257,,,0.0,1.0,,True,completed
136,car,245.0,774.0,529.0,,2341.399,0.0,300.0,229.0,315.255,,,0.5671,0.4329,,True,completed
436,car,620.0,777.0,157.0,,739.407,40.0,40.0,117.0,89.453,,,0.2548,0.7452,,True,completed
575,truck,720.0,778.0,58.0,,231.776,14.0,15.0,43.0,25.606,,,0.2586,0.7414,,True,completed
607,car,738.0,779.0,41.0,,435.458,0.0,0.0,41.0,0.808,,,0.0,1.0,,True,completed
341,car,531.0,783.0,252.0,,2153.449,2.0,2.0,250.0,21.726,,,0.0079,0.9921,,True,completed
35,truck,55.0,783.0,728.0,,1251.429,0.0,555.0,173.0,576.93,,,0.7624,0.2376,,True,completed
284,car,465.0,788.0,323.0,,1626.717,47.0,86.0,237.0,166.323,,,0.2663,0.7337,,True,completed
60,truck,106.0,790.0,684.0,,1367.43,0.0,500.0,184.0,519.478,,,0.731,0.269,,True,completed
315,truck,502.0,798.0,296.0,,1478.176,24.0,45.0,251.0,117.421,,,0.152,0.848,,True,completed
39,car,65.0,798.0,733.0,,2131.045,96.0,499.0,234.0,536.033,,,0.6808,0.3192,,True,completed
455,truck,632.0,798.0,166.0,,981.698,0.0,20.0,146.0,43.654,,,0.1205,0.8795,,True,completed
75,truck,135.0,802.0,667.0,,1501.123,93.0,449.0,218.0,485.793,,,0.6732,0.3268,,True,completed
539,car,693.0,812.0,119.0,,701.443,29.0,29.0,90.0,51.667,,,0.2437,0.7563,,True,completed
424,car,614.0,815.0,201.0,,1858.945,1.0,1.0,200.0,29.797,,,0.005,0.995,,True,completed
657,car,773.0,818.0,45.0,,476.256,0.0,0.0,45.0,1.137,,,0.0,1.0,,True,completed
