vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,car,11.0,138.0,127.0,,1136.657,0.0,0.0,127.0,8.714,,,0.0,1.0,,True,completed
1,car,8.0,147.0,139.0,,1450.953,0.0,0.0,139.0,6.881,,,0.0,1.0,,True,completed
10,car,54.0,166.0,112.0,,1176.866,0.0,0.0,112.0,5.081,,,0.0,1.0,,True,completed
15,car,74.0,171.0,97.0,,880.003,8.0,8.0,89.0,16.04,,,0.0825,0.9175,,True,completed
7,car,21.0,171.0,150.0,,1466.511,4.0,4.0,146.0,16.85,,,0.0267,0.9733,,True,completed
14,truck,70.0,179.0,109.0,,860.437,0.0,0.0,109.0,4.593,,,0.0,1.0,,True,completed
2,car,9.0,184.0,175.0,,1735.024,0.0,0.0,175.0,16.374,,,0.0,1.0,,True,completed
13,car,65.0,204.0,139.0,,1455.298,0.0,0.0,139.0,6.734,,,0.0,1.0,,True,completed
26,car,117.0,206.0,89.0,,859.07,0.0,0.0,89.0,4.948,,,0.0,1.0,,True,completed
5,car,20.0,208.0,188.0,,1777.812,0.0,7.0,181.0,26.734,,,0.0372,0.9628,,True,completed
20,car,98.0,209.0,111.0,,1144.904,0.0,0.0,111.0,6.259,,,0.0,1.0,,True,completed
28,car,129.0,212.0,83.0,,866.941,0.0,0.0,83.0,3.827,,,0.0,1.0,,True,completed
16,car,75.0,213.0,138.0,,1442.996,0.0,0.0,138.0,6.49,,,0.0,1.0,,True,completed
8,car,34.0,213.0,179.0,,1457.798,0.0,13.0,166.0,28.414,,,0.0726,0.9274,,True,completed
27,car,123.0,214.0,91.0,,848.922,0.0,0.0,91.0,4.883,,,0.0,1.0,,True,completed
6,car,20.0,216.0,196.0,,2025.423,0.0,0.0,196.0,11.486,,,0.0,1.0,,True,completed
17,car,82.0,227.0,145.0,,1148.825,15.0,15.0,130.0,25.673,,,0.1034,0.8966,,True,completed
18,car,84.0,232.0,148.0,,1471.641,0.0,0.0,148.0,14.024,,,0.0,1.0,,True,completed
0,truck,5.0,234.0,229.0,,1739.173,0.0,2.0,227.0,18.541,,,0.0087,0.9913,,True,completed
11,car,59.0,237.0,178.0,,1775.389,0.0,4.0,174.0,16.142,,,0.0225,0.9775,,True,completed
23,car,103.0,243.0,140.0,,1471.616,0.0,0.0,140.0,6.39,,,0.0,1.0,,True,completed
47,car,192.0,248.0,56.0,,568.146,0.0,0.0,56.0,3.866,,,0.0,1.0,,True,completed
31,car,144.0,255.0,111.0,,1162.267,0.0,0.0,111.0,5.113,,,0.0,1.0,,True,completed
33,car,152.0,264.0,112.0,,1168.335,0.0,0.0,112.0,5.354,,,0.0,1.0,,True,completed
25,car,110.0,268.0,158.0,,1173.951,13.0,42.0,116.0,51.343,,,0.2658,0.7342,,True,completed
35,car,158.0,271.0,113.0,,1162.421,0.0,0.0,113.0,7.381,,,0.0,1.0,,True,completed
45,car,191.0,275.0,84.0,,825.843,0.0,0.0,84.0,6.767,,,0.0,1.0,,True,completed
22,car,101.0,280.0,179.0,,1754.679,5.0,5.0,174.0,19.193,,,0.0279,0.9721,,True,completed
21,car,100.0,281.0,181.0,,1448.457,0.0,16.0,165.0,29.41,,,0.0884,0.9116,,True,completed
48,car,196.0,287.0,91.0,,862.242,0.0,0.0,91.0,5.636,,,0.0,1.0,,True,completed
38,car,171.0,291.0,120.0,,1165.484,4.0,4.0,116.0,14.074,,,0.0333,0.9667,,True,completed
41,car,182.0,299.0,117.0,,1163.63,0.0,0.0,117.0,6.03,,,0.0,1.0,,True,completed
4,truck,12.0,301.0,289.0,,1774.286,20.0,54.0,235.0,74.858,,,0.1869,0.8131,,True,completed
9,truck,43.0,303.0,260.0,,2024.338,0.0,0.0,260.0,15.01,,,0.0,1.0,,True,completed
19,truck,85.0,305.0,220.0,,1738.855,0.0,0.0,220.0,9.896,,,0.0,1.0,,True,completed
36,car,165.0,309.0,144.0,,1183.242,12.0,26.0,118.0,36.507,,,0.1806,0.8194,,True,completed
37,car,169.0,309.0,140.0,,1441.854,0.0,0.0,140.0,8.506,,,0.0,1.0,,True,completed
30,car,144.0,313.0,169.0,,1441.046,8.0,16.0,153.0,29.631,,,0.0947,0.9053,,True,completed
52,car,224.0,317.0,93.0,,881.5,0.0,0.0,93.0,4.579,,,0.0,1.0,,True,completed
32,car,149.0,321.0,172.0,,1465.668,0.0,0.0,172.0,10.096,,,0.0,1.0,,True,completed
39,truck,175.0,322.0,147.0,,1161.326,0.0,0.0,147.0,6.452,,,0.0,1.0,,True,completed
24,truck,106.0,325.0,219.0,,1724.886,0.0,0.0,219.0,10.411,,,0.0,1.0,,True,completed
29,truck,142.0,327.0,185.0,,1436.947,0.0,0.0,185.0,11.166,,,0.0,1.0,,True,completed
44,truck,188.0,334.0,146.0,,1161.003,0.0,0.0,146.0,5.624,,,0.0,1.0,,True,completed
12,car,65.0,337.0,272.0,,2000.25,0.0,28.0,244.0,47.683,,,0.1029,0.8971,,True,completed
34,truck,153.0,347.0,194.0,,1456.701,0.0,5.0,189.0,18.024,,,0.0258,0.9742,,True,completed
40,car,181.0,356.0,175.0,,1468.236,0.0,5.0,170.0,19.762,,,0.0286,0.9714,,True,completed
51,car,223.0,363.0,140.0,,1465.883,0.0,0.0,140.0,6.915,,,0.0,1.0,,True,completed
56,car,250.0,373.0,123.0,,1158.407,4.0,4.0,119.0,17.742,,,0.0325,0.9675,,True,completed
72,car,318.0,374.0,56.0,,580.079,0.0,0.0,56.0,2.792,,,0.0,1.0,,True,completed
42,car,183.0,377.0,194.0,,1720.576,4.0,8.0,186.0,26.013,,,0.0412,0.9588,,True,completed
63,car,299.0,383.0,84.0,,875.99,0.0,0.0,84.0,4.16,,,0.0,1.0,,True,completed
49,truck,202.0,384.0,182.0,,1436.052,0.0,0.0,182.0,8.015,,,0.0,1.0,,True,completed
58,car,269.0,394.0,125.0,,1176.761,8.0,8.0,117.0,18.09,,,0.064,0.936,,True,completed
60,car,273.0,404.0,131.0,,1150.546,7.0,7.0,124.0,19.344,,,0.0534,0.9466,,True,completed
75,car,320.0,412.0,92.0,,871.428,1.0,1.0,91.0,11.02,,,0.0109,0.9891,,True,completed
68,car,305.0,417.0,112.0,,1168.215,0.0,0.0,112.0,5.488,,,0.0,1.0,,True,completed
50,car,212.0,418.0,206.0,,2061.73,5.0,5.0,201.0,18.736,,,0.0243,0.9757,,True,completed
70,car,309.0,418.0,109.0,,1140.025,0.0,0.0,109.0,5.065,,,0.0,1.0,,True,completed
84,truck,349.0,418.0,69.0,,538.943,0.0,0.0,69.0,3.11,,,0.0,1.0,,True,completed
43,car,184.0,422.0,238.0,,1767.698,16.0,23.0,215.0,43.993,,,0.0966,0.9034,,True,completed
71,car,312.0,430.0,118.0,,1135.294,0.0,0.0,118.0,13.972,,,0.0,1.0,,True,completed
53,car,240.0,432.0,192.0,,1723.453,0.0,11.0,181.0,34.484,,,0.0573,0.9427,,True,completed
67,car,305.0,432.0,127.0,,1165.792,8.0,8.0,119.0,20.605,,,0.063,0.937,,True,completed
76,car,321.0,432.0,111.0,,1143.506,0.0,0.0,111.0,6.542,,,0.0,1.0,,True,completed
55,car,241.0,436.0,195.0,,2026.065,0.0,0.0,195.0,10.74,,,0.0,1.0,,True,completed
83,car,343.0,438.0,95.0,,883.33,0.0,0.0,95.0,4.726,,,0.0,1.0,,True,completed
57,car,255.0,449.0,194.0,,1755.792,0.0,0.0,194.0,10.481,,,0.0,1.0,,True,completed
87,car,365.0,449.0,84.0,,853.005,0.0,0.0,84.0,5.923,,,0.0,1.0,,True,completed
65,car,302.0,458.0,156.0,,1457.528,11.0,11.0,145.0,23.311,,,0.0705,0.9295,,True,completed
78,car,334.0,458.0,124.0,,1166.367,8.0,8.0,116.0,17.553,,,0.0645,0.9355,,True,completed
91,car,374.0,458.0,84.0,,879.1,0.0,0.0,84.0,3.88,,,0.0,1.0,,True,completed
73,car,319.0,461.0,142.0,,1415.997,0.0,0.0,142.0,10.066,,,0.0,1.0,,True,completed
82,car,341.0,462.0,121.0,,1159.854,0.0,0.0,121.0,6.957,,,0.0,1.0,,True,completed
90,car,370.0,462.0,92.0,,862.765,2.0,2.0,90.0,12.805,,,0.0217,0.9783,,True,completed
46,car,191.0,465.0,274.0,,2064.34,0.0,29.0,245.0,52.958,,,0.1058,0.8942,,True,completed
61,car,277.0,469.0,192.0,,1751.158,0.0,0.0,192.0,10.223,,,0.0,1.0,,True,completed
95,car,385.0,481.0,96.0,,858.549,0.0,0.0,96.0,6.31,,,0.0,1.0,,True,completed
66,car,302.0,484.0,182.0,,1479.938,29.0,29.0,153.0,39.899,,,0.1593,0.8407,,True,completed
