vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
2,car,8.0,147.0,139.0,,1451.953,0.0,0.0,139.0,6.903,,,0.0,1.0,,True,completed
11,car,70.0,154.0,84.0,,863.269,0.0,0.0,84.0,4.347,,,0.0,1.0,,True,completed
4,car,12.0,163.0,151.0,,1466.893,0.0,0.0,151.0,7.896,,,0.0,1.0,,True,completed
5,truck,20.0,168.0,148.0,,1171.606,0.0,0.0,148.0,6.351,,,0.0,1.0,,True,completed
1,car,5.0,172.0,167.0,,1736.791,0.0,0.0,167.0,9.016,,,0.0,1.0,,True,completed
7,car,21.0,181.0,160.0,,1465.439,16.0,16.0,144.0,26.788,,,0.1,0.9,,True,completed
0,truck,2.0,182.0,180.0,,1415.758,0.0,0.0,180.0,8.48,,,0.0,1.0,,True,completed
12,car,74.0,183.0,109.0,,876.667,1.0,1.0,108.0,11.192,,,0.0092,0.9908,,True,completed
9,car,54.0,197.0,143.0,,1180.694,5.0,5.0,138.0,16.218,,,0.035,0.965,,True,completed
14,car,82.0,200.0,118.0,,1142.799,0.0,0.0,118.0,6.672,,,0.0,1.0,,True,completed
3,car,9.0,200.0,191.0,,1730.565,0.0,0.0,191.0,11.623,,,0.0,1.0,,True,completed
22,car,123.0,205.0,82.0,,846.588,0.0,0.0,82.0,4.447,,,0.0,1.0,,True,completed
6,car,20.0,205.0,185.0,,1713.031,0.0,12.0,173.0,28.647,,,0.0649,0.9351,,True,completed
21,car,117.0,213.0,96.0,,859.936,0.0,0.0,96.0,5.755,,,0.0,1.0,,True,completed
13,car,75.0,214.0,139.0,,1451.152,0.0,0.0,139.0,6.809,,,0.0,1.0,,True,completed
24,car,129.0,214.0,85.0,,863.31,0.0,0.0,85.0,3.891,,,0.0,1.0,,True,completed
16,car,98.0,240.0,142.0,,1423.547,0.0,0.0,142.0,11.946,,,0.0,1.0,,True,completed
36,car,181.0,244.0,63.0,,575.691,2.0,2.0,61.0,10.187,,,0.0317,0.9683,,True,completed
41,car,192.0,249.0,57.0,,567.14,0.0,0.0,57.0,2.496,,,0.0,1.0,,True,completed
17,car,100.0,261.0,161.0,,1449.34,0.0,0.0,161.0,9.868,,,0.0,1.0,,True,completed
19,car,103.0,262.0,159.0,,1468.325,14.0,14.0,145.0,25.659,,,0.0881,0.9119,,True,completed
8,car,43.0,266.0,223.0,,2029.961,0.0,0.0,223.0,13.268,,,0.0,1.0,,True,completed
29,car,158.0,269.0,111.0,,1165.611,0.0,0.0,111.0,5.094,,,0.0,1.0,,True,completed
10,truck,59.0,281.0,222.0,,1771.027,0.0,0.0,222.0,8.392,,,0.0,1.0,,True,completed
18,car,101.0,281.0,180.0,,1748.812,0.0,3.0,177.0,21.028,,,0.0167,0.9833,,True,completed
39,car,191.0,281.0,90.0,,825.835,0.0,0.0,90.0,7.13,,,0.0,1.0,,True,completed
31,car,165.0,282.0,117.0,,1183.535,0.0,0.0,117.0,9.481,,,0.0,1.0,,True,completed
33,car,171.0,282.0,111.0,,1161.071,0.0,0.0,111.0,5.336,,,0.0,1.0,,True,completed
35,truck,175.0,283.0,108.0,,856.173,0.0,0.0,108.0,4.218,,,0.0,1.0,,True,completed
26,car,144.0,293.0,149.0,,1443.059,0.0,0.0,149.0,8.966,,,0.0,1.0,,True,completed
28,car,153.0,294.0,141.0,,1461.151,0.0,0.0,141.0,7.814,,,0.0,1.0,,True,completed
37,car,182.0,300.0,118.0,,1159.578,2.0,2.0,116.0,12.624,,,0.0169,0.9831,,True,completed
15,truck,85.0,304.0,219.0,,1734.868,0.0,0.0,219.0,9.312,,,0.0,1.0,,True,completed
27,car,153.0,308.0,155.0,,1439.152,0.0,0.0,155.0,10.292,,,0.0,1.0,,True,completed
47,car,224.0,308.0,84.0,,879.331,0.0,0.0,84.0,3.859,,,0.0,1.0,,True,completed
34,car,173.0,312.0,139.0,,1427.534,0.0,0.0,139.0,8.296,,,0.0,1.0,,True,completed
42,car,196.0,316.0,120.0,,1159.673,0.0,0.0,120.0,7.044,,,0.0,1.0,,True,completed
20,truck,106.0,324.0,218.0,,1725.153,0.0,0.0,218.0,9.566,,,0.0,1.0,,True,completed
25,truck,138.0,337.0,199.0,,1454.182,0.0,9.0,190.0,23.243,,,0.0452,0.9548,,True,completed
23,car,124.0,338.0,214.0,,2028.584,0.0,9.0,205.0,29.297,,,0.0421,0.9579,,True,completed
51,car,244.0,353.0,109.0,,1108.428,0.0,0.0,109.0,7.303,,,0.0,1.0,,True,completed
38,car,183.0,356.0,173.0,,1690.2,0.0,1.0,172.0,17.526,,,0.0058,0.9942,,True,completed
59,car,276.0,361.0,85.0,,874.246,0.0,0.0,85.0,3.052,,,0.0,1.0,,True,completed
45,truck,218.0,364.0,146.0,,1157.45,0.0,0.0,146.0,5.987,,,0.0,1.0,,True,completed
