vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
31,car,51.0,114.0,63.0,,598.503,0.0,0.0,63.0,7.362,,,0.0,1.0,,True,completed
41,car,74.0,120.0,46.0,,377.955,0.0,0.0,46.0,3.267,,,0.0,1.0,,True,completed
26,car,44.0,163.0,119.0,,1038.431,0.0,0.0,119.0,11.614,,,0.0,1.0,,True,completed
2,car,2.0,167.0,165.0,,1590.961,0.0,0.0,165.0,14.897,,,0.0,1.0,,True,completed
40,car,70.0,174.0,104.0,,983.364,0.0,0.0,104.0,6.185,,,0.0,1.0,,True,completed
13,car,20.0,213.0,193.0,,733.455,88.0,114.0,79.0,125.988,,,0.5907,0.4093,,True,completed
18,car,30.0,213.0,183.0,,1811.307,2.0,2.0,181.0,17.221,,,0.0109,0.9891,,True,completed
60,car,103.0,223.0,120.0,,887.015,0.0,0.0,120.0,11.19,,,0.0,1.0,,True,completed
8,car,9.0,227.0,218.0,,1657.291,0.0,0.0,218.0,18.825,,,0.0,1.0,,True,completed
85,car,152.0,233.0,81.0,,733.785,6.0,6.0,75.0,13.959,,,0.0741,0.9259,,True,completed
45,car,84.0,234.0,150.0,,1410.844,0.0,0.0,150.0,10.246,,,0.0,1.0,,True,completed
73,car,130.0,248.0,118.0,,1098.594,0.0,0.0,118.0,8.721,,,0.0,1.0,,True,completed
50,car,91.0,260.0,169.0,,1063.215,45.0,45.0,124.0,63.253,,,0.2663,0.7337,,True,completed
52,car,93.0,272.0,179.0,,1681.052,11.0,11.0,168.0,25.288,,,0.0615,0.9385,,True,completed
0,truck,2.0,285.0,283.0,,2127.009,0.0,3.0,280.0,25.724,,,0.0106,0.9894,,True,completed
38,car,65.0,288.0,223.0,,2130.419,2.0,6.0,217.0,27.514,,,0.0269,0.9731,,True,completed
103,car,195.0,289.0,94.0,,881.874,0.0,0.0,94.0,7.908,,,0.0,1.0,,True,completed
75,car,136.0,292.0,156.0,,1518.45,0.0,0.0,156.0,14.323,,,0.0,1.0,,True,completed
110,car,212.0,293.0,81.0,,643.097,0.0,0.0,81.0,7.803,,,0.0,1.0,,True,completed
115,car,224.0,305.0,81.0,,743.4,0.0,0.0,81.0,5.347,,,0.0,1.0,,True,completed
91,car,173.0,309.0,136.0,,1283.224,0.0,0.0,136.0,9.677,,,0.0,1.0,,True,completed
138,car,262.0,332.0,70.0,,660.927,0.0,0.0,70.0,3.822,,,0.0,1.0,,True,completed
37,car,65.0,332.0,267.0,,1834.264,0.0,50.0,217.0,80.707,,,0.1873,0.8127,,True,completed
163,car,307.0,350.0,43.0,,439.417,0.0,0.0,43.0,2.357,,,0.0,1.0,,True,completed
108,car,209.0,351.0,142.0,,1389.766,0.0,0.0,142.0,10.419,,,0.0,1.0,,True,completed
71,car,128.0,355.0,227.0,,2104.266,0.0,0.0,227.0,23.231,,,0.0,1.0,,True,completed
136,car,258.0,357.0,99.0,,907.273,0.0,0.0,99.0,9.27,,,0.0,1.0,,True,completed
10,car,14.0,365.0,351.0,,383.886,51.0,301.0,50.0,304.716,,,0.8575,0.1425,,True,completed
56,car,98.0,369.0,271.0,,2131.65,0.0,5.0,266.0,50.492,,,0.0185,0.9815,,True,completed
186,car,333.0,375.0,42.0,,436.859,0.0,0.0,42.0,1.682,,,0.0,1.0,,True,completed
28,car,49.0,379.0,330.0,,1582.593,2.0,169.0,161.0,186.143,,,0.5121,0.4879,,True,completed
118,car,232.0,381.0,149.0,,1021.555,0.0,14.0,135.0,33.508,,,0.094,0.906,,True,completed
86,car,154.0,393.0,239.0,,2302.709,0.0,3.0,236.0,28.754,,,0.0126,0.9874,,True,completed
164,truck,309.0,401.0,92.0,,724.363,0.0,0.0,92.0,3.832,,,0.0,1.0,,True,completed
66,car,117.0,404.0,287.0,,2446.7,0.0,35.0,252.0,57.899,,,0.122,0.878,,True,completed
126,car,241.0,407.0,166.0,,1321.302,23.0,23.0,143.0,43.253,,,0.1386,0.8614,,True,completed
147,car,286.0,410.0,124.0,,1216.209,0.0,0.0,124.0,9.664,,,0.0,1.0,,True,completed
16,car,24.0,411.0,387.0,,682.088,66.0,316.0,71.0,325.152,,,0.8165,0.1835,,True,completed
214,truck,374.0,423.0,49.0,,369.537,0.0,0.0,49.0,2.446,,,0.0,1.0,,True,completed
206,car,359.0,430.0,71.0,,669.426,0.0,0.0,71.0,6.492,,,0.0,1.0,,True,completed
121,car,239.0,435.0,196.0,,1485.887,17.0,20.0,176.0,40.435,,,0.102,0.898,,True,completed
193,car,339.0,439.0,100.0,,787.015,0.0,0.0,100.0,26.949,,,0.0,1.0,,True,completed
153,car,294.0,440.0,146.0,,1174.334,29.0,29.0,117.0,39.309,,,0.1986,0.8014,,True,completed
194,truck,340.0,442.0,102.0,,783.322,0.0,0.0,102.0,6.456,,,0.0,1.0,,True,completed
172,car,318.0,444.0,126.0,,1266.311,0.0,0.0,126.0,10.489,,,0.0,1.0,,True,completed
169,truck,314.0,452.0,138.0,,996.361,0.0,0.0,138.0,15.784,,,0.0,1.0,,True,completed
6,car,7.0,454.0,447.0,,1516.231,0.0,300.0,147.0,309.866,,,0.6711,0.3289,,True,completed
146,car,279.0,467.0,188.0,,1797.077,0.0,0.0,188.0,15.154,,,0.0,1.0,,True,completed
125,car,240.0,468.0,228.0,,1362.014,89.0,89.0,139.0,101.614,,,0.3904,0.6096,,True,completed
250,car,429.0,507.0,78.0,,814.513,0.0,0.0,78.0,3.678,,,0.0,1.0,,True,completed
47,car,85.0,507.0,422.0,,1228.232,0.0,300.0,122.0,310.202,,,0.7109,0.2891,,True,completed
188,car,335.0,510.0,175.0,,1804.506,0.0,0.0,175.0,10.57,,,0.0,1.0,,True,completed
175,car,320.0,514.0,194.0,,737.784,87.0,119.0,75.0,126.599,,,0.6134,0.3866,,True,completed
245,car,420.0,522.0,102.0,,906.684,0.0,0.0,102.0,11.161,,,0.0,1.0,,True,completed
266,car,445.0,530.0,85.0,,871.68,0.0,0.0,85.0,5.548,,,0.0,1.0,,True,completed
339,truck,532.0,541.0,9.0,,64.542,0.0,0.0,9.0,0.252,,,0.0,1.0,,True,completed
7,car,9.0,542.0,533.0,,2201.853,74.0,306.0,227.0,328.205,,,0.5741,0.4259,,True,completed
102,car,192.0,548.0,356.0,,1499.335,35.0,198.0,158.0,218.387,,,0.5562,0.4438,,True,completed
150,car,291.0,553.0,262.0,,2609.858,0.0,0.0,262.0,20.173,,,0.0,1.0,,True,completed
89,truck,168.0,553.0,385.0,,633.25,66.0,300.0,85.0,308.624,,,0.7792,0.2208,,True,completed
275,car,452.0,554.0,102.0,,740.688,26.0,26.0,76.0,34.337,,,0.2549,0.7451,,True,completed
332,car,516.0,562.0,46.0,,477.634,0.0,0.0,46.0,2.013,,,0.0,1.0,,True,completed
81,car,144.0,565.0,421.0,,1223.747,81.0,300.0,121.0,309.568,,,0.7126,0.2874,,True,completed
333,car,516.0,567.0,51.0,,453.128,0.0,0.0,51.0,8.8,,,0.0,1.0,,True,completed
27,car,46.0,569.0,523.0,,1788.697,33.0,333.0,190.0,352.411,,,0.6367,0.3633,,True,completed
259,truck,438.0,584.0,146.0,,1104.908,0.0,0.0,146.0,10.525,,,0.0,1.0,,True,completed
32,car,52.0,584.0,532.0,,1653.386,0.0,300.0,232.0,326.315,,,0.5639,0.4361,,True,completed
117,car,231.0,586.0,355.0,,487.59,100.0,301.0,54.0,310.238,,,0.8479,0.1521,,True,completed
33,car,54.0,594.0,540.0,,2202.284,0.0,300.0,240.0,323.772,,,0.5556,0.4444,,True,completed
294,truck,480.0,596.0,116.0,,841.964,0.0,0.0,116.0,10.254,,,0.0,1.0,,True,completed
265,car,444.0,600.0,156.0,,1488.872,0.0,0.0,156.0,10.103,,,0.0,1.0,,True,completed
202,car,352.0,602.0,250.0,,1791.541,2.0,2.0,248.0,26.097,,,0.008,0.992,,True,completed
336,car,524.0,604.0,80.0,,742.878,0.0,0.0,80.0,5.205,,,0.0,1.0,,True,completed
322,car,509.0,612.0,103.0,,1009.466,0.0,0.0,103.0,9.746,,,0.0,1.0,,True,completed
313,car,498.0,613.0,115.0,,1010.763,0.0,0.0,115.0,11.08,,,0.0,1.0,,True,completed
233,car,401.0,623.0,222.0,,2268.72,0.0,0.0,222.0,15.116,,,0.0,1.0,,True,completed
300,car,482.0,637.0,155.0,,1265.131,2.0,19.0,136.0,36.257,,,0.1226,0.8774,,True,completed
277,car,453.0,640.0,187.0,,1643.294,1.0,24.0,163.0,38.102,,,0.1283,0.8717,,True,completed
325,car,512.0,646.0,134.0,,647.915,50.0,50.0,84.0,60.534,,,0.3731,0.6269,,True,completed
369,truck,562.0,647.0,85.0,,662.433,0.0,0.0,85.0,4.476,,,0.0,1.0,,True,completed
280,car,458.0,661.0,203.0,,1831.099,0.0,0.0,203.0,17.749,,,0.0,1.0,,True,completed
96,car,181.0,664.0,483.0,,2334.116,4.0,238.0,245.0,268.326,,,0.4928,0.5072,,True,completed
227,car,391.0,679.0,288.0,,1056.23,92.0,168.0,120.0,184.682,,,0.5833,0.4167,,True,completed
340,car,532.0,679.0,147.0,,1393.025,10.0,10.0,137.0,20.626,,,0.068,0.932,,True,completed
143,car,276.0,680.0,404.0,,1052.569,99.0,300.0,104.0,308.808,,,0.7426,0.2574,,True,completed
412,car,609.0,680.0,71.0,,728.885,0.0,0.0,71.0,4.045,,,0.0,1.0,,True,completed
213,car,370.0,681.0,311.0,,986.993,98.0,199.0,112.0,211.472,,,0.6399,0.3601,,True,completed
238,car,408.0,681.0,273.0,,1107.133,91.0,155.0,118.0,171.385,,,0.5678,0.4322,,True,completed
397,car,602.0,682.0,80.0,,786.524,0.0,0.0,80.0,7.532,,,0.0,1.0,,True,completed
296,car,481.0,687.0,206.0,,1834.083,25.0,25.0,181.0,39.193,,,0.1214,0.8786,,True,completed
354,truck,544.0,688.0,144.0,,1035.555,0.0,2.0,142.0,17.511,,,0.0139,0.9861,,True,completed
435,car,620.0,694.0,74.0,,735.954,0.0,0.0,74.0,5.727,,,0.0,1.0,,True,completed
324,truck,509.0,695.0,186.0,,1387.882,0.0,0.0,186.0,17.624,,,0.0,1.0,,True,completed
368,car,561.0,695.0,134.0,,1071.305,23.0,23.0,111.0,36.244,,,0.1716,0.8284,,True,completed
360,car,551.0,703.0,152.0,,1462.953,1.0,1.0,151.0,15.207,,,0.0066,0.9934,,True,completed
252,car,430.0,705.0,275.0,,1525.53,75.0,115.0,160.0,131.932,,,0.4182,0.5818,,True,completed
137,car,261.0,708.0,447.0,,493.26,100.0,385.0,62.0,401.162,,,0.8613,0.1387,,True,completed
508,car,672.0,714.0,42.0,,436.816,0.0,0.0,42.0,1.686,,,0.0,1.0,,True,completed
511,car,674.0,715.0,41.0,,374.155,0.0,0.0,41.0,3.416,,,0.0,1.0,,True,completed
351,car,541.0,724.0,183.0,,1325.894,19.0,40.0,143.0,59.522,,,0.2186,0.7814,,True,completed
305,car,489.0,726.0,237.0,,1688.697,9.0,62.0,175.0,83.298,,,0.2616,0.7384,,True,completed
198,car,349.0,728.0,379.0,,742.23,100.0,300.0,79.0,310.383,,,0.7916,0.2084,,True,completed
286,car,468.0,730.0,262.0,,455.069,98.0,209.0,53.0,220.043,,,0.7977,0.2023,,True,completed
366,car,558.0,731.0,173.0,,1522.248,17.0,17.0,156.0,30.9,,,0.0983,0.9017,,True,completed
492,car,659.0,732.0,73.0,,670.185,0.0,0.0,73.0,4.6,,,0.0,1.0,,True,completed
536,car,691.0,733.0,42.0,,132.531,23.0,23.0,19.0,29.072,,,0.5476,0.4524,,True,completed
17,car,27.0,736.0,709.0,,2790.315,1.0,394.0,315.0,436.704,,,0.5557,0.4443,,True,completed
87,car,165.0,754.0,589.0,,1624.736,20.0,395.0,194.0,437.048,,,0.6706,0.3294,,True,completed
475,car,653.0,766.0,113.0,,919.371,1.0,1.0,112.0,13.712,,,0.0088,0.9912,,True,completed
482,car,649.0,766.0,117.0,,1144.639,0.0,0.0,117.0,8.401,,,0.0,1.0,,True,completed
36,car,59.0,767.0,708.0,,1857.368,76.0,513.0,195.0,532.407,,,0.7246,0.2754,,True,completed
464,truck,636.0,769.0,133.0,,1017.734,0.0,0.0,133.0,7.656,,,0.0,1.0,,True,completed
491,car,659.0,776.0,117.0,,990.391,2.0,2.0,115.0,17.464,,,0.0171,0.9829,,True,completed
540,car,693.0,778.0,85.0,,699.371,9.0,9.0,76.0,18.787,,,0.1059,0.8941,,True,completed
579,truck,722.0,780.0,58.0,,455.329,0.0,0.0,58.0,2.229,,,0.0,1.0,,True,completed
605,car,738.0,780.0,42.0,,435.438,0.0,0.0,42.0,1.81,,,0.0,1.0,,True,completed
455,car,632.0,783.0,151.0,,978.918,17.0,17.0,134.0,41.865,,,0.1126,0.8874,,True,completed
424,truck,615.0,785.0,170.0,,794.967,24.0,55.0,115.0,73.024,,,0.3235,0.6765,,True,completed
34,truck,55.0,802.0,747.0,,1253.766,7.0,565.0,182.0,596.187,,,0.7564,0.2436,,True,completed
442,car,624.0,809.0,185.0,,1814.222,0.0,0.0,185.0,19.79,,,0.0,1.0,,True,completed
94,truck,181.0,812.0,631.0,,2294.574,12.0,323.0,308.0,353.418,,,0.5119,0.4881,,True,completed
598,car,735.0,814.0,79.0,,763.776,0.0,0.0,79.0,8.237,,,0.0,1.0,,True,completed
83,car,149.0,816.0,667.0,,1729.54,49.0,454.0,213.0,488.66,,,0.6807,0.3193,,True,completed
61,car,106.0,827.0,721.0,,1380.096,0.0,581.0,140.0,594.982,,,0.8058,0.1942,,True,completed
654,truck,771.0,829.0,58.0,,404.811,0.0,0.0,58.0,8.4,,,0.0,1.0,,True,completed
130,car,245.0,835.0,590.0,,1886.16,100.0,319.0,271.0,352.068,,,0.5407,0.4593,,True,completed
481,car,654.0,836.0,182.0,,1547.209,5.0,19.0,163.0,41.406,,,0.1044,0.8956,,True,completed
613,car,742.0,853.0,111.0,,1151.875,0.0,0.0,111.0,5.733,,,0.0,1.0,,True,completed
413,car,609.0,865.0,256.0,,2129.027,0.0,0.0,256.0,20.258,,,0.0,1.0,,True,completed
574,truck,718.0,865.0,147.0,,882.338,26.0,26.0,121.0,39.475,,,0.1769,0.8231,,True,completed
122,car,240.0,868.0,628.0,,2119.183,28.0,412.0,216.0,435.602,,,0.6561,0.3439,,True,completed
618,car,745.0,872.0,127.0,,987.141,3.0,3.0,124.0,24.008,,,0.0236,0.9764,,True,completed
30,car,51.0,873.0,822.0,,2138.584,34.0,600.0,222.0,621.103,,,0.7299,0.2701,,True,completed
67,car,117.0,873.0,756.0,,2318.155,95.0,520.0,236.0,543.408,,,0.6878,0.3122,,True,completed
630,car,752.0,874.0,122.0,,739.739,46.0,46.0,76.0,54.423,,,0.377,0.623,,True,completed
472,car,640.0,879.0,239.0,,2049.113,0.0,0.0,239.0,22.278,,,0.0,1.0,,True,completed
478,car,645.0,885.0,240.0,,2371.26,0.0,0.0,240.0,19.222,,,0.0,1.0,,True,completed
