vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
32,car,51.0,116.0,65.0,,596.884,0.0,0.0,65.0,9.289,,,0.0,1.0,,True,completed
43,car,74.0,125.0,51.0,,378.311,0.0,0.0,51.0,4.002,,,0.0,1.0,,True,completed
41,car,70.0,171.0,101.0,,980.012,0.0,0.0,101.0,5.695,,,0.0,1.0,,True,completed
1,car,2.0,174.0,172.0,,1597.563,0.0,0.0,172.0,17.835,,,0.0,1.0,,True,completed
15,truck,20.0,187.0,167.0,,735.049,67.0,67.0,100.0,77.759,,,0.4012,0.5988,,True,completed
59,car,103.0,220.0,117.0,,886.306,0.0,0.0,117.0,11.194,,,0.0,1.0,,True,completed
8,car,9.0,226.0,217.0,,1655.385,0.0,0.0,217.0,18.084,,,0.0,1.0,,True,completed
47,car,84.0,233.0,149.0,,1412.046,0.0,0.0,149.0,10.637,,,0.0,1.0,,True,completed
88,car,152.0,234.0,82.0,,739.867,7.0,7.0,75.0,14.411,,,0.0854,0.9146,,True,completed
74,car,134.0,274.0,140.0,,1201.444,15.0,15.0,125.0,26.96,,,0.1071,0.8929,,True,completed
109,car,195.0,289.0,94.0,,884.009,0.0,0.0,94.0,8.119,,,0.0,1.0,,True,completed
122,car,224.0,300.0,76.0,,751.936,0.0,0.0,76.0,3.45,,,0.0,1.0,,True,completed
38,car,65.0,301.0,236.0,,1839.63,0.0,20.0,216.0,48.241,,,0.0847,0.9153,,True,completed
51,car,91.0,339.0,248.0,,1058.685,92.0,125.0,123.0,145.994,,,0.504,0.496,,True,completed
145,truck,262.0,347.0,85.0,,666.392,0.0,0.0,85.0,4.001,,,0.0,1.0,,True,completed
143,car,258.0,349.0,91.0,,898.433,0.0,0.0,91.0,8.229,,,0.0,1.0,,True,completed
76,car,136.0,354.0,218.0,,1521.815,65.0,65.0,153.0,78.948,,,0.2982,0.7018,,True,completed
116,car,212.0,356.0,144.0,,648.826,55.0,55.0,89.0,66.503,,,0.3819,0.6181,,True,completed
114,car,209.0,372.0,163.0,,1389.107,10.0,10.0,153.0,30.135,,,0.0613,0.9387,,True,completed
180,truck,320.0,376.0,56.0,,439.47,0.0,0.0,56.0,2.243,,,0.0,1.0,,True,completed
149,car,269.0,386.0,117.0,,1144.873,0.0,0.0,117.0,8.153,,,0.0,1.0,,True,completed
17,car,24.0,393.0,369.0,,687.135,68.0,300.0,69.0,306.457,,,0.813,0.187,,True,completed
179,car,320.0,396.0,76.0,,733.674,0.0,0.0,76.0,8.969,,,0.0,1.0,,True,completed
55,truck,98.0,397.0,299.0,,2126.17,0.0,2.0,297.0,26.633,,,0.0067,0.9933,,True,completed
121,car,223.0,418.0,195.0,,1726.235,0.0,3.0,192.0,22.661,,,0.0154,0.9846,,True,completed
219,car,374.0,420.0,46.0,,380.446,0.0,0.0,46.0,2.865,,,0.0,1.0,,True,completed
173,car,314.0,423.0,109.0,,938.963,12.0,12.0,97.0,23.244,,,0.1101,0.8899,,True,completed
130,truck,240.0,433.0,193.0,,1476.099,0.0,0.0,193.0,13.628,,,0.0,1.0,,True,completed
167,car,305.0,443.0,138.0,,1439.024,0.0,0.0,138.0,7.012,,,0.0,1.0,,True,completed
133,car,241.0,445.0,204.0,,1329.146,9.0,51.0,153.0,80.482,,,0.25,0.75,,True,completed
