step:3600/3600, q_loss:0, rewards:-47.24333224826389, queue:1.5422743055555554, delay:0.06247552235921224, throughput:1429
episode:0/200, real avg travel time:256.48005598320503
intersection:0, mean_episode_reward:-3.015833616256714, mean_queue:3.155555486679077
intersection:1, mean_episode_reward:-2.585277557373047, mean_queue:2.7166666984558105
intersection:2, mean_episode_reward:-4.00722074508667, mean_queue:4.1583333015441895
intersection:3, mean_episode_reward:-3.069444417953491, mean_queue:3.2083332538604736
intersection:4, mean_episode_reward:-2.524444580078125, mean_queue:2.6694445610046387
intersection:5, mean_episode_reward:-2.442499876022339, mean_queue:2.5444445610046387
intersection:6, mean_episode_reward:-2.81416654586792, mean_queue:2.950000047683716
intersection:7, mean_episode_reward:-2.453610897064209, mean_queue:2.5916666984558105
intersection:8, mean_episode_reward:-3.3700008392333984, mean_queue:3.472222328186035
intersection:9, mean_episode_reward:-2.9808335304260254, mean_queue:3.094444513320923
intersection:10, mean_episode_reward:-2.616666316986084, mean_queue:2.702777862548828
intersection:11, mean_episode_reward:-3.0875000953674316, mean_queue:3.2055554389953613
intersection:12, mean_episode_reward:-3.819167137145996, mean_queue:3.9583332538604736
intersection:13, mean_episode_reward:-3.6258342266082764, mean_queue:3.7750000953674316
intersection:14, mean_episode_reward:-2.4638893604278564, mean_queue:2.575000047683716
intersection:15, mean_episode_reward:-2.366943836212158, mean_queue:2.575000047683716
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :787.4272, rewards:-433.92860243055554, queue:13.593489583333334, delay:0.1699483447604709, throughput:625
step:3600/3600, q_loss:0, rewards:-45.94861653645833, queue:1.5061631944444445, delay:0.06162080764770508, throughput:1427
episode:1/200, real avg travel time:253.3321653819201
intersection:0, mean_episode_reward:-2.569167137145996, mean_queue:2.702777862548828
intersection:1, mean_episode_reward:-2.9802775382995605, mean_queue:3.0916666984558105
intersection:2, mean_episode_reward:-4.421111583709717, mean_queue:4.550000190734863
intersection:3, mean_episode_reward:-2.5272226333618164, mean_queue:2.700000047683716
intersection:4, mean_episode_reward:-2.9569451808929443, mean_queue:3.097222328186035
intersection:5, mean_episode_reward:-2.608333110809326, mean_queue:2.7555556297302246
