step:3600/3600, q_loss:0, rewards:-337.1005642361111, queue:6.234548611111111, delay:0.06247552235921224, throughput:1429
episode:0/200, real avg travel time:256.48005598320503
intersection:0, mean_episode_reward:-11.66027545928955, mean_queue:11.61111068725586
intersection:1, mean_episode_reward:-11.192227363586426, mean_queue:11.108333587646484
intersection:2, mean_episode_reward:-12.386946678161621, mean_queue:12.616666793823242
intersection:3, mean_episode_reward:-11.63333511352539, mean_queue:11.48888874053955
intersection:4, mean_episode_reward:-11.228888511657715, mean_queue:11.625
intersection:5, mean_episode_reward:-11.166669845581055, mean_queue:10.980555534362793
intersection:6, mean_episode_reward:-11.458334922790527, mean_queue:11.86388874053955
intersection:7, mean_episode_reward:-11.136667251586914, mean_queue:11.230555534362793
intersection:8, mean_episode_reward:-11.920830726623535, mean_queue:11.880555152893066
intersection:9, mean_episode_reward:-11.57750415802002, mean_queue:11.527777671813965
intersection:10, mean_episode_reward:-11.299444198608398, mean_queue:11.722222328186035
intersection:11, mean_episode_reward:-11.622498512268066, mean_queue:11.56944465637207
intersection:12, mean_episode_reward:-12.475276947021484, mean_queue:12.719444274902344
intersection:13, mean_episode_reward:-12.182496070861816, mean_queue:12.152777671813965
intersection:14, mean_episode_reward:-11.248891830444336, mean_queue:11.327777862548828
intersection:15, mean_episode_reward:-11.140277862548828, mean_queue:11.41944408416748
intersection:16, mean_episode_reward:-9.093338012695312, mean_queue:0.7749999761581421
intersection:17, mean_episode_reward:-9.34333324432373, mean_queue:0.7777777910232544
intersection:18, mean_episode_reward:-9.473331451416016, mean_queue:0.7888888716697693
intersection:19, mean_episode_reward:-9.296669960021973, mean_queue:0.8166666626930237
intersection:20, mean_episode_reward:-9.666666030883789, mean_queue:0.7527777552604675
intersection:21, mean_episode_reward:-9.166665077209473, mean_queue:0.8138889074325562
intersection:22, mean_episode_reward:-9.786662101745605, mean_queue:0.7888888716697693
intersection:23, mean_episode_reward:-9.443337440490723, mean_queue:0.7805555462837219
intersection:24, mean_episode_reward:-9.7933349609375, mean_queue:0.7749999761581421
intersection:25, mean_episode_reward:-9.38333511352539, mean_queue:0.7749999761581421
intersection:26, mean_episode_reward:-9.413331031799316, mean_queue:0.75
intersection:27, mean_episode_reward:-9.60999584197998, mean_queue:0.769444465637207
intersection:28, mean_episode_reward:-9.300002098083496, mean_queue:0.7833333611488342
intersection:29, mean_episode_reward:-9.693334579467773, mean_queue:0.8333333134651184
intersection:30, mean_episode_reward:-9.726672172546387, mean_queue:0.8722222447395325
intersection:31, mean_episode_reward:-9.580001831054688, mean_queue:0.8083333373069763
Test step:0/200, travel time :701.7366720516962, rewards:-682.6319444444445, queue:17.022395833333334, delay:0.1667012956407335, throughput:619
step:3600/3600, q_loss:0, rewards:-336.24305555555554, queue:6.2125868055555555, delay:0.06162080764770508, throughput:1427
episode:1/200, real avg travel time:253.3321653819201
intersection:0, mean_episode_reward:-11.298885345458984, mean_queue:11.255555152893066
intersection:1, mean_episode_reward:-11.535277366638184, mean_queue:11.438888549804688
intersection:2, mean_episode_reward:-12.849441528320312, mean_queue:13.086111068725586
intersection:3, mean_episode_reward:-11.250280380249023, mean_queue:11.147222518920898
intersection:4, mean_episode_reward:-11.523893356323242, mean_queue:11.949999809265137
intersection:5, mean_episode_reward:-11.304725646972656, mean_queue:11.175000190734863
intersection:6, mean_episode_reward:-11.605276107788086, mean_queue:11.891666412353516
intersection:7, mean_episode_reward:-11.134166717529297, mean_queue:11.186111450195312
intersection:8, mean_episode_reward:-11.604716300964355, mean_queue:11.547222137451172
intersection:9, mean_episode_reward:-11.260276794433594, mean_queue:11.186111450195312
intersection:10, mean_episode_reward:-11.240553855895996, mean_queue:11.725000381469727
intersection:11, mean_episode_reward:-11.692498207092285, mean_queue:11.75
intersection:12, mean_episode_reward:-11.608606338500977, mean_queue:11.850000381469727
intersection:13, mean_episode_reward:-12.002498626708984, mean_queue:11.966666221618652
intersection:14, mean_episode_reward:-11.199444770812988, mean_queue:11.352777481079102
intersection:15, mean_episode_reward:-11.362503051757812, mean_queue:11.633333206176758
intersection:16, mean_episode_reward:-9.093338012695312, mean_queue:0.7749999761581421
intersection:17, mean_episode_reward:-9.34333324432373, mean_queue:0.7777777910232544
intersection:18, mean_episode_reward:-9.473331451416016, mean_queue:0.7888888716697693
intersection:19, mean_episode_reward:-9.296669960021973, mean_queue:0.8166666626930237
intersection:20, mean_episode_reward:-9.666666030883789, mean_queue:0.7527777552604675
intersection:21, mean_episode_reward:-9.166665077209473, mean_queue:0.8138889074325562
intersection:22, mean_episode_reward:-9.786662101745605, mean_queue:0.7888888716697693
intersection:23, mean_episode_reward:-9.443337440490723, mean_queue:0.7805555462837219
intersection:24, mean_episode_reward:-9.7933349609375, mean_queue:0.7749999761581421
intersection:25, mean_episode_reward:-9.38333511352539, mean_queue:0.7749999761581421
intersection:26, mean_episode_reward:-9.413331031799316, mean_queue:0.75
intersection:27, mean_episode_reward:-9.60999584197998, mean_queue:0.769444465637207
intersection:28, mean_episode_reward:-9.300002098083496, mean_queue:0.7833333611488342
intersection:29, mean_episode_reward:-9.693334579467773, mean_queue:0.8333333134651184
intersection:30, mean_episode_reward:-9.726672172546387, mean_queue:0.8722222447395325
intersection:31, mean_episode_reward:-9.580001831054688, mean_queue:0.8083333373069763
Test step:1/200, travel time :701.7366720516962, rewards:-682.6319444444445, queue:17.022395833333334, delay:0.1667012956407335, throughput:619
step:3600/3600, q_loss:6.744096279144287, rewards:-336.21167534722224, queue:6.1995659722222225, delay:0.061487505171034074, throughput:1432
episode:2/200, real avg travel time:254.0677374301676
intersection:0, mean_episode_reward:-11.743608474731445, mean_queue:11.711111068725586
intersection:1, mean_episode_reward:-11.52722454071045, mean_queue:11.41944408416748
intersection:2, mean_episode_reward:-12.270562171936035, mean_queue:12.5
intersection:3, mean_episode_reward:-10.963335037231445, mean_queue:10.816666603088379
intersection:4, mean_episode_reward:-11.956665992736816, mean_queue:12.283333778381348
intersection:5, mean_episode_reward:-11.444726943969727, mean_queue:11.277777671813965
intersection:6, mean_episode_reward:-11.019444465637207, mean_queue:11.311111450195312
intersection:7, mean_episode_reward:-11.540556907653809, mean_queue:11.597222328186035
intersection:8, mean_episode_reward:-11.72805404663086, mean_queue:11.688888549804688
intersection:9, mean_episode_reward:-11.446379661560059, mean_queue:11.408333778381348
intersection:10, mean_episode_reward:-11.286113739013672, mean_queue:11.675000190734863
intersection:11, mean_episode_reward:-11.898887634277344, mean_queue:11.836111068725586
intersection:12, mean_episode_reward:-11.793610572814941, mean_queue:11.975000381469727
