step:3600/3600, q_loss:0, rewards:-37.726109483506946, queue:1.23046875, delay:0.05435496966044108, throughput:1429
episode:0/200, real avg travel time:256.48005598320503
intersection:0, mean_episode_reward:-2.4905550479888916, mean_queue:2.5916666984558105
intersection:1, mean_episode_reward:-2.1211109161376953, mean_queue:2.219444513320923
intersection:2, mean_episode_reward:-3.1680548191070557, mean_queue:3.288888931274414
intersection:3, mean_episode_reward:-2.4275002479553223, mean_queue:2.5444445610046387
intersection:4, mean_episode_reward:-2.1355557441711426, mean_queue:2.25
intersection:5, mean_episode_reward:-2.100555658340454, mean_queue:2.1861112117767334
intersection:6, mean_episode_reward:-2.1388890743255615, mean_queue:2.2333333492279053
intersection:7, mean_episode_reward:-1.924444556236267, mean_queue:2.0333333015441895
intersection:8, mean_episode_reward:-2.5824999809265137, mean_queue:2.655555486679077
intersection:9, mean_episode_reward:-2.4505560398101807, mean_queue:2.5333333015441895
intersection:10, mean_episode_reward:-2.042222023010254, mean_queue:2.1111111640930176
intersection:11, mean_episode_reward:-2.4805550575256348, mean_queue:2.586111068725586
intersection:12, mean_episode_reward:-2.8686108589172363, mean_queue:2.9833333492279053
intersection:13, mean_episode_reward:-2.830277681350708, mean_queue:2.941666603088379
intersection:14, mean_episode_reward:-1.9161115884780884, mean_queue:2.0
intersection:15, mean_episode_reward:-2.0486106872558594, mean_queue:2.2166666984558105
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :807.0460750853242, rewards:-351.03524305555555, queue:10.993836805555556, delay:0.16427779727511935, throughput:586
step:3600/3600, q_loss:0, rewards:-36.58361002604167, queue:1.1994791666666667, delay:0.054563511742485894, throughput:1427
episode:1/200, real avg travel time:253.3321653819201
intersection:0, mean_episode_reward:-2.068889856338501, mean_queue:2.183333396911621
intersection:1, mean_episode_reward:-2.468611240386963, mean_queue:2.558333396911621
intersection:2, mean_episode_reward:-3.373055934906006, mean_queue:3.4777777194976807
