vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
14,pkw,20.0,124.0,104.0,,742.062,24.0,24.0,80.0,36.214,,,0.2308,0.7692,,True,completed
43,pkw,74.0,125.0,51.0,,377.755,0.0,0.0,51.0,4.118,,,0.0,1.0,,True,completed
41,pkw,70.0,171.0,101.0,,979.87,0.0,0.0,101.0,5.746,,,0.0,1.0,,True,completed
53,pkw,93.0,191.0,98.0,,872.072,0.0,0.0,98.0,8.696,,,0.0,1.0,,True,completed
72,pkw,128.0,202.0,74.0,,739.851,0.0,0.0,74.0,5.474,,,0.0,1.0,,True,completed
20,pkw,30.0,203.0,173.0,,1654.536,0.0,0.0,173.0,13.927,,,0.0,1.0,,True,completed
51,pkw,91.0,204.0,113.0,,1065.335,0.0,0.0,113.0,10.583,,,0.0,1.0,,True,completed
19,pkw,30.0,208.0,178.0,,1812.389,0.0,0.0,178.0,13.254,,,0.0,1.0,,True,completed
17,pkw,27.0,213.0,186.0,,1681.549,0.0,0.0,186.0,14.94,,,0.0,1.0,,True,completed
22,pkw,35.0,213.0,178.0,,1812.893,0.0,0.0,178.0,12.861,,,0.0,1.0,,True,completed
59,pkw,103.0,219.0,116.0,,884.5,0.0,0.0,116.0,10.614,,,0.0,1.0,,True,completed
8,pkw,9.0,227.0,218.0,,1655.617,0.0,0.0,218.0,18.714,,,0.0,1.0,,True,completed
82,pkw,144.0,253.0,109.0,,1017.676,0.0,0.0,109.0,9.759,,,0.0,1.0,,True,completed
86,pkw,152.0,274.0,122.0,,739.689,29.0,40.0,82.0,54.427,,,0.3279,0.6721,,True,completed
74,pkw,130.0,280.0,150.0,,1523.353,0.0,0.0,150.0,7.414,,,0.0,1.0,,True,completed
76,pkw,136.0,282.0,146.0,,1516.902,0.0,0.0,146.0,7.415,,,0.0,1.0,,True,completed
34,pkw,52.0,284.0,232.0,,2011.287,0.0,3.0,229.0,25.142,,,0.0129,0.9871,,True,completed
39,pkw,65.0,284.0,219.0,,1831.112,0.0,0.0,219.0,16.293,,,0.0,1.0,,True,completed
108,pkw,195.0,289.0,94.0,,882.757,0.0,0.0,94.0,8.821,,,0.0,1.0,,True,completed
116,pkw,212.0,297.0,85.0,,642.767,0.0,0.0,85.0,7.954,,,0.0,1.0,,True,completed
120,pkw,224.0,299.0,75.0,,753.14,0.0,0.0,75.0,3.456,,,0.0,1.0,,True,completed
126,pkw,236.0,321.0,85.0,,874.53,0.0,0.0,85.0,4.481,,,0.0,1.0,,True,completed
121,pkw,227.0,327.0,100.0,,944.467,0.0,0.0,100.0,5.864,,,0.0,1.0,,True,completed
147,pkw,271.0,327.0,56.0,,375.419,0.0,0.0,56.0,5.64,,,0.0,1.0,,True,completed
47,pkw,84.0,333.0,249.0,,1408.993,15.0,87.0,162.0,110.657,,,0.3494,0.6506,,True,completed
124,pkw,232.0,346.0,114.0,,1015.038,2.0,2.0,112.0,15.805,,,0.0175,0.9825,,True,completed
97,pkw,173.0,350.0,177.0,,1469.159,13.0,13.0,164.0,33.663,,,0.0734,0.9266,,True,completed
107,pkw,192.0,356.0,164.0,,1502.522,11.0,11.0,153.0,26.128,,,0.0671,0.9329,,True,completed
114,pkw,209.0,357.0,148.0,,1394.975,0.0,0.0,148.0,14.514,,,0.0,1.0,,True,completed
141,pkw,258.0,357.0,99.0,,905.636,0.0,0.0,99.0,9.827,,,0.0,1.0,,True,completed
92,pkw,165.0,358.0,193.0,,1625.196,19.0,19.0,174.0,40.315,,,0.0984,0.9016,,True,completed
100,pkw,181.0,361.0,180.0,,1832.879,0.0,0.0,180.0,12.209,,,0.0,1.0,,True,completed
125,pkw,232.0,364.0,132.0,,1392.087,0.0,0.0,132.0,5.711,,,0.0,1.0,,True,completed
110,pkw,202.0,366.0,164.0,,1481.02,9.0,9.0,155.0,28.669,,,0.0549,0.9451,,True,completed
15,pkw,22.0,373.0,351.0,,2451.614,16.0,74.0,277.0,113.545,,,0.2108,0.7892,,True,completed
42,pkw,74.0,381.0,307.0,,1771.432,0.0,121.0,186.0,139.169,,,0.3941,0.6059,,True,completed
168,pkw,309.0,382.0,73.0,,736.136,0.0,0.0,73.0,4.86,,,0.0,1.0,,True,completed
128,pkw,240.0,383.0,143.0,,1355.356,1.0,1.0,142.0,16.006,,,0.007,0.993,,True,completed
26,pkw,41.0,388.0,347.0,,2222.734,53.0,121.0,226.0,143.903,,,0.3487,0.6513,,True,completed
146,pkw,269.0,393.0,124.0,,1136.943,4.0,4.0,120.0,15.884,,,0.0323,0.9677,,True,completed
66,pkw,117.0,402.0,285.0,,2448.684,0.0,29.0,256.0,55.343,,,0.1018,0.8982,,True,completed
211,pkw,374.0,416.0,42.0,,381.911,0.0,0.0,42.0,3.66,,,0.0,1.0,,True,completed
194,pkw,339.0,419.0,80.0,,785.873,0.0,0.0,80.0,7.302,,,0.0,1.0,,True,completed
16,pkw,24.0,421.0,397.0,,685.499,65.0,324.0,73.0,334.845,,,0.8161,0.1839,,True,completed
129,pkw,241.0,424.0,183.0,,1328.662,23.0,42.0,141.0,60.127,,,0.2295,0.7705,,True,completed
55,pkw,98.0,425.0,327.0,,2130.247,0.0,76.0,251.0,100.944,,,0.2324,0.7676,,True,completed
29,pkw,49.0,426.0,377.0,,742.23,100.0,300.0,77.0,308.362,,,0.7958,0.2042,,True,completed
187,pkw,333.0,432.0,99.0,,987.8,0.0,0.0,99.0,7.819,,,0.0,1.0,,True,completed
203,pkw,359.0,432.0,73.0,,669.209,0.0,0.0,73.0,4.38,,,0.0,1.0,,True,completed
132,pkw,244.0,434.0,190.0,,1919.366,0.0,0.0,190.0,14.111,,,0.0,1.0,,True,completed
178,pkw,320.0,454.0,134.0,,740.903,29.0,52.0,82.0,66.318,,,0.3881,0.6119,,True,completed
244,pkw,418.0,457.0,39.0,,406.592,0.0,0.0,39.0,1.406,,,0.0,1.0,,True,completed
