vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
43,pkw,74.0,125.0,51.0,,376.351,0.0,0.0,51.0,4.203,,,0.0,1.0,,True,completed
41,pkw,70.0,172.0,102.0,,989.397,0.0,0.0,102.0,5.854,,,0.0,1.0,,True,completed
1,pkw,2.0,174.0,172.0,,1596.591,0.0,0.0,172.0,17.752,,,0.0,1.0,,True,completed
51,pkw,91.0,203.0,112.0,,1063.802,0.0,0.0,112.0,10.002,,,0.0,1.0,,True,completed
29,pkw,49.0,208.0,159.0,,1583.061,3.0,3.0,156.0,15.285,,,0.0189,0.9811,,True,completed
8,pkw,9.0,226.0,217.0,,1657.156,0.0,0.0,217.0,17.729,,,0.0,1.0,,True,completed
59,pkw,103.0,234.0,131.0,,885.699,8.0,8.0,123.0,25.028,,,0.0611,0.9389,,True,completed
88,pkw,152.0,243.0,91.0,,732.737,9.0,9.0,82.0,24.053,,,0.0989,0.9011,,True,completed
15,pkw,20.0,244.0,224.0,,742.196,28.0,142.0,82.0,156.202,,,0.6339,0.3661,,True,completed
47,pkw,84.0,245.0,161.0,,1410.891,7.0,7.0,154.0,22.606,,,0.0435,0.9565,,True,completed
53,pkw,93.0,258.0,165.0,,1688.775,0.0,0.0,165.0,10.654,,,0.0,1.0,,True,completed
74,pkw,134.0,264.0,130.0,,1205.741,5.0,5.0,125.0,17.023,,,0.0385,0.9615,,True,completed
39,pkw,65.0,282.0,217.0,,2132.854,1.0,1.0,216.0,19.277,,,0.0046,0.9954,,True,completed
76,pkw,136.0,282.0,146.0,,1519.922,0.0,0.0,146.0,7.13,,,0.0,1.0,,True,completed
38,pkw,65.0,284.0,219.0,,1838.125,0.0,11.0,208.0,31.236,,,0.0502,0.9498,,True,completed
75,pkw,135.0,285.0,150.0,,1503.904,0.0,0.0,150.0,13.618,,,0.0,1.0,,True,completed
109,pkw,195.0,290.0,95.0,,885.564,0.0,0.0,95.0,8.8,,,0.0,1.0,,True,completed
122,pkw,224.0,301.0,77.0,,747.564,0.0,0.0,77.0,4.844,,,0.0,1.0,,True,completed
116,pkw,212.0,316.0,104.0,,642.762,14.0,14.0,90.0,26.929,,,0.1346,0.8654,,True,completed
145,pkw,262.0,330.0,68.0,,665.785,0.0,0.0,68.0,3.685,,,0.0,1.0,,True,completed
93,pkw,165.0,333.0,168.0,,1628.928,0.0,0.0,168.0,11.747,,,0.0,1.0,,True,completed
143,pkw,258.0,348.0,90.0,,902.62,0.0,0.0,90.0,6.853,,,0.0,1.0,,True,completed
55,pkw,98.0,351.0,253.0,,2124.316,0.0,2.0,251.0,27.3,,,0.0079,0.9921,,True,completed
114,pkw,209.0,354.0,145.0,,1388.31,0.0,0.0,145.0,12.736,,,0.0,1.0,,True,completed
108,pkw,192.0,356.0,164.0,,1503.729,12.0,12.0,152.0,26.658,,,0.0732,0.9268,,True,completed
180,pkw,320.0,362.0,42.0,,435.986,0.0,0.0,42.0,1.761,,,0.0,1.0,,True,completed
111,pkw,202.0,364.0,162.0,,1478.735,8.0,8.0,154.0,26.942,,,0.0494,0.9506,,True,completed
65,pkw,117.0,381.0,264.0,,2450.215,0.0,14.0,250.0,37.73,,,0.053,0.947,,True,completed
133,pkw,241.0,384.0,143.0,,1322.343,1.0,3.0,140.0,20.155,,,0.021,0.979,,True,completed
149,pkw,269.0,386.0,117.0,,1143.184,0.0,0.0,117.0,8.074,,,0.0,1.0,,True,completed
179,pkw,320.0,404.0,84.0,,737.321,9.0,10.0,74.0,16.567,,,0.119,0.881,,True,completed
158,pkw,294.0,405.0,111.0,,1168.616,0.0,0.0,111.0,4.823,,,0.0,1.0,,True,completed
17,pkw,24.0,408.0,384.0,,681.258,64.0,309.0,75.0,321.99,,,0.8047,0.1953,,True,completed
173,pkw,314.0,413.0,99.0,,943.335,4.0,4.0,95.0,12.901,,,0.0404,0.9596,,True,completed
101,pkw,181.0,414.0,233.0,,2336.514,0.0,0.0,233.0,14.282,,,0.0,1.0,,True,completed
128,pkw,239.0,417.0,178.0,,1490.356,0.0,3.0,175.0,20.879,,,0.0169,0.9831,,True,completed
121,pkw,223.0,420.0,197.0,,1726.17,0.0,2.0,195.0,24.798,,,0.0102,0.9898,,True,completed
219,pkw,374.0,421.0,47.0,,381.321,0.0,0.0,47.0,3.734,,,0.0,1.0,,True,completed
130,pkw,240.0,424.0,184.0,,1478.42,7.0,13.0,171.0,32.057,,,0.0707,0.9293,,True,completed
139,pkw,250.0,438.0,188.0,,1899.193,0.0,0.0,188.0,11.08,,,0.0,1.0,,True,completed
167,pkw,305.0,450.0,145.0,,1439.579,2.0,2.0,143.0,13.976,,,0.0138,0.9862,,True,completed
120,pkw,219.0,452.0,233.0,,2292.509,0.0,0.0,233.0,24.741,,,0.0,1.0,,True,completed
6,pkw,7.0,456.0,449.0,,1516.491,0.0,300.0,149.0,312.055,,,0.6682,0.3318,,True,completed
251,pkw,419.0,478.0,59.0,,610.883,0.0,0.0,59.0,2.98,,,0.0,1.0,,True,completed
152,pkw,279.0,483.0,204.0,,1800.963,0.0,7.0,197.0,30.711,,,0.0343,0.9657,,True,completed
156,pkw,291.0,489.0,198.0,,2044.824,0.0,0.0,198.0,10.148,,,0.0,1.0,,True,completed
242,pkw,409.0,504.0,95.0,,834.772,0.0,0.0,95.0,8.101,,,0.0,1.0,,True,completed
239,pkw,406.0,505.0,99.0,,1046.333,0.0,0.0,99.0,3.829,,,0.0,1.0,,True,completed
172,pkw,313.0,507.0,194.0,,1688.42,25.0,25.0,169.0,40.272,,,0.1289,0.8711,,True,completed
163,pkw,302.0,508.0,206.0,,1787.35,0.0,0.0,206.0,14.869,,,0.0,1.0,,True,completed
161,pkw,302.0,515.0,213.0,,2124.122,0.0,0.0,213.0,16.618,,,0.0,1.0,,True,completed
14,pkw,19.0,520.0,501.0,,2078.138,37.0,300.0,201.0,313.506,,,0.5988,0.4012,,True,completed
20,pkw,30.0,528.0,498.0,,1349.55,55.0,355.0,143.0,373.557,,,0.7129,0.2871,,True,completed
168,pkw,305.0,533.0,228.0,,2010.162,15.0,15.0,213.0,36.219,,,0.0658,0.9342,,True,completed
23,pkw,36.0,533.0,497.0,,1965.116,16.0,300.0,197.0,318.347,,,0.6036,0.3964,,True,completed
95,pkw,168.0,535.0,367.0,,628.667,73.0,300.0,67.0,308.454,,,0.8174,0.1826,,True,completed
223,pkw,384.0,538.0,154.0,,1262.473,10.0,15.0,139.0,34.341,,,0.0974,0.9026,,True,completed
230,pkw,392.0,540.0,148.0,,1517.917,0.0,0.0,148.0,7.277,,,0.0,1.0,,True,completed
244,pkw,413.0,553.0,140.0,,1306.092,0.0,0.0,140.0,11.542,,,0.0,1.0,,True,completed
33,pkw,52.0,558.0,506.0,,1651.589,0.0,300.0,206.0,321.271,,,0.5929,0.4071,,True,completed
9,pkw,11.0,558.0,547.0,,2213.744,3.0,323.0,224.0,345.228,,,0.5905,0.4095,,True,completed
278,pkw,452.0,564.0,112.0,,741.353,28.0,29.0,83.0,44.278,,,0.2589,0.7411,,True,completed
83,pkw,144.0,567.0,423.0,,1228.37,80.0,300.0,123.0,310.848,,,0.7092,0.2908,,True,completed
227,pkw,390.0,569.0,179.0,,1833.019,0.0,0.0,179.0,10.901,,,0.0,1.0,,True,completed
212,pkw,365.0,581.0,216.0,,1835.015,0.0,3.0,213.0,22.492,,,0.0139,0.9861,,True,completed
34,pkw,54.0,583.0,529.0,,2200.165,0.0,300.0,229.0,320.918,,,0.5671,0.4329,,True,completed
117,pkw,215.0,587.0,372.0,,673.522,79.0,300.0,72.0,308.912,,,0.8065,0.1935,,True,completed
308,pkw,489.0,588.0,99.0,,873.707,4.0,4.0,95.0,18.794,,,0.0404,0.9596,,True,completed
263,pkw,436.0,601.0,165.0,,1498.167,0.0,0.0,165.0,16.651,,,0.0,1.0,,True,completed
337,pkw,524.0,602.0,78.0,,746.269,0.0,0.0,78.0,4.356,,,0.0,1.0,,True,completed
186,pkw,328.0,605.0,277.0,,2358.651,1.0,8.0,269.0,39.22,,,0.0289,0.9711,,True,completed
265,pkw,439.0,625.0,186.0,,1504.279,0.0,0.0,186.0,14.976,,,0.0,1.0,,True,completed
326,pkw,512.0,626.0,114.0,,643.195,26.0,26.0,88.0,38.035,,,0.2281,0.7719,,True,completed
363,pkw,549.0,626.0,77.0,,740.987,0.0,0.0,77.0,7.763,,,0.0,1.0,,True,completed
374,pkw,562.0,631.0,69.0,,662.321,0.0,0.0,69.0,4.177,,,0.0,1.0,,True,completed
284,pkw,465.0,633.0,168.0,,1628.598,0.0,0.0,168.0,10.837,,,0.0,1.0,,True,completed
342,pkw,532.0,646.0,114.0,,1014.678,0.0,0.0,114.0,8.944,,,0.0,1.0,,True,completed
279,pkw,453.0,650.0,197.0,,1644.125,1.0,33.0,164.0,48.027,,,0.1675,0.8325,,True,completed
316,pkw,504.0,651.0,147.0,,1472.82,0.0,0.0,147.0,10.352,,,0.0,1.0,,True,completed
32,pkw,51.0,655.0,604.0,,599.276,98.0,536.0,68.0,548.098,,,0.8874,0.1126,,True,completed
367,pkw,552.0,656.0,104.0,,889.443,0.0,0.0,104.0,8.453,,,0.0,1.0,,True,completed
312,pkw,492.0,659.0,167.0,,1504.88,14.0,14.0,153.0,29.065,,,0.0838,0.9162,,True,completed
286,pkw,466.0,660.0,194.0,,1820.336,0.0,0.0,194.0,19.923,,,0.0,1.0,,True,completed
247,pkw,417.0,665.0,248.0,,2446.112,0.0,3.0,245.0,22.998,,,0.0121,0.9879,,True,completed
282,pkw,458.0,666.0,208.0,,1833.282,0.0,1.0,207.0,23.313,,,0.0048,0.9952,,True,completed
315,pkw,502.0,666.0,164.0,,1481.875,9.0,9.0,155.0,29.108,,,0.0549,0.9451,,True,completed
377,pkw,565.0,673.0,108.0,,886.255,3.0,3.0,105.0,17.284,,,0.0278,0.9722,,True,completed
323,pkw,509.0,676.0,167.0,,1388.204,5.0,11.0,156.0,36.137,,,0.0659,0.9341,,True,completed
325,pkw,511.0,676.0,165.0,,1484.179,0.0,0.0,165.0,14.197,,,0.0,1.0,,True,completed
