vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,pkw,21.0,82.0,61.0,,581.413,0.0,0.0,61.0,7.672,,,0.0,1.0,,True,completed
6,pkw,20.0,114.0,94.0,,830.747,8.0,8.0,86.0,8.084,,,0.0851,0.9149,,True,completed
4,pkw,12.0,131.0,119.0,,1135.639,0.0,0.0,119.0,7.437,,,0.0,1.0,,True,completed
14,pkw,74.0,164.0,90.0,,883.556,0.0,0.0,90.0,4.016,,,0.0,1.0,,True,completed
10,pkw,43.0,170.0,127.0,,875.168,37.0,37.0,90.0,47.234,,,0.2913,0.7087,,True,completed
15,pkw,82.0,202.0,120.0,,1151.81,0.0,0.0,120.0,13.599,,,0.0,1.0,,True,completed
9,pkw,39.0,215.0,176.0,,1440.178,7.0,7.0,169.0,12.854,,,0.0398,0.9602,,True,completed
39,pkw,192.0,251.0,59.0,,561.868,0.0,0.0,59.0,2.807,,,0.0,1.0,,True,completed
29,pkw,153.0,260.0,107.0,,858.669,20.0,20.0,87.0,28.056,,,0.1869,0.8131,,True,completed
3,pkw,9.0,268.0,259.0,,1741.304,3.0,50.0,209.0,71.869,,,0.1931,0.8069,,True,completed
28,pkw,152.0,274.0,122.0,,1179.028,6.0,6.0,116.0,7.404,,,0.0492,0.9508,,True,completed
30,pkw,165.0,284.0,119.0,,1176.025,0.0,0.0,119.0,5.689,,,0.0,1.0,,True,completed
22,pkw,106.0,288.0,182.0,,1728.326,9.0,9.0,173.0,24.308,,,0.0495,0.9505,,True,completed
26,pkw,129.0,306.0,177.0,,1710.701,0.0,0.0,177.0,11.024,,,0.0,1.0,,True,completed
27,pkw,144.0,310.0,166.0,,1444.433,0.0,6.0,160.0,13.3,,,0.0361,0.9639,,True,completed
41,pkw,202.0,351.0,149.0,,1438.305,0.0,0.0,149.0,10.795,,,0.0,1.0,,True,completed
17,pkw,85.0,352.0,267.0,,1737.667,0.0,65.0,202.0,86.384,,,0.2434,0.7566,,True,completed
34,pkw,181.0,376.0,195.0,,2025.248,0.0,0.0,195.0,10.641,,,0.0,1.0,,True,completed
50,pkw,250.0,392.0,142.0,,1411.155,0.0,0.0,142.0,12.459,,,0.0,1.0,,True,completed
31,pkw,169.0,408.0,239.0,,1439.562,13.0,88.0,151.0,107.755,,,0.3682,0.6318,,True,completed
80,pkw,344.0,417.0,73.0,,558.658,0.0,0.0,73.0,5.663,,,0.0,1.0,,True,completed
67,pkw,312.0,423.0,111.0,,1137.834,0.0,0.0,111.0,6.89,,,0.0,1.0,,True,completed
72,pkw,321.0,432.0,111.0,,1139.876,0.0,0.0,111.0,6.287,,,0.0,1.0,,True,completed
2,pkw,5.0,433.0,428.0,,1142.028,41.0,310.0,118.0,324.465,,,0.7243,0.2757,,True,completed
13,pkw,65.0,448.0,383.0,,828.774,48.0,300.0,83.0,307.632,,,0.7833,0.2167,,True,completed
0,pkw,2.0,449.0,447.0,,1401.61,0.0,300.0,147.0,312.392,,,0.6711,0.3289,,True,completed
86,pkw,370.0,454.0,84.0,,869.165,0.0,0.0,84.0,4.292,,,0.0,1.0,,True,completed
59,pkw,282.0,455.0,173.0,,1722.79,0.0,0.0,173.0,10.079,,,0.0,1.0,,True,completed
5,pkw,20.0,471.0,451.0,,1438.344,75.0,306.0,145.0,313.663,,,0.6785,0.3215,,True,completed
78,pkw,337.0,478.0,141.0,,1475.697,0.0,0.0,141.0,6.818,,,0.0,1.0,,True,completed
8,pkw,34.0,481.0,447.0,,1134.908,72.0,314.0,133.0,325.337,,,0.7025,0.2975,,True,completed
90,pkw,382.0,494.0,112.0,,1163.307,0.0,0.0,112.0,5.753,,,0.0,1.0,,True,completed
24,pkw,117.0,502.0,385.0,,827.924,48.0,300.0,85.0,309.34,,,0.7792,0.2208,,True,completed
18,pkw,98.0,510.0,412.0,,1115.827,19.0,300.0,112.0,310.3,,,0.7282,0.2718,,True,completed
61,pkw,301.0,529.0,228.0,,1738.536,2.0,29.0,199.0,47.868,,,0.1272,0.8728,,True,completed
66,pkw,309.0,530.0,221.0,,1740.547,2.0,23.0,198.0,52.755,,,0.1041,0.8959,,True,completed
93,pkw,391.0,534.0,143.0,,1404.818,0.0,0.0,143.0,10.054,,,0.0,1.0,,True,completed
111,pkw,453.0,550.0,97.0,,855.867,9.0,9.0,88.0,18.564,,,0.0928,0.9072,,True,completed
79,pkw,343.0,557.0,214.0,,882.225,64.0,107.0,107.0,120.212,,,0.5,0.5,,True,completed
128,pkw,511.0,571.0,60.0,,565.086,0.0,0.0,60.0,2.91,,,0.0,1.0,,True,completed
108,pkw,444.0,572.0,128.0,,866.224,39.0,39.0,89.0,48.349,,,0.3047,0.6953,,True,completed
21,pkw,103.0,573.0,470.0,,1440.623,71.0,307.0,163.0,313.21,,,0.6532,0.3468,,True,completed
12,pkw,65.0,593.0,528.0,,1687.191,0.0,319.0,209.0,339.854,,,0.6042,0.3958,,True,completed
37,pkw,188.0,600.0,412.0,,1131.117,76.0,300.0,112.0,309.331,,,0.7282,0.2718,,True,completed
131,pkw,523.0,635.0,112.0,,1138.099,0.0,0.0,112.0,7.795,,,0.0,1.0,,True,completed
120,pkw,483.0,650.0,167.0,,1437.446,10.0,17.0,150.0,27.455,,,0.1018,0.8982,,True,completed
114,pkw,469.0,660.0,191.0,,1438.925,0.0,29.0,162.0,43.194,,,0.1518,0.8482,,True,completed
35,pkw,183.0,664.0,481.0,,535.042,75.0,423.0,58.0,432.386,,,0.8794,0.1206,,True,completed
