vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,pkw,21.0,82.0,61.0,,581.413,0.0,0.0,61.0,7.672,,,0.0,1.0,,True,completed
6,pkw,20.0,102.0,82.0,,829.728,0.0,0.0,82.0,5.568,,,0.0,1.0,,True,completed
4,pkw,12.0,131.0,119.0,,1134.843,0.0,0.0,119.0,7.549,,,0.0,1.0,,True,completed
10,pkw,43.0,173.0,130.0,,881.836,33.0,33.0,97.0,49.634,,,0.2538,0.7462,,True,completed
14,pkw,74.0,175.0,101.0,,876.906,7.0,7.0,94.0,7.173,,,0.0693,0.9307,,True,completed
9,pkw,39.0,205.0,166.0,,1440.695,0.0,0.0,166.0,10.343,,,0.0,1.0,,True,completed
15,pkw,82.0,211.0,129.0,,1150.72,7.0,7.0,122.0,14.295,,,0.0543,0.9457,,True,completed
3,pkw,9.0,239.0,230.0,,1741.769,2.0,35.0,195.0,49.931,,,0.1522,0.8478,,True,completed
39,pkw,192.0,252.0,60.0,,569.671,0.0,0.0,60.0,3.041,,,0.0,1.0,,True,completed
29,pkw,153.0,260.0,107.0,,858.338,18.0,18.0,89.0,28.052,,,0.1682,0.8318,,True,completed
28,pkw,152.0,264.0,112.0,,1179.32,0.0,0.0,112.0,4.659,,,0.0,1.0,,True,completed
30,pkw,165.0,284.0,119.0,,1178.946,0.0,0.0,119.0,5.41,,,0.0,1.0,,True,completed
22,pkw,106.0,297.0,191.0,,1731.034,7.0,13.0,178.0,24.967,,,0.0681,0.9319,,True,completed
17,pkw,85.0,304.0,219.0,,1742.9,0.0,22.0,197.0,37.869,,,0.1005,0.8995,,True,completed
26,pkw,129.0,306.0,177.0,,1711.832,0.0,0.0,177.0,10.934,,,0.0,1.0,,True,completed
27,pkw,144.0,307.0,163.0,,1438.882,3.0,3.0,160.0,17.92,,,0.0184,0.9816,,True,completed
41,pkw,202.0,350.0,148.0,,1446.646,0.0,0.0,148.0,9.802,,,0.0,1.0,,True,completed
34,pkw,181.0,376.0,195.0,,2026.923,0.0,0.0,195.0,10.785,,,0.0,1.0,,True,completed
50,pkw,250.0,392.0,142.0,,1414.658,0.0,0.0,142.0,12.407,,,0.0,1.0,,True,completed
