vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
6,car,20.0,101.0,81.0,,821.921,0.0,0.0,81.0,5.252,,,0.0,1.0,,True,completed
2,car,5.0,125.0,120.0,,1160.94,4.0,4.0,116.0,14.363,,,0.0333,0.9667,,True,completed
10,truck,43.0,153.0,110.0,,871.858,0.0,0.0,110.0,4.335,,,0.0,1.0,,True,completed
0,truck,2.0,194.0,192.0,,1422.32,0.0,7.0,185.0,19.36,,,0.0365,0.9635,,True,completed
24,car,117.0,202.0,85.0,,859.211,0.0,0.0,85.0,3.501,,,0.0,1.0,,True,completed
3,car,9.0,214.0,205.0,,1742.408,0.0,10.0,195.0,24.833,,,0.0488,0.9512,,True,completed
29,car,153.0,241.0,88.0,,855.795,0.0,0.0,88.0,9.61,,,0.0,1.0,,True,completed
19,car,100.0,260.0,160.0,,1447.896,11.0,15.0,145.0,28.238,,,0.0938,0.9062,,True,completed
17,car,85.0,273.0,188.0,,1739.637,0.0,0.0,188.0,7.162,,,0.0,1.0,,True,completed
35,truck,183.0,282.0,99.0,,561.625,22.0,22.0,77.0,30.578,,,0.2222,0.7778,,True,completed
31,car,169.0,319.0,150.0,,1437.914,4.0,4.0,146.0,18.891,,,0.0267,0.9733,,True,completed
11,car,59.0,333.0,274.0,,2053.074,38.0,55.0,219.0,86.359,,,0.2007,0.7993,,True,completed
7,car,21.0,374.0,353.0,,547.766,76.0,300.0,53.0,303.241,,,0.8499,0.1501,,True,completed
44,car,223.0,376.0,153.0,,1466.777,7.0,7.0,146.0,19.633,,,0.0458,0.9542,,True,completed
54,car,269.0,378.0,109.0,,1148.134,0.0,0.0,109.0,4.14,,,0.0,1.0,,True,completed
65,truck,305.0,413.0,108.0,,859.194,0.0,0.0,108.0,3.856,,,0.0,1.0,,True,completed
80,truck,344.0,415.0,71.0,,552.537,0.0,0.0,71.0,3.079,,,0.0,1.0,,True,completed
52,car,260.0,427.0,167.0,,1158.611,40.0,40.0,127.0,50.77,,,0.2395,0.7605,,True,completed
21,car,103.0,428.0,325.0,,1467.757,63.0,160.0,165.0,172.309,,,0.4923,0.5077,,True,completed
50,truck,250.0,428.0,178.0,,1406.015,0.0,0.0,178.0,7.692,,,0.0,1.0,,True,completed
4,car,12.0,429.0,417.0,,1110.634,14.0,300.0,117.0,308.048,,,0.7194,0.2806,,True,completed
32,car,175.0,431.0,256.0,,1170.0,45.0,107.0,149.0,126.594,,,0.418,0.582,,True,completed
1,car,2.0,432.0,430.0,,1130.798,13.0,313.0,117.0,327.767,,,0.7279,0.2721,,True,completed
33,car,181.0,435.0,254.0,,1461.793,66.0,98.0,156.0,120.916,,,0.3858,0.6142,,True,completed
36,car,184.0,435.0,251.0,,1767.334,66.0,76.0,175.0,90.693,,,0.3028,0.6972,,True,completed
47,car,240.0,438.0,198.0,,1725.215,0.0,22.0,176.0,40.358,,,0.1111,0.8889,,True,completed
13,car,65.0,446.0,381.0,,825.495,49.0,300.0,81.0,305.646,,,0.7874,0.2126,,True,completed
60,truck,299.0,447.0,148.0,,1176.269,0.0,0.0,148.0,5.683,,,0.0,1.0,,True,completed
8,car,34.0,469.0,435.0,,1132.102,73.0,305.0,130.0,318.622,,,0.7011,0.2989,,True,completed
102,car,417.0,487.0,70.0,,569.578,4.0,4.0,66.0,13.528,,,0.0571,0.9429,,True,completed
71,car,320.0,496.0,176.0,,1132.253,57.0,57.0,119.0,71.872,,,0.3239,0.6761,,True,completed
86,car,370.0,496.0,126.0,,868.519,35.0,35.0,91.0,46.591,,,0.2778,0.7222,,True,completed
57,car,277.0,508.0,231.0,,1757.2,29.0,29.0,202.0,47.161,,,0.1255,0.8745,,True,completed
18,car,98.0,509.0,411.0,,1116.418,19.0,300.0,111.0,309.254,,,0.7299,0.2701,,True,completed
61,car,301.0,515.0,214.0,,1745.288,0.0,18.0,196.0,32.304,,,0.0841,0.9159,,True,completed
82,car,356.0,527.0,171.0,,1143.149,4.0,45.0,126.0,58.598,,,0.2632,0.7368,,True,completed
98,car,410.0,533.0,123.0,,1177.576,0.0,0.0,123.0,16.017,,,0.0,1.0,,True,completed
66,car,309.0,535.0,226.0,,1741.476,0.0,28.0,198.0,58.303,,,0.1239,0.8761,,True,completed
39,car,192.0,549.0,357.0,,531.808,74.0,300.0,57.0,304.349,,,0.8403,0.1597,,True,completed
108,car,444.0,566.0,122.0,,870.55,30.0,30.0,92.0,42.197,,,0.2459,0.7541,,True,completed
111,car,453.0,569.0,116.0,,855.394,16.0,16.0,100.0,27.977,,,0.1379,0.8621,,True,completed
12,car,65.0,577.0,512.0,,1681.192,8.0,308.0,204.0,314.936,,,0.6016,0.3984,,True,completed
83,car,359.0,578.0,219.0,,1753.664,26.0,26.0,193.0,39.529,,,0.1187,0.8813,,True,completed
87,car,374.0,586.0,212.0,,1759.653,0.0,38.0,174.0,52.114,,,0.1792,0.8208,,True,completed
55,truck,273.0,588.0,315.0,,1729.455,23.0,74.0,241.0,106.194,,,0.2349,0.7651,,True,completed
107,car,437.0,595.0,158.0,,1435.952,0.0,0.0,158.0,10.182,,,0.0,1.0,,True,completed
91,car,384.0,603.0,219.0,,2055.678,17.0,17.0,202.0,32.24,,,0.0776,0.9224,,True,completed
99,car,410.0,605.0,195.0,,1182.162,8.0,33.0,162.0,49.683,,,0.1692,0.8308,,True,completed
79,car,343.0,609.0,266.0,,883.383,62.0,163.0,103.0,172.09,,,0.6128,0.3872,,True,completed
97,car,403.0,615.0,212.0,,1469.797,49.0,58.0,154.0,78.511,,,0.2736,0.7264,,True,completed
16,car,84.0,617.0,533.0,,1436.784,3.0,373.0,160.0,402.888,,,0.6998,0.3002,,True,completed
140,truck,547.0,619.0,72.0,,560.395,0.0,0.0,72.0,3.726,,,0.0,1.0,,True,completed
20,truck,101.0,641.0,540.0,,1718.924,68.0,313.0,227.0,326.582,,,0.5796,0.4204,,True,completed
117,car,476.0,648.0,172.0,,1154.83,41.0,41.0,131.0,66.828,,,0.2384,0.7616,,True,completed
115,truck,473.0,653.0,180.0,,1420.028,0.0,0.0,180.0,8.018,,,0.0,1.0,,True,completed
110,truck,452.0,662.0,210.0,,1165.898,58.0,58.0,152.0,69.013,,,0.2762,0.7238,,True,completed
105,truck,436.0,663.0,227.0,,1703.519,7.0,7.0,220.0,12.623,,,0.0308,0.9692,,True,completed
75,truck,334.0,667.0,333.0,,1165.197,55.0,168.0,165.0,192.05,,,0.5045,0.4955,,True,completed
64,car,305.0,668.0,363.0,,1163.675,51.0,207.0,156.0,257.062,,,0.5702,0.4298,,True,completed
176,car,624.0,677.0,53.0,,562.444,0.0,0.0,53.0,1.258,,,0.0,1.0,,True,completed
51,car,255.0,683.0,428.0,,1755.167,38.0,248.0,180.0,268.699,,,0.5794,0.4206,,True,completed
147,car,569.0,690.0,121.0,,1149.013,0.0,0.0,121.0,5.245,,,0.0,1.0,,True,completed
89,car,380.0,694.0,314.0,,1688.787,0.0,119.0,195.0,136.648,,,0.379,0.621,,True,completed
187,car,639.0,695.0,56.0,,547.471,0.0,0.0,56.0,3.001,,,0.0,1.0,,True,completed
138,car,544.0,697.0,153.0,,1431.785,1.0,1.0,152.0,17.151,,,0.0065,0.9935,,True,completed
92,car,387.0,697.0,310.0,,1426.27,48.0,135.0,175.0,179.713,,,0.4355,0.5645,,True,completed
46,car,232.0,701.0,469.0,,1433.609,2.0,302.0,167.0,315.726,,,0.6439,0.3561,,True,completed
148,car,573.0,707.0,134.0,,861.487,37.0,37.0,97.0,46.792,,,0.2761,0.7239,,True,completed
