vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,car,11.0,182.0,171.0,,1142.107,0.0,39.0,132.0,51.735,,,0.2281,0.7719,,True,completed
27,car,123.0,212.0,89.0,,849.36,0.0,0.0,89.0,3.248,,,0.0,1.0,,True,completed
14,truck,70.0,222.0,152.0,,864.657,39.0,39.0,113.0,47.085,,,0.2566,0.7434,,True,completed
4,truck,12.0,242.0,230.0,,1772.819,0.0,2.0,228.0,15.885,,,0.0087,0.9913,,True,completed
45,car,191.0,273.0,82.0,,824.687,0.0,0.0,82.0,5.236,,,0.0,1.0,,True,completed
7,car,21.0,282.0,261.0,,1464.748,39.0,116.0,145.0,127.836,,,0.4444,0.5556,,True,completed
12,car,65.0,300.0,235.0,,1994.719,0.0,0.0,235.0,11.084,,,0.0,1.0,,True,completed
19,truck,85.0,312.0,227.0,,1732.683,0.0,3.0,224.0,17.754,,,0.0132,0.9868,,True,completed
33,car,152.0,315.0,163.0,,1165.974,34.0,39.0,124.0,56.653,,,0.2393,0.7607,,True,completed
39,truck,175.0,322.0,147.0,,1168.473,0.0,0.0,147.0,5.601,,,0.0,1.0,,True,completed
26,car,117.0,336.0,219.0,,856.311,35.0,123.0,96.0,135.553,,,0.5616,0.4384,,True,completed
37,car,169.0,341.0,172.0,,1441.86,10.0,16.0,156.0,39.766,,,0.093,0.907,,True,completed
2,car,9.0,370.0,361.0,,1732.762,11.0,189.0,172.0,203.186,,,0.5235,0.4765,,True,completed
6,car,20.0,374.0,354.0,,2026.83,8.0,140.0,214.0,168.339,,,0.3955,0.6045,,True,completed
51,car,223.0,375.0,152.0,,1458.0,2.0,2.0,150.0,19.611,,,0.0132,0.9868,,True,completed
43,car,184.0,398.0,214.0,,1771.287,0.0,0.0,214.0,19.592,,,0.0,1.0,,True,completed
40,car,181.0,399.0,218.0,,1463.327,36.0,43.0,175.0,63.242,,,0.1972,0.8028,,True,completed
5,car,20.0,406.0,386.0,,1773.515,65.0,196.0,190.0,224.923,,,0.5078,0.4922,,True,completed
53,car,240.0,407.0,167.0,,1718.496,0.0,0.0,167.0,9.751,,,0.0,1.0,,True,completed
21,car,100.0,411.0,311.0,,1443.806,0.0,148.0,163.0,160.557,,,0.4759,0.5241,,True,completed
84,truck,349.0,418.0,69.0,,540.852,0.0,0.0,69.0,2.884,,,0.0,1.0,,True,completed
70,car,309.0,432.0,123.0,,1142.888,7.0,7.0,116.0,18.794,,,0.0569,0.9431,,True,completed
1,car,8.0,443.0,435.0,,1415.667,21.0,300.0,135.0,306.84,,,0.6897,0.3103,,True,completed
