vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
31,car,51.0,115.0,64.0,,598.272,0.0,0.0,64.0,8.765,,,0.0,1.0,,True,completed
41,car,74.0,122.0,48.0,,382.163,0.0,0.0,48.0,4.836,,,0.0,1.0,,True,completed
13,car,20.0,147.0,127.0,,738.463,29.0,40.0,87.0,59.538,,,0.315,0.685,,True,completed
26,car,44.0,161.0,117.0,,1036.256,0.0,0.0,117.0,10.565,,,0.0,1.0,,True,completed
2,car,2.0,172.0,170.0,,1593.916,0.0,0.0,170.0,19.065,,,0.0,1.0,,True,completed
40,car,70.0,173.0,103.0,,986.157,0.0,0.0,103.0,4.838,,,0.0,1.0,,True,completed
18,car,30.0,206.0,176.0,,1803.987,0.0,0.0,176.0,10.765,,,0.0,1.0,,True,completed
8,car,9.0,219.0,210.0,,1653.347,0.0,0.0,210.0,11.156,,,0.0,1.0,,True,completed
60,car,103.0,220.0,117.0,,888.93,0.0,0.0,117.0,8.036,,,0.0,1.0,,True,completed
50,car,91.0,223.0,132.0,,1060.125,3.0,3.0,129.0,25.829,,,0.0227,0.9773,,True,completed
28,car,49.0,229.0,180.0,,1575.126,2.0,19.0,161.0,36.853,,,0.1056,0.8944,,True,completed
73,car,130.0,247.0,117.0,,1101.392,0.0,0.0,117.0,7.171,,,0.0,1.0,,True,completed
45,car,84.0,257.0,173.0,,1403.628,19.0,19.0,154.0,33.588,,,0.1098,0.8902,,True,completed
85,car,152.0,257.0,105.0,,740.891,19.0,19.0,86.0,37.319,,,0.181,0.819,,True,completed
52,car,93.0,268.0,175.0,,1686.971,7.0,7.0,168.0,21.29,,,0.04,0.96,,True,completed
0,truck,2.0,272.0,270.0,,2126.128,0.0,0.0,270.0,12.935,,,0.0,1.0,,True,completed
38,car,65.0,279.0,214.0,,2127.136,0.0,0.0,214.0,18.712,,,0.0,1.0,,True,completed
103,car,195.0,291.0,96.0,,884.76,0.0,0.0,96.0,9.068,,,0.0,1.0,,True,completed
110,car,212.0,293.0,81.0,,646.485,0.0,0.0,81.0,8.11,,,0.0,1.0,,True,completed
75,car,136.0,301.0,165.0,,1521.293,2.0,2.0,163.0,23.036,,,0.0121,0.9879,,True,completed
115,car,224.0,303.0,79.0,,743.767,0.0,0.0,79.0,3.289,,,0.0,1.0,,True,completed
91,car,173.0,309.0,136.0,,1287.31,0.0,0.0,136.0,8.968,,,0.0,1.0,,True,completed
138,car,262.0,332.0,70.0,,669.241,0.0,0.0,70.0,3.06,,,0.0,1.0,,True,completed
163,car,307.0,349.0,42.0,,439.358,0.0,0.0,42.0,1.342,,,0.0,1.0,,True,completed
71,car,128.0,350.0,222.0,,2105.882,0.0,0.0,222.0,17.981,,,0.0,1.0,,True,completed
136,car,258.0,355.0,97.0,,901.665,0.0,0.0,97.0,8.733,,,0.0,1.0,,True,completed
56,car,98.0,357.0,259.0,,2124.608,0.0,4.0,255.0,39.742,,,0.0154,0.9846,,True,completed
118,car,232.0,360.0,128.0,,1019.847,0.0,0.0,128.0,12.434,,,0.0,1.0,,True,completed
37,car,65.0,362.0,297.0,,1829.452,0.0,57.0,240.0,110.978,,,0.1919,0.8081,,True,completed
10,car,14.0,365.0,351.0,,385.913,51.0,301.0,50.0,304.486,,,0.8575,0.1425,,True,completed
186,car,333.0,374.0,41.0,,435.596,0.0,0.0,41.0,0.796,,,0.0,1.0,,True,completed
108,car,209.0,380.0,171.0,,1395.522,13.0,13.0,158.0,39.529,,,0.076,0.924,,True,completed
126,car,241.0,380.0,139.0,,1326.238,0.0,0.0,139.0,15.757,,,0.0,1.0,,True,completed
87,car,165.0,382.0,217.0,,1630.607,26.0,31.0,186.0,64.592,,,0.1429,0.8571,,True,completed
66,car,117.0,383.0,266.0,,2446.447,0.0,4.0,262.0,37.24,,,0.015,0.985,,True,completed
102,car,192.0,385.0,193.0,,1506.8,27.0,27.0,166.0,54.349,,,0.1399,0.8601,,True,completed
106,car,202.0,390.0,188.0,,1477.568,16.0,18.0,170.0,52.892,,,0.0957,0.9043,,True,completed
164,truck,309.0,401.0,92.0,,726.62,0.0,0.0,92.0,3.361,,,0.0,1.0,,True,completed
153,car,294.0,403.0,109.0,,1173.316,0.0,0.0,109.0,2.4,,,0.0,1.0,,True,completed
86,car,154.0,404.0,250.0,,2308.33,0.0,11.0,239.0,39.981,,,0.044,0.956,,True,completed
214,truck,374.0,423.0,49.0,,370.308,0.0,0.0,49.0,2.357,,,0.0,1.0,,True,completed
16,car,24.0,424.0,400.0,,685.561,63.0,326.0,74.0,337.839,,,0.815,0.185,,True,completed
206,car,359.0,429.0,70.0,,664.398,0.0,0.0,70.0,5.942,,,0.0,1.0,,True,completed
172,car,318.0,444.0,126.0,,1268.234,0.0,0.0,126.0,10.308,,,0.0,1.0,,True,completed
6,car,7.0,451.0,444.0,,1516.279,0.0,300.0,144.0,307.074,,,0.6757,0.3243,,True,completed
147,car,286.0,453.0,167.0,,1213.348,18.0,34.0,133.0,52.446,,,0.2036,0.7964,,True,completed
121,car,239.0,478.0,239.0,,1489.138,48.0,51.0,188.0,75.015,,,0.2134,0.7866,,True,completed
96,car,181.0,478.0,297.0,,2336.988,1.0,45.0,252.0,82.063,,,0.1515,0.8485,,True,completed
193,car,339.0,483.0,144.0,,784.901,25.0,25.0,119.0,62.837,,,0.1736,0.8264,,True,completed
175,car,320.0,487.0,167.0,,740.786,42.0,81.0,86.0,91.329,,,0.485,0.515,,True,completed
194,truck,340.0,487.0,147.0,,787.771,19.0,19.0,128.0,43.166,,,0.1293,0.8707,,True,completed
169,truck,314.0,494.0,180.0,,991.085,29.0,29.0,151.0,50.24,,,0.1611,0.8389,,True,completed
227,car,391.0,505.0,114.0,,1062.759,0.0,0.0,114.0,10.321,,,0.0,1.0,,True,completed
47,car,85.0,505.0,420.0,,1228.729,0.0,300.0,120.0,307.962,,,0.7143,0.2857,,True,completed
146,car,279.0,509.0,230.0,,1797.357,0.0,23.0,207.0,57.383,,,0.1,0.9,,True,completed
238,car,408.0,519.0,111.0,,1106.444,0.0,0.0,111.0,9.507,,,0.0,1.0,,True,completed
188,car,335.0,520.0,185.0,,1810.068,0.0,0.0,185.0,20.051,,,0.0,1.0,,True,completed
27,car,46.0,529.0,483.0,,1789.397,35.0,300.0,183.0,312.269,,,0.6211,0.3789,,True,completed
266,car,445.0,530.0,85.0,,878.343,0.0,0.0,85.0,4.948,,,0.0,1.0,,True,completed
245,car,420.0,535.0,115.0,,907.862,0.0,0.0,115.0,24.221,,,0.0,1.0,,True,completed
339,truck,532.0,541.0,9.0,,64.322,0.0,0.0,9.0,0.278,,,0.0,1.0,,True,completed
195,car,341.0,547.0,206.0,,1650.474,26.0,26.0,180.0,52.485,,,0.1262,0.8738,,True,completed
235,car,403.0,549.0,146.0,,1328.387,4.0,4.0,142.0,18.168,,,0.0274,0.9726,,True,completed
89,truck,168.0,553.0,385.0,,630.077,66.0,300.0,85.0,309.189,,,0.7792,0.2208,,True,completed
275,car,452.0,557.0,105.0,,741.804,28.0,28.0,77.0,37.237,,,0.2667,0.7333,,True,completed
332,car,516.0,561.0,45.0,,478.126,0.0,0.0,45.0,0.968,,,0.0,1.0,,True,completed
81,car,144.0,562.0,418.0,,1229.247,81.0,300.0,118.0,306.035,,,0.7177,0.2823,,True,completed
333,car,516.0,568.0,52.0,,457.709,0.0,0.0,52.0,9.336,,,0.0,1.0,,True,completed
252,car,430.0,576.0,146.0,,1518.783,0.0,0.0,146.0,3.886,,,0.0,1.0,,True,completed
117,car,231.0,585.0,354.0,,487.59,100.0,300.0,54.0,309.255,,,0.8475,0.1525,,True,completed
259,truck,438.0,585.0,147.0,,1104.273,0.0,0.0,147.0,11.395,,,0.0,1.0,,True,completed
125,car,240.0,591.0,351.0,,1360.347,96.0,187.0,164.0,224.76,,,0.5328,0.4672,,True,completed
294,truck,480.0,592.0,112.0,,839.757,0.0,0.0,112.0,6.767,,,0.0,1.0,,True,completed
208,car,365.0,595.0,230.0,,1832.939,0.0,5.0,225.0,36.808,,,0.0217,0.9783,,True,completed
250,car,429.0,597.0,168.0,,819.55,43.0,72.0,96.0,93.115,,,0.4286,0.5714,,True,completed
265,car,444.0,597.0,153.0,,1486.937,0.0,0.0,153.0,7.431,,,0.0,1.0,,True,completed
336,car,524.0,602.0,78.0,,744.391,0.0,0.0,78.0,3.035,,,0.0,1.0,,True,completed
202,car,352.0,607.0,255.0,,1792.256,9.0,9.0,246.0,21.219,,,0.0353,0.9647,,True,completed
33,car,54.0,610.0,556.0,,2198.25,0.0,300.0,256.0,340.371,,,0.5396,0.4604,,True,completed
313,car,498.0,613.0,115.0,,1010.054,0.0,0.0,115.0,10.845,,,0.0,1.0,,True,completed
322,car,509.0,613.0,104.0,,1003.554,0.0,0.0,104.0,11.23,,,0.0,1.0,,True,completed
233,car,401.0,621.0,220.0,,2267.731,0.0,0.0,220.0,13.429,,,0.0,1.0,,True,completed
325,car,512.0,629.0,117.0,,645.818,27.0,27.0,90.0,43.959,,,0.2308,0.7692,,True,completed
277,car,453.0,642.0,189.0,,1642.728,0.0,25.0,164.0,40.153,,,0.1323,0.8677,,True,completed
369,truck,562.0,646.0,84.0,,660.372,0.0,0.0,84.0,3.724,,,0.0,1.0,,True,completed
300,car,482.0,649.0,167.0,,1265.026,18.0,25.0,142.0,48.614,,,0.1497,0.8503,,True,completed
340,car,532.0,662.0,130.0,,1390.562,0.0,0.0,130.0,3.848,,,0.0,1.0,,True,completed
143,car,276.0,679.0,403.0,,1052.304,99.0,300.0,103.0,307.832,,,0.7444,0.2556,,True,completed
412,car,609.0,679.0,70.0,,735.66,0.0,0.0,70.0,2.385,,,0.0,1.0,,True,completed
397,car,602.0,691.0,89.0,,787.122,0.0,0.0,89.0,16.638,,,0.0,1.0,,True,completed
296,car,481.0,694.0,213.0,,1832.237,27.0,27.0,186.0,46.371,,,0.1268,0.8732,,True,completed
305,car,489.0,696.0,207.0,,1683.57,14.0,38.0,169.0,44.415,,,0.1836,0.8164,,True,completed
351,car,541.0,697.0,156.0,,1326.625,19.0,19.0,137.0,32.451,,,0.1218,0.8782,,True,completed
360,car,551.0,701.0,150.0,,1454.759,0.0,0.0,150.0,13.902,,,0.0,1.0,,True,completed
354,truck,544.0,711.0,167.0,,1033.849,2.0,15.0,152.0,40.681,,,0.0898,0.9102,,True,completed
366,car,558.0,713.0,155.0,,1520.674,3.0,3.0,152.0,13.076,,,0.0194,0.9806,,True,completed
508,car,672.0,714.0,42.0,,443.448,0.0,0.0,42.0,1.089,,,0.0,1.0,,True,completed
511,car,674.0,715.0,41.0,,375.843,0.0,0.0,41.0,3.273,,,0.0,1.0,,True,completed
435,car,620.0,717.0,97.0,,736.076,2.0,2.0,95.0,28.716,,,0.0206,0.9794,,True,completed
32,car,52.0,718.0,666.0,,1657.598,0.0,426.0,240.0,461.546,,,0.6396,0.3604,,True,completed
7,car,9.0,723.0,714.0,,2203.001,74.0,482.0,232.0,509.033,,,0.6751,0.3249,,True,completed
198,car,349.0,725.0,376.0,,742.23,100.0,300.0,76.0,307.81,,,0.7979,0.2021,,True,completed
324,truck,509.0,727.0,218.0,,1390.894,4.0,15.0,203.0,49.05,,,0.0688,0.9312,,True,completed
286,car,468.0,729.0,261.0,,457.928,96.0,209.0,52.0,218.786,,,0.8008,0.1992,,True,completed
492,car,659.0,730.0,71.0,,667.042,0.0,0.0,71.0,2.909,,,0.0,1.0,,True,completed
536,car,691.0,732.0,41.0,,132.686,18.0,18.0,23.0,28.058,,,0.439,0.561,,True,completed
309,truck,492.0,735.0,243.0,,1498.572,21.0,37.0,206.0,61.828,,,0.1523,0.8477,,True,completed
280,car,458.0,738.0,280.0,,1835.123,3.0,63.0,217.0,93.994,,,0.225,0.775,,True,completed
17,car,27.0,741.0,714.0,,2795.923,0.0,382.0,332.0,440.917,,,0.535,0.465,,True,completed
475,car,643.0,746.0,103.0,,918.989,0.0,0.0,103.0,3.841,,,0.0,1.0,,True,completed
67,car,117.0,747.0,630.0,,2318.856,95.0,393.0,237.0,416.714,,,0.6238,0.3762,,True,completed
137,car,261.0,753.0,492.0,,493.26,100.0,433.0,59.0,446.16,,,0.8801,0.1199,,True,completed
482,car,649.0,764.0,115.0,,1142.333,0.0,0.0,115.0,6.608,,,0.0,1.0,,True,completed
464,truck,636.0,769.0,133.0,,1020.417,0.0,0.0,133.0,7.358,,,0.0,1.0,,True,completed
150,car,291.0,775.0,484.0,,2617.265,28.0,210.0,274.0,232.582,,,0.4339,0.5661,,True,completed
94,truck,181.0,777.0,596.0,,2292.971,13.0,300.0,296.0,318.422,,,0.5034,0.4966,,True,completed
579,truck,722.0,779.0,57.0,,448.046,0.0,0.0,57.0,2.158,,,0.0,1.0,,True,completed
605,car,738.0,781.0,43.0,,440.675,0.0,0.0,43.0,2.339,,,0.0,1.0,,True,completed
455,car,632.0,796.0,164.0,,983.695,28.0,29.0,135.0,53.689,,,0.1768,0.8232,,True,completed
540,car,693.0,796.0,103.0,,696.463,12.0,12.0,91.0,37.138,,,0.1165,0.8835,,True,completed
34,truck,55.0,801.0,746.0,,1250.043,4.0,559.0,187.0,595.093,,,0.7493,0.2507,,True,completed
368,car,561.0,802.0,241.0,,1073.595,76.0,122.0,119.0,142.932,,,0.5062,0.4938,,True,completed
442,car,624.0,812.0,188.0,,1818.17,0.0,0.0,188.0,22.455,,,0.0,1.0,,True,completed
491,car,659.0,818.0,159.0,,988.679,38.0,38.0,121.0,59.535,,,0.239,0.761,,True,completed
424,truck,615.0,820.0,205.0,,792.3,22.0,82.0,123.0,108.358,,,0.4,0.6,,True,completed
598,car,737.0,826.0,89.0,,765.234,2.0,2.0,87.0,18.198,,,0.0225,0.9775,,True,completed
83,car,149.0,827.0,678.0,,1725.962,48.0,461.0,217.0,498.895,,,0.6799,0.3201,,True,completed
654,truck,771.0,830.0,59.0,,402.112,0.0,0.0,59.0,9.723,,,0.0,1.0,,True,completed
30,car,51.0,833.0,782.0,,2139.504,36.0,562.0,220.0,580.649,,,0.7187,0.2813,,True,completed
61,car,106.0,841.0,735.0,,1375.098,7.0,584.0,151.0,609.869,,,0.7946,0.2054,,True,completed
122,car,240.0,850.0,610.0,,2121.542,25.0,389.0,221.0,417.571,,,0.6377,0.3623,,True,completed
613,car,742.0,851.0,109.0,,1151.097,0.0,0.0,109.0,3.765,,,0.0,1.0,,True,completed
11,car,18.0,852.0,834.0,,876.112,73.0,727.0,107.0,750.245,,,0.8717,0.1283,,True,completed
315,car,502.0,857.0,355.0,,1477.274,19.0,171.0,184.0,202.183,,,0.4817,0.5183,,True,completed
574,truck,718.0,857.0,139.0,,883.121,16.0,16.0,123.0,31.465,,,0.1151,0.8849,,True,completed
413,car,609.0,873.0,264.0,,2130.969,0.0,0.0,264.0,27.993,,,0.0,1.0,,True,completed
618,car,745.0,874.0,129.0,,986.75,0.0,9.0,120.0,25.569,,,0.0698,0.9302,,True,completed
472,car,640.0,877.0,237.0,,2052.143,0.0,0.0,237.0,19.87,,,0.0,1.0,,True,completed
478,car,645.0,883.0,238.0,,2369.232,0.0,0.0,238.0,17.471,,,0.0,1.0,,True,completed
528,car,687.0,894.0,207.0,,2197.992,0.0,0.0,207.0,7.819,,,0.0,1.0,,True,completed
132,car,247.0,902.0,655.0,,2319.077,95.0,412.0,243.0,438.634,,,0.629,0.371,,True,completed
