vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
43,car,74.0,124.0,50.0,,373.024,0.0,0.0,50.0,3.466,,,0.0,1.0,,True,completed
15,truck,20.0,148.0,128.0,,731.575,15.0,23.0,105.0,39.176,,,0.1797,0.8203,,True,completed
41,car,70.0,169.0,99.0,,985.406,0.0,0.0,99.0,3.241,,,0.0,1.0,,True,completed
1,car,2.0,173.0,171.0,,1593.711,0.0,0.0,171.0,16.799,,,0.0,1.0,,True,completed
59,car,103.0,220.0,117.0,,888.325,0.0,0.0,117.0,11.071,,,0.0,1.0,,True,completed
8,car,9.0,220.0,211.0,,1654.601,0.0,0.0,211.0,12.139,,,0.0,1.0,,True,completed
51,car,91.0,223.0,132.0,,1060.387,6.0,6.0,126.0,30.162,,,0.0455,0.9545,,True,completed
29,car,49.0,229.0,180.0,,1577.2,2.0,19.0,161.0,36.831,,,0.1056,0.8944,,True,completed
47,car,84.0,250.0,166.0,,1409.26,9.0,9.0,157.0,28.076,,,0.0542,0.9458,,True,completed
53,car,93.0,260.0,167.0,,1688.517,0.0,0.0,167.0,13.001,,,0.0,1.0,,True,completed
88,car,152.0,260.0,108.0,,741.2,17.0,17.0,91.0,40.291,,,0.1574,0.8426,,True,completed
39,car,65.0,278.0,213.0,,2131.804,0.0,0.0,213.0,15.825,,,0.0,1.0,,True,completed
109,car,195.0,292.0,97.0,,884.294,0.0,0.0,97.0,10.877,,,0.0,1.0,,True,completed
122,car,224.0,299.0,75.0,,747.493,0.0,0.0,75.0,2.837,,,0.0,1.0,,True,completed
76,car,136.0,299.0,163.0,,1519.491,14.0,14.0,149.0,24.168,,,0.0859,0.9141,,True,completed
116,car,212.0,306.0,94.0,,649.655,2.0,2.0,92.0,16.257,,,0.0213,0.9787,,True,completed
38,car,65.0,308.0,243.0,,1830.579,0.0,19.0,224.0,55.801,,,0.0782,0.9218,,True,completed
74,car,134.0,319.0,185.0,,1200.418,23.0,53.0,132.0,72.404,,,0.2865,0.7135,,True,completed
145,truck,262.0,346.0,84.0,,661.684,0.0,0.0,84.0,3.566,,,0.0,1.0,,True,completed
143,car,258.0,371.0,113.0,,902.867,10.0,10.0,103.0,29.929,,,0.0885,0.9115,,True,completed
180,truck,320.0,375.0,55.0,,433.808,0.0,0.0,55.0,1.922,,,0.0,1.0,,True,completed
133,car,241.0,383.0,142.0,,1325.706,0.0,0.0,142.0,18.837,,,0.0,1.0,,True,completed
149,car,269.0,384.0,115.0,,1138.333,0.0,0.0,115.0,6.709,,,0.0,1.0,,True,completed
17,car,24.0,391.0,367.0,,685.524,69.0,300.0,67.0,304.652,,,0.8174,0.1826,,True,completed
55,truck,98.0,392.0,294.0,,2121.172,0.0,2.0,292.0,22.375,,,0.0068,0.9932,,True,completed
108,car,192.0,401.0,209.0,,1500.835,38.0,46.0,163.0,71.472,,,0.2201,0.7799,,True,completed
158,car,294.0,403.0,109.0,,1174.559,0.0,0.0,109.0,2.289,,,0.0,1.0,,True,completed
114,car,209.0,405.0,196.0,,1395.404,21.0,31.0,165.0,55.115,,,0.1582,0.8418,,True,completed
93,car,165.0,405.0,240.0,,1628.01,31.0,51.0,189.0,83.933,,,0.2125,0.7875,,True,completed
173,car,314.0,416.0,102.0,,942.02,2.0,2.0,100.0,15.975,,,0.0196,0.9804,,True,completed
111,car,202.0,418.0,216.0,,1482.775,21.0,49.0,167.0,72.759,,,0.2269,0.7731,,True,completed
219,car,374.0,422.0,48.0,,381.094,0.0,0.0,48.0,4.787,,,0.0,1.0,,True,completed
130,truck,240.0,432.0,192.0,,1471.398,0.0,0.0,192.0,13.316,,,0.0,1.0,,True,completed
101,car,181.0,433.0,252.0,,2334.495,0.0,8.0,244.0,32.979,,,0.0317,0.9683,,True,completed
6,car,7.0,451.0,444.0,,1514.811,0.0,300.0,144.0,307.206,,,0.6757,0.3243,,True,completed
128,car,239.0,457.0,218.0,,1488.931,34.0,37.0,181.0,61.04,,,0.1697,0.8303,,True,completed
121,car,223.0,475.0,252.0,,1728.586,30.0,38.0,214.0,70.308,,,0.1508,0.8492,,True,completed
