step:3600/3600, q_loss:0, rewards:-57.65971137152778, queue:1.8791666666666667, delay:0.06922879219055175, throughput:1428
episode:0/200, real avg travel time:299.72478991596637
intersection:0, mean_episode_reward:-3.34999942779541, mean_queue:3.5055556297302246
intersection:1, mean_episode_reward:-2.9399991035461426, mean_queue:3.1222221851348877
intersection:2, mean_episode_reward:-4.715555667877197, mean_queue:4.877777576446533
intersection:3, mean_episode_reward:-4.045554161071777, mean_queue:4.172222137451172
intersection:4, mean_episode_reward:-2.9755563735961914, mean_queue:3.1472222805023193
intersection:5, mean_episode_reward:-2.785555124282837, mean_queue:2.9638888835906982
intersection:6, mean_episode_reward:-3.073054313659668, mean_queue:3.219444513320923
intersection:7, mean_episode_reward:-2.7413885593414307, mean_queue:2.883333444595337
intersection:8, mean_episode_reward:-4.082774639129639, mean_queue:4.258333206176758
intersection:9, mean_episode_reward:-3.3974995613098145, mean_queue:3.5527777671813965
intersection:10, mean_episode_reward:-2.781665563583374, mean_queue:2.952777862548828
intersection:11, mean_episode_reward:-3.9386096000671387, mean_queue:4.0722222328186035
intersection:12, mean_episode_reward:-6.31194543838501, mean_queue:6.44444465637207
intersection:13, mean_episode_reward:-4.978053569793701, mean_queue:5.122222423553467
intersection:14, mean_episode_reward:-2.8549997806549072, mean_queue:3.0
intersection:15, mean_episode_reward:-2.687499523162842, mean_queue:2.8388888835906982
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :773.0251256281407, rewards:-431.0825086805556, queue:13.504427083333333, delay:0.16921768188476563, throughput:597
step:3600/3600, q_loss:0, rewards:-55.97804904513889, queue:1.8290798611111112, delay:0.06768738428751628, throughput:1424
episode:1/200, real avg travel time:294.71629213483146
intersection:0, mean_episode_reward:-2.945277214050293, mean_queue:3.133333444595337
intersection:1, mean_episode_reward:-3.4549992084503174, mean_queue:3.663888931274414
intersection:2, mean_episode_reward:-7.402501106262207, mean_queue:7.536110877990723
intersection:3, mean_episode_reward:-2.8005545139312744, mean_queue:2.944444417953491
intersection:4, mean_episode_reward:-3.2466654777526855, mean_queue:3.413888931274414
intersection:5, mean_episode_reward:-3.1661102771759033, mean_queue:3.327777862548828
intersection:6, mean_episode_reward:-3.1477770805358887, mean_queue:3.316666603088379
intersection:7, mean_episode_reward:-2.990832805633545, mean_queue:3.133333444595337
intersection:8, mean_episode_reward:-3.4749996662139893, mean_queue:3.6083333492279053
intersection:9, mean_episode_reward:-3.0169429779052734, mean_queue:3.1694445610046387
intersection:10, mean_episode_reward:-2.8872230052948, mean_queue:3.047222137451172
intersection:11, mean_episode_reward:-3.756664276123047, mean_queue:3.9277777671813965
intersection:12, mean_episode_reward:-3.2297208309173584, mean_queue:3.3611111640930176
intersection:13, mean_episode_reward:-4.659721851348877, mean_queue:4.813889026641846
intersection:14, mean_episode_reward:-2.872776508331299, mean_queue:3.066666603088379
intersection:15, mean_episode_reward:-2.9252774715423584, mean_queue:3.066666603088379
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
