step:3600/3600, q_loss:0, rewards:-56.22861328125, queue:1.8030381944444445, delay:0.0570717281765408, throughput:1433
episode:0/200, real avg travel time:283.728541521284
intersection:0, mean_episode_reward:-4.122223377227783, mean_queue:4.2166666984558105
intersection:1, mean_episode_reward:-3.531111240386963, mean_queue:3.6500000953674316
intersection:2, mean_episode_reward:-5.9069437980651855, mean_queue:5.972222328186035
intersection:3, mean_episode_reward:-1.9911110401153564, mean_queue:2.0638887882232666
intersection:4, mean_episode_reward:-6.134166717529297, mean_queue:6.22777795791626
intersection:5, mean_episode_reward:-3.6597232818603516, mean_queue:3.7361111640930176
intersection:6, mean_episode_reward:-3.0213887691497803, mean_queue:3.11388897895813
intersection:7, mean_episode_reward:-2.2183332443237305, mean_queue:2.319444417953491
intersection:8, mean_episode_reward:-3.008889675140381, mean_queue:3.1277778148651123
intersection:9, mean_episode_reward:-5.4447221755981445, mean_queue:5.530555725097656
intersection:10, mean_episode_reward:-2.359166383743286, mean_queue:2.430555582046509
intersection:11, mean_episode_reward:-3.889166831970215, mean_queue:3.961111068725586
intersection:12, mean_episode_reward:-2.4536116123199463, mean_queue:2.577777862548828
intersection:13, mean_episode_reward:-2.39972186088562, mean_queue:2.5055556297302246
intersection:14, mean_episode_reward:-2.667222738265991, mean_queue:2.7472221851348877
intersection:15, mean_episode_reward:-3.4211113452911377, mean_queue:3.5166666507720947
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :474.7795698924731, rewards:-339.15972222222223, queue:10.627604166666666, delay:0.12995114856296117, throughput:744
step:3600/3600, q_loss:0, rewards:-50.171115451388886, queue:1.6138020833333333, delay:0.05538108613755968, throughput:1430
episode:1/200, real avg travel time:270.71958041958044
intersection:0, mean_episode_reward:-1.9466668367385864, mean_queue:2.0416667461395264
intersection:1, mean_episode_reward:-3.1455559730529785, mean_queue:3.23888897895813
intersection:2, mean_episode_reward:-2.9319448471069336, mean_queue:3.0138888359069824
intersection:3, mean_episode_reward:-2.264443874359131, mean_queue:2.3722221851348877
intersection:4, mean_episode_reward:-2.945000648498535, mean_queue:3.027777671813965
intersection:5, mean_episode_reward:-6.158333778381348, mean_queue:6.252777576446533
intersection:6, mean_episode_reward:-1.3963888883590698, mean_queue:1.4555555582046509
intersection:7, mean_episode_reward:-2.311666965484619, mean_queue:2.3972222805023193
intersection:8, mean_episode_reward:-3.3772239685058594, mean_queue:3.469444513320923
intersection:9, mean_episode_reward:-7.316388130187988, mean_queue:7.422222137451172
intersection:10, mean_episode_reward:-2.0538885593414307, mean_queue:2.1111111640930176
intersection:11, mean_episode_reward:-3.8725030422210693, mean_queue:3.9555554389953613
intersection:12, mean_episode_reward:-2.201944351196289, mean_queue:2.319444417953491
intersection:13, mean_episode_reward:-2.347221851348877, mean_queue:2.4638888835906982
intersection:14, mean_episode_reward:-3.031111001968384, mean_queue:3.125
intersection:15, mean_episode_reward:-2.870833396911621, mean_queue:2.9749999046325684
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
