step:3600/3600, q_loss:0, rewards:-48.49000651041667, queue:1.578298611111111, delay:0.06354141235351562, throughput:1430
episode:0/200, real avg travel time:257.0027972027972
intersection:0, mean_episode_reward:-2.9786112308502197, mean_queue:3.105555534362793
intersection:1, mean_episode_reward:-3.526667594909668, mean_queue:3.6500000953674316
intersection:2, mean_episode_reward:-2.918889284133911, mean_queue:3.0527777671813965
intersection:3, mean_episode_reward:-2.576110601425171, mean_queue:2.7083332538604736
intersection:4, mean_episode_reward:-3.1550004482269287, mean_queue:3.288888931274414
intersection:5, mean_episode_reward:-2.6616668701171875, mean_queue:2.7722222805023193
intersection:6, mean_episode_reward:-2.492499351501465, mean_queue:2.6194443702697754
intersection:7, mean_episode_reward:-2.6658334732055664, mean_queue:2.799999952316284
intersection:8, mean_episode_reward:-3.724167823791504, mean_queue:3.844444513320923
intersection:9, mean_episode_reward:-3.4808342456817627, mean_queue:3.5722222328186035
intersection:10, mean_episode_reward:-2.9683339595794678, mean_queue:3.0527777671813965
intersection:11, mean_episode_reward:-3.063889265060425, mean_queue:3.1861112117767334
intersection:12, mean_episode_reward:-2.7294442653656006, mean_queue:2.8805556297302246
intersection:13, mean_episode_reward:-3.706944704055786, mean_queue:3.844444513320923
intersection:14, mean_episode_reward:-3.2233340740203857, mean_queue:3.3416666984558105
intersection:15, mean_episode_reward:-2.6177783012390137, mean_queue:2.7861111164093018
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :877.0512195121951, rewards:-469.0685763888889, queue:14.690625, delay:0.16173532274034289, throughput:410
step:3600/3600, q_loss:0, rewards:-51.025, queue:1.6585069444444445, delay:0.06548986434936524, throughput:1427
episode:1/200, real avg travel time:262.40364400840923
intersection:0, mean_episode_reward:-3.235278606414795, mean_queue:3.3611111640930176
intersection:1, mean_episode_reward:-3.0675015449523926, mean_queue:3.1777777671813965
intersection:2, mean_episode_reward:-3.799443483352661, mean_queue:3.9277777671813965
