step:1200/1200, q_loss:0, rewards:-23.319999186197915, queue:0.78203125, delay:0.042208580176035564, throughput:252
episode:0/100, real avg travel time:222.0952380952381
intersection:0, mean_episode_reward:-1.630833387374878, mean_queue:1.7666666507720947
intersection:1, mean_episode_reward:-1.7958334684371948, mean_queue:1.8666666746139526
intersection:2, mean_episode_reward:-1.8224999904632568, mean_queue:1.9833333492279053
intersection:3, mean_episode_reward:-1.5216668844223022, mean_queue:1.649999976158142
intersection:4, mean_episode_reward:-1.585833191871643, mean_queue:1.6833332777023315
intersection:5, mean_episode_reward:-1.4225000143051147, mean_queue:1.4916666746139526
intersection:6, mean_episode_reward:-1.595833420753479, mean_queue:1.6916667222976685
intersection:7, mean_episode_reward:-1.2275002002716064, mean_queue:1.3583333492279053
intersection:8, mean_episode_reward:-1.506666660308838, mean_queue:1.6166666746139526
intersection:9, mean_episode_reward:-1.6766663789749146, mean_queue:1.75
intersection:10, mean_episode_reward:-1.5550000667572021, mean_queue:1.625
intersection:11, mean_episode_reward:-1.2358335256576538, mean_queue:1.3166667222976685
intersection:12, mean_episode_reward:-0.8449999094009399, mean_queue:0.9416666626930237
intersection:13, mean_episode_reward:-1.4075000286102295, mean_queue:1.5583332777023315
intersection:14, mean_episode_reward:-1.0299999713897705, mean_queue:1.100000023841858
intersection:15, mean_episode_reward:-1.4608330726623535, mean_queue:1.625
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
HELDOUT episode:0/100, demand:raw_data/grid4x4/demand_bag/hold_00.rou.xml, travel time:417.8611111111111, rewards:-106.21666666666667, queue:3.3520833333333333, delay:0.10374897321065267, throughput:72
HELDOUT episode:0/100, demand:raw_data/grid4x4/demand_bag/hold_01.rou.xml, travel time:380.9875, rewards:-102.24750162760417, queue:3.23046875, delay:0.10078746477762858, throughput:80
HELDOUT episode:0/100, demand:raw_data/grid4x4/demand_bag/hold_02.rou.xml, travel time:331.2134831460674, rewards:-96.16416829427084, queue:3.0359375, delay:0.09877573649088542, throughput:89
HELDOUT_MEAN episode:0/100, travel time:376.6873647523928 (n=3)
step:1200/1200, q_loss:0, rewards:-22.054166666666667, queue:0.7416666666666667, delay:0.04258488019307454, throughput:245
episode:1/100, real avg travel time:213.6
intersection:0, mean_episode_reward:-1.4991668462753296, mean_queue:1.6083333492279053
intersection:1, mean_episode_reward:-1.3650002479553223, mean_queue:1.4500000476837158
intersection:2, mean_episode_reward:-2.432499885559082, mean_queue:2.5416667461395264
intersection:3, mean_episode_reward:-1.2900002002716064, mean_queue:1.375
intersection:4, mean_episode_reward:-1.0183334350585938, mean_queue:1.100000023841858
intersection:5, mean_episode_reward:-1.1308332681655884, mean_queue:1.2416666746139526
intersection:6, mean_episode_reward:-1.1733334064483643, mean_queue:1.274999976158142
intersection:7, mean_episode_reward:-1.3766666650772095, mean_queue:1.475000023841858
intersection:8, mean_episode_reward:-1.3533333539962769, mean_queue:1.4416667222976685
intersection:9, mean_episode_reward:-2.021667003631592, mean_queue:2.133333444595337
intersection:10, mean_episode_reward:-0.9674999713897705, mean_queue:1.0166666507720947
intersection:11, mean_episode_reward:-1.3408334255218506, mean_queue:1.4416667222976685
intersection:12, mean_episode_reward:-1.0774999856948853, mean_queue:1.2083333730697632
intersection:13, mean_episode_reward:-1.4466667175292969, mean_queue:1.600000023841858
intersection:14, mean_episode_reward:-1.3425002098083496, mean_queue:1.4416667222976685
intersection:15, mean_episode_reward:-1.218333125114441, mean_queue:1.3833333253860474
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
