step:3600/3600, q_loss:0, rewards:-50.240283203125, queue:1.6447916666666667, delay:0.06734322971767849, throughput:1427
episode:0/200, real avg travel time:274.04204625087596
intersection:0, mean_episode_reward:-3.315556526184082, mean_queue:3.4583332538604736
intersection:1, mean_episode_reward:-3.4966671466827393, mean_queue:3.6666667461395264
intersection:2, mean_episode_reward:-3.200277328491211, mean_queue:3.366666555404663
intersection:3, mean_episode_reward:-2.7699999809265137, mean_queue:2.9166667461395264
intersection:4, mean_episode_reward:-2.9969441890716553, mean_queue:3.1583333015441895
intersection:5, mean_episode_reward:-2.7961113452911377, mean_queue:2.9277777671813965
intersection:6, mean_episode_reward:-2.577221632003784, mean_queue:2.700000047683716
intersection:7, mean_episode_reward:-2.5313894748687744, mean_queue:2.672222137451172
intersection:8, mean_episode_reward:-3.8108344078063965, mean_queue:3.9777777194976807
intersection:9, mean_episode_reward:-3.8000030517578125, mean_queue:3.9361112117767334
intersection:10, mean_episode_reward:-3.096944570541382, mean_queue:3.222222328186035
intersection:11, mean_episode_reward:-3.57777738571167, mean_queue:3.7138888835906982
intersection:12, mean_episode_reward:-2.6186115741729736, mean_queue:2.7750000953674316
intersection:13, mean_episode_reward:-3.828333854675293, mean_queue:3.9972221851348877
intersection:14, mean_episode_reward:-3.396944522857666, mean_queue:3.5444445610046387
intersection:15, mean_episode_reward:-2.4266672134399414, mean_queue:2.5999999046325684
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
