step:3600/3600, q_loss:0, rewards:-50.240283203125, queue:1.6447916666666667, delay:0.06734322971767849, throughput:1427
episode:0/200, real avg travel time:274.04204625087596
intersection:0, mean_episode_reward:-3.315556526184082, mean_queue:3.4583332538604736
intersection:1, mean_episode_reward:-3.4966671466827393, mean_queue:3.6666667461395264
intersection:2, mean_episode_reward:-3.200277328491211, mean_queue:3.366666555404663
intersection:3, mean_episode_reward:-2.7699999809265137, mean_queue:2.9166667461395264
intersection:4, mean_episode_reward:-2.9969441890716553, mean_queue:3.1583333015441895
intersection:5, mean_episode_reward:-2.7961113452911377, mean_queue:2.9277777671813965
intersection:6, mean_episode_reward:-2.577221632003784, mean_queue:2.700000047683716
intersection:7, mean_episode_reward:-2.5313894748687744, mean_queue:2.672222137451172
intersection:8, mean_episode_reward:-3.8108344078063965, mean_queue:3.9777777194976807
intersection:9, mean_episode_reward:-3.8000030517578125, mean_queue:3.9361112117767334
intersection:10, mean_episode_reward:-3.096944570541382, mean_queue:3.222222328186035
intersection:11, mean_episode_reward:-3.57777738571167, mean_queue:3.7138888835906982
intersection:12, mean_episode_reward:-2.6186115741729736, mean_queue:2.7750000953674316
intersection:13, mean_episode_reward:-3.828333854675293, mean_queue:3.9972221851348877
intersection:14, mean_episode_reward:-3.396944522857666, mean_queue:3.5444445610046387
intersection:15, mean_episode_reward:-2.4266672134399414, mean_queue:2.5999999046325684
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :889.23, rewards:-480.55303819444447, queue:15.054166666666667, delay:0.16867201063368056, throughput:400
step:3600/3600, q_loss:0, rewards:-52.52638888888889, queue:1.7159722222222222, delay:0.06845281918843588, throughput:1421
episode:1/200, real avg travel time:278.1660802251935
intersection:0, mean_episode_reward:-3.372222900390625, mean_queue:3.527777671813965
intersection:1, mean_episode_reward:-3.245000123977661, mean_queue:3.405555486679077
intersection:2, mean_episode_reward:-4.1686110496521, mean_queue:4.311110973358154
intersection:3, mean_episode_reward:-2.7072219848632812, mean_queue:2.883333444595337
intersection:4, mean_episode_reward:-3.23805570602417, mean_queue:3.394444465637207
intersection:5, mean_episode_reward:-3.443054437637329, mean_queue:3.555555582046509
intersection:6, mean_episode_reward:-3.0724992752075195, mean_queue:3.222222328186035
intersection:7, mean_episode_reward:-3.0858330726623535, mean_queue:3.2333333492279053
intersection:8, mean_episode_reward:-3.389443874359131, mean_queue:3.5250000953674316
intersection:9, mean_episode_reward:-4.660834312438965, mean_queue:4.80555534362793
intersection:10, mean_episode_reward:-3.5925002098083496, mean_queue:3.6972222328186035
intersection:11, mean_episode_reward:-2.973889112472534, mean_queue:3.11388897895813
intersection:12, mean_episode_reward:-3.442500591278076, mean_queue:3.5888888835906982
intersection:13, mean_episode_reward:-3.4313900470733643, mean_queue:3.5999999046325684
intersection:14, mean_episode_reward:-2.3525006771087646, mean_queue:2.51111102104187
intersection:15, mean_episode_reward:-2.3508334159851074, mean_queue:2.5361111164093018
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:1/200, travel time :889.23, rewards:-480.55303819444447, queue:15.054166666666667, delay:0.16867201063368056, throughput:400
step:3600/3600, q_loss:1.1331632137298584, rewards:-64.54027777777777, queue:2.086197916666667, delay:0.08118600315517849, throughput:1334
episode:2/200, real avg travel time:284.4737631184408
intersection:0, mean_episode_reward:-4.103334426879883, mean_queue:4.263888835906982
intersection:1, mean_episode_reward:-4.080277919769287, mean_queue:4.247222423553467
intersection:2, mean_episode_reward:-5.365000247955322, mean_queue:5.52222204208374
intersection:3, mean_episode_reward:-4.169444561004639, mean_queue:4.333333492279053
intersection:4, mean_episode_reward:-3.913055658340454, mean_queue:4.061110973358154
intersection:5, mean_episode_reward:-3.1088898181915283, mean_queue:3.2138888835906982
intersection:6, mean_episode_reward:-4.413610935211182, mean_queue:4.527777671813965
intersection:7, mean_episode_reward:-3.735279083251953, mean_queue:3.8611111640930176
intersection:8, mean_episode_reward:-3.671111822128296, mean_queue:3.788888931274414
intersection:9, mean_episode_reward:-4.026665687561035, mean_queue:4.1583333015441895
intersection:10, mean_episode_reward:-4.2377777099609375, mean_queue:4.361111164093018
intersection:11, mean_episode_reward:-3.8838884830474854, mean_queue:4.027777671813965
intersection:12, mean_episode_reward:-3.938333034515381, mean_queue:4.088889122009277
intersection:13, mean_episode_reward:-4.343333721160889, mean_queue:4.494444370269775
intersection:14, mean_episode_reward:-4.056666851043701, mean_queue:4.150000095367432
intersection:15, mean_episode_reward:-3.4936108589172363, mean_queue:3.6583333015441895
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:2/200, travel time :866.9623529411765, rewards:-471.2671875, queue:14.766493055555555, delay:0.16424971686469184, throughput:425
step:3600/3600, q_loss:2.7557175159454346, rewards:-207.56360677083333, queue:6.5159722222222225, delay:0.13935360378689235, throughput:1320
episode:3/200, real avg travel time:649.5931818181818
intersection:0, mean_episode_reward:-15.397222518920898, mean_queue:15.463889122009277
intersection:1, mean_episode_reward:-11.076109886169434, mean_queue:11.13888931274414
intersection:2, mean_episode_reward:-12.068055152893066, mean_queue:12.11111068725586
intersection:3, mean_episode_reward:-20.88527488708496, mean_queue:20.936111450195312
intersection:4, mean_episode_reward:-13.567498207092285, mean_queue:13.63888931274414
intersection:5, mean_episode_reward:-10.842223167419434, mean_queue:10.905555725097656
intersection:6, mean_episode_reward:-9.80583381652832, mean_queue:9.844444274902344
intersection:7, mean_episode_reward:-12.721946716308594, mean_queue:12.791666984558105
intersection:8, mean_episode_reward:-10.651941299438477, mean_queue:10.719444274902344
intersection:9, mean_episode_reward:-12.65999984741211, mean_queue:12.697221755981445
intersection:10, mean_episode_reward:-9.276389122009277, mean_queue:9.336111068725586
intersection:11, mean_episode_reward:-12.977776527404785, mean_queue:13.038888931274414
intersection:12, mean_episode_reward:-16.057777404785156, mean_queue:16.113889694213867
intersection:13, mean_episode_reward:-15.149999618530273, mean_queue:15.20555591583252
intersection:14, mean_episode_reward:-9.698888778686523, mean_queue:9.772222518920898
intersection:15, mean_episode_reward:-14.726665496826172, mean_queue:14.797222137451172
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
