vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
16,pkw,24.0,104.0,80.0,,773.355,0.0,0.0,80.0,9.397,,,0.0,1.0,,True,completed
32,pkw,51.0,119.0,68.0,,596.921,3.0,3.0,65.0,12.352,,,0.0441,0.9559,,True,completed
11,pkw,18.0,124.0,106.0,,947.223,1.0,1.0,105.0,14.737,,,0.0094,0.9906,,True,completed
43,pkw,74.0,125.0,51.0,,376.933,0.0,0.0,51.0,4.167,,,0.0,1.0,,True,completed
13,pkw,19.0,145.0,126.0,,1218.398,3.0,3.0,123.0,14.298,,,0.0238,0.9762,,True,completed
29,pkw,49.0,147.0,98.0,,749.307,10.0,10.0,88.0,28.002,,,0.102,0.898,,True,completed
0,pkw,2.0,176.0,174.0,,1697.257,0.0,2.0,172.0,18.459,,,0.0115,0.9885,,True,completed
41,pkw,70.0,180.0,110.0,,985.33,3.0,3.0,107.0,14.254,,,0.0273,0.9727,,True,completed
23,pkw,36.0,200.0,164.0,,1229.785,0.0,0.0,164.0,15.748,,,0.0,1.0,,True,completed
72,pkw,128.0,202.0,74.0,,739.068,0.0,0.0,74.0,5.414,,,0.0,1.0,,True,completed
51,pkw,91.0,204.0,113.0,,1062.905,0.0,0.0,113.0,10.922,,,0.0,1.0,,True,completed
19,pkw,30.0,209.0,179.0,,1804.803,0.0,0.0,179.0,15.145,,,0.0,1.0,,True,completed
36,pkw,55.0,216.0,161.0,,1347.907,6.0,15.0,146.0,33.029,,,0.0932,0.9068,,True,completed
8,pkw,9.0,227.0,218.0,,1659.15,0.0,0.0,218.0,18.119,,,0.0,1.0,,True,completed
10,pkw,15.0,229.0,214.0,,1991.23,0.0,0.0,214.0,14.708,,,0.0,1.0,,True,completed
22,pkw,35.0,231.0,196.0,,1804.462,15.0,15.0,181.0,31.333,,,0.0765,0.9235,,True,completed
7,pkw,9.0,232.0,223.0,,2216.064,0.0,0.0,223.0,15.784,,,0.0,1.0,,True,completed
45,pkw,80.0,234.0,154.0,,1396.159,4.0,4.0,150.0,17.64,,,0.026,0.974,,True,completed
9,pkw,12.0,235.0,223.0,,1959.235,5.0,10.0,213.0,40.733,,,0.0448,0.9552,,True,completed
18,pkw,28.0,247.0,219.0,,2217.322,0.0,0.0,219.0,14.93,,,0.0,1.0,,True,completed
20,pkw,30.0,250.0,220.0,,1652.892,0.0,42.0,178.0,60.876,,,0.1909,0.8091,,True,completed
101,pkw,182.0,252.0,70.0,,689.851,0.0,0.0,70.0,5.593,,,0.0,1.0,,True,completed
60,pkw,106.0,252.0,146.0,,1419.109,0.0,4.0,142.0,16.418,,,0.0274,0.9726,,True,completed
