vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,pkw,11.0,149.0,138.0,,1136.545,2.0,7.0,131.0,20.202,,,0.0507,0.9493,,True,completed
15,pkw,74.0,159.0,85.0,,877.139,0.0,0.0,85.0,4.3,,,0.0,1.0,,True,completed
14,pkw,70.0,170.0,100.0,,861.918,7.0,7.0,93.0,7.297,,,0.07,0.93,,True,completed
26,pkw,117.0,206.0,89.0,,860.795,0.0,0.0,89.0,4.75,,,0.0,1.0,,True,completed
28,pkw,129.0,220.0,91.0,,867.294,4.0,4.0,87.0,11.795,,,0.044,0.956,,True,completed
20,pkw,98.0,229.0,131.0,,1142.083,13.0,16.0,115.0,26.242,,,0.1221,0.8779,,True,completed
7,pkw,21.0,242.0,221.0,,1460.529,36.0,66.0,155.0,88.388,,,0.2986,0.7014,,True,completed
18,pkw,84.0,252.0,168.0,,1470.984,5.0,12.0,156.0,28.115,,,0.0714,0.9286,,True,completed
47,pkw,192.0,252.0,60.0,,566.703,0.0,0.0,60.0,7.996,,,0.0,1.0,,True,completed
23,pkw,103.0,255.0,152.0,,1470.625,0.0,0.0,152.0,18.368,,,0.0,1.0,,True,completed
27,pkw,123.0,256.0,133.0,,847.527,32.0,35.0,98.0,37.57,,,0.2632,0.7368,,True,completed
13,pkw,65.0,257.0,192.0,,1455.212,0.0,47.0,145.0,59.467,,,0.2448,0.7552,,True,completed
17,pkw,82.0,258.0,176.0,,1147.469,33.0,40.0,136.0,56.406,,,0.2273,0.7727,,True,completed
10,pkw,54.0,280.0,226.0,,1173.307,41.0,104.0,122.0,111.111,,,0.4602,0.5398,,True,completed
38,pkw,171.0,282.0,111.0,,1167.003,0.0,0.0,111.0,4.938,,,0.0,1.0,,True,completed
45,pkw,191.0,285.0,94.0,,823.191,8.0,8.0,86.0,7.998,,,0.0851,0.9149,,True,completed
4,pkw,12.0,286.0,274.0,,1782.114,27.0,69.0,205.0,100.275,,,0.2518,0.7482,,True,completed
35,pkw,158.0,295.0,137.0,,1167.416,9.0,13.0,124.0,20.545,,,0.0949,0.9051,,True,completed
19,pkw,85.0,296.0,211.0,,1734.841,15.0,35.0,176.0,53.029,,,0.1659,0.8341,,True,completed
21,pkw,100.0,298.0,198.0,,1448.95,23.0,29.0,169.0,46.417,,,0.1465,0.8535,,True,completed
0,pkw,5.0,313.0,308.0,,1742.97,3.0,113.0,195.0,140.784,,,0.3669,0.6331,,True,completed
29,pkw,142.0,317.0,175.0,,1438.475,7.0,26.0,149.0,43.814,,,0.1486,0.8514,,True,completed
22,pkw,101.0,348.0,247.0,,1756.306,0.0,72.0,175.0,87.046,,,0.2915,0.7085,,True,completed
37,pkw,169.0,348.0,179.0,,1440.804,13.0,31.0,148.0,47.616,,,0.1732,0.8268,,True,completed
44,pkw,188.0,350.0,162.0,,1163.194,12.0,45.0,117.0,56.067,,,0.2778,0.7222,,True,completed
9,pkw,43.0,352.0,309.0,,2026.305,0.0,65.0,244.0,80.682,,,0.2104,0.7896,,True,completed
48,pkw,196.0,355.0,159.0,,862.189,36.0,62.0,97.0,73.642,,,0.3899,0.6101,,True,completed
34,pkw,153.0,357.0,204.0,,1464.707,34.0,47.0,157.0,70.715,,,0.2304,0.7696,,True,completed
2,pkw,9.0,358.0,349.0,,1735.222,13.0,164.0,185.0,182.21,,,0.4699,0.5301,,True,completed
6,pkw,20.0,361.0,341.0,,2034.801,11.0,126.0,215.0,155.681,,,0.3695,0.6305,,True,completed
51,pkw,223.0,372.0,149.0,,1464.357,5.0,5.0,144.0,16.052,,,0.0336,0.9664,,True,completed
30,pkw,144.0,383.0,239.0,,1439.345,0.0,86.0,153.0,99.75,,,0.3598,0.6402,,True,completed
60,pkw,273.0,392.0,119.0,,1154.177,0.0,0.0,119.0,7.321,,,0.0,1.0,,True,completed
32,pkw,149.0,403.0,254.0,,1467.332,7.0,71.0,183.0,83.329,,,0.2795,0.7205,,True,completed
84,pkw,349.0,403.0,54.0,,541.955,0.0,0.0,54.0,3.889,,,0.0,1.0,,True,completed
36,pkw,165.0,411.0,246.0,,1180.176,40.0,122.0,124.0,138.783,,,0.4959,0.5041,,True,completed
53,pkw,240.0,414.0,174.0,,1721.091,0.0,1.0,173.0,16.628,,,0.0057,0.9943,,True,completed
42,pkw,183.0,423.0,240.0,,1719.85,8.0,48.0,192.0,65.095,,,0.2,0.8,,True,completed
72,pkw,318.0,432.0,114.0,,574.453,53.0,53.0,61.0,61.299,,,0.4649,0.5351,,True,completed
16,pkw,75.0,440.0,365.0,,1450.002,41.0,211.0,154.0,223.549,,,0.5781,0.4219,,True,completed
31,pkw,144.0,453.0,309.0,,1162.637,38.0,189.0,120.0,203.1,,,0.6117,0.3883,,True,completed
41,pkw,182.0,454.0,272.0,,1167.138,67.0,146.0,126.0,160.702,,,0.5368,0.4632,,True,completed
43,pkw,184.0,458.0,274.0,,1770.596,23.0,52.0,222.0,71.158,,,0.1898,0.8102,,True,completed
71,pkw,312.0,458.0,146.0,,1143.425,8.0,24.0,122.0,40.311,,,0.1644,0.8356,,True,completed
83,pkw,343.0,459.0,116.0,,874.369,11.0,11.0,105.0,26.631,,,0.0948,0.9052,,True,completed
87,pkw,365.0,462.0,97.0,,855.651,5.0,5.0,92.0,18.682,,,0.0515,0.9485,,True,completed
67,pkw,305.0,464.0,159.0,,1164.378,36.0,36.0,123.0,52.702,,,0.2264,0.7736,,True,completed
90,pkw,370.0,473.0,103.0,,870.645,14.0,14.0,89.0,23.196,,,0.1359,0.8641,,True,completed
82,pkw,341.0,476.0,135.0,,1157.869,9.0,9.0,126.0,21.168,,,0.0667,0.9333,,True,completed
66,pkw,302.0,479.0,177.0,,1481.418,2.0,16.0,161.0,34.689,,,0.0904,0.9096,,True,completed
24,pkw,106.0,482.0,376.0,,1733.697,5.0,187.0,189.0,212.589,,,0.4973,0.5027,,True,completed
49,pkw,202.0,484.0,282.0,,1444.931,3.0,122.0,160.0,150.089,,,0.4326,0.5674,,True,completed
76,pkw,321.0,487.0,166.0,,1143.796,14.0,50.0,116.0,61.528,,,0.3012,0.6988,,True,completed
95,pkw,385.0,498.0,113.0,,858.443,3.0,10.0,103.0,17.672,,,0.0885,0.9115,,True,completed
73,pkw,319.0,501.0,182.0,,1413.434,37.0,37.0,145.0,50.198,,,0.2033,0.7967,,True,completed
8,pkw,34.0,509.0,475.0,,1464.208,32.0,305.0,170.0,323.412,,,0.6421,0.3579,,True,completed
54,pkw,240.0,514.0,274.0,,1981.44,3.0,66.0,208.0,93.207,,,0.2409,0.7591,,True,completed
62,pkw,279.0,514.0,235.0,,2024.559,0.0,4.0,231.0,24.227,,,0.017,0.983,,True,completed
104,pkw,417.0,519.0,102.0,,855.653,10.0,10.0,92.0,16.308,,,0.098,0.902,,True,completed
12,pkw,65.0,522.0,457.0,,1993.209,0.0,209.0,248.0,233.79,,,0.4573,0.5427,,True,completed
91,pkw,374.0,522.0,148.0,,880.144,36.0,50.0,98.0,58.52,,,0.3378,0.6622,,True,completed
40,pkw,181.0,527.0,346.0,,1466.653,64.0,168.0,178.0,181.893,,,0.4855,0.5145,,True,completed
106,pkw,423.0,537.0,114.0,,1142.356,0.0,0.0,114.0,7.11,,,0.0,1.0,,True,completed
117,pkw,453.0,538.0,85.0,,856.013,0.0,0.0,85.0,6.566,,,0.0,1.0,,True,completed
118,pkw,458.0,539.0,81.0,,576.77,11.0,11.0,70.0,19.217,,,0.1358,0.8642,,True,completed
122,pkw,471.0,553.0,82.0,,841.187,0.0,0.0,82.0,4.96,,,0.0,1.0,,True,completed
111,pkw,437.0,554.0,117.0,,878.384,22.0,22.0,95.0,36.945,,,0.188,0.812,,True,completed
133,pkw,492.0,554.0,62.0,,573.692,0.0,0.0,62.0,9.367,,,0.0,1.0,,True,completed
94,pkw,382.0,554.0,172.0,,1149.302,37.0,48.0,124.0,60.193,,,0.2791,0.7209,,True,completed
103,pkw,414.0,555.0,141.0,,1123.622,7.0,19.0,122.0,30.702,,,0.1348,0.8652,,True,completed
25,pkw,110.0,562.0,452.0,,1151.038,43.0,337.0,115.0,347.946,,,0.7456,0.2544,,True,completed
86,pkw,359.0,562.0,203.0,,1748.869,17.0,19.0,184.0,34.112,,,0.0936,0.9064,,True,completed
33,pkw,152.0,563.0,411.0,,1141.759,75.0,300.0,111.0,307.535,,,0.7299,0.2701,,True,completed
110,pkw,436.0,581.0,145.0,,1148.996,7.0,23.0,122.0,40.198,,,0.1586,0.8414,,True,completed
59,pkw,271.0,581.0,310.0,,1740.635,10.0,122.0,188.0,146.222,,,0.3935,0.6065,,True,completed
64,pkw,301.0,584.0,283.0,,1732.251,0.0,97.0,186.0,124.993,,,0.3428,0.6572,,True,completed
98,pkw,398.0,588.0,190.0,,1138.537,13.0,73.0,117.0,85.84,,,0.3842,0.6158,,True,completed
50,pkw,212.0,592.0,380.0,,2065.26,47.0,154.0,226.0,184.216,,,0.4053,0.5947,,True,completed
99,pkw,400.0,594.0,194.0,,1446.203,0.0,0.0,194.0,15.101,,,0.0,1.0,,True,completed
39,pkw,175.0,595.0,420.0,,1169.961,66.0,290.0,130.0,303.584,,,0.6905,0.3095,,True,completed
68,pkw,305.0,595.0,290.0,,1171.255,67.0,169.0,121.0,183.39,,,0.5828,0.4172,,True,completed
65,pkw,302.0,597.0,295.0,,1461.637,66.0,144.0,151.0,161.918,,,0.4881,0.5119,,True,completed
129,pkw,483.0,599.0,116.0,,1158.764,0.0,0.0,116.0,10.358,,,0.0,1.0,,True,completed
88,pkw,365.0,599.0,234.0,,1461.052,41.0,84.0,150.0,101.218,,,0.359,0.641,,True,completed
97,pkw,396.0,600.0,204.0,,1436.683,41.0,56.0,148.0,72.174,,,0.2745,0.7255,,True,completed
101,pkw,403.0,604.0,201.0,,1470.14,46.0,46.0,155.0,58.943,,,0.2289,0.7711,,True,completed
107,pkw,429.0,607.0,178.0,,1176.243,3.0,43.0,135.0,58.561,,,0.2416,0.7584,,True,completed
116,pkw,453.0,613.0,160.0,,1423.116,0.0,7.0,153.0,21.712,,,0.0437,0.9563,,True,completed
124,pkw,473.0,613.0,140.0,,1455.827,0.0,0.0,140.0,7.236,,,0.0,1.0,,True,completed
61,pkw,277.0,615.0,338.0,,1750.582,66.0,130.0,208.0,147.802,,,0.3846,0.6154,,True,completed
113,pkw,444.0,618.0,174.0,,1445.043,13.0,25.0,149.0,41.531,,,0.1437,0.8563,,True,completed
102,pkw,406.0,628.0,222.0,,1734.788,4.0,30.0,192.0,50.275,,,0.1351,0.8649,,True,completed
79,pkw,335.0,628.0,293.0,,2069.587,25.0,46.0,247.0,73.261,,,0.157,0.843,,True,completed
140,pkw,523.0,634.0,111.0,,1137.739,0.0,0.0,111.0,6.89,,,0.0,1.0,,True,completed
52,pkw,224.0,636.0,412.0,,853.217,72.0,314.0,98.0,326.979,,,0.7621,0.2379,,True,completed
143,pkw,540.0,650.0,110.0,,1150.736,0.0,0.0,110.0,5.291,,,0.0,1.0,,True,completed
160,pkw,587.0,651.0,64.0,,541.993,0.0,0.0,64.0,4.207,,,0.0,1.0,,True,completed
105,pkw,417.0,662.0,245.0,,1711.114,10.0,71.0,174.0,89.238,,,0.2898,0.7102,,True,completed
126,pkw,475.0,662.0,187.0,,1163.722,60.0,65.0,122.0,80.813,,,0.3476,0.6524,,True,completed
146,pkw,540.0,669.0,129.0,,1164.539,11.0,11.0,118.0,22.698,,,0.0853,0.9147,,True,completed
123,pkw,473.0,672.0,199.0,,1133.685,50.0,50.0,149.0,65.799,,,0.2513,0.7487,,True,completed
142,pkw,532.0,673.0,141.0,,879.907,36.0,47.0,94.0,51.458,,,0.3333,0.6667,,True,completed
63,pkw,299.0,673.0,374.0,,881.276,68.0,273.0,101.0,293.684,,,0.7299,0.2701,,True,completed
96,pkw,391.0,674.0,283.0,,2015.106,0.0,84.0,199.0,99.625,,,0.2968,0.7032,,True,completed
74,pkw,320.0,676.0,356.0,,1467.429,66.0,194.0,162.0,216.674,,,0.5449,0.4551,,True,completed
141,pkw,524.0,681.0,157.0,,879.521,46.0,51.0,106.0,70.407,,,0.3248,0.6752,,True,completed
155,pkw,568.0,689.0,121.0,,1176.939,3.0,3.0,118.0,13.805,,,0.0248,0.9752,,True,completed
156,pkw,569.0,692.0,123.0,,1148.7,0.0,0.0,123.0,7.628,,,0.0,1.0,,True,completed
195,pkw,639.0,692.0,53.0,,541.086,0.0,0.0,53.0,2.985,,,0.0,1.0,,True,completed
85,pkw,354.0,701.0,347.0,,1180.452,36.0,227.0,120.0,239.758,,,0.6542,0.3458,,True,completed
