vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,pkw,11.0,149.0,138.0,,1136.545,2.0,7.0,131.0,19.793,,,0.0507,0.9493,,True,completed
15,pkw,74.0,159.0,85.0,,877.139,0.0,0.0,85.0,4.3,,,0.0,1.0,,True,completed
14,pkw,70.0,164.0,94.0,,870.002,0.0,0.0,94.0,8.847,,,0.0,1.0,,True,completed
26,pkw,117.0,206.0,89.0,,860.995,0.0,0.0,89.0,4.739,,,0.0,1.0,,True,completed
28,pkw,129.0,220.0,91.0,,869.482,3.0,3.0,88.0,11.598,,,0.033,0.967,,True,completed
20,pkw,98.0,229.0,131.0,,1142.58,13.0,16.0,115.0,26.189,,,0.1221,0.8779,,True,completed
7,pkw,21.0,242.0,221.0,,1460.04,37.0,67.0,154.0,88.432,,,0.3032,0.6968,,True,completed
18,pkw,84.0,252.0,168.0,,1468.213,2.0,8.0,160.0,29.173,,,0.0476,0.9524,,True,completed
47,pkw,192.0,252.0,60.0,,568.35,2.0,2.0,58.0,7.848,,,0.0333,0.9667,,True,completed
23,pkw,103.0,254.0,151.0,,1468.819,1.0,1.0,150.0,17.562,,,0.0066,0.9934,,True,completed
27,pkw,123.0,256.0,133.0,,846.584,35.0,37.0,96.0,39.556,,,0.2782,0.7218,,True,completed
13,pkw,65.0,257.0,192.0,,1460.38,0.0,47.0,145.0,59.288,,,0.2448,0.7552,,True,completed
17,pkw,82.0,258.0,176.0,,1145.165,33.0,40.0,136.0,56.643,,,0.2273,0.7727,,True,completed
19,pkw,85.0,273.0,188.0,,1742.841,0.0,15.0,173.0,29.613,,,0.0798,0.9202,,True,completed
45,pkw,191.0,274.0,83.0,,827.931,0.0,0.0,83.0,5.574,,,0.0,1.0,,True,completed
10,pkw,54.0,280.0,226.0,,1172.412,41.0,109.0,117.0,119.482,,,0.4823,0.5177,,True,completed
38,pkw,171.0,281.0,110.0,,1158.374,0.0,0.0,110.0,4.715,,,0.0,1.0,,True,completed
4,pkw,12.0,286.0,274.0,,1782.408,23.0,66.0,208.0,100.097,,,0.2409,0.7591,,True,completed
21,pkw,100.0,298.0,198.0,,1446.945,17.0,23.0,175.0,46.579,,,0.1162,0.8838,,True,completed
0,pkw,5.0,313.0,308.0,,1741.887,3.0,113.0,195.0,140.887,,,0.3669,0.6331,,True,completed
29,pkw,142.0,318.0,176.0,,1440.596,7.0,26.0,150.0,44.022,,,0.1477,0.8523,,True,completed
37,pkw,169.0,348.0,179.0,,1442.113,13.0,29.0,150.0,46.801,,,0.162,0.838,,True,completed
22,pkw,101.0,349.0,248.0,,1749.844,0.0,72.0,176.0,88.834,,,0.2903,0.7097,,True,completed
44,pkw,188.0,354.0,166.0,,1163.471,8.0,46.0,120.0,59.996,,,0.2771,0.7229,,True,completed
9,pkw,43.0,354.0,311.0,,2034.523,0.0,59.0,252.0,91.236,,,0.1897,0.8103,,True,completed
48,pkw,196.0,355.0,159.0,,861.804,36.0,62.0,97.0,73.68,,,0.3899,0.6101,,True,completed
2,pkw,9.0,357.0,348.0,,1731.546,14.0,168.0,180.0,180.457,,,0.4828,0.5172,,True,completed
34,pkw,153.0,357.0,204.0,,1461.468,34.0,47.0,157.0,71.006,,,0.2304,0.7696,,True,completed
6,pkw,20.0,361.0,341.0,,2034.45,11.0,127.0,214.0,145.888,,,0.3724,0.6276,,True,completed
51,pkw,223.0,372.0,149.0,,1463.493,4.0,4.0,145.0,15.876,,,0.0268,0.9732,,True,completed
35,pkw,158.0,382.0,224.0,,1161.012,36.0,98.0,126.0,101.858,,,0.4375,0.5625,,True,completed
60,pkw,273.0,392.0,119.0,,1154.52,0.0,0.0,119.0,7.288,,,0.0,1.0,,True,completed
30,pkw,144.0,395.0,251.0,,1444.026,6.0,92.0,159.0,103.148,,,0.3665,0.6335,,True,completed
32,pkw,149.0,403.0,254.0,,1468.564,18.0,74.0,180.0,91.79,,,0.2913,0.7087,,True,completed
84,pkw,349.0,404.0,55.0,,542.25,0.0,0.0,55.0,4.831,,,0.0,1.0,,True,completed
36,pkw,165.0,410.0,245.0,,1178.812,41.0,120.0,125.0,137.906,,,0.4898,0.5102,,True,completed
53,pkw,240.0,414.0,174.0,,1728.382,4.0,4.0,170.0,16.426,,,0.023,0.977,,True,completed
16,pkw,75.0,440.0,365.0,,1447.155,41.0,215.0,150.0,232.78,,,0.589,0.411,,True,completed
72,pkw,318.0,442.0,124.0,,581.068,62.0,62.0,62.0,61.403,,,0.5,0.5,,True,completed
71,pkw,312.0,448.0,136.0,,1135.649,13.0,19.0,117.0,31.889,,,0.1397,0.8603,,True,completed
31,pkw,144.0,453.0,309.0,,1160.782,35.0,186.0,123.0,203.267,,,0.6019,0.3981,,True,completed
41,pkw,182.0,454.0,272.0,,1162.789,67.0,144.0,128.0,161.11,,,0.5294,0.4706,,True,completed
43,pkw,184.0,457.0,273.0,,1764.493,26.0,55.0,218.0,79.09,,,0.2015,0.7985,,True,completed
42,pkw,183.0,459.0,276.0,,1727.901,16.0,74.0,202.0,82.406,,,0.2681,0.7319,,True,completed
67,pkw,305.0,459.0,154.0,,1162.063,31.0,31.0,123.0,47.914,,,0.2013,0.7987,,True,completed
83,pkw,343.0,462.0,119.0,,882.296,11.0,11.0,108.0,28.83,,,0.0924,0.9076,,True,completed
90,pkw,370.0,472.0,102.0,,865.39,13.0,13.0,89.0,22.673,,,0.1275,0.8725,,True,completed
87,pkw,365.0,474.0,109.0,,857.021,15.0,15.0,94.0,21.271,,,0.1376,0.8624,,True,completed
82,pkw,341.0,476.0,135.0,,1162.564,9.0,9.0,126.0,20.274,,,0.0667,0.9333,,True,completed
66,pkw,302.0,478.0,176.0,,1475.702,3.0,14.0,162.0,25.803,,,0.0795,0.9205,,True,completed
24,pkw,106.0,481.0,375.0,,1734.465,5.0,182.0,193.0,211.856,,,0.4853,0.5147,,True,completed
49,pkw,202.0,483.0,281.0,,1446.722,3.0,121.0,160.0,148.479,,,0.4306,0.5694,,True,completed
76,pkw,321.0,493.0,172.0,,1139.158,10.0,52.0,120.0,58.945,,,0.3023,0.6977,,True,completed
73,pkw,319.0,501.0,182.0,,1414.588,37.0,37.0,145.0,50.111,,,0.2033,0.7967,,True,completed
95,pkw,385.0,504.0,119.0,,859.136,16.0,16.0,103.0,11.626,,,0.1345,0.8655,,True,completed
8,pkw,34.0,509.0,475.0,,1466.692,32.0,303.0,172.0,323.554,,,0.6379,0.3621,,True,completed
54,pkw,240.0,513.0,273.0,,1977.008,3.0,62.0,211.0,83.127,,,0.2271,0.7729,,True,completed
62,pkw,279.0,514.0,235.0,,2023.634,0.0,6.0,229.0,24.696,,,0.0255,0.9745,,True,completed
104,pkw,417.0,520.0,103.0,,863.147,11.0,11.0,92.0,16.569,,,0.1068,0.8932,,True,completed
91,pkw,374.0,523.0,149.0,,883.531,34.0,54.0,95.0,68.481,,,0.3624,0.6376,,True,completed
40,pkw,181.0,527.0,346.0,,1470.956,64.0,167.0,179.0,190.475,,,0.4827,0.5173,,True,completed
86,pkw,359.0,535.0,176.0,,1752.1,1.0,1.0,175.0,16.302,,,0.0057,0.9943,,True,completed
117,pkw,453.0,538.0,85.0,,855.889,0.0,0.0,85.0,6.608,,,0.0,1.0,,True,completed
118,pkw,458.0,539.0,81.0,,578.279,10.0,10.0,71.0,19.058,,,0.1235,0.8765,,True,completed
12,pkw,65.0,540.0,475.0,,1997.043,12.0,220.0,255.0,242.108,,,0.4632,0.5368,,True,completed
111,pkw,437.0,553.0,116.0,,876.49,22.0,22.0,94.0,36.115,,,0.1897,0.8103,,True,completed
133,pkw,492.0,554.0,62.0,,574.635,1.0,1.0,61.0,9.282,,,0.0161,0.9839,,True,completed
94,pkw,382.0,554.0,172.0,,1148.832,37.0,48.0,124.0,60.266,,,0.2791,0.7209,,True,completed
103,pkw,414.0,556.0,142.0,,1129.064,6.0,19.0,123.0,31.213,,,0.1338,0.8662,,True,completed
25,pkw,110.0,562.0,452.0,,1147.794,42.0,336.0,116.0,348.238,,,0.7434,0.2566,,True,completed
33,pkw,152.0,564.0,412.0,,1141.759,75.0,300.0,112.0,308.304,,,0.7282,0.2718,,True,completed
59,pkw,271.0,580.0,309.0,,1740.997,11.0,122.0,187.0,145.962,,,0.3948,0.6052,,True,completed
110,pkw,436.0,581.0,145.0,,1144.45,6.0,23.0,122.0,40.578,,,0.1586,0.8414,,True,completed
122,pkw,471.0,586.0,115.0,,839.215,16.0,18.0,97.0,29.773,,,0.1565,0.8435,,True,completed
98,pkw,398.0,588.0,190.0,,1141.167,13.0,73.0,117.0,84.957,,,0.3842,0.6158,,True,completed
106,pkw,423.0,589.0,166.0,,1140.175,12.0,50.0,116.0,59.677,,,0.3012,0.6988,,True,completed
64,pkw,301.0,590.0,289.0,,1728.216,0.0,100.0,189.0,130.862,,,0.346,0.654,,True,completed
50,pkw,212.0,593.0,381.0,,2066.274,47.0,159.0,222.0,193.523,,,0.4173,0.5827,,True,completed
93,pkw,380.0,593.0,213.0,,1436.187,38.0,60.0,153.0,77.463,,,0.2817,0.7183,,True,completed
39,pkw,175.0,595.0,420.0,,1171.307,66.0,289.0,131.0,303.456,,,0.6881,0.3119,,True,completed
65,pkw,302.0,595.0,293.0,,1463.323,67.0,142.0,151.0,160.027,,,0.4846,0.5154,,True,completed
68,pkw,305.0,597.0,292.0,,1171.526,66.0,159.0,133.0,177.129,,,0.5445,0.4555,,True,completed
129,pkw,483.0,599.0,116.0,,1154.803,0.0,0.0,116.0,10.731,,,0.0,1.0,,True,completed
88,pkw,365.0,599.0,234.0,,1458.331,39.0,80.0,154.0,101.192,,,0.3419,0.6581,,True,completed
97,pkw,396.0,600.0,204.0,,1438.423,41.0,56.0,148.0,71.896,,,0.2745,0.7255,,True,completed
101,pkw,403.0,604.0,201.0,,1466.818,47.0,47.0,154.0,59.261,,,0.2338,0.7662,,True,completed
107,pkw,429.0,607.0,178.0,,1178.715,3.0,42.0,136.0,58.312,,,0.236,0.764,,True,completed
124,pkw,473.0,613.0,140.0,,1454.243,0.0,0.0,140.0,7.394,,,0.0,1.0,,True,completed
61,pkw,277.0,615.0,338.0,,1750.529,66.0,131.0,207.0,156.272,,,0.3876,0.6124,,True,completed
113,pkw,444.0,618.0,174.0,,1438.97,13.0,24.0,150.0,42.05,,,0.1379,0.8621,,True,completed
116,pkw,453.0,623.0,170.0,,1423.903,3.0,9.0,161.0,31.054,,,0.0529,0.9471,,True,completed
102,pkw,406.0,628.0,222.0,,1732.976,4.0,21.0,201.0,33.611,,,0.0946,0.9054,,True,completed
79,pkw,335.0,628.0,293.0,,2071.28,26.0,48.0,245.0,73.131,,,0.1638,0.8362,,True,completed
99,pkw,400.0,631.0,231.0,,1443.566,20.0,31.0,200.0,43.812,,,0.1342,0.8658,,True,completed
52,pkw,224.0,635.0,411.0,,853.481,72.0,315.0,96.0,325.953,,,0.7664,0.2336,,True,completed
140,pkw,523.0,649.0,126.0,,1146.002,3.0,3.0,123.0,21.201,,,0.0238,0.9762,,True,completed
143,pkw,540.0,650.0,110.0,,1151.042,0.0,0.0,110.0,5.251,,,0.0,1.0,,True,completed
160,pkw,587.0,651.0,64.0,,540.828,0.0,0.0,64.0,4.304,,,0.0,1.0,,True,completed
126,pkw,475.0,662.0,187.0,,1165.333,59.0,61.0,126.0,80.801,,,0.3262,0.6738,,True,completed
105,pkw,417.0,663.0,246.0,,1710.87,10.0,73.0,173.0,90.192,,,0.2967,0.7033,,True,completed
146,pkw,540.0,669.0,129.0,,1162.699,12.0,12.0,117.0,22.871,,,0.093,0.907,,True,completed
142,pkw,532.0,671.0,139.0,,871.818,37.0,46.0,93.0,59.536,,,0.3309,0.6691,,True,completed
123,pkw,473.0,672.0,199.0,,1132.785,52.0,52.0,147.0,65.901,,,0.2613,0.7387,,True,completed
63,pkw,299.0,673.0,374.0,,883.43,68.0,276.0,98.0,293.49,,,0.738,0.262,,True,completed
96,pkw,391.0,674.0,283.0,,2016.387,0.0,83.0,200.0,99.516,,,0.2933,0.7067,,True,completed
74,pkw,320.0,676.0,356.0,,1470.117,66.0,194.0,162.0,216.392,,,0.5449,0.4551,,True,completed
141,pkw,524.0,680.0,156.0,,876.554,46.0,52.0,104.0,69.696,,,0.3333,0.6667,,True,completed
157,pkw,573.0,689.0,116.0,,1148.973,1.0,1.0,115.0,11.238,,,0.0086,0.9914,,True,completed
155,pkw,568.0,690.0,122.0,,1184.779,3.0,3.0,119.0,14.239,,,0.0246,0.9754,,True,completed
195,pkw,639.0,692.0,53.0,,538.994,0.0,0.0,53.0,3.141,,,0.0,1.0,,True,completed
