vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
14,truck,70.0,178.0,108.0,,858.643,0.0,0.0,108.0,3.806,,,0.0,1.0,,True,completed
15,car,74.0,185.0,111.0,,876.634,12.0,12.0,99.0,30.346,,,0.1081,0.8919,,True,completed
8,car,34.0,192.0,158.0,,1462.838,0.0,0.0,158.0,6.511,,,0.0,1.0,,True,completed
2,car,9.0,210.0,201.0,,1727.171,7.0,12.0,189.0,43.331,,,0.0597,0.9403,,True,completed
1,car,8.0,216.0,208.0,,1449.551,47.0,55.0,153.0,76.251,,,0.2644,0.7356,,True,completed
26,car,117.0,216.0,99.0,,857.618,4.0,4.0,95.0,15.42,,,0.0404,0.9596,,True,completed
7,car,21.0,219.0,198.0,,1467.806,36.0,38.0,160.0,64.557,,,0.1919,0.8081,,True,completed
28,car,129.0,225.0,96.0,,865.124,8.0,8.0,88.0,16.991,,,0.0833,0.9167,,True,completed
20,car,98.0,230.0,132.0,,1143.188,11.0,15.0,117.0,27.426,,,0.1136,0.8864,,True,completed
47,car,192.0,268.0,76.0,,559.658,4.0,4.0,72.0,24.63,,,0.0526,0.9474,,True,completed
45,car,191.0,273.0,82.0,,827.389,0.0,0.0,82.0,5.005,,,0.0,1.0,,True,completed
48,car,196.0,285.0,89.0,,860.969,0.0,0.0,89.0,3.726,,,0.0,1.0,,True,completed
41,car,182.0,296.0,114.0,,1164.835,0.0,0.0,114.0,2.978,,,0.0,1.0,,True,completed
27,car,123.0,298.0,175.0,,848.605,33.0,77.0,98.0,89.315,,,0.44,0.56,,True,completed
17,car,82.0,300.0,218.0,,1148.785,31.0,86.0,132.0,98.65,,,0.3945,0.6055,,True,completed
21,car,100.0,303.0,203.0,,1447.169,29.0,32.0,171.0,52.212,,,0.1576,0.8424,,True,completed
30,car,144.0,305.0,161.0,,1440.264,6.0,8.0,153.0,21.639,,,0.0497,0.9503,,True,completed
