vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
14,truck,70.0,178.0,108.0,,858.643,0.0,0.0,108.0,3.806,,,0.0,1.0,,True,completed
15,car,74.0,185.0,111.0,,876.634,12.0,12.0,99.0,30.346,,,0.1081,0.8919,,True,completed
8,car,34.0,192.0,158.0,,1463.513,0.0,0.0,158.0,6.442,,,0.0,1.0,,True,completed
2,car,9.0,210.0,201.0,,1731.838,7.0,12.0,189.0,43.228,,,0.0597,0.9403,,True,completed
1,car,8.0,215.0,207.0,,1445.771,45.0,53.0,154.0,75.591,,,0.256,0.744,,True,completed
26,car,117.0,216.0,99.0,,857.618,4.0,4.0,95.0,15.42,,,0.0404,0.9596,,True,completed
7,car,21.0,218.0,197.0,,1464.794,37.0,39.0,158.0,63.828,,,0.198,0.802,,True,completed
28,car,129.0,226.0,97.0,,863.638,9.0,9.0,88.0,18.125,,,0.0928,0.9072,,True,completed
20,car,98.0,230.0,132.0,,1143.188,11.0,15.0,117.0,27.426,,,0.1136,0.8864,,True,completed
47,car,192.0,269.0,77.0,,570.039,4.0,4.0,73.0,24.696,,,0.0519,0.9481,,True,completed
45,car,191.0,273.0,82.0,,827.261,0.0,0.0,82.0,5.028,,,0.0,1.0,,True,completed
48,car,196.0,285.0,89.0,,860.969,0.0,0.0,89.0,3.726,,,0.0,1.0,,True,completed
13,car,65.0,293.0,228.0,,1458.254,25.0,69.0,159.0,76.523,,,0.3026,0.6974,,True,completed
41,car,182.0,296.0,114.0,,1167.079,0.0,0.0,114.0,2.766,,,0.0,1.0,,True,completed
27,car,123.0,298.0,175.0,,846.961,33.0,78.0,97.0,89.461,,,0.4457,0.5543,,True,completed
17,car,82.0,300.0,218.0,,1148.785,31.0,86.0,132.0,98.65,,,0.3945,0.6055,,True,completed
21,car,100.0,303.0,203.0,,1446.554,29.0,33.0,170.0,52.298,,,0.1626,0.8374,,True,completed
