vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
10,car,14.0,74.0,60.0,,408.772,1.0,2.0,58.0,10.743,,,0.0333,0.9667,,True,completed
16,car,24.0,108.0,84.0,,781.649,0.0,0.0,84.0,12.651,,,0.0,1.0,,True,completed
41,car,74.0,119.0,45.0,,378.12,0.0,0.0,45.0,2.215,,,0.0,1.0,,True,completed
11,car,18.0,153.0,135.0,,954.845,20.0,20.0,115.0,42.688,,,0.1481,0.8519,,True,completed
13,car,20.0,157.0,137.0,,733.482,31.0,42.0,95.0,69.986,,,0.3066,0.6934,,True,completed
26,car,44.0,161.0,117.0,,1031.663,0.0,0.0,117.0,11.053,,,0.0,1.0,,True,completed
31,car,51.0,166.0,115.0,,599.658,36.0,39.0,76.0,51.634,,,0.3391,0.6609,,True,completed
1,car,2.0,171.0,169.0,,1689.625,0.0,0.0,169.0,14.701,,,0.0,1.0,,True,completed
3,car,3.0,172.0,169.0,,1502.45,0.0,9.0,160.0,29.6,,,0.0533,0.9467,,True,completed
5,car,5.0,176.0,171.0,,1586.222,0.0,2.0,169.0,20.711,,,0.0117,0.9883,,True,completed
2,car,2.0,204.0,202.0,,1592.635,0.0,29.0,173.0,51.634,,,0.1436,0.8564,,True,completed
50,car,91.0,209.0,118.0,,1061.763,0.0,0.0,118.0,11.665,,,0.0,1.0,,True,completed
4,truck,5.0,214.0,209.0,,1542.25,6.0,6.0,203.0,21.621,,,0.0287,0.9713,,True,completed
12,car,19.0,215.0,196.0,,2094.066,0.0,0.0,196.0,5.813,,,0.0,1.0,,True,completed
40,car,70.0,216.0,146.0,,986.37,21.0,21.0,125.0,39.839,,,0.1438,0.8562,,True,completed
47,car,85.0,217.0,132.0,,1262.604,0.0,0.0,132.0,16.559,,,0.0,1.0,,True,completed
8,car,9.0,219.0,210.0,,1655.536,0.0,0.0,210.0,10.884,,,0.0,1.0,,True,completed
60,car,103.0,220.0,117.0,,879.412,0.0,0.0,117.0,8.503,,,0.0,1.0,,True,completed
18,car,30.0,224.0,194.0,,1810.863,0.0,3.0,191.0,28.794,,,0.0155,0.9845,,True,completed
85,car,152.0,224.0,72.0,,738.547,0.0,0.0,72.0,4.53,,,0.0,1.0,,True,completed
45,car,84.0,235.0,151.0,,1405.096,0.0,0.0,151.0,11.453,,,0.0,1.0,,True,completed
7,car,9.0,245.0,236.0,,2216.057,9.0,9.0,227.0,29.355,,,0.0381,0.9619,,True,completed
73,car,130.0,246.0,116.0,,1100.497,0.0,0.0,116.0,6.214,,,0.0,1.0,,True,completed
34,truck,55.0,256.0,201.0,,1346.26,12.0,12.0,189.0,37.551,,,0.0597,0.9403,,True,completed
28,car,49.0,259.0,210.0,,1583.451,11.0,42.0,168.0,65.994,,,0.2,0.8,,True,completed
89,truck,169.0,266.0,97.0,,680.703,2.0,2.0,95.0,13.779,,,0.0206,0.9794,,True,completed
43,car,80.0,270.0,190.0,,1397.551,20.0,20.0,170.0,45.01,,,0.1053,0.8947,,True,completed
6,car,35.0,272.0,237.0,,1605.946,16.0,52.0,185.0,75.463,,,0.2194,0.7806,,True,completed
0,truck,2.0,274.0,272.0,,2126.04,0.0,0.0,272.0,14.791,,,0.0,1.0,,True,completed
61,car,106.0,275.0,169.0,,1414.758,5.0,7.0,162.0,31.812,,,0.0414,0.9586,,True,completed
36,car,59.0,285.0,226.0,,1870.61,19.0,23.0,203.0,48.251,,,0.1018,0.8982,,True,completed
81,car,144.0,288.0,144.0,,1271.031,0.0,10.0,134.0,27.734,,,0.0694,0.9306,,True,completed
38,car,65.0,292.0,227.0,,2132.825,11.0,11.0,216.0,31.118,,,0.0485,0.9515,,True,completed
93,car,176.0,292.0,116.0,,1033.854,0.0,0.0,116.0,10.992,,,0.0,1.0,,True,completed
110,car,212.0,293.0,81.0,,644.883,0.0,0.0,81.0,7.924,,,0.0,1.0,,True,completed
23,car,37.0,293.0,256.0,,1915.873,7.0,38.0,218.0,76.885,,,0.1484,0.8516,,True,completed
103,car,195.0,294.0,99.0,,887.611,0.0,0.0,99.0,11.798,,,0.0,1.0,,True,completed
75,car,136.0,299.0,163.0,,1522.955,1.0,1.0,162.0,20.597,,,0.0061,0.9939,,True,completed
52,car,93.0,309.0,216.0,,1687.756,13.0,41.0,175.0,62.138,,,0.1898,0.8102,,True,completed
22,car,36.0,310.0,274.0,,2621.132,0.0,10.0,264.0,36.215,,,0.0365,0.9635,,True,completed
33,car,54.0,310.0,256.0,,2300.761,0.0,7.0,249.0,31.055,,,0.0273,0.9727,,True,completed
115,car,224.0,315.0,91.0,,751.546,3.0,3.0,88.0,14.597,,,0.033,0.967,,True,completed
9,truck,12.0,323.0,311.0,,1956.325,37.0,48.0,263.0,73.191,,,0.1543,0.8457,,True,completed
32,car,52.0,325.0,273.0,,1692.816,0.0,44.0,229.0,63.764,,,0.1612,0.8388,,True,completed
138,car,262.0,332.0,70.0,,666.169,0.0,0.0,70.0,3.344,,,0.0,1.0,,True,completed
120,car,237.0,337.0,100.0,,858.628,9.0,9.0,91.0,21.21,,,0.09,0.91,,True,completed
35,car,56.0,341.0,285.0,,2334.424,12.0,15.0,270.0,65.037,,,0.0526,0.9474,,True,completed
58,car,100.0,341.0,241.0,,1589.419,47.0,65.0,176.0,95.6,,,0.2697,0.7303,,True,completed
112,car,216.0,343.0,127.0,,1238.937,0.0,0.0,127.0,12.47,,,0.0,1.0,,True,completed
56,car,98.0,343.0,245.0,,2125.331,6.0,6.0,239.0,25.607,,,0.0245,0.9755,,True,completed
91,car,173.0,347.0,174.0,,1286.424,12.0,12.0,162.0,47.303,,,0.069,0.931,,True,completed
117,car,231.0,353.0,122.0,,535.517,48.0,55.0,67.0,72.393,,,0.4508,0.5492,,True,completed
65,car,114.0,353.0,239.0,,1441.672,75.0,83.0,156.0,103.486,,,0.3473,0.6527,,True,completed
55,car,98.0,355.0,257.0,,2226.191,4.0,30.0,227.0,54.276,,,0.1167,0.8833,,True,completed
108,car,209.0,364.0,155.0,,1393.46,4.0,4.0,151.0,23.567,,,0.0258,0.9742,,True,completed
109,truck,211.0,364.0,153.0,,1038.882,5.0,9.0,144.0,26.794,,,0.0588,0.9412,,True,completed
53,car,96.0,364.0,268.0,,2170.86,17.0,47.0,221.0,71.068,,,0.1754,0.8246,,True,completed
39,truck,67.0,367.0,300.0,,1973.719,8.0,30.0,270.0,61.302,,,0.1,0.9,,True,completed
