vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
11,car,70.0,154.0,84.0,,863.817,0.0,0.0,84.0,4.3,,,0.0,1.0,,True,completed
2,car,8.0,158.0,150.0,,1442.527,8.0,8.0,142.0,18.751,,,0.0533,0.9467,,True,completed
7,car,21.0,161.0,140.0,,1465.082,0.0,0.0,140.0,6.979,,,0.0,1.0,,True,completed
1,car,5.0,177.0,172.0,,1735.689,0.0,0.0,172.0,13.754,,,0.0,1.0,,True,completed
5,truck,20.0,179.0,159.0,,1171.635,6.0,6.0,153.0,17.348,,,0.0377,0.9623,,True,completed
6,car,20.0,187.0,167.0,,1711.733,0.0,0.0,167.0,10.373,,,0.0,1.0,,True,completed
12,car,74.0,193.0,119.0,,883.131,12.0,12.0,107.0,20.479,,,0.1008,0.8992,,True,completed
0,truck,2.0,194.0,192.0,,1415.984,0.0,6.0,186.0,20.46,,,0.0312,0.9688,,True,completed
4,car,12.0,194.0,182.0,,1468.15,13.0,20.0,162.0,38.775,,,0.1099,0.8901,,True,completed
14,car,82.0,201.0,119.0,,1144.731,0.0,0.0,119.0,7.498,,,0.0,1.0,,True,completed
3,car,9.0,201.0,192.0,,1734.213,0.0,0.0,192.0,11.845,,,0.0,1.0,,True,completed
22,car,123.0,205.0,82.0,,846.604,0.0,0.0,82.0,4.464,,,0.0,1.0,,True,completed
9,car,54.0,207.0,153.0,,1181.504,7.0,9.0,144.0,26.132,,,0.0588,0.9412,,True,completed
13,car,75.0,214.0,139.0,,1446.194,0.0,0.0,139.0,6.976,,,0.0,1.0,,True,completed
24,car,129.0,215.0,86.0,,869.64,0.0,0.0,86.0,4.304,,,0.0,1.0,,True,completed
21,car,117.0,218.0,101.0,,857.718,1.0,1.0,100.0,10.983,,,0.0099,0.9901,,True,completed
36,car,181.0,236.0,55.0,,574.501,0.0,0.0,55.0,2.294,,,0.0,1.0,,True,completed
16,car,98.0,249.0,151.0,,1422.092,0.0,6.0,145.0,21.35,,,0.0397,0.9603,,True,completed
41,car,192.0,249.0,57.0,,568.06,0.0,0.0,57.0,2.41,,,0.0,1.0,,True,completed
19,car,103.0,262.0,159.0,,1469.15,5.0,5.0,154.0,25.602,,,0.0314,0.9686,,True,completed
8,car,43.0,266.0,223.0,,2031.144,0.0,0.0,223.0,13.201,,,0.0,1.0,,True,completed
29,car,158.0,269.0,111.0,,1167.694,0.0,0.0,111.0,4.906,,,0.0,1.0,,True,completed
31,car,165.0,277.0,112.0,,1175.35,0.0,0.0,112.0,5.217,,,0.0,1.0,,True,completed
17,car,100.0,281.0,181.0,,1446.308,0.0,15.0,166.0,30.457,,,0.0829,0.9171,,True,completed
39,car,191.0,281.0,90.0,,830.903,0.0,0.0,90.0,6.673,,,0.0,1.0,,True,completed
10,truck,59.0,282.0,223.0,,1776.643,0.0,0.0,223.0,8.718,,,0.0,1.0,,True,completed
33,car,171.0,282.0,111.0,,1160.018,0.0,0.0,111.0,5.488,,,0.0,1.0,,True,completed
35,truck,175.0,289.0,114.0,,858.539,1.0,1.0,113.0,9.934,,,0.0088,0.9912,,True,completed
28,car,153.0,293.0,140.0,,1455.871,0.0,0.0,140.0,7.266,,,0.0,1.0,,True,completed
37,car,182.0,293.0,111.0,,1165.732,0.0,0.0,111.0,5.072,,,0.0,1.0,,True,completed
26,car,144.0,299.0,155.0,,1442.86,2.0,2.0,153.0,14.404,,,0.0129,0.9871,,True,completed
15,truck,85.0,304.0,219.0,,1734.809,0.0,0.0,219.0,9.318,,,0.0,1.0,,True,completed
47,car,224.0,308.0,84.0,,879.768,0.0,0.0,84.0,3.82,,,0.0,1.0,,True,completed
18,car,101.0,310.0,209.0,,1752.688,28.0,31.0,178.0,49.699,,,0.1483,0.8517,,True,completed
34,car,173.0,311.0,138.0,,1424.919,0.0,0.0,138.0,8.015,,,0.0,1.0,,True,completed
42,car,196.0,316.0,120.0,,1159.651,0.0,0.0,120.0,7.0,,,0.0,1.0,,True,completed
27,car,153.0,318.0,165.0,,1442.602,0.0,5.0,160.0,19.943,,,0.0303,0.9697,,True,completed
25,truck,138.0,324.0,186.0,,1452.165,0.0,0.0,186.0,10.485,,,0.0,1.0,,True,completed
20,truck,106.0,325.0,219.0,,1729.266,0.0,0.0,219.0,9.705,,,0.0,1.0,,True,completed
23,car,124.0,337.0,213.0,,2030.543,0.0,8.0,205.0,28.409,,,0.0376,0.9624,,True,completed
51,car,244.0,353.0,109.0,,1107.098,0.0,0.0,109.0,7.057,,,0.0,1.0,,True,completed
38,car,183.0,356.0,173.0,,1690.138,0.0,2.0,171.0,18.194,,,0.0116,0.9884,,True,completed
59,car,276.0,361.0,85.0,,872.116,0.0,0.0,85.0,3.249,,,0.0,1.0,,True,completed
43,car,202.0,372.0,170.0,,1441.647,0.0,0.0,170.0,11.039,,,0.0,1.0,,True,completed
45,truck,218.0,372.0,154.0,,1157.322,3.0,3.0,151.0,14.007,,,0.0195,0.9805,,True,completed
32,car,170.0,384.0,214.0,,1781.705,0.0,1.0,213.0,17.27,,,0.0047,0.9953,,True,completed
46,car,223.0,390.0,167.0,,1467.973,0.0,0.0,167.0,9.421,,,0.0,1.0,,True,completed
52,car,250.0,395.0,145.0,,1163.57,13.0,13.0,132.0,28.458,,,0.0897,0.9103,,True,completed
78,car,343.0,398.0,55.0,,558.881,0.0,0.0,55.0,2.901,,,0.0,1.0,,True,completed
48,car,232.0,405.0,173.0,,1464.012,15.0,15.0,158.0,28.729,,,0.0867,0.9133,,True,completed
72,car,328.0,410.0,82.0,,849.507,0.0,0.0,82.0,4.16,,,0.0,1.0,,True,completed
57,car,269.0,416.0,147.0,,1180.658,8.0,8.0,139.0,24.075,,,0.0544,0.9456,,True,completed
58,car,273.0,418.0,145.0,,1156.489,13.0,30.0,115.0,39.699,,,0.2069,0.7931,,True,completed
44,car,212.0,422.0,210.0,,2065.928,9.0,9.0,201.0,22.826,,,0.0429,0.9571,,True,completed
53,car,255.0,431.0,176.0,,1748.382,3.0,3.0,173.0,16.939,,,0.017,0.983,,True,completed
64,car,302.0,442.0,140.0,,1462.771,0.0,0.0,140.0,7.074,,,0.0,1.0,,True,completed
71,car,321.0,442.0,121.0,,1138.579,0.0,0.0,121.0,16.744,,,0.0,1.0,,True,completed
49,car,240.0,446.0,206.0,,1721.844,0.0,29.0,177.0,49.011,,,0.1408,0.8592,,True,completed
