vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,car,21.0,77.0,56.0,,583.583,0.0,0.0,56.0,2.477,,,0.0,1.0,,True,completed
6,car,20.0,101.0,81.0,,821.77,0.0,0.0,81.0,5.283,,,0.0,1.0,,True,completed
2,car,5.0,116.0,111.0,,1158.871,0.0,0.0,111.0,5.409,,,0.0,1.0,,True,completed
1,car,2.0,128.0,126.0,,1158.956,10.0,10.0,116.0,20.692,,,0.0794,0.9206,,True,completed
4,car,12.0,143.0,131.0,,1135.374,8.0,8.0,123.0,19.475,,,0.0611,0.9389,,True,completed
13,car,65.0,148.0,83.0,,858.159,0.0,0.0,83.0,4.485,,,0.0,1.0,,True,completed
10,truck,43.0,154.0,111.0,,876.109,0.0,0.0,111.0,4.825,,,0.0,1.0,,True,completed
8,car,34.0,161.0,127.0,,1164.229,0.0,0.0,127.0,6.746,,,0.0,1.0,,True,completed
14,car,74.0,174.0,100.0,,876.96,5.0,5.0,95.0,14.65,,,0.05,0.95,,True,completed
0,truck,2.0,191.0,189.0,,1419.19,0.0,3.0,186.0,16.951,,,0.0159,0.9841,,True,completed
24,car,117.0,203.0,86.0,,852.823,0.0,0.0,86.0,5.515,,,0.0,1.0,,True,completed
5,truck,20.0,204.0,184.0,,1460.271,0.0,0.0,184.0,7.697,,,0.0,1.0,,True,completed
9,car,39.0,206.0,167.0,,1445.136,0.0,0.0,167.0,10.585,,,0.0,1.0,,True,completed
18,car,98.0,218.0,120.0,,1135.967,3.0,3.0,117.0,15.595,,,0.025,0.975,,True,completed
23,car,110.0,222.0,112.0,,1178.495,0.0,0.0,112.0,4.934,,,0.0,1.0,,True,completed
15,truck,82.0,236.0,154.0,,1141.658,0.0,3.0,151.0,15.533,,,0.0195,0.9805,,True,completed
29,car,153.0,236.0,83.0,,856.715,0.0,0.0,83.0,4.556,,,0.0,1.0,,True,completed
19,car,100.0,239.0,139.0,,1447.313,0.0,0.0,139.0,7.039,,,0.0,1.0,,True,completed
3,car,9.0,239.0,230.0,,1739.599,2.0,34.0,196.0,50.155,,,0.1478,0.8522,,True,completed
16,car,84.0,242.0,158.0,,1467.027,13.0,13.0,145.0,24.625,,,0.0823,0.9177,,True,completed
35,truck,183.0,254.0,71.0,,557.734,0.0,0.0,71.0,3.045,,,0.0,1.0,,True,completed
11,car,59.0,257.0,198.0,,2053.396,0.0,0.0,198.0,10.128,,,0.0,1.0,,True,completed
28,car,152.0,264.0,112.0,,1180.341,0.0,0.0,112.0,4.567,,,0.0,1.0,,True,completed
