vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
16,car,24.0,116.0,92.0,,783.457,0.0,0.0,92.0,20.488,,,0.0,1.0,,True,completed
29,car,49.0,124.0,75.0,,749.722,0.0,0.0,75.0,5.334,,,0.0,1.0,,True,completed
43,car,74.0,125.0,51.0,,377.762,0.0,0.0,51.0,4.09,,,0.0,1.0,,True,completed
11,car,18.0,128.0,110.0,,957.101,3.0,3.0,107.0,17.806,,,0.0273,0.9727,,True,completed
32,car,51.0,132.0,81.0,,598.885,11.0,11.0,70.0,25.122,,,0.1358,0.8642,,True,completed
13,car,19.0,145.0,126.0,,1215.853,3.0,3.0,123.0,14.641,,,0.0238,0.9762,,True,completed
41,car,70.0,172.0,102.0,,989.924,0.0,0.0,102.0,5.808,,,0.0,1.0,,True,completed
23,car,36.0,200.0,164.0,,1229.819,0.0,0.0,164.0,15.774,,,0.0,1.0,,True,completed
36,car,55.0,203.0,148.0,,1347.128,1.0,1.0,147.0,20.428,,,0.0068,0.9932,,True,completed
72,car,128.0,203.0,75.0,,738.711,0.0,0.0,75.0,6.543,,,0.0,1.0,,True,completed
51,car,91.0,207.0,116.0,,1054.828,0.0,0.0,116.0,14.444,,,0.0,1.0,,True,completed
14,car,20.0,214.0,194.0,,739.152,87.0,118.0,76.0,126.476,,,0.6082,0.3918,,True,completed
19,car,30.0,214.0,184.0,,1809.974,0.0,0.0,184.0,19.51,,,0.0,1.0,,True,completed
53,car,93.0,214.0,121.0,,877.17,16.0,16.0,105.0,31.237,,,0.1322,0.8678,,True,completed
22,car,35.0,217.0,182.0,,1805.956,0.0,0.0,182.0,17.315,,,0.0,1.0,,True,completed
0,truck,2.0,218.0,216.0,,1691.415,0.0,0.0,216.0,11.584,,,0.0,1.0,,True,completed
59,car,103.0,220.0,117.0,,885.956,0.0,0.0,117.0,11.118,,,0.0,1.0,,True,completed
8,car,9.0,226.0,217.0,,1656.675,0.0,0.0,217.0,17.488,,,0.0,1.0,,True,completed
7,car,9.0,232.0,223.0,,2214.38,0.0,0.0,223.0,16.34,,,0.0,1.0,,True,completed
47,car,84.0,234.0,150.0,,1409.317,0.0,0.0,150.0,11.757,,,0.0,1.0,,True,completed
9,car,12.0,245.0,233.0,,1968.649,14.0,19.0,214.0,49.818,,,0.0815,0.9185,,True,completed
82,car,144.0,251.0,107.0,,1008.826,0.0,0.0,107.0,9.029,,,0.0,1.0,,True,completed
101,car,182.0,254.0,72.0,,693.3,0.0,0.0,72.0,6.953,,,0.0,1.0,,True,completed
86,car,152.0,254.0,102.0,,736.173,25.0,25.0,77.0,34.744,,,0.2451,0.7549,,True,completed
38,car,59.0,255.0,196.0,,1870.362,0.0,1.0,195.0,18.236,,,0.0051,0.9949,,True,completed
42,car,74.0,256.0,182.0,,1766.699,0.0,1.0,181.0,14.637,,,0.0055,0.9945,,True,completed
18,car,28.0,258.0,230.0,,2217.634,1.0,1.0,229.0,25.973,,,0.0043,0.9957,,True,completed
94,car,168.0,259.0,91.0,,682.531,11.0,12.0,79.0,27.533,,,0.1319,0.8681,,True,completed
57,car,100.0,264.0,164.0,,1589.705,0.0,0.0,164.0,13.004,,,0.0,1.0,,True,completed
81,car,144.0,274.0,130.0,,1270.431,3.0,3.0,127.0,13.83,,,0.0231,0.9769,,True,completed
24,car,38.0,275.0,237.0,,1262.839,28.0,100.0,137.0,120.733,,,0.4219,0.5781,,True,completed
