vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
17,car,24.0,100.0,76.0,,783.632,0.0,0.0,76.0,4.195,,,0.0,1.0,,True,completed
15,truck,20.0,112.0,92.0,,729.154,0.0,0.0,92.0,3.466,,,0.0,1.0,,True,completed
13,car,18.0,118.0,100.0,,947.141,0.0,0.0,100.0,11.255,,,0.0,1.0,,True,completed
43,car,74.0,126.0,52.0,,380.834,0.0,0.0,52.0,4.499,,,0.0,1.0,,True,completed
32,car,51.0,133.0,82.0,,602.467,9.0,9.0,73.0,25.834,,,0.1098,0.8902,,True,completed
3,car,3.0,163.0,160.0,,1501.623,0.0,3.0,157.0,20.258,,,0.0187,0.9812,,True,completed
6,car,13.0,170.0,157.0,,1604.015,0.0,0.0,157.0,11.637,,,0.0,1.0,,True,completed
41,car,70.0,180.0,110.0,,981.112,4.0,4.0,106.0,14.584,,,0.0364,0.9636,,True,completed
1,car,2.0,184.0,182.0,,1595.405,0.0,9.0,173.0,28.22,,,0.0495,0.9505,,True,completed
51,car,91.0,207.0,116.0,,1064.299,0.0,0.0,116.0,13.588,,,0.0,1.0,,True,completed
59,car,103.0,219.0,116.0,,886.42,0.0,0.0,116.0,10.251,,,0.0,1.0,,True,completed
5,truck,5.0,222.0,217.0,,1578.416,1.0,7.0,210.0,25.974,,,0.0323,0.9677,,True,completed
88,car,152.0,224.0,72.0,,740.447,0.0,0.0,72.0,4.359,,,0.0,1.0,,True,completed
0,truck,2.0,226.0,224.0,,1689.118,4.0,4.0,220.0,19.936,,,0.0179,0.9821,,True,completed
8,car,9.0,227.0,218.0,,1657.854,0.0,0.0,218.0,18.293,,,0.0,1.0,,True,completed
7,car,9.0,233.0,224.0,,2215.461,0.0,0.0,224.0,16.747,,,0.0,1.0,,True,completed
14,car,19.0,234.0,215.0,,2095.162,0.0,8.0,207.0,24.926,,,0.0372,0.9628,,True,completed
29,car,49.0,237.0,188.0,,1585.601,2.0,26.0,162.0,44.053,,,0.1383,0.8617,,True,completed
35,truck,55.0,238.0,183.0,,1345.828,1.0,1.0,182.0,19.773,,,0.0055,0.9945,,True,completed
47,car,84.0,244.0,160.0,,1410.368,4.0,4.0,156.0,21.833,,,0.025,0.975,,True,completed
24,car,36.0,254.0,218.0,,1918.546,0.0,3.0,215.0,33.769,,,0.0138,0.9862,,True,completed
53,car,93.0,255.0,162.0,,1684.063,0.0,0.0,162.0,8.8,,,0.0,1.0,,True,completed
102,car,182.0,264.0,82.0,,693.592,1.0,1.0,81.0,16.932,,,0.0122,0.9878,,True,completed
57,car,100.0,265.0,165.0,,1588.222,0.0,0.0,165.0,14.858,,,0.0,1.0,,True,completed
19,car,28.0,268.0,240.0,,2212.999,20.0,20.0,220.0,38.789,,,0.0833,0.9167,,True,completed
37,car,59.0,270.0,211.0,,1871.668,8.0,11.0,200.0,33.459,,,0.0521,0.9479,,True,completed
45,truck,80.0,271.0,191.0,,1389.689,7.0,7.0,184.0,22.545,,,0.0366,0.9634,,True,completed
95,truck,168.0,271.0,103.0,,682.505,4.0,4.0,99.0,19.403,,,0.0388,0.9612,,True,completed
9,car,11.0,276.0,265.0,,2253.632,4.0,37.0,228.0,59.279,,,0.1396,0.8604,,True,completed
83,car,144.0,279.0,135.0,,1269.696,6.0,6.0,129.0,18.268,,,0.0444,0.9556,,True,completed
80,truck,138.0,280.0,142.0,,1012.455,4.0,4.0,138.0,19.232,,,0.0282,0.9718,,True,completed
76,car,136.0,282.0,146.0,,1515.901,0.0,0.0,146.0,7.438,,,0.0,1.0,,True,completed
60,truck,106.0,285.0,179.0,,1414.504,0.0,0.0,179.0,7.656,,,0.0,1.0,,True,completed
48,car,84.0,286.0,202.0,,1597.924,0.0,13.0,189.0,47.377,,,0.0644,0.9356,,True,completed
74,car,134.0,286.0,152.0,,1205.412,25.0,25.0,127.0,38.752,,,0.1645,0.8355,,True,completed
124,car,231.0,287.0,56.0,,537.475,0.0,0.0,56.0,6.31,,,0.0,1.0,,True,completed
117,car,215.0,289.0,74.0,,727.105,0.0,0.0,74.0,5.89,,,0.0,1.0,,True,completed
109,car,195.0,293.0,98.0,,885.9,0.0,0.0,98.0,11.858,,,0.0,1.0,,True,completed
58,car,101.0,293.0,192.0,,1658.91,2.0,11.0,181.0,41.298,,,0.0573,0.9427,,True,completed
116,car,212.0,297.0,85.0,,642.222,0.0,0.0,85.0,7.962,,,0.0,1.0,,True,completed
78,car,137.0,297.0,160.0,,1520.411,0.0,0.0,160.0,15.016,,,0.0,1.0,,True,completed
34,car,54.0,300.0,246.0,,2303.187,0.0,3.0,243.0,28.779,,,0.0122,0.9878,,True,completed
39,car,65.0,300.0,235.0,,2127.688,10.0,10.0,225.0,37.956,,,0.0426,0.9574,,True,completed
122,car,224.0,308.0,84.0,,747.208,3.0,3.0,81.0,11.867,,,0.0357,0.9643,,True,completed
31,car,51.0,308.0,257.0,,2536.687,0.0,1.0,256.0,26.705,,,0.0039,0.9961,,True,completed
11,car,15.0,309.0,294.0,,2569.886,2.0,14.0,280.0,42.643,,,0.0476,0.9524,,True,completed
36,car,56.0,316.0,260.0,,2335.55,4.0,6.0,254.0,36.532,,,0.0231,0.9769,,True,completed
23,car,36.0,318.0,282.0,,1969.796,13.0,82.0,200.0,101.483,,,0.2908,0.7092,,True,completed
26,car,39.0,322.0,283.0,,2638.838,4.0,4.0,279.0,34.644,,,0.0141,0.9859,,True,completed
18,car,27.0,323.0,296.0,,2810.129,0.0,0.0,296.0,28.615,,,0.0,1.0,,True,completed
