step:3600/3600, q_loss:0, rewards:-45.853618706597224, queue:1.4982638888888888, delay:0.06189080874125163, throughput:1432
episode:0/200, real avg travel time:253.28631284916202
intersection:0, mean_episode_reward:-2.9775004386901855, mean_queue:3.105555534362793
intersection:1, mean_episode_reward:-3.346667766571045, mean_queue:3.4555554389953613
intersection:2, mean_episode_reward:-2.8577775955200195, mean_queue:2.9972221851348877
intersection:3, mean_episode_reward:-2.5711114406585693, mean_queue:2.719444513320923
intersection:4, mean_episode_reward:-2.8230552673339844, mean_queue:2.944444417953491
intersection:5, mean_episode_reward:-2.570000171661377, mean_queue:2.6861112117767334
intersection:6, mean_episode_reward:-2.3358330726623535, mean_queue:2.469444513320923
intersection:7, mean_episode_reward:-2.253056287765503, mean_queue:2.3805556297302246
intersection:8, mean_episode_reward:-3.493055820465088, mean_queue:3.61388897895813
intersection:9, mean_episode_reward:-3.506113052368164, mean_queue:3.6083333492279053
intersection:10, mean_episode_reward:-2.8100006580352783, mean_queue:2.894444465637207
intersection:11, mean_episode_reward:-2.989999771118164, mean_queue:3.133333444595337
intersection:12, mean_episode_reward:-2.3949995040893555, mean_queue:2.538888931274414
intersection:13, mean_episode_reward:-3.462501049041748, mean_queue:3.616666555404663
intersection:14, mean_episode_reward:-3.0680551528930664, mean_queue:3.1972222328186035
intersection:15, mean_episode_reward:-2.3938889503479004, mean_queue:2.5833332538604736
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :901.8308823529412, rewards:-493.46918402777777, queue:15.459635416666666, delay:0.16589667002360026, throughput:408
step:3600/3600, q_loss:0, rewards:-47.60999891493056, queue:1.5526041666666666, delay:0.06298954221937392, throughput:1427
episode:1/200, real avg travel time:257.0665732305536
intersection:0, mean_episode_reward:-2.9724996089935303, mean_queue:3.1305556297302246
intersection:1, mean_episode_reward:-2.926389217376709, mean_queue:3.047222137451172
intersection:2, mean_episode_reward:-3.800002098083496, mean_queue:3.9194445610046387
intersection:3, mean_episode_reward:-2.521667242050171, mean_queue:2.6777777671813965
intersection:4, mean_episode_reward:-3.103055238723755, mean_queue:3.2277777194976807
intersection:5, mean_episode_reward:-3.144444465637207, mean_queue:3.2277777194976807
intersection:6, mean_episode_reward:-2.586944818496704, mean_queue:2.6888887882232666
intersection:7, mean_episode_reward:-2.951944589614868, mean_queue:3.077777862548828
intersection:8, mean_episode_reward:-2.966110944747925, mean_queue:3.105555534362793
intersection:9, mean_episode_reward:-3.8152778148651123, mean_queue:3.9000000953674316
intersection:10, mean_episode_reward:-3.159168243408203, mean_queue:3.230555534362793
intersection:11, mean_episode_reward:-2.709444046020508, mean_queue:2.855555534362793
intersection:12, mean_episode_reward:-3.2561113834381104, mean_queue:3.394444465637207
intersection:13, mean_episode_reward:-3.236665964126587, mean_queue:3.3972222805023193
intersection:14, mean_episode_reward:-2.2244441509246826, mean_queue:2.383333444595337
intersection:15, mean_episode_reward:-2.2358334064483643, mean_queue:2.4194445610046387
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
