step:3600/3600, q_loss:0, rewards:-335.86419270833335, queue:6.192274305555555, delay:0.06189080874125163, throughput:1432
episode:0/200, real avg travel time:253.28631284916202
intersection:0, mean_episode_reward:-11.67055892944336, mean_queue:11.630555152893066
intersection:1, mean_episode_reward:-11.84167766571045, mean_queue:11.741666793823242
intersection:2, mean_episode_reward:-11.4319429397583, mean_queue:11.699999809265137
intersection:3, mean_episode_reward:-11.260275840759277, mean_queue:11.105555534362793
intersection:4, mean_episode_reward:-11.44583511352539, mean_queue:11.86388874053955
intersection:5, mean_episode_reward:-11.280552864074707, mean_queue:11.144444465637207
intersection:6, mean_episode_reward:-11.095283508300781, mean_queue:11.38611125946045
intersection:7, mean_episode_reward:-10.999166488647461, mean_queue:11.030555725097656
intersection:8, mean_episode_reward:-11.984721183776855, mean_queue:11.949999809265137
intersection:9, mean_episode_reward:-12.025554656982422, mean_queue:11.952777862548828
intersection:10, mean_episode_reward:-11.498608589172363, mean_queue:11.88611125946045
intersection:11, mean_episode_reward:-11.516109466552734, mean_queue:11.51111125946045
intersection:12, mean_episode_reward:-11.202497482299805, mean_queue:11.397222518920898
intersection:13, mean_episode_reward:-11.983054161071777, mean_queue:11.933333396911621
intersection:14, mean_episode_reward:-11.725279808044434, mean_queue:11.838889122009277
intersection:15, mean_episode_reward:-11.13305950164795, mean_queue:11.41944408416748
intersection:16, mean_episode_reward:-9.093338012695312, mean_queue:0.7749999761581421
intersection:17, mean_episode_reward:-9.34333324432373, mean_queue:0.7777777910232544
intersection:18, mean_episode_reward:-9.473331451416016, mean_queue:0.7888888716697693
intersection:19, mean_episode_reward:-9.296669960021973, mean_queue:0.8166666626930237
intersection:20, mean_episode_reward:-9.666666030883789, mean_queue:0.7527777552604675
intersection:21, mean_episode_reward:-9.166665077209473, mean_queue:0.8138889074325562
intersection:22, mean_episode_reward:-9.786662101745605, mean_queue:0.7888888716697693
intersection:23, mean_episode_reward:-9.443337440490723, mean_queue:0.7805555462837219
intersection:24, mean_episode_reward:-9.7933349609375, mean_queue:0.7749999761581421
intersection:25, mean_episode_reward:-9.38333511352539, mean_queue:0.7749999761581421
intersection:26, mean_episode_reward:-9.413331031799316, mean_queue:0.75
intersection:27, mean_episode_reward:-9.60999584197998, mean_queue:0.769444465637207
intersection:28, mean_episode_reward:-9.300002098083496, mean_queue:0.7833333611488342
intersection:29, mean_episode_reward:-9.693334579467773, mean_queue:0.8333333134651184
intersection:30, mean_episode_reward:-9.726672172546387, mean_queue:0.8722222447395325
intersection:31, mean_episode_reward:-9.580001831054688, mean_queue:0.8083333373069763
Test step:0/200, travel time :807.4787234042553, rewards:-728.1822916666666, queue:18.44279513888889, delay:0.15033266279432508, throughput:470
step:3600/3600, q_loss:0, rewards:-337.41753472222223, queue:6.239756944444444, delay:0.06298954221937392, throughput:1427
episode:1/200, real avg travel time:257.0665732305536
intersection:0, mean_episode_reward:-11.651392936706543, mean_queue:11.649999618530273
intersection:1, mean_episode_reward:-11.485002517700195, mean_queue:11.38611125946045
intersection:2, mean_episode_reward:-12.31361198425293, mean_queue:12.541666984558105
intersection:3, mean_episode_reward:-11.241393089294434, mean_queue:10.983333587646484
intersection:4, mean_episode_reward:-11.635553359985352, mean_queue:12.052778244018555
intersection:5, mean_episode_reward:-11.816948890686035, mean_queue:11.602777481079102
intersection:6, mean_episode_reward:-11.299721717834473, mean_queue:11.522222518920898
intersection:7, mean_episode_reward:-11.5730562210083, mean_queue:11.73611068725586
intersection:8, mean_episode_reward:-11.522775650024414, mean_queue:11.48611068725586
intersection:9, mean_episode_reward:-12.245833396911621, mean_queue:12.158333778381348
intersection:10, mean_episode_reward:-11.776671409606934, mean_queue:12.166666984558105
intersection:11, mean_episode_reward:-11.358606338500977, mean_queue:11.383333206176758
intersection:12, mean_episode_reward:-11.952497482299805, mean_queue:12.191666603088379
intersection:13, mean_episode_reward:-11.78555679321289, mean_queue:11.725000381469727
intersection:14, mean_episode_reward:-11.008334159851074, mean_queue:11.100000381469727
intersection:15, mean_episode_reward:-10.980555534362793, mean_queue:11.324999809265137
intersection:16, mean_episode_reward:-9.093338012695312, mean_queue:0.7749999761581421
intersection:17, mean_episode_reward:-9.34333324432373, mean_queue:0.7777777910232544
intersection:18, mean_episode_reward:-9.473331451416016, mean_queue:0.7888888716697693
intersection:19, mean_episode_reward:-9.296669960021973, mean_queue:0.8166666626930237
intersection:20, mean_episode_reward:-9.666666030883789, mean_queue:0.7527777552604675
intersection:21, mean_episode_reward:-9.166665077209473, mean_queue:0.8138889074325562
intersection:22, mean_episode_reward:-9.786662101745605, mean_queue:0.7888888716697693
intersection:23, mean_episode_reward:-9.443337440490723, mean_queue:0.7805555462837219
intersection:24, mean_episode_reward:-9.7933349609375, mean_queue:0.7749999761581421
