step:3600/3600, q_loss:0, rewards:-36.00972222222222, queue:1.1764756944444446, delay:0.054483429590861006, throughput:1432
episode:0/200, real avg travel time:253.28631284916202
intersection:0, mean_episode_reward:-2.351388454437256, mean_queue:2.452777862548828
intersection:1, mean_episode_reward:-2.648333787918091, mean_queue:2.741666555404663
intersection:2, mean_episode_reward:-2.285554885864258, mean_queue:2.394444465637207
intersection:3, mean_episode_reward:-2.0450003147125244, mean_queue:2.163888931274414
intersection:4, mean_episode_reward:-2.3233327865600586, mean_queue:2.424999952316284
intersection:5, mean_episode_reward:-2.131944179534912, mean_queue:2.2166666984558105
intersection:6, mean_episode_reward:-1.7322214841842651, mean_queue:1.8388888835906982
intersection:7, mean_episode_reward:-1.8088891506195068, mean_queue:1.9222222566604614
intersection:8, mean_episode_reward:-2.650555372238159, mean_queue:2.7333333492279053
intersection:9, mean_episode_reward:-2.8375003337860107, mean_queue:2.9111111164093018
intersection:10, mean_episode_reward:-2.181666612625122, mean_queue:2.2444443702697754
intersection:11, mean_episode_reward:-2.3744444847106934, mean_queue:2.491666555404663
intersection:12, mean_episode_reward:-1.836666226387024, mean_queue:1.9361110925674438
intersection:13, mean_episode_reward:-2.6852784156799316, mean_queue:2.8027777671813965
intersection:14, mean_episode_reward:-2.122222661972046, mean_queue:2.219444513320923
intersection:15, mean_episode_reward:-1.99472177028656, mean_queue:2.152777671813965
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
