vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,pkw,11.0,138.0,127.0,,1139.427,0.0,0.0,127.0,8.107,,,0.0,1.0,,True,completed
1,pkw,8.0,150.0,142.0,,1443.182,0.0,0.0,142.0,10.58,,,0.0,1.0,,True,completed
14,pkw,70.0,160.0,90.0,,865.968,0.0,0.0,90.0,5.236,,,0.0,1.0,,True,completed
7,pkw,21.0,161.0,140.0,,1468.054,0.0,0.0,140.0,6.711,,,0.0,1.0,,True,completed
10,pkw,54.0,169.0,115.0,,1181.134,0.0,0.0,115.0,7.697,,,0.0,1.0,,True,completed
2,pkw,9.0,176.0,167.0,,1729.192,0.0,0.0,167.0,9.181,,,0.0,1.0,,True,completed
15,pkw,74.0,181.0,107.0,,880.883,16.0,16.0,91.0,25.96,,,0.1495,0.8505,,True,completed
0,pkw,5.0,183.0,178.0,,1744.074,0.0,0.0,178.0,10.294,,,0.0,1.0,,True,completed
4,pkw,12.0,194.0,182.0,,1774.56,0.0,0.0,182.0,9.158,,,0.0,1.0,,True,completed
8,pkw,34.0,196.0,162.0,,1466.197,0.0,0.0,162.0,10.266,,,0.0,1.0,,True,completed
26,pkw,117.0,206.0,89.0,,860.858,0.0,0.0,89.0,4.766,,,0.0,1.0,,True,completed
5,pkw,20.0,208.0,188.0,,1777.606,0.0,7.0,181.0,26.756,,,0.0372,0.9628,,True,completed
20,pkw,98.0,217.0,119.0,,1137.684,4.0,4.0,115.0,14.939,,,0.0336,0.9664,,True,completed
17,pkw,82.0,220.0,138.0,,1146.897,1.0,8.0,130.0,18.889,,,0.058,0.942,,True,completed
28,pkw,129.0,221.0,92.0,,864.817,4.0,4.0,88.0,13.018,,,0.0435,0.9565,,True,completed
25,pkw,110.0,222.0,112.0,,1178.824,0.0,0.0,112.0,4.905,,,0.0,1.0,,True,completed
6,pkw,20.0,225.0,205.0,,2028.119,0.0,3.0,202.0,19.829,,,0.0146,0.9854,,True,completed
13,pkw,65.0,229.0,164.0,,1460.668,6.0,15.0,149.0,31.23,,,0.0915,0.9085,,True,completed
