vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
16,pkw,24.0,100.0,76.0,,782.733,0.0,0.0,76.0,4.553,,,0.0,1.0,,True,completed
14,pkw,20.0,103.0,83.0,,731.442,8.0,8.0,75.0,16.17,,,0.0964,0.9036,,True,completed
32,pkw,51.0,119.0,68.0,,593.874,2.0,2.0,66.0,12.559,,,0.0294,0.9706,,True,completed
29,pkw,49.0,124.0,75.0,,754.094,0.0,0.0,75.0,5.183,,,0.0,1.0,,True,completed
11,pkw,18.0,125.0,107.0,,954.069,2.0,2.0,105.0,14.774,,,0.0187,0.9813,,True,completed
43,pkw,74.0,125.0,51.0,,379.175,0.0,0.0,51.0,3.92,,,0.0,1.0,,True,completed
13,pkw,19.0,145.0,126.0,,1215.742,4.0,4.0,122.0,14.618,,,0.0317,0.9683,,True,completed
5,pkw,5.0,177.0,172.0,,1583.334,1.0,2.0,170.0,21.757,,,0.0116,0.9884,,True,completed
53,pkw,93.0,196.0,103.0,,873.647,1.0,1.0,102.0,13.535,,,0.0097,0.9903,,True,completed
72,pkw,128.0,202.0,74.0,,736.773,0.0,0.0,74.0,5.65,,,0.0,1.0,,True,completed
51,pkw,91.0,203.0,112.0,,1054.483,0.0,0.0,112.0,10.602,,,0.0,1.0,,True,completed
20,pkw,30.0,205.0,175.0,,1654.026,0.0,0.0,175.0,15.759,,,0.0,1.0,,True,completed
19,pkw,30.0,207.0,177.0,,1804.87,0.0,0.0,177.0,13.146,,,0.0,1.0,,True,completed
36,pkw,55.0,209.0,154.0,,1355.696,0.0,9.0,145.0,25.775,,,0.0584,0.9416,,True,completed
22,pkw,35.0,212.0,177.0,,1804.16,0.0,0.0,177.0,12.065,,,0.0,1.0,,True,completed
23,pkw,36.0,217.0,181.0,,1228.191,14.0,14.0,167.0,33.077,,,0.0773,0.9227,,True,completed
59,pkw,103.0,220.0,117.0,,886.636,0.0,0.0,117.0,11.127,,,0.0,1.0,,True,completed
10,pkw,15.0,229.0,214.0,,1989.385,0.0,0.0,214.0,14.98,,,0.0,1.0,,True,completed
45,pkw,80.0,234.0,154.0,,1392.543,3.0,3.0,151.0,17.669,,,0.0195,0.9805,,True,completed
47,pkw,84.0,234.0,150.0,,1405.198,0.0,0.0,150.0,12.115,,,0.0,1.0,,True,completed
86,pkw,152.0,234.0,82.0,,740.197,4.0,4.0,78.0,14.382,,,0.0488,0.9512,,True,completed
17,pkw,27.0,235.0,208.0,,1677.261,3.0,15.0,193.0,37.808,,,0.0721,0.9279,,True,completed
9,pkw,12.0,239.0,227.0,,1959.444,10.0,15.0,212.0,44.02,,,0.0661,0.9339,,True,completed
7,pkw,9.0,242.0,233.0,,2217.802,0.0,5.0,228.0,25.761,,,0.0215,0.9785,,True,completed
101,pkw,182.0,253.0,71.0,,695.051,0.0,0.0,71.0,5.783,,,0.0,1.0,,True,completed
82,pkw,144.0,253.0,109.0,,1017.282,0.0,0.0,109.0,10.127,,,0.0,1.0,,True,completed
94,pkw,168.0,255.0,87.0,,676.426,11.0,12.0,75.0,23.712,,,0.1379,0.8621,,True,completed
18,pkw,28.0,258.0,230.0,,2217.562,5.0,5.0,225.0,26.015,,,0.0217,0.9783,,True,completed
57,pkw,100.0,264.0,164.0,,1591.208,0.0,0.0,164.0,13.54,,,0.0,1.0,,True,completed
26,pkw,41.0,268.0,227.0,,2220.069,5.0,5.0,222.0,24.211,,,0.022,0.978,,True,completed
42,pkw,74.0,269.0,195.0,,1769.328,4.0,5.0,190.0,27.232,,,0.0256,0.9744,,True,completed
38,pkw,59.0,270.0,211.0,,1868.459,8.0,11.0,200.0,33.23,,,0.0521,0.9479,,True,completed
1,pkw,2.0,274.0,272.0,,2748.378,0.0,2.0,270.0,22.845,,,0.0074,0.9926,,True,completed
15,pkw,22.0,277.0,255.0,,2452.046,0.0,0.0,255.0,17.709,,,0.0,1.0,,True,completed
48,pkw,84.0,279.0,195.0,,1593.833,14.0,15.0,180.0,40.01,,,0.0769,0.9231,,True,completed
74,pkw,130.0,280.0,150.0,,1522.839,0.0,0.0,150.0,7.514,,,0.0,1.0,,True,completed
34,pkw,52.0,283.0,231.0,,2002.707,0.0,1.0,230.0,25.221,,,0.0043,0.9957,,True,completed
76,pkw,136.0,283.0,147.0,,1525.017,0.0,0.0,147.0,7.536,,,0.0,1.0,,True,completed
41,pkw,70.0,290.0,220.0,,987.064,41.0,107.0,113.0,124.098,,,0.4864,0.5136,,True,completed
123,pkw,231.0,296.0,65.0,,532.594,4.0,4.0,61.0,13.065,,,0.0615,0.9385,,True,completed
78,pkw,137.0,297.0,160.0,,1519.796,0.0,0.0,160.0,15.651,,,0.0,1.0,,True,completed
108,pkw,195.0,302.0,107.0,,882.815,9.0,9.0,98.0,21.455,,,0.0841,0.9159,,True,completed
88,pkw,153.0,305.0,152.0,,1532.564,0.0,0.0,152.0,11.53,,,0.0,1.0,,True,completed
0,pkw,2.0,307.0,305.0,,1687.967,75.0,124.0,181.0,150.303,,,0.4066,0.5934,,True,completed
99,pkw,176.0,320.0,144.0,,1027.89,5.0,5.0,139.0,21.555,,,0.0347,0.9653,,True,completed
126,pkw,236.0,321.0,85.0,,873.69,0.0,0.0,85.0,4.568,,,0.0,1.0,,True,completed
115,pkw,211.0,322.0,111.0,,1037.49,0.0,0.0,111.0,10.016,,,0.0,1.0,,True,completed
120,pkw,224.0,327.0,103.0,,742.698,23.0,23.0,80.0,32.421,,,0.2233,0.7767,,True,completed
81,pkw,144.0,327.0,183.0,,1264.978,8.0,48.0,135.0,67.306,,,0.2623,0.7377,,True,completed
121,pkw,227.0,328.0,101.0,,942.376,0.0,0.0,101.0,6.933,,,0.0,1.0,,True,completed
147,pkw,271.0,328.0,57.0,,375.546,0.0,0.0,57.0,6.693,,,0.0,1.0,,True,completed
37,pkw,56.0,328.0,272.0,,2332.808,15.0,15.0,257.0,48.55,,,0.0551,0.9449,,True,completed
91,pkw,160.0,329.0,169.0,,1493.97,7.0,9.0,160.0,27.851,,,0.0533,0.9467,,True,completed
21,pkw,32.0,335.0,303.0,,2829.384,4.0,4.0,299.0,33.017,,,0.0132,0.9868,,True,completed
116,pkw,212.0,336.0,124.0,,647.958,34.0,34.0,90.0,46.546,,,0.2742,0.7258,,True,completed
55,pkw,98.0,343.0,245.0,,2131.6,0.0,0.0,245.0,19.085,,,0.0,1.0,,True,completed
25,pkw,39.0,344.0,305.0,,2633.807,2.0,21.0,284.0,61.411,,,0.0689,0.9311,,True,completed
110,pkw,202.0,347.0,145.0,,1479.956,0.0,0.0,145.0,9.714,,,0.0,1.0,,True,completed
124,pkw,232.0,348.0,116.0,,1017.528,2.0,2.0,114.0,17.482,,,0.0172,0.9828,,True,completed
97,pkw,173.0,354.0,181.0,,1462.741,15.0,15.0,166.0,38.295,,,0.0829,0.9171,,True,completed
141,pkw,258.0,356.0,98.0,,907.712,0.0,0.0,98.0,9.063,,,0.0,1.0,,True,completed
92,pkw,165.0,357.0,192.0,,1622.33,7.0,14.0,178.0,39.607,,,0.0729,0.9271,,True,completed
60,pkw,106.0,358.0,252.0,,1411.423,6.0,97.0,155.0,123.536,,,0.3849,0.6151,,True,completed
113,pkw,207.0,359.0,152.0,,1393.94,0.0,6.0,146.0,23.987,,,0.0395,0.9605,,True,completed
100,pkw,181.0,361.0,180.0,,1833.165,0.0,0.0,180.0,12.194,,,0.0,1.0,,True,completed
93,pkw,166.0,363.0,197.0,,1829.542,0.0,0.0,197.0,17.703,,,0.0,1.0,,True,completed
125,pkw,232.0,364.0,132.0,,1396.606,0.0,0.0,132.0,5.304,,,0.0,1.0,,True,completed
114,pkw,209.0,371.0,162.0,,1390.547,10.0,10.0,152.0,29.133,,,0.0617,0.9383,,True,completed
67,pkw,117.0,375.0,258.0,,2483.723,9.0,9.0,249.0,32.934,,,0.0349,0.9651,,True,completed
85,pkw,149.0,376.0,227.0,,1822.516,7.0,19.0,208.0,52.021,,,0.0837,0.9163,,True,completed
104,pkw,188.0,379.0,191.0,,1644.239,5.0,9.0,182.0,40.51,,,0.0471,0.9529,,True,completed
112,pkw,207.0,384.0,177.0,,1693.258,0.0,0.0,177.0,20.598,,,0.0,1.0,,True,completed
58,pkw,101.0,384.0,283.0,,1662.701,5.0,104.0,179.0,131.928,,,0.3675,0.6325,,True,completed
146,pkw,269.0,386.0,117.0,,1144.965,0.0,0.0,117.0,8.122,,,0.0,1.0,,True,completed
69,pkw,118.0,386.0,268.0,,2541.096,9.0,9.0,259.0,36.659,,,0.0336,0.9664,,True,completed
102,pkw,183.0,393.0,210.0,,2144.447,0.0,0.0,210.0,13.751,,,0.0,1.0,,True,completed
135,pkw,246.0,395.0,149.0,,1179.636,0.0,0.0,149.0,16.031,,,0.0,1.0,,True,completed
8,pkw,9.0,396.0,387.0,,1655.149,0.0,168.0,219.0,188.176,,,0.4341,0.5659,,True,completed
66,pkw,117.0,397.0,280.0,,2446.159,2.0,13.0,267.0,50.889,,,0.0464,0.9536,,True,completed
137,pkw,248.0,398.0,150.0,,1333.689,11.0,11.0,139.0,26.166,,,0.0733,0.9267,,True,completed
103,pkw,187.0,400.0,213.0,,1917.627,2.0,3.0,210.0,29.362,,,0.0141,0.9859,,True,completed
148,pkw,273.0,403.0,130.0,,971.395,12.0,12.0,118.0,27.72,,,0.0923,0.9077,,True,completed
