vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,car,11.0,136.0,125.0,,1142.732,0.0,0.0,125.0,6.096,,,0.0,1.0,,True,completed
15,car,74.0,183.0,109.0,,878.277,19.0,19.0,90.0,28.197,,,0.1743,0.8257,,True,completed
14,truck,70.0,192.0,122.0,,860.932,9.0,9.0,113.0,17.53,,,0.0738,0.9262,,True,completed
2,car,9.0,197.0,188.0,,1735.689,0.0,14.0,174.0,29.565,,,0.0745,0.9255,,True,completed
13,car,65.0,217.0,152.0,,1457.39,8.0,8.0,144.0,10.268,,,0.0526,0.9474,,True,completed
1,car,8.0,232.0,224.0,,1451.538,44.0,56.0,168.0,92.072,,,0.25,0.75,,True,completed
7,car,21.0,234.0,213.0,,1460.259,38.0,39.0,174.0,80.343,,,0.1831,0.8169,,True,completed
27,car,123.0,238.0,115.0,,842.38,19.0,19.0,96.0,29.524,,,0.1652,0.8348,,True,completed
26,car,117.0,243.0,126.0,,859.175,22.0,22.0,104.0,32.067,,,0.1746,0.8254,,True,completed
28,car,129.0,254.0,125.0,,862.309,28.0,28.0,97.0,36.244,,,0.224,0.776,,True,completed
21,car,100.0,257.0,157.0,,1448.018,0.0,0.0,157.0,6.126,,,0.0,1.0,,True,completed
47,car,192.0,258.0,66.0,,570.117,0.0,0.0,66.0,13.689,,,0.0,1.0,,True,completed
45,car,191.0,273.0,82.0,,825.987,0.0,0.0,82.0,5.14,,,0.0,1.0,,True,completed
5,car,20.0,274.0,254.0,,1776.365,25.0,60.0,194.0,83.85,,,0.2362,0.7638,,True,completed
17,car,82.0,289.0,207.0,,1142.576,32.0,76.0,131.0,87.923,,,0.3671,0.6329,,True,completed
18,car,84.0,291.0,207.0,,1465.58,2.0,50.0,157.0,73.571,,,0.2415,0.7585,,True,completed
0,truck,5.0,293.0,288.0,,1734.331,0.0,59.0,229.0,78.107,,,0.2049,0.7951,,True,completed
16,car,75.0,311.0,236.0,,1451.217,4.0,70.0,166.0,103.398,,,0.2966,0.7034,,True,completed
33,car,152.0,316.0,164.0,,1163.851,16.0,36.0,128.0,57.991,,,0.2195,0.7805,,True,completed
31,car,144.0,317.0,173.0,,1167.812,27.0,46.0,127.0,66.33,,,0.2659,0.7341,,True,completed
20,car,98.0,320.0,222.0,,1142.372,11.0,104.0,118.0,117.154,,,0.4685,0.5315,,True,completed
22,car,101.0,325.0,224.0,,1754.012,13.0,25.0,199.0,56.417,,,0.1116,0.8884,,True,completed
36,car,165.0,326.0,161.0,,1184.182,42.0,42.0,119.0,44.423,,,0.2609,0.7391,,True,completed
37,car,169.0,329.0,160.0,,1439.841,0.0,13.0,147.0,28.317,,,0.0813,0.9187,,True,completed
48,car,196.0,340.0,144.0,,862.058,32.0,41.0,103.0,58.218,,,0.2847,0.7153,,True,completed
30,car,144.0,346.0,202.0,,1443.086,5.0,31.0,171.0,54.07,,,0.1535,0.8465,,True,completed
24,truck,106.0,348.0,242.0,,1726.639,0.0,18.0,224.0,32.774,,,0.0744,0.9256,,True,completed
29,truck,142.0,351.0,209.0,,1439.227,0.0,22.0,187.0,34.691,,,0.1053,0.8947,,True,completed
44,truck,188.0,362.0,174.0,,1162.801,1.0,16.0,158.0,33.408,,,0.092,0.908,,True,completed
19,truck,85.0,363.0,278.0,,1738.599,0.0,44.0,234.0,57.925,,,0.1583,0.8417,,True,completed
