vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,car,21.0,85.0,64.0,,580.378,2.0,2.0,62.0,10.765,,,0.0312,0.9688,,True,completed
6,car,20.0,101.0,81.0,,821.916,0.0,0.0,81.0,4.889,,,0.0,1.0,,True,completed
1,car,2.0,155.0,153.0,,1158.64,20.0,21.0,132.0,47.721,,,0.1373,0.8627,,True,completed
2,car,5.0,155.0,150.0,,1168.122,24.0,24.0,126.0,43.716,,,0.16,0.84,,True,completed
4,car,12.0,166.0,154.0,,1137.283,5.0,29.0,125.0,42.259,,,0.1883,0.8117,,True,completed
8,car,34.0,188.0,154.0,,1161.92,11.0,16.0,138.0,33.969,,,0.1039,0.8961,,True,completed
0,truck,2.0,193.0,191.0,,1418.905,0.0,7.0,184.0,18.996,,,0.0366,0.9634,,True,completed
10,truck,43.0,203.0,160.0,,878.334,27.0,37.0,123.0,53.558,,,0.2313,0.7688,,True,completed
24,car,117.0,214.0,97.0,,857.94,4.0,4.0,93.0,15.986,,,0.0412,0.9588,,True,completed
13,car,65.0,232.0,167.0,,859.209,39.0,76.0,91.0,88.362,,,0.4551,0.5449,,True,completed
16,car,84.0,235.0,151.0,,1465.44,5.0,5.0,146.0,17.933,,,0.0331,0.9669,,True,completed
19,car,100.0,236.0,136.0,,1448.988,0.0,0.0,136.0,4.146,,,0.0,1.0,,True,completed
3,car,9.0,242.0,233.0,,1744.426,0.0,23.0,210.0,52.659,,,0.0987,0.9013,,True,completed
35,truck,183.0,262.0,79.0,,557.349,2.0,2.0,77.0,11.091,,,0.0253,0.9747,,True,completed
22,car,106.0,271.0,165.0,,1731.206,0.0,0.0,165.0,7.234,,,0.0,1.0,,True,completed
29,car,153.0,273.0,120.0,,860.85,30.0,30.0,90.0,40.817,,,0.25,0.75,,True,completed
12,car,65.0,276.0,211.0,,1706.872,0.0,4.0,207.0,19.393,,,0.019,0.981,,True,completed
25,truck,123.0,287.0,164.0,,1137.714,0.0,7.0,157.0,25.881,,,0.0427,0.9573,,True,completed
21,car,103.0,299.0,196.0,,1466.883,17.0,21.0,175.0,43.424,,,0.1071,0.8929,,True,completed
39,car,192.0,300.0,108.0,,561.705,37.0,37.0,71.0,51.823,,,0.3426,0.6574,,True,completed
26,car,129.0,325.0,196.0,,1708.281,0.0,13.0,183.0,29.882,,,0.0663,0.9337,,True,completed
30,truck,165.0,332.0,167.0,,1173.573,9.0,9.0,158.0,16.789,,,0.0539,0.9461,,True,completed
15,truck,82.0,338.0,256.0,,1142.577,23.0,106.0,150.0,117.632,,,0.4141,0.5859,,True,completed
31,car,169.0,339.0,170.0,,1444.095,3.0,16.0,154.0,38.203,,,0.0941,0.9059,,True,completed
17,car,85.0,345.0,260.0,,1745.357,0.0,63.0,197.0,78.609,,,0.2423,0.7577,,True,completed
27,car,144.0,349.0,205.0,,1441.23,1.0,36.0,169.0,51.039,,,0.1756,0.8244,,True,completed
41,car,202.0,351.0,149.0,,1445.665,0.0,0.0,149.0,10.808,,,0.0,1.0,,True,completed
