vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
10,car,14.0,80.0,66.0,,408.206,6.0,7.0,59.0,16.777,,,0.1061,0.8939,,True,completed
13,car,20.0,96.0,76.0,,735.781,0.0,0.0,76.0,8.779,,,0.0,1.0,,True,completed
31,car,51.0,136.0,85.0,,599.513,18.0,18.0,67.0,29.654,,,0.2118,0.7882,,True,completed
41,car,74.0,136.0,62.0,,380.362,3.0,3.0,59.0,18.847,,,0.0484,0.9516,,True,completed
11,car,18.0,140.0,122.0,,950.648,14.0,14.0,108.0,30.423,,,0.1148,0.8852,,True,completed
26,car,44.0,161.0,117.0,,1038.633,0.0,0.0,117.0,10.282,,,0.0,1.0,,True,completed
1,car,2.0,173.0,171.0,,1688.619,1.0,1.0,170.0,16.884,,,0.0058,0.9942,,True,completed
40,car,70.0,187.0,117.0,,989.696,2.0,2.0,115.0,18.542,,,0.0171,0.9829,,True,completed
2,car,2.0,194.0,192.0,,1593.43,0.0,19.0,173.0,41.295,,,0.099,0.901,,True,completed
5,car,5.0,195.0,190.0,,1583.924,0.0,13.0,177.0,39.539,,,0.0684,0.9316,,True,completed
3,car,3.0,197.0,194.0,,1501.981,18.0,26.0,168.0,53.923,,,0.134,0.866,,True,completed
50,car,91.0,213.0,122.0,,1064.977,0.0,0.0,122.0,15.839,,,0.0,1.0,,True,completed
16,car,24.0,218.0,194.0,,780.192,72.0,72.0,122.0,122.782,,,0.3711,0.6289,,True,completed
47,car,85.0,221.0,136.0,,1265.917,0.0,5.0,131.0,20.357,,,0.0368,0.9632,,True,completed
60,car,103.0,221.0,118.0,,888.907,0.0,0.0,118.0,9.04,,,0.0,1.0,,True,completed
45,car,84.0,236.0,152.0,,1409.716,0.0,0.0,152.0,12.412,,,0.0,1.0,,True,completed
7,car,9.0,240.0,231.0,,2217.327,0.0,6.0,225.0,23.922,,,0.026,0.974,,True,completed
4,truck,5.0,245.0,240.0,,1548.756,8.0,30.0,210.0,51.83,,,0.125,0.875,,True,completed
73,car,130.0,247.0,117.0,,1102.637,0.0,0.0,117.0,7.033,,,0.0,1.0,,True,completed
85,car,152.0,247.0,95.0,,736.892,16.0,16.0,79.0,27.679,,,0.1684,0.8316,,True,completed
28,car,49.0,249.0,200.0,,1584.88,32.0,38.0,162.0,55.787,,,0.19,0.81,,True,completed
36,car,59.0,257.0,198.0,,1865.883,0.0,2.0,196.0,20.766,,,0.0101,0.9899,,True,completed
