vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
14,car,20.0,96.0,76.0,,740.676,0.0,0.0,76.0,8.338,,,0.0,1.0,,True,completed
43,car,74.0,124.0,50.0,,377.003,0.0,0.0,50.0,3.132,,,0.0,1.0,,True,completed
29,car,49.0,125.0,76.0,,749.216,0.0,0.0,76.0,6.38,,,0.0,1.0,,True,completed
32,car,51.0,136.0,85.0,,599.506,16.0,16.0,69.0,29.019,,,0.1882,0.8118,,True,completed
11,car,18.0,138.0,120.0,,948.696,15.0,15.0,105.0,28.594,,,0.125,0.875,,True,completed
16,car,24.0,147.0,123.0,,779.495,16.0,16.0,107.0,51.845,,,0.1301,0.8699,,True,completed
13,car,19.0,153.0,134.0,,1210.434,11.0,11.0,123.0,22.849,,,0.0821,0.9179,,True,completed
4,car,5.0,170.0,165.0,,1547.915,1.0,1.0,164.0,16.433,,,0.0061,0.9939,,True,completed
53,car,93.0,199.0,106.0,,874.085,1.0,1.0,105.0,16.213,,,0.0094,0.9906,,True,completed
41,car,70.0,200.0,130.0,,984.511,13.0,13.0,117.0,34.329,,,0.1,0.9,,True,completed
51,car,91.0,209.0,118.0,,1056.231,0.0,0.0,118.0,16.711,,,0.0,1.0,,True,completed
19,car,30.0,214.0,184.0,,1805.439,0.0,0.0,184.0,20.146,,,0.0,1.0,,True,completed
22,car,35.0,217.0,182.0,,1810.652,0.0,0.0,182.0,16.872,,,0.0,1.0,,True,completed
6,car,7.0,217.0,210.0,,2106.477,3.0,3.0,207.0,18.965,,,0.0143,0.9857,,True,completed
59,car,103.0,220.0,117.0,,887.696,0.0,0.0,117.0,11.327,,,0.0,1.0,,True,completed
0,truck,2.0,223.0,221.0,,1691.464,3.0,3.0,218.0,16.531,,,0.0136,0.9864,,True,completed
72,car,128.0,230.0,102.0,,741.425,20.0,20.0,82.0,33.193,,,0.1961,0.8039,,True,completed
23,car,36.0,231.0,195.0,,1232.862,2.0,17.0,178.0,46.13,,,0.0872,0.9128,,True,completed
47,car,84.0,232.0,148.0,,1411.997,0.0,0.0,148.0,9.932,,,0.0,1.0,,True,completed
36,car,55.0,233.0,178.0,,1347.345,1.0,12.0,166.0,50.237,,,0.0674,0.9326,,True,completed
5,truck,5.0,233.0,228.0,,1578.192,0.0,15.0,213.0,36.965,,,0.0658,0.9342,,True,completed
20,truck,30.0,242.0,212.0,,1647.113,0.0,0.0,212.0,12.022,,,0.0,1.0,,True,completed
28,car,43.0,246.0,203.0,,1526.318,1.0,33.0,170.0,61.259,,,0.1626,0.8374,,True,completed
86,car,152.0,247.0,95.0,,732.097,14.0,14.0,81.0,28.111,,,0.1474,0.8526,,True,completed
82,car,144.0,250.0,106.0,,1008.865,0.0,0.0,106.0,7.24,,,0.0,1.0,,True,completed
94,car,168.0,254.0,86.0,,684.607,7.0,7.0,79.0,22.284,,,0.0814,0.9186,,True,completed
17,car,27.0,259.0,232.0,,1684.928,0.0,36.0,196.0,61.278,,,0.1552,0.8448,,True,completed
48,car,84.0,263.0,179.0,,1599.156,0.0,0.0,179.0,24.02,,,0.0,1.0,,True,completed
64,car,114.0,263.0,149.0,,1442.793,0.0,0.0,149.0,13.01,,,0.0,1.0,,True,completed
27,car,41.0,266.0,225.0,,2161.081,10.0,10.0,215.0,26.663,,,0.0444,0.9556,,True,completed
10,truck,15.0,270.0,255.0,,1992.831,0.0,0.0,255.0,14.131,,,0.0,1.0,,True,completed
57,car,100.0,273.0,173.0,,1587.072,6.0,6.0,167.0,22.529,,,0.0347,0.9653,,True,completed
101,car,182.0,274.0,92.0,,691.549,12.0,12.0,80.0,27.023,,,0.1304,0.8696,,True,completed
74,car,130.0,276.0,146.0,,1518.535,0.0,0.0,146.0,4.028,,,0.0,1.0,,True,completed
38,car,59.0,277.0,218.0,,1871.102,3.0,11.0,207.0,40.127,,,0.0505,0.9495,,True,completed
24,car,38.0,278.0,240.0,,1263.205,8.0,99.0,141.0,123.944,,,0.4125,0.5875,,True,completed
7,car,9.0,278.0,269.0,,2216.42,4.0,22.0,247.0,62.361,,,0.0818,0.9182,,True,completed
76,car,136.0,279.0,143.0,,1521.319,0.0,0.0,143.0,4.031,,,0.0,1.0,,True,completed
81,car,144.0,280.0,136.0,,1262.308,9.0,10.0,126.0,20.499,,,0.0735,0.9265,,True,completed
45,truck,80.0,288.0,208.0,,1395.586,17.0,17.0,191.0,39.134,,,0.0817,0.9183,,True,completed
116,car,212.0,296.0,84.0,,644.083,0.0,0.0,84.0,7.146,,,0.0,1.0,,True,completed
26,car,41.0,301.0,260.0,,2220.146,37.0,37.0,223.0,56.834,,,0.1423,0.8577,,True,completed
108,car,195.0,303.0,108.0,,887.579,8.0,8.0,100.0,13.241,,,0.0741,0.9259,,True,completed
80,truck,140.0,308.0,168.0,,1271.201,0.0,0.0,168.0,10.452,,,0.0,1.0,,True,completed
39,car,65.0,310.0,245.0,,1833.524,5.0,5.0,240.0,42.045,,,0.0204,0.9796,,True,completed
123,car,231.0,311.0,80.0,,540.657,9.0,9.0,71.0,27.816,,,0.1125,0.8875,,True,completed
8,car,9.0,315.0,306.0,,1653.182,0.0,87.0,219.0,107.288,,,0.2843,0.7157,,True,completed
34,car,52.0,318.0,266.0,,2007.039,1.0,12.0,254.0,59.272,,,0.0451,0.9549,,True,completed
120,truck,224.0,319.0,95.0,,746.627,0.0,0.0,95.0,4.369,,,0.0,1.0,,True,completed
9,car,12.0,319.0,307.0,,1959.884,31.0,61.0,246.0,114.13,,,0.1987,0.8013,,True,completed
126,car,236.0,320.0,84.0,,874.929,0.0,0.0,84.0,3.85,,,0.0,1.0,,True,completed
60,truck,106.0,323.0,217.0,,1409.728,14.0,27.0,190.0,46.5,,,0.1244,0.8756,,True,completed
54,car,96.0,324.0,228.0,,2168.641,3.0,5.0,223.0,31.464,,,0.0219,0.9781,,True,completed
121,car,227.0,325.0,98.0,,943.018,0.0,0.0,98.0,3.514,,,0.0,1.0,,True,completed
147,car,271.0,327.0,56.0,,376.137,0.0,0.0,56.0,5.255,,,0.0,1.0,,True,completed
2,car,3.0,327.0,324.0,,2870.727,9.0,11.0,313.0,62.269,,,0.034,0.966,,True,completed
3,car,3.0,329.0,326.0,,2523.368,17.0,62.0,264.0,96.916,,,0.1902,0.8098,,True,completed
78,car,137.0,333.0,196.0,,1524.103,0.0,19.0,177.0,51.301,,,0.0969,0.9031,,True,completed
99,car,176.0,333.0,157.0,,1028.02,10.0,10.0,147.0,34.504,,,0.0637,0.9363,,True,completed
37,car,56.0,341.0,285.0,,2335.516,7.0,10.0,275.0,61.282,,,0.0351,0.9649,,True,completed
124,car,232.0,342.0,110.0,,1014.054,0.0,0.0,110.0,11.726,,,0.0,1.0,,True,completed
42,car,74.0,342.0,268.0,,1772.324,49.0,72.0,196.0,100.066,,,0.2687,0.7313,,True,completed
97,car,173.0,345.0,172.0,,1463.32,9.0,9.0,163.0,29.109,,,0.0523,0.9477,,True,completed
40,truck,65.0,352.0,287.0,,2127.944,3.0,6.0,281.0,28.987,,,0.0209,0.9791,,True,completed
141,car,258.0,365.0,107.0,,902.029,3.0,3.0,104.0,18.36,,,0.028,0.972,,True,completed
88,car,153.0,365.0,212.0,,1531.93,25.0,48.0,164.0,61.46,,,0.2264,0.7736,,True,completed
15,truck,22.0,368.0,346.0,,2449.126,0.0,20.0,326.0,49.315,,,0.0578,0.9422,,True,completed
46,car,82.0,372.0,290.0,,2212.875,26.0,37.0,253.0,77.403,,,0.1276,0.8724,,True,completed
115,truck,211.0,375.0,164.0,,1038.274,21.0,21.0,143.0,28.951,,,0.128,0.872,,True,completed
67,car,117.0,378.0,261.0,,2480.693,7.0,7.0,254.0,36.156,,,0.0268,0.9732,,True,completed
93,car,166.0,380.0,214.0,,1831.578,18.0,18.0,196.0,34.819,,,0.0841,0.9159,,True,completed
52,car,91.0,383.0,292.0,,2645.796,1.0,6.0,286.0,50.692,,,0.0205,0.9795,,True,completed
91,car,160.0,387.0,227.0,,1502.075,39.0,41.0,186.0,76.244,,,0.1806,0.8194,,True,completed
35,truck,54.0,389.0,335.0,,2296.335,0.0,20.0,315.0,47.38,,,0.0597,0.9403,,True,completed
21,car,32.0,390.0,358.0,,2828.444,11.0,30.0,328.0,87.516,,,0.0838,0.9162,,True,completed
