step:3600/3600, q_loss:0, rewards:-46.136393229166664, queue:1.5090277777777779, delay:0.06255520714653863, throughput:1429
episode:0/200, real avg travel time:251.2855143456963
intersection:0, mean_episode_reward:-2.936389207839966, mean_queue:3.0722222328186035
intersection:1, mean_episode_reward:-3.3013885021209717, mean_queue:3.4361112117767334
intersection:2, mean_episode_reward:-2.8069443702697754, mean_queue:2.952777862548828
intersection:3, mean_episode_reward:-2.6744441986083984, mean_queue:2.827777862548828
intersection:4, mean_episode_reward:-2.867500066757202, mean_queue:3.019444465637207
intersection:5, mean_episode_reward:-2.58750057220459, mean_queue:2.694444417953491
intersection:6, mean_episode_reward:-2.3422226905822754, mean_queue:2.452777862548828
intersection:7, mean_episode_reward:-2.2886109352111816, mean_queue:2.441666603088379
intersection:8, mean_episode_reward:-3.6752777099609375, mean_queue:3.7916667461395264
intersection:9, mean_episode_reward:-3.4288902282714844, mean_queue:3.538888931274414
intersection:10, mean_episode_reward:-2.766666889190674, mean_queue:2.8611111640930176
intersection:11, mean_episode_reward:-3.0688886642456055, mean_queue:3.200000047683716
intersection:12, mean_episode_reward:-2.445277452468872, mean_queue:2.61388897895813
intersection:13, mean_episode_reward:-3.3044447898864746, mean_queue:3.4555554389953613
intersection:14, mean_episode_reward:-3.1905572414398193, mean_queue:3.299999952316284
intersection:15, mean_episode_reward:-2.451388120651245, mean_queue:2.6305556297302246
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :855.8048780487804, rewards:-467.1308159722222, queue:14.62890625, delay:0.163788816663954, throughput:410
step:3600/3600, q_loss:0, rewards:-47.79944661458333, queue:1.5627604166666667, delay:0.06373177104526095, throughput:1429
