vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
151372_418_0,pkw,25208.0,25240.0,32.0,,407.201,0.0,1.0,31.0,6.679,,,0.0312,0.9688,,True,completed
149029_417_0,pkw,25237.0,25253.0,16.0,,186.8,0.0,1.0,15.0,3.627,,,0.0625,0.9375,,True,completed
124779_406_0,pkw,25206.0,25261.0,55.0,,159.39,35.0,36.0,19.0,43.984,,,0.6545,0.3455,,True,completed
91582_392_0,pkw,25222.0,25261.0,39.0,,452.933,0.0,1.0,38.0,5.118,,,0.0256,0.9744,,True,completed
98305_395_0,pkw,25212.0,25263.0,51.0,,161.622,29.0,30.0,21.0,41.738,,,0.5882,0.4118,,True,completed
102535_396_0,pkw,25219.0,25264.0,45.0,,154.217,25.0,26.0,19.0,35.587,,,0.5778,0.4222,,True,completed
147209_416_0,pkw,25221.0,25266.0,45.0,,161.599,24.0,25.0,20.0,35.61,,,0.5556,0.4444,,True,completed
121258_405_0,pkw,25241.0,25271.0,30.0,,189.407,6.0,7.0,23.0,19.268,,,0.2333,0.7667,,True,completed
126742_407_0,pkw,25244.0,25271.0,27.0,,199.838,2.0,3.0,24.0,15.664,,,0.1111,0.8889,,True,completed
120663_405_0,pkw,25249.0,25272.0,23.0,,184.094,0.0,1.0,22.0,13.86,,,0.0435,0.9565,,True,completed
102501_396_0,pkw,25246.0,25273.0,27.0,,191.603,3.0,4.0,23.0,13.908,,,0.1481,0.8519,,True,completed
113509_402_0,pkw,25252.0,25275.0,23.0,,174.836,0.0,1.0,22.0,10.854,,,0.0435,0.9565,,True,completed
130147_409_0,pkw,25255.0,25275.0,20.0,,200.462,0.0,1.0,19.0,8.59,,,0.05,0.95,,True,completed
102630_396_0,pkw,25257.0,25276.0,19.0,,192.336,0.0,1.0,18.0,9.23,,,0.0526,0.9474,,True,completed
122376_406_0,pkw,25260.0,25278.0,18.0,,199.218,0.0,1.0,17.0,5.311,,,0.0556,0.9444,,True,completed
122194_406_0,pkw,25262.0,25279.0,17.0,,189.077,0.0,1.0,16.0,6.285,,,0.0588,0.9412,,True,completed
135103_411_0,pkw,25265.0,25281.0,16.0,,198.62,0.0,1.0,15.0,6.761,,,0.0625,0.9375,,True,completed
152958_419_0,pkw,25267.0,25284.0,17.0,,201.342,1.0,2.0,15.0,6.545,,,0.1176,0.8824,,True,completed
125613_406_0,pkw,25271.0,25287.0,16.0,,188.831,0.0,1.0,15.0,3.886,,,0.0625,0.9375,,True,completed
133955_411_0,pkw,25273.0,25290.0,17.0,,196.985,0.0,1.0,16.0,6.344,,,0.0588,0.9412,,True,completed
129253_408_0,pkw,25276.0,25292.0,16.0,,193.116,0.0,1.0,15.0,6.141,,,0.0625,0.9375,,True,completed
120275_405_0,pkw,25279.0,25295.0,16.0,,194.443,0.0,1.0,15.0,4.688,,,0.0625,0.9375,,True,completed
135201_411_0,pkw,25284.0,25300.0,16.0,,198.433,0.0,1.0,15.0,4.134,,,0.0625,0.9375,,True,completed
148629_417_0,pkw,25285.0,25301.0,16.0,,181.729,0.0,1.0,15.0,4.7,,,0.0625,0.9375,,True,completed
86189_391_0,pkw,25286.0,25303.0,17.0,,193.112,0.0,1.0,16.0,5.037,,,0.0588,0.9412,,True,completed
134807_411_0,pkw,25282.0,25304.0,22.0,,185.606,0.0,1.0,21.0,12.143,,,0.0455,0.9545,,True,completed
57065_374_0,pkw,25289.0,25305.0,16.0,,190.442,0.0,1.0,15.0,5.186,,,0.0625,0.9375,,True,completed
129519_408_0,pkw,25292.0,25307.0,15.0,,188.725,0.0,1.0,14.0,5.0,,,0.0667,0.9333,,True,completed
82015_389_0,pkw,25295.0,25310.0,15.0,,188.658,0.0,1.0,14.0,4.982,,,0.0667,0.9333,,True,completed
136204_411_0,pkw,25298.0,25315.0,17.0,,199.126,0.0,1.0,16.0,3.56,,,0.0588,0.9412,,True,completed
135431_411_0,pkw,25300.0,25316.0,16.0,,187.18,0.0,1.0,15.0,5.467,,,0.0625,0.9375,,True,completed
162096_421_0,pkw,25307.0,25345.0,38.0,,409.591,0.0,1.0,37.0,7.135,,,0.0263,0.9737,,True,completed
125316_406_0,pkw,25306.0,25351.0,45.0,,193.164,22.0,23.0,22.0,35.36,,,0.5111,0.4889,,True,completed
146814_416_0,pkw,25303.0,25351.0,48.0,,197.629,24.0,25.0,23.0,38.18,,,0.5208,0.4792,,True,completed
118286_405_0,pkw,25308.0,25352.0,44.0,,183.74,19.0,20.0,24.0,34.137,,,0.4545,0.5455,,True,completed
134435_411_0,pkw,25311.0,25353.0,42.0,,202.212,16.0,17.0,25.0,31.15,,,0.4048,0.5952,,True,completed
108236_400_0,pkw,25314.0,25354.0,40.0,,191.591,17.0,18.0,22.0,28.244,,,0.45,0.55,,True,completed
146536_416_0,pkw,25317.0,25354.0,37.0,,189.271,11.0,12.0,25.0,25.795,,,0.3243,0.6757,,True,completed
110905_401_0,pkw,25320.0,25356.0,36.0,,195.216,12.0,13.0,23.0,24.269,,,0.3611,0.6389,,True,completed
118931_405_0,pkw,25322.0,25356.0,34.0,,198.976,9.0,10.0,24.0,23.862,,,0.2941,0.7059,,True,completed
157203_421_0,pkw,25328.0,25357.0,29.0,,189.638,6.0,7.0,22.0,18.558,,,0.2414,0.7586,,True,completed
94647_393_0,pkw,25325.0,25357.0,32.0,,186.317,7.0,8.0,24.0,21.323,,,0.25,0.75,,True,completed
175147_428_0,pkw,25325.0,25359.0,34.0,,398.864,0.0,1.0,33.0,9.631,,,0.0294,0.9706,,True,completed
161721_421_0,pkw,25338.0,25372.0,34.0,,409.761,0.0,1.0,33.0,8.8,,,0.0294,0.9706,,True,completed
100057_396_0,pkw,25399.0,,401.0,,229.808,100.0,376.0,25.0,382.016,,,0.9377,0.0623,,False,on_map_at_end
100304_396_0,pkw,25526.0,,274.0,,102.185,100.0,259.0,15.0,267.342,,,0.9453,0.0547,,False,on_map_at_end
100926_396_0,pkw,25419.0,,381.0,,206.604,100.0,359.0,22.0,366.471,,,0.9423,0.0577,,False,on_map_at_end
100928_396_0,pkw,25474.0,,326.0,,279.956,100.0,297.0,29.0,308.804,,,0.911,0.089,,False,on_map_at_end
100992_396_0,pkw,25619.0,,181.0,,4.274,100.0,178.0,3.0,180.776,,,0.9834,0.0166,,False,on_map_at_end
101928_396_0,pkw,25376.0,,424.0,,44.761,100.0,416.0,8.0,421.563,,,0.9811,0.0189,,False,on_map_at_end
101974_396_0,pkw,25459.0,,341.0,,165.997,100.0,322.0,19.0,329.295,,,0.9443,0.0557,,False,on_map_at_end
102219_396_0,pkw,25616.0,,184.0,,49.976,100.0,175.0,9.0,180.459,,,0.9511,0.0489,,False,on_map_at_end
102993_397_0,pkw,25586.0,,214.0,,27.478,100.0,208.0,6.0,212.362,,,0.972,0.028,,False,on_map_at_end
103540_397_0,pkw,25301.0,,499.0,,45.988,100.0,489.0,10.0,495.594,,,0.98,0.02,,False,on_map_at_end
104556_397_0,pkw,25382.0,,418.0,,38.96,100.0,410.0,8.0,416.141,,,0.9809,0.0191,,False,on_map_at_end
104806_398_0,pkw,25333.0,,467.0,,299.421,100.0,440.0,27.0,447.292,,,0.9422,0.0578,,False,on_map_at_end
104968_398_0,pkw,25447.0,,353.0,,183.4,100.0,335.0,18.0,340.677,,,0.949,0.051,,False,on_map_at_end
105238_398_0,pkw,25410.0,,390.0,,224.007,100.0,363.0,27.0,372.856,,,0.9308,0.0692,,False,on_map_at_end
106037_399_0,pkw,25566.0,,234.0,,61.578,100.0,222.0,12.0,229.738,,,0.9487,0.0513,,False,on_map_at_end
106268_399_0,pkw,25337.0,,463.0,,85.368,100.0,444.0,19.0,458.71,,,0.959,0.041,,False,on_map_at_end
106883_399_0,pkw,25409.0,,391.0,,4.154,100.0,388.0,3.0,390.768,,,0.9923,0.0077,,False,on_map_at_end
109585_401_0,pkw,25372.0,,428.0,,50.562,100.0,418.0,10.0,425.509,,,0.9766,0.0234,,False,on_map_at_end
110527_401_0,pkw,25493.0,,307.0,,131.191,100.0,291.0,16.0,298.238,,,0.9479,0.0521,,False,on_map_at_end
111249_401_0,pkw,25375.0,,425.0,,44.761,100.0,416.0,9.0,422.864,,,0.9788,0.0212,,False,on_map_at_end
113303_402_0,pkw,25285.0,,515.0,,328.426,100.0,487.0,28.0,494.202,,,0.9456,0.0544,,False,on_map_at_end
113625_402_0,pkw,25393.0,,407.0,,15.756,100.0,401.0,6.0,406.093,,,0.9853,0.0147,,False,on_map_at_end
114134_402_0,pkw,25427.0,,373.0,,218.206,100.0,351.0,22.0,357.524,,,0.941,0.059,,False,on_map_at_end
114183_402_0,pkw,25360.0,,440.0,,270.416,100.0,413.0,27.0,418.999,,,0.9386,0.0614,,False,on_map_at_end
114601_403_0,pkw,25420.0,,380.0,,3.963,100.0,376.0,4.0,379.813,,,0.9895,0.0105,,False,on_map_at_end
115444_403_0,pkw,25295.0,,505.0,,51.789,100.0,497.0,8.0,501.926,,,0.9842,0.0158,,False,on_map_at_end
115445_403_0,pkw,25619.0,,181.0,,20.971,100.0,174.0,7.0,179.54,,,0.9613,0.0387,,False,on_map_at_end
115551_403_0,pkw,25606.0,,194.0,,15.876,100.0,187.0,7.0,193.152,,,0.9639,0.0361,,False,on_map_at_end
115620_403_0,pkw,25391.0,,409.0,,247.211,100.0,383.0,26.0,391.159,,,0.9364,0.0636,,False,on_map_at_end
