vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
2,DEFAULT_VEHTYPE,15.0,114.0,99.0,,871.857,20.0,20.0,79.0,30.075,,,0.202,0.798,,True,completed
25,DEFAULT_VEHTYPE,112.0,165.0,53.0,,575.368,0.0,0.0,53.0,3.568,,,0.0,1.0,,True,completed
6,DEFAULT_VEHTYPE,39.0,170.0,131.0,,889.065,41.0,42.0,89.0,52.248,,,0.3206,0.6794,,True,completed
0,DEFAULT_VEHTYPE,1.0,187.0,186.0,,1741.137,1.0,1.0,185.0,18.495,,,0.0054,0.9946,,True,completed
8,DEFAULT_VEHTYPE,58.0,187.0,129.0,,893.074,22.0,22.0,107.0,36.777,,,0.1705,0.8295,,True,completed
7,DEFAULT_VEHTYPE,54.0,195.0,141.0,,1193.565,16.0,30.0,111.0,45.07,,,0.2128,0.7872,,True,completed
14,DEFAULT_VEHTYPE,78.0,201.0,123.0,,1158.8,0.0,0.0,123.0,9.554,,,0.0,1.0,,True,completed
24,DEFAULT_VEHTYPE,111.0,203.0,92.0,,887.726,0.0,0.0,92.0,8.435,,,0.0,1.0,,True,completed
13,DEFAULT_VEHTYPE,77.0,209.0,132.0,,1179.349,23.0,23.0,109.0,39.438,,,0.1742,0.8258,,True,completed
1,DEFAULT_VEHTYPE,10.0,211.0,201.0,,1490.923,19.0,52.0,149.0,74.791,,,0.2587,0.7413,,True,completed
4,DEFAULT_VEHTYPE,35.0,225.0,190.0,,1742.502,1.0,1.0,189.0,18.994,,,0.0053,0.9947,,True,completed
16,DEFAULT_VEHTYPE,85.0,239.0,154.0,,1183.434,17.0,44.0,110.0,58.526,,,0.2857,0.7143,,True,completed
5,DEFAULT_VEHTYPE,37.0,242.0,205.0,,1488.12,21.0,57.0,148.0,80.549,,,0.278,0.722,,True,completed
