vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
10,pkw,14.0,97.0,83.0,,408.398,26.0,27.0,56.0,33.769,,,0.3253,0.6747,,True,completed
13,pkw,20.0,114.0,94.0,,736.399,13.0,13.0,81.0,26.723,,,0.1383,0.8617,,True,completed
11,pkw,18.0,117.0,99.0,,948.538,0.0,0.0,99.0,7.605,,,0.0,1.0,,True,completed
41,pkw,74.0,124.0,50.0,,372.541,1.0,1.0,49.0,7.679,,,0.02,0.98,,True,completed
16,pkw,24.0,126.0,102.0,,782.967,15.0,15.0,87.0,30.532,,,0.1471,0.8529,,True,completed
31,pkw,51.0,138.0,87.0,,597.94,19.0,19.0,68.0,31.448,,,0.2184,0.7816,,True,completed
6,pkw,7.0,161.0,154.0,,1608.262,0.0,0.0,154.0,8.255,,,0.0,1.0,,True,completed
26,pkw,44.0,163.0,119.0,,1038.889,0.0,0.0,119.0,11.844,,,0.0,1.0,,True,completed
2,pkw,2.0,165.0,163.0,,1592.231,0.0,0.0,163.0,12.493,,,0.0,1.0,,True,completed
40,pkw,70.0,175.0,105.0,,987.866,0.0,0.0,105.0,6.481,,,0.0,1.0,,True,completed
3,pkw,3.0,185.0,182.0,,1501.874,16.0,16.0,166.0,42.492,,,0.0879,0.9121,,True,completed
1,pkw,2.0,187.0,185.0,,1688.511,8.0,8.0,177.0,30.976,,,0.0432,0.9568,,True,completed
4,pkw,5.0,199.0,194.0,,1554.663,20.0,24.0,170.0,44.359,,,0.1237,0.8763,,True,completed
50,pkw,91.0,209.0,118.0,,1058.964,0.0,0.0,118.0,11.821,,,0.0,1.0,,True,completed
0,pkw,2.0,211.0,209.0,,2127.865,0.0,0.0,209.0,11.923,,,0.0,1.0,,True,completed
18,pkw,30.0,213.0,183.0,,1813.379,2.0,2.0,181.0,17.009,,,0.0109,0.9891,,True,completed
60,pkw,103.0,223.0,120.0,,886.952,0.0,0.0,120.0,11.088,,,0.0,1.0,,True,completed
12,pkw,19.0,226.0,207.0,,2094.287,3.0,3.0,204.0,16.825,,,0.0145,0.9855,,True,completed
28,pkw,49.0,227.0,178.0,,1583.219,17.0,19.0,159.0,34.012,,,0.1067,0.8933,,True,completed
5,pkw,5.0,230.0,225.0,,1576.79,16.0,49.0,176.0,75.109,,,0.2178,0.7822,,True,completed
34,pkw,55.0,233.0,178.0,,1350.43,0.0,24.0,154.0,51.823,,,0.1348,0.8652,,True,completed
85,pkw,152.0,234.0,82.0,,738.43,4.0,4.0,78.0,14.541,,,0.0488,0.9512,,True,completed
47,pkw,85.0,236.0,151.0,,1267.265,5.0,17.0,134.0,35.135,,,0.1126,0.8874,,True,completed
8,pkw,9.0,236.0,227.0,,1654.627,0.0,8.0,219.0,28.24,,,0.0352,0.9648,,True,completed
9,pkw,12.0,238.0,226.0,,1970.288,13.0,13.0,213.0,42.694,,,0.0575,0.9425,,True,completed
27,pkw,46.0,242.0,196.0,,1800.272,7.0,7.0,189.0,23.235,,,0.0357,0.9643,,True,completed
43,pkw,80.0,245.0,165.0,,1399.759,3.0,3.0,162.0,19.937,,,0.0182,0.9818,,True,completed
45,pkw,84.0,245.0,161.0,,1403.44,7.0,7.0,154.0,21.513,,,0.0435,0.9565,,True,completed
7,pkw,9.0,252.0,243.0,,2215.4,17.0,17.0,226.0,36.278,,,0.07,0.93,,True,completed
24,pkw,38.0,255.0,217.0,,2140.829,0.0,6.0,211.0,22.521,,,0.0276,0.9724,,True,completed
20,pkw,34.0,265.0,231.0,,1773.405,18.0,23.0,208.0,58.476,,,0.0996,0.9004,,True,completed
23,pkw,36.0,268.0,232.0,,1917.663,18.0,20.0,212.0,53.066,,,0.0862,0.9138,,True,completed
89,pkw,173.0,269.0,96.0,,680.475,9.0,9.0,87.0,32.536,,,0.0938,0.9062,,True,completed
73,pkw,130.0,270.0,140.0,,1099.93,13.0,13.0,127.0,30.389,,,0.0929,0.9071,,True,completed
36,pkw,59.0,279.0,220.0,,1863.23,18.0,22.0,198.0,43.075,,,0.1,0.9,,True,completed
61,pkw,106.0,281.0,175.0,,1411.736,0.0,26.0,149.0,45.919,,,0.1486,0.8514,,True,completed
81,pkw,144.0,283.0,139.0,,1263.974,6.0,7.0,132.0,23.414,,,0.0504,0.9496,,True,completed
58,pkw,100.0,287.0,187.0,,1585.782,22.0,22.0,165.0,41.889,,,0.1176,0.8824,,True,completed
46,pkw,84.0,290.0,206.0,,1594.569,0.0,15.0,191.0,48.861,,,0.0728,0.9272,,True,completed
