vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,pkw,21.0,77.0,56.0,,583.583,0.0,0.0,56.0,2.477,,,0.0,1.0,,True,completed
6,pkw,20.0,102.0,82.0,,830.56,0.0,0.0,82.0,5.493,,,0.0,1.0,,True,completed
4,pkw,12.0,131.0,119.0,,1135.024,0.0,0.0,119.0,7.547,,,0.0,1.0,,True,completed
2,pkw,5.0,143.0,138.0,,1166.552,15.0,15.0,123.0,31.718,,,0.1087,0.8913,,True,completed
10,pkw,43.0,172.0,129.0,,882.135,33.0,33.0,96.0,48.607,,,0.2558,0.7442,,True,completed
13,pkw,65.0,200.0,135.0,,859.708,36.0,43.0,92.0,50.027,,,0.3185,0.6815,,True,completed
8,pkw,34.0,200.0,166.0,,1163.334,1.0,33.0,133.0,45.86,,,0.1988,0.8012,,True,completed
5,pkw,20.0,202.0,182.0,,1465.696,7.0,29.0,153.0,48.76,,,0.1593,0.8407,,True,completed
24,pkw,117.0,203.0,86.0,,855.377,0.0,0.0,86.0,5.223,,,0.0,1.0,,True,completed
0,pkw,2.0,204.0,202.0,,1430.608,7.0,46.0,156.0,55.641,,,0.2277,0.7723,,True,completed
1,pkw,2.0,222.0,220.0,,1162.163,35.0,92.0,128.0,104.404,,,0.4182,0.5818,,True,completed
14,pkw,74.0,226.0,152.0,,878.443,36.0,49.0,103.0,57.067,,,0.3224,0.6776,,True,completed
18,pkw,98.0,227.0,129.0,,1140.384,13.0,13.0,116.0,24.572,,,0.1008,0.8992,,True,completed
3,pkw,9.0,232.0,223.0,,1738.722,0.0,21.0,202.0,43.673,,,0.0942,0.9058,,True,completed
25,pkw,123.0,234.0,111.0,,1139.104,0.0,0.0,111.0,6.755,,,0.0,1.0,,True,completed
29,pkw,153.0,250.0,97.0,,858.691,9.0,9.0,88.0,18.388,,,0.0928,0.9072,,True,completed
15,pkw,82.0,251.0,169.0,,1148.459,40.0,49.0,120.0,63.281,,,0.2899,0.7101,,True,completed
35,pkw,183.0,262.0,79.0,,563.552,20.0,20.0,59.0,27.28,,,0.2532,0.7468,,True,completed
21,pkw,103.0,281.0,178.0,,1467.833,0.0,12.0,166.0,25.332,,,0.0674,0.9326,,True,completed
19,pkw,100.0,289.0,189.0,,1441.311,26.0,41.0,148.0,57.682,,,0.2169,0.7831,,True,completed
40,pkw,196.0,294.0,98.0,,860.325,0.0,0.0,98.0,6.507,,,0.0,1.0,,True,completed
9,pkw,39.0,294.0,255.0,,1443.148,0.0,79.0,176.0,99.145,,,0.3098,0.6902,,True,completed
23,pkw,110.0,302.0,192.0,,1174.567,35.0,55.0,137.0,85.288,,,0.2865,0.7135,,True,completed
39,pkw,192.0,305.0,113.0,,568.211,49.0,49.0,64.0,56.184,,,0.4336,0.5664,,True,completed
17,pkw,85.0,312.0,227.0,,1739.293,0.0,25.0,202.0,46.655,,,0.1101,0.8899,,True,completed
11,pkw,59.0,320.0,261.0,,2052.931,11.0,53.0,208.0,63.398,,,0.2031,0.7969,,True,completed
20,pkw,101.0,330.0,229.0,,1754.886,17.0,50.0,179.0,69.673,,,0.2183,0.7817,,True,completed
45,pkw,224.0,332.0,108.0,,877.032,19.0,19.0,89.0,27.294,,,0.1759,0.8241,,True,completed
12,pkw,65.0,334.0,269.0,,1712.341,0.0,57.0,212.0,76.435,,,0.2119,0.7881,,True,completed
16,pkw,84.0,342.0,258.0,,1472.127,18.0,96.0,162.0,124.179,,,0.3721,0.6279,,True,completed
32,pkw,175.0,348.0,173.0,,1168.579,7.0,28.0,145.0,43.755,,,0.1618,0.8382,,True,completed
37,pkw,188.0,348.0,160.0,,1166.777,13.0,44.0,116.0,53.579,,,0.275,0.725,,True,completed
33,pkw,181.0,349.0,168.0,,1467.229,12.0,15.0,153.0,34.461,,,0.0893,0.9107,,True,completed
26,pkw,129.0,357.0,228.0,,1709.853,5.0,34.0,194.0,54.474,,,0.1491,0.8509,,True,completed
31,pkw,169.0,358.0,189.0,,1440.945,13.0,41.0,148.0,57.266,,,0.2169,0.7831,,True,completed
22,pkw,106.0,360.0,254.0,,1729.978,12.0,75.0,179.0,81.104,,,0.2953,0.7047,,True,completed
56,pkw,276.0,362.0,86.0,,880.031,0.0,0.0,86.0,5.796,,,0.0,1.0,,True,completed
27,pkw,144.0,367.0,223.0,,1440.504,4.0,60.0,163.0,78.133,,,0.2691,0.7309,,True,completed
28,pkw,152.0,372.0,220.0,,1179.641,47.0,92.0,128.0,112.63,,,0.4182,0.5818,,True,completed
54,pkw,269.0,380.0,111.0,,1147.901,0.0,0.0,111.0,5.621,,,0.0,1.0,,True,completed
44,pkw,223.0,382.0,159.0,,1461.27,0.0,8.0,151.0,26.139,,,0.0503,0.9497,,True,completed
30,pkw,165.0,384.0,219.0,,1177.992,54.0,85.0,134.0,96.026,,,0.3881,0.6119,,True,completed
53,pkw,262.0,407.0,145.0,,1436.179,1.0,1.0,144.0,14.009,,,0.0069,0.9931,,True,completed
80,pkw,344.0,417.0,73.0,,561.604,0.0,0.0,73.0,5.344,,,0.0,1.0,,True,completed
47,pkw,240.0,419.0,179.0,,1720.265,0.0,7.0,172.0,13.236,,,0.0391,0.9609,,True,completed
36,pkw,184.0,422.0,238.0,,1762.531,22.0,47.0,191.0,77.922,,,0.1975,0.8025,,True,completed
42,pkw,209.0,424.0,215.0,,1466.599,56.0,59.0,156.0,72.754,,,0.2744,0.7256,,True,completed
52,pkw,260.0,425.0,165.0,,1161.784,7.0,29.0,136.0,48.463,,,0.1758,0.8242,,True,completed
60,pkw,299.0,426.0,127.0,,1186.742,1.0,1.0,126.0,12.005,,,0.0079,0.9921,,True,completed
34,pkw,181.0,429.0,248.0,,2024.433,10.0,43.0,205.0,63.441,,,0.1734,0.8266,,True,completed
50,pkw,250.0,429.0,179.0,,1415.504,12.0,34.0,145.0,48.902,,,0.1899,0.8101,,True,completed
67,pkw,312.0,432.0,120.0,,1144.393,0.0,0.0,120.0,15.318,,,0.0,1.0,,True,completed
71,pkw,320.0,434.0,114.0,,1128.939,0.0,0.0,114.0,10.575,,,0.0,1.0,,True,completed
72,pkw,321.0,438.0,117.0,,1146.608,0.0,0.0,117.0,12.08,,,0.0,1.0,,True,completed
41,pkw,202.0,442.0,240.0,,1439.74,9.0,83.0,157.0,102.025,,,0.3458,0.6542,,True,completed
46,pkw,232.0,447.0,215.0,,1467.65,5.0,40.0,175.0,57.535,,,0.186,0.814,,True,completed
65,pkw,305.0,450.0,145.0,,864.553,41.0,59.0,86.0,66.189,,,0.4069,0.5931,,True,completed
55,pkw,273.0,456.0,183.0,,1731.478,0.0,12.0,171.0,25.596,,,0.0656,0.9344,,True,completed
84,pkw,365.0,461.0,96.0,,855.957,7.0,7.0,89.0,9.282,,,0.0729,0.9271,,True,completed
38,pkw,191.0,462.0,271.0,,2050.044,24.0,57.0,214.0,84.458,,,0.2103,0.7897,,True,completed
51,pkw,255.0,462.0,207.0,,1752.196,28.0,28.0,179.0,47.663,,,0.1353,0.8647,,True,completed
86,pkw,370.0,464.0,94.0,,865.333,4.0,4.0,90.0,14.643,,,0.0426,0.9574,,True,completed
76,pkw,335.0,467.0,132.0,,1143.147,14.0,15.0,117.0,27.597,,,0.1136,0.8864,,True,completed
79,pkw,343.0,468.0,125.0,,879.961,23.0,23.0,102.0,21.45,,,0.184,0.816,,True,completed
64,pkw,305.0,469.0,164.0,,1160.124,32.0,41.0,123.0,48.825,,,0.25,0.75,,True,completed
68,pkw,318.0,476.0,158.0,,1130.716,9.0,39.0,119.0,54.203,,,0.2468,0.7532,,True,completed
57,pkw,277.0,478.0,201.0,,1751.871,4.0,4.0,197.0,18.033,,,0.0199,0.9801,,True,completed
81,pkw,354.0,492.0,138.0,,1176.743,19.0,19.0,119.0,31.092,,,0.1377,0.8623,,True,completed
62,pkw,302.0,493.0,191.0,,1705.015,0.0,0.0,191.0,13.111,,,0.0,1.0,,True,completed
58,pkw,279.0,496.0,217.0,,2024.148,15.0,17.0,200.0,32.914,,,0.0783,0.9217,,True,completed
75,pkw,334.0,503.0,169.0,,1163.973,35.0,41.0,128.0,60.781,,,0.2426,0.7574,,True,completed
49,pkw,245.0,505.0,260.0,,1445.592,35.0,107.0,153.0,128.531,,,0.4115,0.5885,,True,completed
48,pkw,241.0,506.0,265.0,,2035.197,4.0,43.0,222.0,64.118,,,0.1623,0.8377,,True,completed
102,pkw,417.0,508.0,91.0,,561.179,26.0,26.0,65.0,35.346,,,0.2857,0.7143,,True,completed
69,pkw,319.0,521.0,202.0,,1437.24,9.0,52.0,150.0,61.261,,,0.2574,0.7426,,True,completed
101,pkw,417.0,523.0,106.0,,853.492,13.0,13.0,93.0,22.581,,,0.1226,0.8774,,True,completed
92,pkw,387.0,524.0,137.0,,1424.593,0.0,0.0,137.0,7.159,,,0.0,1.0,,True,completed
96,pkw,402.0,526.0,124.0,,1140.517,3.0,3.0,121.0,19.844,,,0.0242,0.9758,,True,completed
61,pkw,301.0,530.0,229.0,,1741.169,7.0,23.0,206.0,40.158,,,0.1004,0.8996,,True,completed
66,pkw,309.0,531.0,222.0,,1737.966,8.0,19.0,203.0,45.167,,,0.0856,0.9144,,True,completed
70,pkw,320.0,534.0,214.0,,1463.858,9.0,57.0,157.0,71.749,,,0.2664,0.7336,,True,completed
82,pkw,356.0,535.0,179.0,,1150.257,25.0,47.0,132.0,56.449,,,0.2626,0.7374,,True,completed
108,pkw,444.0,542.0,98.0,,869.295,9.0,9.0,89.0,18.084,,,0.0918,0.9082,,True,completed
90,pkw,382.0,542.0,160.0,,1161.564,37.0,39.0,121.0,53.887,,,0.2437,0.7562,,True,completed
43,pkw,212.0,548.0,336.0,,2064.082,56.0,81.0,255.0,101.332,,,0.2411,0.7589,,True,completed
59,pkw,282.0,550.0,268.0,,1724.352,0.0,83.0,185.0,104.96,,,0.3097,0.6903,,True,completed
93,pkw,391.0,554.0,163.0,,1404.745,1.0,4.0,159.0,30.346,,,0.0245,0.9755,,True,completed
103,pkw,423.0,555.0,132.0,,1143.633,6.0,6.0,126.0,19.402,,,0.0455,0.9545,,True,completed
112,pkw,458.0,559.0,101.0,,865.422,2.0,2.0,99.0,10.447,,,0.0198,0.9802,,True,completed
78,pkw,337.0,560.0,223.0,,1467.47,41.0,72.0,151.0,89.519,,,0.3229,0.6771,,True,completed
98,pkw,410.0,561.0,151.0,,1181.964,17.0,28.0,123.0,43.622,,,0.1854,0.8146,,True,completed
111,pkw,453.0,571.0,118.0,,857.146,29.0,29.0,89.0,29.486,,,0.2458,0.7542,,True,completed
124,pkw,492.0,572.0,80.0,,575.039,20.0,20.0,60.0,27.246,,,0.25,0.75,,True,completed
110,pkw,452.0,582.0,130.0,,1170.088,13.0,13.0,117.0,23.446,,,0.1,0.9,,True,completed
85,pkw,365.0,582.0,217.0,,1462.539,35.0,58.0,159.0,67.643,,,0.2673,0.7327,,True,completed
97,pkw,403.0,582.0,179.0,,1462.698,34.0,34.0,145.0,45.96,,,0.1899,0.8101,,True,completed
73,pkw,328.0,583.0,255.0,,2022.562,0.0,45.0,210.0,58.44,,,0.1765,0.8235,,True,completed
88,pkw,375.0,583.0,208.0,,1481.196,24.0,42.0,166.0,64.674,,,0.2019,0.7981,,True,completed
104,pkw,429.0,584.0,155.0,,865.188,55.0,59.0,96.0,76.132,,,0.3806,0.6194,,True,completed
107,pkw,437.0,596.0,159.0,,1435.38,0.0,0.0,159.0,11.072,,,0.0,1.0,,True,completed
126,pkw,502.0,600.0,98.0,,873.035,10.0,10.0,88.0,18.426,,,0.102,0.898,,True,completed
89,pkw,380.0,603.0,223.0,,1696.78,8.0,25.0,198.0,35.826,,,0.1121,0.8879,,True,completed
122,pkw,488.0,620.0,132.0,,1166.868,5.0,8.0,124.0,25.564,,,0.0606,0.9394,,True,completed
77,pkw,336.0,620.0,284.0,,1761.023,9.0,55.0,229.0,69.637,,,0.1937,0.8063,,True,completed
87,pkw,374.0,620.0,246.0,,1759.991,37.0,63.0,183.0,78.642,,,0.2561,0.7439,,True,completed
63,pkw,302.0,624.0,322.0,,1478.711,36.0,159.0,163.0,178.915,,,0.4938,0.5062,,True,completed
105,pkw,436.0,625.0,189.0,,1707.984,0.0,13.0,176.0,33.419,,,0.0688,0.9312,,True,completed
