vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,car,21.0,75.0,54.0,,575.742,0.0,0.0,54.0,1.183,,,0.0,1.0,,True,completed
6,car,20.0,101.0,81.0,,822.916,0.0,0.0,81.0,5.162,,,0.0,1.0,,True,completed
4,car,12.0,131.0,119.0,,1136.412,0.0,0.0,119.0,7.36,,,0.0,1.0,,True,completed
2,car,5.0,145.0,140.0,,1165.673,16.0,16.0,124.0,33.937,,,0.1143,0.8857,,True,completed
8,car,34.0,201.0,167.0,,1163.641,0.0,35.0,132.0,46.55,,,0.2096,0.7904,,True,completed
13,car,65.0,202.0,137.0,,858.409,34.0,41.0,96.0,52.427,,,0.2993,0.7007,,True,completed
24,car,117.0,203.0,86.0,,858.469,0.0,0.0,86.0,5.029,,,0.0,1.0,,True,completed
1,car,2.0,224.0,222.0,,1157.928,32.0,90.0,132.0,106.785,,,0.4054,0.5946,,True,completed
14,car,74.0,230.0,156.0,,878.577,24.0,35.0,121.0,60.58,,,0.2244,0.7756,,True,completed
18,car,98.0,231.0,133.0,,1138.078,10.0,14.0,119.0,28.376,,,0.1053,0.8947,,True,completed
10,truck,43.0,232.0,189.0,,873.728,37.0,65.0,124.0,75.111,,,0.3439,0.6561,,True,completed
3,car,9.0,232.0,223.0,,1743.123,0.0,21.0,202.0,42.788,,,0.0942,0.9058,,True,completed
0,truck,2.0,233.0,231.0,,1419.715,0.0,41.0,190.0,59.117,,,0.1775,0.8225,,True,completed
29,car,153.0,253.0,100.0,,860.678,10.0,10.0,90.0,20.838,,,0.1,0.9,,True,completed
15,truck,82.0,268.0,186.0,,1142.234,23.0,30.0,156.0,47.465,,,0.1613,0.8387,,True,completed
35,truck,183.0,272.0,89.0,,558.981,12.0,12.0,77.0,20.895,,,0.1348,0.8652,,True,completed
25,truck,123.0,274.0,151.0,,1138.442,0.0,1.0,150.0,12.602,,,0.0066,0.9934,,True,completed
12,car,65.0,277.0,212.0,,1712.289,3.0,3.0,209.0,20.048,,,0.0142,0.9858,,True,completed
21,car,103.0,281.0,178.0,,1464.715,0.0,15.0,163.0,25.626,,,0.0843,0.9157,,True,completed
19,car,100.0,292.0,192.0,,1450.039,24.0,39.0,153.0,60.048,,,0.2031,0.7969,,True,completed
5,truck,20.0,295.0,275.0,,1458.744,0.0,82.0,193.0,98.881,,,0.2982,0.7018,,True,completed
9,car,39.0,296.0,257.0,,1444.253,0.0,78.0,179.0,90.582,,,0.3035,0.6965,,True,completed
23,car,110.0,305.0,195.0,,1174.762,27.0,39.0,156.0,88.27,,,0.2,0.8,,True,completed
