vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
11,car,18.0,115.0,97.0,,949.557,0.0,0.0,97.0,5.515,,,0.0,1.0,,True,completed
14,car,20.0,118.0,98.0,,734.567,19.0,19.0,79.0,22.888,,,0.1939,0.8061,,True,completed
43,car,74.0,124.0,50.0,,377.335,0.0,0.0,50.0,3.074,,,0.0,1.0,,True,completed
16,car,24.0,160.0,136.0,,779.257,20.0,34.0,102.0,64.866,,,0.25,0.75,,True,completed
29,car,49.0,167.0,118.0,,754.18,28.0,28.0,90.0,47.776,,,0.2373,0.7627,,True,completed
13,car,19.0,171.0,152.0,,1217.301,12.0,12.0,140.0,40.079,,,0.0789,0.9211,,True,completed
41,car,70.0,176.0,106.0,,986.899,0.0,0.0,106.0,10.126,,,0.0,1.0,,True,completed
24,car,38.0,177.0,139.0,,1267.324,0.0,1.0,138.0,22.497,,,0.0072,0.9928,,True,completed
32,car,51.0,186.0,135.0,,593.682,23.0,42.0,93.0,79.538,,,0.3111,0.6889,,True,completed
53,car,93.0,198.0,105.0,,874.035,0.0,0.0,105.0,15.253,,,0.0,1.0,,True,completed
4,car,5.0,201.0,196.0,,1549.052,17.0,22.0,174.0,47.122,,,0.1122,0.8878,,True,completed
51,car,91.0,209.0,118.0,,1065.206,0.0,0.0,118.0,15.654,,,0.0,1.0,,True,completed
19,car,30.0,219.0,189.0,,1812.637,0.0,0.0,189.0,24.457,,,0.0,1.0,,True,completed
59,car,103.0,219.0,116.0,,888.593,0.0,0.0,116.0,10.075,,,0.0,1.0,,True,completed
72,car,128.0,220.0,92.0,,739.779,9.0,9.0,83.0,23.359,,,0.0978,0.9022,,True,completed
28,car,43.0,226.0,183.0,,1524.737,9.0,22.0,161.0,41.37,,,0.1202,0.8798,,True,completed
7,car,9.0,228.0,219.0,,2218.339,0.0,0.0,219.0,11.776,,,0.0,1.0,,True,completed
23,car,36.0,231.0,195.0,,1231.315,2.0,18.0,177.0,46.995,,,0.0923,0.9077,,True,completed
17,car,27.0,234.0,207.0,,1681.024,12.0,12.0,195.0,36.162,,,0.058,0.942,,True,completed
86,car,152.0,238.0,86.0,,742.029,5.0,5.0,81.0,18.217,,,0.0581,0.9419,,True,completed
8,car,9.0,241.0,232.0,,1652.998,0.0,11.0,221.0,33.113,,,0.0474,0.9526,,True,completed
47,car,84.0,246.0,162.0,,1403.969,10.0,10.0,152.0,24.629,,,0.0617,0.9383,,True,completed
22,car,35.0,248.0,213.0,,1805.449,0.0,29.0,184.0,48.215,,,0.1362,0.8638,,True,completed
0,truck,2.0,253.0,251.0,,1688.815,11.0,22.0,229.0,37.567,,,0.0876,0.9124,,True,completed
20,truck,30.0,260.0,230.0,,1650.266,0.0,11.0,219.0,20.726,,,0.0478,0.9522,,True,completed
36,car,55.0,267.0,212.0,,1357.225,21.0,39.0,173.0,83.084,,,0.184,0.816,,True,completed
10,truck,15.0,269.0,254.0,,1994.719,0.0,0.0,254.0,12.88,,,0.0,1.0,,True,completed
82,car,144.0,270.0,126.0,,1010.588,6.0,6.0,120.0,27.052,,,0.0476,0.9524,,True,completed
42,car,74.0,272.0,198.0,,1764.251,9.0,9.0,189.0,30.796,,,0.0455,0.9545,,True,completed
45,truck,80.0,273.0,193.0,,1395.175,0.0,0.0,193.0,24.169,,,0.0,1.0,,True,completed
5,truck,5.0,275.0,270.0,,1576.356,0.0,45.0,225.0,79.382,,,0.1667,0.8333,,True,completed
38,car,59.0,282.0,223.0,,1860.895,15.0,20.0,203.0,46.022,,,0.0897,0.9103,,True,completed
71,car,124.0,291.0,167.0,,1470.871,0.0,0.0,167.0,26.317,,,0.0,1.0,,True,completed
12,car,19.0,294.0,275.0,,2299.508,0.0,13.0,262.0,43.374,,,0.0473,0.9527,,True,completed
9,car,12.0,296.0,284.0,,1963.01,35.0,41.0,243.0,101.135,,,0.1444,0.8556,,True,completed
39,car,65.0,300.0,235.0,,1839.26,11.0,11.0,224.0,31.597,,,0.0468,0.9532,,True,completed
64,car,114.0,302.0,188.0,,1436.141,28.0,34.0,154.0,52.362,,,0.1809,0.8191,,True,completed
