vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,car,21.0,77.0,56.0,,583.583,0.0,0.0,56.0,2.477,,,0.0,1.0,,True,completed
6,car,20.0,101.0,81.0,,821.765,0.0,0.0,81.0,5.285,,,0.0,1.0,,True,completed
4,car,12.0,131.0,119.0,,1135.615,0.0,0.0,119.0,7.068,,,0.0,1.0,,True,completed
2,car,5.0,142.0,137.0,,1163.564,16.0,16.0,121.0,30.987,,,0.1168,0.8832,,True,completed
13,car,65.0,199.0,134.0,,859.707,42.0,45.0,89.0,55.315,,,0.3358,0.6642,,True,completed
8,car,34.0,200.0,166.0,,1163.518,1.0,33.0,133.0,45.853,,,0.1988,0.8012,,True,completed
24,car,117.0,203.0,86.0,,855.707,0.0,0.0,86.0,5.22,,,0.0,1.0,,True,completed
1,car,2.0,222.0,220.0,,1162.162,35.0,93.0,127.0,114.404,,,0.4227,0.5773,,True,completed
14,car,74.0,226.0,152.0,,881.537,51.0,51.0,101.0,66.21,,,0.3355,0.6645,,True,completed
18,car,98.0,228.0,130.0,,1140.798,13.0,13.0,117.0,24.706,,,0.1,0.9,,True,completed
3,car,9.0,232.0,223.0,,1741.03,0.0,21.0,202.0,42.998,,,0.0942,0.9058,,True,completed
0,truck,2.0,233.0,231.0,,1418.722,0.0,41.0,190.0,59.232,,,0.1775,0.8225,,True,completed
10,truck,43.0,233.0,190.0,,878.653,47.0,67.0,123.0,83.519,,,0.3526,0.6474,,True,completed
29,car,153.0,250.0,97.0,,856.418,10.0,10.0,87.0,18.59,,,0.1031,0.8969,,True,completed
15,truck,82.0,268.0,186.0,,1145.424,23.0,30.0,156.0,47.285,,,0.1613,0.8387,,True,completed
35,truck,183.0,271.0,88.0,,557.784,11.0,11.0,77.0,20.039,,,0.125,0.875,,True,completed
25,truck,123.0,273.0,150.0,,1134.848,0.0,1.0,149.0,12.22,,,0.0067,0.9933,,True,completed
21,car,103.0,281.0,178.0,,1463.266,0.0,13.0,165.0,25.554,,,0.073,0.927,,True,completed
19,car,100.0,289.0,189.0,,1446.759,27.0,41.0,148.0,57.35,,,0.2169,0.7831,,True,completed
9,car,39.0,294.0,255.0,,1447.405,0.0,78.0,177.0,98.334,,,0.3059,0.6941,,True,completed
5,truck,20.0,295.0,275.0,,1459.888,0.0,82.0,193.0,98.743,,,0.2982,0.7018,,True,completed
23,car,110.0,302.0,192.0,,1174.461,35.0,64.0,128.0,85.297,,,0.3333,0.6667,,True,completed
39,car,192.0,305.0,113.0,,569.612,48.0,48.0,65.0,56.046,,,0.4248,0.5752,,True,completed
17,car,85.0,312.0,227.0,,1738.766,0.0,25.0,202.0,46.335,,,0.1101,0.8899,,True,completed
40,truck,196.0,318.0,122.0,,856.623,8.0,8.0,114.0,17.908,,,0.0656,0.9344,,True,completed
11,car,59.0,320.0,261.0,,2057.112,11.0,49.0,212.0,72.752,,,0.1877,0.8123,,True,completed
12,car,65.0,332.0,267.0,,1709.441,0.0,57.0,210.0,75.496,,,0.2135,0.7865,,True,completed
45,truck,224.0,341.0,117.0,,869.293,2.0,2.0,115.0,11.643,,,0.0171,0.9829,,True,completed
16,car,84.0,342.0,258.0,,1466.476,18.0,102.0,156.0,124.682,,,0.3953,0.6047,,True,completed
20,truck,101.0,346.0,245.0,,1746.124,0.0,20.0,225.0,34.381,,,0.0816,0.9184,,True,completed
32,car,175.0,348.0,173.0,,1168.546,7.0,28.0,145.0,43.741,,,0.1618,0.8382,,True,completed
37,car,188.0,348.0,160.0,,1164.162,13.0,42.0,118.0,53.811,,,0.2625,0.7375,,True,completed
33,car,181.0,349.0,168.0,,1466.947,12.0,15.0,153.0,34.474,,,0.0893,0.9107,,True,completed
31,car,169.0,357.0,188.0,,1440.138,14.0,38.0,150.0,56.713,,,0.2021,0.7979,,True,completed
26,car,129.0,358.0,229.0,,1707.739,4.0,42.0,187.0,62.509,,,0.1834,0.8166,,True,completed
22,car,106.0,360.0,254.0,,1730.811,12.0,76.0,178.0,96.306,,,0.2992,0.7008,,True,completed
56,car,276.0,362.0,86.0,,875.213,0.0,0.0,86.0,6.23,,,0.0,1.0,,True,completed
27,car,144.0,367.0,223.0,,1440.01,4.0,58.0,165.0,77.812,,,0.2601,0.7399,,True,completed
28,car,152.0,372.0,220.0,,1175.454,47.0,93.0,127.0,113.008,,,0.4227,0.5773,,True,completed
54,car,269.0,380.0,111.0,,1148.593,0.0,0.0,111.0,5.602,,,0.0,1.0,,True,completed
44,car,223.0,382.0,159.0,,1461.259,0.0,8.0,151.0,26.143,,,0.0503,0.9497,,True,completed
30,truck,165.0,392.0,227.0,,1172.716,48.0,68.0,159.0,85.218,,,0.2996,0.7004,,True,completed
47,car,240.0,407.0,167.0,,1721.305,0.0,0.0,167.0,9.569,,,0.0,1.0,,True,completed
53,car,262.0,407.0,145.0,,1434.513,2.0,2.0,143.0,14.206,,,0.0138,0.9862,,True,completed
80,truck,344.0,416.0,72.0,,556.704,0.0,0.0,72.0,3.882,,,0.0,1.0,,True,completed
36,car,184.0,422.0,238.0,,1761.922,23.0,47.0,191.0,77.981,,,0.1975,0.8025,,True,completed
42,car,209.0,423.0,214.0,,1457.775,55.0,56.0,158.0,72.546,,,0.2617,0.7383,,True,completed
52,car,260.0,425.0,165.0,,1159.677,7.0,28.0,137.0,48.723,,,0.1697,0.8303,,True,completed
34,car,181.0,429.0,248.0,,2023.153,11.0,43.0,205.0,64.049,,,0.1734,0.8266,,True,completed
71,car,320.0,430.0,110.0,,1129.715,0.0,0.0,110.0,6.535,,,0.0,1.0,,True,completed
67,car,312.0,432.0,120.0,,1144.955,0.0,0.0,120.0,14.872,,,0.0,1.0,,True,completed
72,car,321.0,438.0,117.0,,1146.877,0.0,0.0,117.0,11.69,,,0.0,1.0,,True,completed
41,car,202.0,443.0,241.0,,1445.81,8.0,84.0,157.0,102.504,,,0.3485,0.6515,,True,completed
46,car,232.0,447.0,215.0,,1465.726,3.0,38.0,177.0,57.689,,,0.1767,0.8233,,True,completed
50,truck,250.0,453.0,203.0,,1403.924,0.0,19.0,184.0,32.754,,,0.0936,0.9064,,True,completed
60,truck,299.0,453.0,154.0,,1175.686,1.0,1.0,153.0,11.756,,,0.0065,0.9935,,True,completed
84,car,365.0,460.0,95.0,,852.804,5.0,5.0,90.0,16.887,,,0.0526,0.9474,,True,completed
38,car,191.0,462.0,271.0,,2045.751,24.0,59.0,212.0,84.852,,,0.2177,0.7823,,True,completed
51,car,255.0,462.0,207.0,,1748.41,27.0,27.0,180.0,47.992,,,0.1304,0.8696,,True,completed
86,car,370.0,464.0,94.0,,862.4,4.0,4.0,90.0,15.153,,,0.0426,0.9574,,True,completed
68,car,318.0,467.0,149.0,,1124.014,14.0,35.0,114.0,45.81,,,0.2349,0.7651,,True,completed
76,car,335.0,467.0,132.0,,1140.144,14.0,16.0,116.0,27.869,,,0.1212,0.8788,,True,completed
